HOG	OG	Gene Tree Parent Clade	Auxenochlorella_protothecoides	Chlorella_A99	Chlorella_KRBP	Chlorella_Sorokiniana1602	Chlorella_VariabilisNC64A	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180	Scenedesmus_NREL	Scenedesmus_PABB004
N7.HOG0000010	OG0000002	n17						KAI3435604.1 hypothetical protein D9Q98_001667 [Chlorella vulgaris]				
N7.HOG0000011	OG0000002	n60						KAI3438361.1 hypothetical protein D9Q98_000793 [Chlorella vulgaris], KAI3430872.1 hypothetical protein D9Q98_009281 [Chlorella vulgaris], KAI3438364.1 hypothetical protein D9Q98_000796 [Chlorella vulgaris], KAI3438358.1 hypothetical protein D9Q98_000790 [Chlorella vulgaris], KAI3434581.1 hypothetical protein D9Q98_002651 [Chlorella vulgaris], KAI3434582.1 hypothetical protein D9Q98_002651 [Chlorella vulgaris], KAI3434580.1 hypothetical protein D9Q98_002650 [Chlorella vulgaris], KAI3430928.1 hypothetical protein D9Q98_009337 [Chlorella vulgaris], KAI3435605.1 hypothetical protein D9Q98_001668 [Chlorella vulgaris], KAI3435603.1 hypothetical protein D9Q98_001666 [Chlorella vulgaris], KAI3435599.1 hypothetical protein D9Q98_001664 [Chlorella vulgaris], KAI3435602.1 hypothetical protein D9Q98_001665 [Chlorella vulgaris], KAI3438367.1 hypothetical protein D9Q98_000799 [Chlorella vulgaris], KAI3427445.1 hypothetical protein D9Q98_010359 [Chlorella vulgaris], KAI3427446.1 hypothetical protein D9Q98_010360 [Chlorella vulgaris], KAI3430959.1 hypothetical protein D9Q98_009366 [Chlorella vulgaris], KAI3430960.1 hypothetical protein D9Q98_009366 [Chlorella vulgaris], KAI3430967.1 hypothetical protein D9Q98_009372 [Chlorella vulgaris], KAI3435601.1 hypothetical protein D9Q98_001664 [Chlorella vulgaris], KAI3438357.1 hypothetical protein D9Q98_000789 [Chlorella vulgaris], KAI3427280.1 hypothetical protein D9Q98_007212 [Chlorella vulgaris], KAI3435600.1 hypothetical protein D9Q98_001664 [Chlorella vulgaris], KAI3438349.1 hypothetical protein D9Q98_000781 [Chlorella vulgaris], KAI3438362.1 hypothetical protein D9Q98_000794 [Chlorella vulgaris], KAI3430966.1 hypothetical protein D9Q98_009371 [Chlorella vulgaris]				
N7.HOG0000012	OG0000002	n91						KAI3438354.1 hypothetical protein D9Q98_000786 [Chlorella vulgaris], KAI3427281.1 hypothetical protein D9Q98_007213 [Chlorella vulgaris]				
N7.HOG0000013	OG0000003	n1					XP_005845559.1 hypothetical protein CHLNCDRAFT_136719 [Chlorella variabilis]	KAI3424123.1 hypothetical protein D9Q98_009484 [Chlorella vulgaris]				
N7.HOG0000014	OG0000003	n11					XP_005850750.1 hypothetical protein CHLNCDRAFT_140901 [Chlorella variabilis]	KAI3436441.1 hypothetical protein D9Q98_005858 [Chlorella vulgaris]				
N7.HOG0000015	OG0000003	n21						KAI3432370.1 hypothetical protein D9Q98_003927 [Chlorella vulgaris], KAI3432358.1 hypothetical protein D9Q98_003915 [Chlorella vulgaris]				
N7.HOG0000016	OG0000003	n23					XP_005845697.1 expressed protein [Chlorella variabilis]	KAI3424212.1 hypothetical protein D9Q98_009568 [Chlorella vulgaris]				
N7.HOG0000017	OG0000003	n25					XP_005848945.1 hypothetical protein CHLNCDRAFT_144427 [Chlorella variabilis]	KAI3426970.1 hypothetical protein D9Q98_006914 [Chlorella vulgaris]				
N7.HOG0000018	OG0000003	n38					XP_005848871.1 hypothetical protein CHLNCDRAFT_144246 [Chlorella variabilis]					
N7.HOG0000019	OG0000003	n43						KAI3427272.1 hypothetical protein D9Q98_007204 [Chlorella vulgaris]				
N7.HOG0000020	OG0000003	n47					XP_005847999.1 expressed protein [Chlorella variabilis], XP_005847434.1 hypothetical protein CHLNCDRAFT_134328 [Chlorella variabilis], XP_005847441.1 hypothetical protein CHLNCDRAFT_134345 [Chlorella variabilis]	KAI3437643.1 hypothetical protein D9Q98_000094 [Chlorella vulgaris]				
N7.HOG0000021	OG0000003	n62						KAI3430747.1 hypothetical protein D9Q98_009159 [Chlorella vulgaris]				
N7.HOG0000022	OG0000003	n63						KAI3430596.1 hypothetical protein D9Q98_005189 [Chlorella vulgaris]				
N7.HOG0000023	OG0000003	n65					XP_005850412.1 hypothetical protein CHLNCDRAFT_142315 [Chlorella variabilis]	KAI3428300.1 hypothetical protein D9Q98_006679 [Chlorella vulgaris]				
N7.HOG0000024	OG0000003	n72					XP_005852056.1 hypothetical protein CHLNCDRAFT_133040 [Chlorella variabilis]	KAI3429368.1 hypothetical protein D9Q98_005463 [Chlorella vulgaris]				
N7.HOG0000025	OG0000003	n73					XP_005852055.1 expressed protein [Chlorella variabilis]	KAI3429367.1 hypothetical protein D9Q98_005462 [Chlorella vulgaris]				
N7.HOG0000026	OG0000003	n76					XP_005850707.1 hypothetical protein CHLNCDRAFT_140796 [Chlorella variabilis]	KAI3436557.1 hypothetical protein D9Q98_005973 [Chlorella vulgaris]				
N7.HOG0000027	OG0000003	n80					XP_005850406.1 hypothetical protein CHLNCDRAFT_142302 [Chlorella variabilis]	KAI3428290.1 hypothetical protein D9Q98_006669 [Chlorella vulgaris]				
N7.HOG0000028	OG0000003	n84					XP_005850407.1 expressed protein [Chlorella variabilis]	KAI3430755.1 hypothetical protein D9Q98_009167 [Chlorella vulgaris], KAI3428291.1 hypothetical protein D9Q98_006670 [Chlorella vulgaris]				
N7.HOG0000029	OG0000003	n87					XP_005851305.1 hypothetical protein CHLNCDRAFT_56786 [Chlorella variabilis]	KAI3433380.1 hypothetical protein D9Q98_003196 [Chlorella vulgaris]				
N7.HOG0000030	OG0000003	n89					XP_005844659.1 hypothetical protein CHLNCDRAFT_138538 [Chlorella variabilis]					
N7.HOG0000031	OG0000004	n2					XP_005844033.1 hypothetical protein CHLNCDRAFT_54787 [Chlorella variabilis], XP_005847991.1 hypothetical protein CHLNCDRAFT_17960_ partial [Chlorella variabilis]	KAI3437670.1 hypothetical protein D9Q98_000120 [Chlorella vulgaris]				
N7.HOG0000032	OG0000004	n15					XP_005845592.1 hypothetical protein CHLNCDRAFT_53768 [Chlorella variabilis]	KAI3424143.1 hypothetical protein D9Q98_009503 [Chlorella vulgaris], KAI3424061.1 hypothetical protein D9Q98_009424 [Chlorella vulgaris]				
N7.HOG0000033	OG0000004	n23					XP_005845837.1 hypothetical protein CHLNCDRAFT_136317 [Chlorella variabilis]	KAI3425342.1 hypothetical protein D9Q98_009106 [Chlorella vulgaris]				
N7.HOG0000034	OG0000004	n27					XP_005844034.1 hypothetical protein CHLNCDRAFT_27387_ partial [Chlorella variabilis]					
N7.HOG0000035	OG0000004	n32					XP_005843727.1 hypothetical protein CHLNCDRAFT_140043 [Chlorella variabilis]	KAI3424328.1 hypothetical protein D9Q98_009881 [Chlorella vulgaris]				
N7.HOG0000036	OG0000004	n38					XP_005848208.1 expressed protein [Chlorella variabilis]	KAI3426124.1 hypothetical protein D9Q98_008503 [Chlorella vulgaris]				
N7.HOG0000037	OG0000004	n59					XP_005845539.1 hypothetical protein CHLNCDRAFT_136680 [Chlorella variabilis]	KAI3424155.1 hypothetical protein D9Q98_009515 [Chlorella vulgaris], KAI3424156.1 hypothetical protein D9Q98_009515 [Chlorella vulgaris]				
N7.HOG0000038	OG0000004	n65					XP_005842938.1 hypothetical protein CHLNCDRAFT_37677 [Chlorella variabilis]	KAI3430979.1 hypothetical protein D9Q98_009383 [Chlorella vulgaris]				
N7.HOG0000039	OG0000004	n69					XP_005847945.1 hypothetical protein CHLNCDRAFT_17840_ partial [Chlorella variabilis]	KAI3437765.1 hypothetical protein D9Q98_000212 [Chlorella vulgaris]				
N7.HOG0000040	OG0000004	n73					XP_005851959.1 hypothetical protein CHLNCDRAFT_133640 [Chlorella variabilis], XP_005845547.1 hypothetical protein CHLNCDRAFT_136695 [Chlorella variabilis], XP_005852265.1 hypothetical protein CHLNCDRAFT_133643 [Chlorella variabilis]					
N7.HOG0000041	OG0000004	n79					XP_005843521.1 hypothetical protein CHLNCDRAFT_59250 [Chlorella variabilis], XP_005851469.1 hypothetical protein CHLNCDRAFT_19177_ partial [Chlorella variabilis]	KAI3433657.1 hypothetical protein D9Q98_003466 [Chlorella vulgaris]				
N7.HOG0000042	OG0000004	n84					XP_005844521.1 hypothetical protein CHLNCDRAFT_138913 [Chlorella variabilis]	KAI3437552.1 hypothetical protein D9Q98_000005 [Chlorella vulgaris]				
N7.HOG0000043	OG0000004	n86					XP_005848195.1 hypothetical protein CHLNCDRAFT_145623 [Chlorella variabilis]	KAI3437553.1 hypothetical protein D9Q98_000006 [Chlorella vulgaris]				
N7.HOG0000044	OG0000004	n87					XP_005843197.1 hypothetical protein CHLNCDRAFT_28394 [Chlorella variabilis]	KAI3427434.1 hypothetical protein D9Q98_010349 [Chlorella vulgaris]				
N7.HOG0000045	OG0000005	n2					XP_005851876.1 hypothetical protein CHLNCDRAFT_133450 [Chlorella variabilis]	KAI3429680.1 hypothetical protein D9Q98_005765 [Chlorella vulgaris]				
N7.HOG0000046	OG0000005	n14						KAI3424375.1 hypothetical protein D9Q98_009928 [Chlorella vulgaris], KAI3424432.1 hypothetical protein D9Q98_009984 [Chlorella vulgaris], KAI3424402.1 hypothetical protein D9Q98_009955 [Chlorella vulgaris], KAI3428571.1 hypothetical protein D9Q98_007393 [Chlorella vulgaris], KAI3424353.1 hypothetical protein D9Q98_009906 [Chlorella vulgaris], KAI3424410.1 hypothetical protein D9Q98_009962 [Chlorella vulgaris], KAI3424383.1 hypothetical protein D9Q98_009936 [Chlorella vulgaris], KAI3428592.1 hypothetical protein D9Q98_007415 [Chlorella vulgaris]				
N7.HOG0000047	OG0000005	n32					XP_005843647.1 hypothetical protein CHLNCDRAFT_54989 [Chlorella variabilis], XP_005843638.1 hypothetical protein CHLNCDRAFT_54972 [Chlorella variabilis]					
N7.HOG0000048	OG0000005	n39					XP_005847129.1 hypothetical protein CHLNCDRAFT_52799 [Chlorella variabilis]					
N7.HOG0000049	OG0000005	n47					XP_005843094.1 hypothetical protein CHLNCDRAFT_28450 [Chlorella variabilis]					
N7.HOG0000050	OG0000005	n48					XP_005843702.1 hypothetical protein CHLNCDRAFT_27894 [Chlorella variabilis]					
N7.HOG0000051	OG0000005	n54					XP_005848689.1 hypothetical protein CHLNCDRAFT_21904 [Chlorella variabilis]	KAI3427071.1 hypothetical protein D9Q98_007011 [Chlorella vulgaris]				
N7.HOG0000052	OG0000005	n63					XP_005852170.1 hypothetical protein CHLNCDRAFT_48410 [Chlorella variabilis]	KAI3429597.1 hypothetical protein D9Q98_005683 [Chlorella vulgaris]				
N7.HOG0000053	OG0000006	n2					XP_005845485.1 hypothetical protein CHLNCDRAFT_25821 [Chlorella variabilis], XP_005844803.1 hypothetical protein CHLNCDRAFT_13714_ partial [Chlorella variabilis], XP_005847493.1 hypothetical protein CHLNCDRAFT_12761_ partial [Chlorella variabilis], XP_005846952.1 hypothetical protein CHLNCDRAFT_23857 [Chlorella variabilis]	KAI3428490.1 hypothetical protein D9Q98_007315 [Chlorella vulgaris]				
N7.HOG0000054	OG0000006	n12					XP_005847121.1 hypothetical protein CHLNCDRAFT_24126 [Chlorella variabilis]	KAI3438102.1 hypothetical protein D9Q98_000544 [Chlorella vulgaris]				
N7.HOG0000055	OG0000006	n24					XP_005843205.1 hypothetical protein CHLNCDRAFT_14990_ partial [Chlorella variabilis]					
N7.HOG0000056	OG0000006	n34					XP_005851910.1 hypothetical protein CHLNCDRAFT_17554_ partial [Chlorella variabilis], XP_005848072.1 hypothetical protein CHLNCDRAFT_145300 [Chlorella variabilis]	KAI3437833.1 hypothetical protein D9Q98_000279 [Chlorella vulgaris], KAI3437832.1 hypothetical protein D9Q98_000279 [Chlorella vulgaris]				
N7.HOG0000057	OG0000006	n39					XP_005845995.1 hypothetical protein CHLNCDRAFT_13716_ partial [Chlorella variabilis], XP_005845997.1 hypothetical protein CHLNCDRAFT_136055 [Chlorella variabilis]					
N7.HOG0000058	OG0000006	n41					XP_005848395.1 hypothetical protein CHLNCDRAFT_144680 [Chlorella variabilis]					
N7.HOG0000059	OG0000006	n42					XP_005848611.1 hypothetical protein CHLNCDRAFT_30642 [Chlorella variabilis], XP_005845704.1 hypothetical protein CHLNCDRAFT_136834 [Chlorella variabilis]	KAI3436594.1 hypothetical protein D9Q98_006011 [Chlorella vulgaris], KAI3432561.1 hypothetical protein D9Q98_004110 [Chlorella vulgaris], KAI3436086.1 hypothetical protein D9Q98_002144 [Chlorella vulgaris]				
