HOG	OG	Gene Tree Parent Clade	Auxenochlorella_protothecoides	Chlorella_A99	Chlorella_KRBP	Chlorella_Sorokiniana1602	Chlorella_VariabilisNC64A	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180	Scenedesmus_NREL	Scenedesmus_PABB004
N8.HOG0000010	OG0000003	n1				PRW60465.1 expressed protein isoform B [Chlorella sorokiniana], PRW60464.1 expressed protein isoform A [Chlorella sorokiniana]				PSC74069.1 hypothetical protein C2E20_2567 [Micractinium conductrix]		
N8.HOG0000011	OG0000003	n11				PRW56332.1 S-acyltransferase 24 [Chlorella sorokiniana]				PSC69063.1 S-acyltransferase 23 [Micractinium conductrix]		
N8.HOG0000012	OG0000003	n21				PRW61115.1 hypothetical protein C2E21_0584 [Chlorella sorokiniana]						
N8.HOG0000013	OG0000003	n23				PRW59533.1 hypothetical protein C2E21_1609 [Chlorella sorokiniana]						
N8.HOG0000014	OG0000003	n38				PRW51158.1 hypothetical protein C2E21_5422 [Chlorella sorokiniana], PRW51157.1 hypothetical protein C2E21_5422 [Chlorella sorokiniana]				PSC74214.1 hypothetical protein C2E20_2651 [Micractinium conductrix]		
N8.HOG0000015	OG0000003	n43				PRW39142.1 hypothetical protein C2E21_7125 [Chlorella sorokiniana]						
N8.HOG0000016	OG0000003	n49				PRW59695.1 hypothetical protein C2E21_1633 [Chlorella sorokiniana]				PSC71318.1 hypothetical protein C2E20_5316 [Micractinium conductrix]		
N8.HOG0000017	OG0000003	n50				PRW60753.1 Zn2+-binding dehydrogenase [Chlorella sorokiniana]				PSC76891.1 hypothetical protein C2E20_0797 [Micractinium conductrix]		
N8.HOG0000018	OG0000003	n57				PRW50906.1 hypothetical protein C2E21_5437 [Chlorella sorokiniana]				PSC68705.1 hypothetical protein C2E20_7769 [Micractinium conductrix]		
N8.HOG0000019	OG0000003	n59				PRW45267.1 hypothetical protein C2E21_6426 [Chlorella sorokiniana], PRW45268.1 hypothetical protein C2E21_6426 [Chlorella sorokiniana]						
N8.HOG0000020	OG0000003	n62								PSC72165.1 hypothetical protein C2E20_4409 [Micractinium conductrix]		
N8.HOG0000021	OG0000003	n63								PSC73416.1 hypothetical protein C2E20_3417 [Micractinium conductrix], PSC75050.1 hypothetical protein C2E20_1732 [Micractinium conductrix]		
N8.HOG0000022	OG0000003	n65								PSC68081.1 hypothetical protein C2E20_8267 [Micractinium conductrix]		
N8.HOG0000023	OG0000003	n67				PRW60261.1 Acyl-coenzyme A thioesterase THEM4 [Chlorella sorokiniana]				PSC68179.1 Acyl-coenzyme A thioesterase THEM4 isoform B [Micractinium conductrix], PSC68178.1 Acyl-coenzyme A thioesterase THEM4 isoform A [Micractinium conductrix]		
N8.HOG0000024	OG0000003	n76								PSC72893.1 photosystem II reaction cent isoform B [Micractinium conductrix], PSC72894.1 photosystem II reaction cent isoform A [Micractinium conductrix]		
N8.HOG0000025	OG0000003	n80				PRW56718.1 hypothetical protein C2E21_4783 [Chlorella sorokiniana]				PSC68096.1 hypothetical protein C2E20_8274 [Micractinium conductrix], PSC75343.1 hypothetical protein C2E20_1137 [Micractinium conductrix]		
N8.HOG0000026	OG0000003	n84				PRW56397.1 hypothetical protein C2E21_4782 [Chlorella sorokiniana]						
N8.HOG0000027	OG0000003	n87				PRW58582.1 hypothetical protein C2E21_3184 [Chlorella sorokiniana]						
N8.HOG0000028	OG0000003	n89				PRW60976.1 hypothetical protein C2E21_0414 [Chlorella sorokiniana]				PSC68724.1 hypothetical protein C2E20_7768 [Micractinium conductrix]		
N8.HOG0000029	OG0000004	n2				PRW50811.1 squamosa promoter binding [Chlorella sorokiniana]				PSC71250.1 squamosa promoter-binding 9 [Micractinium conductrix], PSC71709.1 squamosa promoter-binding 9 [Micractinium conductrix]		
N8.HOG0000030	OG0000004	n15				PRW45379.1 squamosa promoter-binding 7 isoform X2 [Chlorella sorokiniana], PRW45644.1 squamosa promoter-binding 12 [Chlorella sorokiniana]				PSC72580.1 squamosa promoter-binding 9 [Micractinium conductrix], PSC69133.1 squamosa promoter-binding 7 isoform B [Micractinium conductrix], PSC69134.1 squamosa promoter-binding 7 isoform C [Micractinium conductrix], PSC69132.1 squamosa promoter-binding 7 isoform A [Micractinium conductrix]		
N8.HOG0000031	OG0000004	n23				PRW55998.1 squamosa promoter-binding 9 [Chlorella sorokiniana]				PSC69137.1 squamosa promoter binding [Micractinium conductrix], PSC71981.1 squamosa promoter binding [Micractinium conductrix]		
N8.HOG0000032	OG0000004	n27								PSC72586.1 hypothetical protein C2E20_4320 [Micractinium conductrix]		
N8.HOG0000033	OG0000004	n32								PSC74766.1 squamosa promoter-binding 16 [Micractinium conductrix], PSC74759.1 copper responsive regulator 1 [Micractinium conductrix]		
N8.HOG0000034	OG0000004	n38				PRW20956.1 squamosa promoter-binding 8 [Chlorella sorokiniana], PRW60887.1 Squamosa promoter-binding 1 [Chlorella sorokiniana]						
N8.HOG0000035	OG0000004	n59				PRW60923.1 squamosa promoter binding [Chlorella sorokiniana]				PSC74248.1 squamosa promoter-binding 6 isoform X1 [Micractinium conductrix]		
N8.HOG0000036	OG0000004	n65				PRW21082.1 Squamosa promoter-binding 16 [Chlorella sorokiniana]				PSC71707.1 squamosa promoter-binding 15 [Micractinium conductrix]		
N8.HOG0000037	OG0000004	n69								PSC69488.1 Squamosa promoter-binding 11 [Micractinium conductrix]		
N8.HOG0000038	OG0000004	n73								PSC68538.1 squamosa promoter-binding 3 [Micractinium conductrix]		
N8.HOG0000039	OG0000004	n82				PRW20503.1 squamosa promoter-binding 16 [Chlorella sorokiniana]						
N8.HOG0000040	OG0000004	n87				PRW56499.1 squamosa promoter-binding -like _SBP domain_ transcription factor family [Chlorella sorokiniana], PRW20468.1 squamosa promoter-binding 6 [Chlorella sorokiniana]				PSC68456.1 squamosa promoter binding [Micractinium conductrix], PSC76211.1 squamosa promoter binding [Micractinium conductrix]		
N8.HOG0000041	OG0000005	n2				PRW60758.1 putative histone H2A variant 3 [Chlorella sorokiniana]						
N8.HOG0000042	OG0000005	n22				PRW32926.1 Histone H2A [Chlorella sorokiniana]				PSC71167.1 Histone H2A [Micractinium conductrix], PSC72168.1 Histone H2A [Micractinium conductrix], PSC72080.1 Histone H2A [Micractinium conductrix], PSC72210.1 Histone H2A [Micractinium conductrix], PSC72098.1 Histone H2A [Micractinium conductrix], PSC72071.1 Histone H2A [Micractinium conductrix], PSC68321.1 Histone H2A [Micractinium conductrix], PSC71227.1 Histone H2A [Micractinium conductrix], PSC68329.1 Histone H2A [Micractinium conductrix]		
N8.HOG0000043	OG0000005	n39				PRW32953.1 Histone H2A [Chlorella sorokiniana], PRW20373.1 Histone H2A [Chlorella sorokiniana], PRW33066.1 Histone H2A [Chlorella sorokiniana], PRW57339.1 Histone H2A [Chlorella sorokiniana], PRW57021.1 Histone H2A [Chlorella sorokiniana]				PSC71104.1 Histone H2A [Micractinium conductrix], PSC71088.1 Histone H2A [Micractinium conductrix], PSC72221.1 Histone H2A [Micractinium conductrix]		
N8.HOG0000044	OG0000005	n47				PRW56948.1 Histone H2A [Chlorella sorokiniana]						
N8.HOG0000045	OG0000005	n48				PRW20423.1 Histone H2A [Chlorella sorokiniana]						
N8.HOG0000046	OG0000005	n54				PRW50900.1 Histone H2A [Chlorella sorokiniana]						
N8.HOG0000047	OG0000005	n63								PSC69436.1 Histone H2A [Micractinium conductrix]		
N8.HOG0000048	OG0000006	n2				PRW57849.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]				PSC74167.1 Serine threonine-kinase CTR1 [Micractinium conductrix]		
N8.HOG0000049	OG0000006	n12				PRW57168.1 kinase [Chlorella sorokiniana]				PSC72144.1 kinase [Micractinium conductrix]		
N8.HOG0000050	OG0000006	n24				PRW32834.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]						
N8.HOG0000051	OG0000006	n28				PRW50860.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW51177.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57024.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW05806.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW39272.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW60541.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]						
N8.HOG0000052	OG0000006	n34				PRW61477.1 Serine threonine- kinase CTR1 isoform A [Chlorella sorokiniana], PRW61478.1 Serine threonine- kinase CTR1 isoform B [Chlorella sorokiniana]						
N8.HOG0000053	OG0000006	n39				PRW33300.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]						
N8.HOG0000054	OG0000006	n41								PSC70863.1 Serine threonine-kinase CTR1 [Micractinium conductrix]		
N8.HOG0000055	OG0000006	n52				PRW50839.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]						
N8.HOG0000056	OG0000006	n56				PRW44985.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]				PSC74168.1 Serine threonine-kinase CTR1 [Micractinium conductrix]		
N8.HOG0000057	OG0000006	n58				PRW33836.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]						
N8.HOG0000058	OG0000006	n68				PRW33827.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]						
N8.HOG0000059	OG0000006	n69				PRW58265.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]						
N8.HOG0000060	OG0000006	n70				PRW61238.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW33200.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]						
N8.HOG0000061	OG0000006	n72				PRW57831.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57671.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]						
N8.HOG0000062	OG0000006	n75				PRW57695.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW45340.1 TKL DRK kinase [Chlorella sorokiniana]						
N8.HOG0000063	OG0000006	n79				PRW33991.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]				PSC70242.1 Serine threonine-kinase CTR1 [Micractinium conductrix]		
N8.HOG0000064	OG0000007	n27								PSC69424.1 histone H2B [Micractinium conductrix]		
N8.HOG0000065	OG0000007	n29				PRW60378.1 histone H2B [Chlorella sorokiniana], PRW32979.1 Histone [Chlorella sorokiniana], PRW56968.1 Histone [Chlorella sorokiniana], PRW33072.1 Histone [Chlorella sorokiniana], PRW57308.1 Histone [Chlorella sorokiniana], PRW20324.1 Histone [Chlorella sorokiniana], PRW56937.1 Histone isoform A [Chlorella sorokiniana], PRW57408.1 Histone [Chlorella sorokiniana], PRW56936.1 Histone isoform B [Chlorella sorokiniana], PRW32997.1 Histone [Chlorella sorokiniana], PRW33046.1 Histone [Chlorella sorokiniana], PRW33081.1 Histone [Chlorella sorokiniana], PRW57429.1 Histone [Chlorella sorokiniana], PRW57107.1 Histone [Chlorella sorokiniana]				PSC75933.1 Histone [Micractinium conductrix], PSC73921.1 Histone [Micractinium conductrix], PSC71210.1 Histone [Micractinium conductrix], PSC72154.1 Histone [Micractinium conductrix], PSC71158.1 Histone [Micractinium conductrix], PSC72107.1 Histone [Micractinium conductrix], PSC72209.1 Histone [Micractinium conductrix], PSC72316.1 Histone [Micractinium conductrix], PSC71283.1 Histone [Micractinium conductrix], PSC68365.1 Histone [Micractinium conductrix], PSC68331.1 Histone [Micractinium conductrix], PSC72134.1 Histone [Micractinium conductrix], PSC72315.1 Histone [Micractinium conductrix]		
N8.HOG0000066	OG0000008	n12								PSC71213.1 Histone H4 [Micractinium conductrix]		
N8.HOG0000067	OG0000008	n32				PRW20318.1 Histone H4 [Chlorella sorokiniana]						
N8.HOG0000068	OG0000008	n35				PRW57322.1 Histone H4 [Chlorella sorokiniana]						
N8.HOG0000069	OG0000008	n37				PRW32931.1 Histone H4 isoform A [Chlorella sorokiniana]				PSC72060.1 Histone H4 [Micractinium conductrix]		
N8.HOG0000070	OG0000008	n39				PRW57296.1 Histone H4 [Chlorella sorokiniana]						
N8.HOG0000071	OG0000008	n40								PSC71092.1 Histone H4 [Micractinium conductrix]		
N8.HOG0000072	OG0000008	n41								PSC72143.1 Histone H4 [Micractinium conductrix]		
N8.HOG0000073	OG0000008	n42				PRW57363.1 Histone H4 [Chlorella sorokiniana]						
N8.HOG0000074	OG0000008	n44				PRW32923.1 Histone H4 [Chlorella sorokiniana]						
N8.HOG0000075	OG0000008	n45								PSC72347.1 Histone H4 [Micractinium conductrix]		
N8.HOG0000076	OG0000008	n47				PRW33065.1 Histone H4 [Chlorella sorokiniana]						
N8.HOG0000077	OG0000008	n48								PSC68363.1 Histone H4 [Micractinium conductrix]		
N8.HOG0000078	OG0000008	n50				PRW57495.1 Histone H4 [Chlorella sorokiniana]						
N8.HOG0000079	OG0000008	n52								PSC72279.1 Histone H4 [Micractinium conductrix]		
N8.HOG0000080	OG0000008	n54				PRW57273.1 Histone H4 [Chlorella sorokiniana]				PSC72277.1 Histone H4 [Micractinium conductrix]		
N8.HOG0000081	OG0000008	n56								PSC74522.1 Histone H4 [Micractinium conductrix]		
N8.HOG0000082	OG0000009	n1								PSC74521.1 Myb-related B isoform B [Micractinium conductrix], PSC74520.1 Myb-related B isoform C [Micractinium conductrix], PSC74519.1 Myb-related B isoform A [Micractinium conductrix]		
N8.HOG0000083	OG0000009	n12				PRW33000.1 hypothetical protein C2E21_8167 [Chlorella sorokiniana]						
N8.HOG0000084	OG0000009	n17								PSC69092.1 left border a [Micractinium conductrix]		
N8.HOG0000085	OG0000009	n18				PRW60004.1 polysaccharide deacetylase [Chlorella sorokiniana], PRW59662.1 polysaccharide deacetylase [Chlorella sorokiniana], PRW32546.1 polysaccharide deacetylase isoform B [Chlorella sorokiniana], PRW32547.1 polysaccharide deacetylase isoform A [Chlorella sorokiniana]				PSC73088.1 Polysaccharide deacetylase domain-containing [Micractinium conductrix]		
N8.HOG0000086	OG0000009	n30				PRW56954.1 polysaccharide deacetylase [Chlorella sorokiniana], PRW57102.1 hypothetical protein C2E21_4256 [Chlorella sorokiniana]				PSC70814.1 polysaccharide deacetylase [Micractinium conductrix]		
N8.HOG0000087	OG0000009	n35				PRW55946.1 polysaccharide deacetylase [Chlorella sorokiniana]				PSC71479.1 polysaccharide deacetylase [Micractinium conductrix]		
N8.HOG0000088	OG0000009	n39				PRW33708.1 polysaccharide deacetylase [Chlorella sorokiniana]				PSC76360.1 Polysaccharide deacetylase domain-containing [Micractinium conductrix]		
N8.HOG0000089	OG0000009	n42				PRW05840.1 hypothetical protein C2E21_9462 [Chlorella sorokiniana]				PSC74020.1 polysaccharide deacetylase [Micractinium conductrix]		
N8.HOG0000090	OG0000009	n44				PRW56282.1 hypothetical protein C2E21_4979 [Chlorella sorokiniana]				PSC69105.1 hypothetical protein C2E20_7356 [Micractinium conductrix]		
N8.HOG0000091	OG0000009	n50				PRW61361.1 left border a [Chlorella sorokiniana]				PSC74206.1 left border a [Micractinium conductrix]		
N8.HOG0000092	OG0000009	n54				PRW58939.1 hypothetical protein C2E21_2035 [Chlorella sorokiniana]				PSC77048.1 polysaccharide deacetylase [Micractinium conductrix]		
N8.HOG0000093	OG0000009	n58				PRW61372.1 polysaccharide deacetylase [Chlorella sorokiniana]				PSC74790.1 hypothetical protein C2E20_2386 [Micractinium conductrix]		
N8.HOG0000094	OG0000009	n67								PSC67809.1 ribonucleases P MRP subunit POP1 [Micractinium conductrix], PSC75877.1 left border a [Micractinium conductrix]		
