HOG	OG	Gene Tree Parent Clade	Auxenochlorella_protothecoides	Chlorella_A99	Chlorella_KRBP	Chlorella_Sorokiniana1602	Chlorella_VariabilisNC64A	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180	Scenedesmus_NREL	Scenedesmus_PABB004
N3.HOG0000010	OG0000004	n2									KAF6260400.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8073156.1 SPL3 [Scenedesmus sp. PABB004]
N3.HOG0000011	OG0000004	n12									KAF6264844.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000012	OG0000004	n32									KAF6261352.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250912.1 SBP domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3]	KAF8071295.1 SPL5 [Scenedesmus sp. PABB004]
N3.HOG0000013	OG0000004	n41									KAF6251709.1 hypothetical protein COO60DRAFT_1644723 [Scenedesmus sp. NREL 46B-D3]	KAF8071247.1 SPL14 [Scenedesmus sp. PABB004]
N3.HOG0000014	OG0000004	n44									KAF6262143.1 hypothetical protein COO60DRAFT_675428 [Scenedesmus sp. NREL 46B-D3], KAF6263211.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000015	OG0000004	n46									KAF6259815.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8073215.1 SPL8 [Scenedesmus sp. PABB004]
N3.HOG0000016	OG0000004	n47									KAF6250952.1 hypothetical protein COO60DRAFT_706206 [Scenedesmus sp. NREL 46B-D3]	KAF8073175.1 LG1 [Scenedesmus sp. PABB004], KAF8061149.1 SPL2 [Scenedesmus sp. PABB004], KAF8061148.1 SPL1 [Scenedesmus sp. PABB004]
N3.HOG0000017	OG0000004	n53									KAF6261110.1 hypothetical protein COO60DRAFT_1637014 [Scenedesmus sp. NREL 46B-D3], KAF6258175.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8055591.1 SPL7 [Scenedesmus sp. PABB004]
N3.HOG0000018	OG0000004	n55										KAF8057876.1 SPL3 [Scenedesmus sp. PABB004], KAF8057875.1 SPL3 [Scenedesmus sp. PABB004]
N3.HOG0000019	OG0000005	n7									KAF6246278.1 histone 2A variant [Scenedesmus sp. NREL 46B-D3]	KAF8062745.1 histone H2A variant 2 [Scenedesmus sp. PABB004]
N3.HOG0000020	OG0000005	n9									KAF6252076.1 hypothetical protein COO60DRAFT_1251114_ partial [Scenedesmus sp. NREL 46B-D3], KAF6252084.1 hypothetical protein COO60DRAFT_1257178_ partial [Scenedesmus sp. NREL 46B-D3], KAF6263025.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254739.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6240835.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8069675.1 Histone H2A-IV [Scenedesmus sp. PABB004], KAF8069689.1 Histone H2A-IV [Scenedesmus sp. PABB004], KAF8069662.1 Histone H2A-IV [Scenedesmus sp. PABB004]
N3.HOG0000021	OG0000005	n82									KAF6262800.1 histone-fold-containing protein_ partial [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000022	OG0000006	n0									KAF6263287.1 kinase-like domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6253127.1 hypothetical protein COO60DRAFT_1463350 [Scenedesmus sp. NREL 46B-D3]	KAF8069681.1 drkC [Scenedesmus sp. PABB004]
N3.HOG0000023	OG0000007	n0									KAF6252075.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6248398.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6252085.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253507.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253137.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253540.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253534.1 histone H2B type 1-C/E/F/G/I-like protein [Scenedesmus sp. NREL 46B-D3], KAF6240836.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6266598.1 putative histone [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000024	OG0000008	n71									KAF6248397.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8069673.1 Histone H4 [Scenedesmus sp. PABB004]
N3.HOG0000025	OG0000008	n72									KAF6253533.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8069657.1 Histone H4 [Scenedesmus sp. PABB004]
N3.HOG0000026	OG0000008	n73									KAF6248395.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8069678.1 Histone H4 [Scenedesmus sp. PABB004]
N3.HOG0000027	OG0000008	n74									KAF6252074.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8069686.1 Histone H4 [Scenedesmus sp. PABB004]
N3.HOG0000028	OG0000008	n75									KAF6253506.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8069659.1 Histone H4 [Scenedesmus sp. PABB004]
N3.HOG0000029	OG0000009	n1									KAF6254149.1 hypothetical protein COO60DRAFT_1703454 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000030	OG0000009	n66									KAF6250026.1 hypothetical protein COO60DRAFT_912941 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000031	OG0000009	n67									KAF6242295.1 hypothetical protein COO60DRAFT_206430 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000032	OG0000011	n21									KAF6265892.1 hypothetical protein COO60DRAFT_768059 [Scenedesmus sp. NREL 46B-D3], KAF6265889.1 hypothetical protein COO60DRAFT_1697568 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000033	OG0000011	n32									KAF6258193.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263888.1 hypothetical protein COO60DRAFT_308005 [Scenedesmus sp. NREL 46B-D3], KAF6255294.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255835.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266356.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6265430.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8066337.1 Map3k12 [Scenedesmus sp. PABB004]
N3.HOG0000034	OG0000011	n47									KAF6260297.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255539.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000035	OG0000011	n49									KAF6263742.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000036	OG0000011	n50									KAF6263821.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000037	OG0000011	n62									KAF6262439.1 hypothetical protein COO60DRAFT_627220 [Scenedesmus sp. NREL 46B-D3]	KAF8057650.1 DNA-directed RNA polymerase II subunit RPB7 [Scenedesmus sp. PABB004]
N3.HOG0000038	OG0000011	n64									KAF6262437.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8057640.1 HT1 [Scenedesmus sp. PABB004]
N3.HOG0000039	OG0000011	n65									KAF6237056.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8066284.1 Gucy1b1 [Scenedesmus sp. PABB004], KAF8072490.1 Map3k20 [Scenedesmus sp. PABB004]
N3.HOG0000040	OG0000011	n67									KAF6256414.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000041	OG0000012	n1										KAF8069656.1 histone H3 [Scenedesmus sp. PABB004], KAF8069687.1 histone H3 [Scenedesmus sp. PABB004]
N3.HOG0000042	OG0000012	n19										KAF8069677.1 histone H3 [Scenedesmus sp. PABB004]
N3.HOG0000043	OG0000012	n22										KAF8069660.1 histone H3 [Scenedesmus sp. PABB004]
N3.HOG0000044	OG0000012	n24										KAF8069674.1 histone H3 [Scenedesmus sp. PABB004]
N3.HOG0000045	OG0000012	n62									KAF6251374.1 histone H3.1-like protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000046	OG0000013	n4									KAF6252425.1 cobalt transport protein [Scenedesmus sp. NREL 46B-D3]	KAF8071107.1 ABCI12 [Scenedesmus sp. PABB004]
N3.HOG0000047	OG0000013	n8									KAF6250536.1 hypothetical protein COO60DRAFT_1629611 [Scenedesmus sp. NREL 46B-D3], KAF6248250.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000048	OG0000013	n12									KAF6263511.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263514.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250539.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257324.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255583.1 Snf1-like ser/thr protein kinase [Scenedesmus sp. NREL 46B-D3]	KAF8060557.1 SRK2G [Scenedesmus sp. PABB004]
N3.HOG0000049	OG0000013	n27									KAF6258910.1 Snf1-like protein kinase [Scenedesmus sp. NREL 46B-D3]	KAF8069392.1 SRK2A [Scenedesmus sp. PABB004]
N3.HOG0000050	OG0000013	n55									KAF6262199.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256418.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000051	OG0000013	n58									KAF6256672.1 Rab3 GTPase-activating protein catalytic subunit-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000052	OG0000014	n2									KAF6256541.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000053	OG0000014	n9									KAF6264995.1 hypothetical protein COO60DRAFT_1698077 [Scenedesmus sp. NREL 46B-D3]	KAF8070918.1 PCKR1 [Scenedesmus sp. PABB004]
N3.HOG0000054	OG0000014	n19									KAF6259760.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8061127.1 CYP20-1 [Scenedesmus sp. PABB004]
N3.HOG0000055	OG0000014	n32									KAF6258195.1 cyclophilin-type peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. NREL 46B-D3]	KAF8055596.1 peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. PABB004]
N3.HOG0000056	OG0000014	n40									KAF6252787.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000057	OG0000014	n41									KAF6253704.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250553.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8066173.1 hypothetical protein HT031_002495 [Scenedesmus sp. PABB004]
N3.HOG0000058	OG0000014	n51									KAF6252786.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6236267.1 NDH subunit PnsL5_ partial [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000059	OG0000014	n56									KAF6250332.1 putative peptidyl-prolyl cis-trans isomerase chloroplast precursor [Scenedesmus sp. NREL 46B-D3], KAF6259651.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000060	OG0000015	n5										KAF8064658.1 LINE-1 retrotransposable element ORF2 protein [Scenedesmus sp. PABB004]
N3.HOG0000061	OG0000015	n56									KAF6251559.1 hypothetical protein COO60DRAFT_1644892 [Scenedesmus sp. NREL 46B-D3]	KAF8062788.1 transposon TX1 protein [Scenedesmus sp. PABB004]
N3.HOG0000062	OG0000016	n1									KAF6257509.1 mitochondrial carrier domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8073145.1 NDT1 [Scenedesmus sp. PABB004]
N3.HOG0000063	OG0000016	n12										KAF8061345.1 UBQ10 [Scenedesmus sp. PABB004]
N3.HOG0000064	OG0000016	n14									KAF6265710.1 polyubiquitin [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000065	OG0000016	n17									KAF6255339.1 bi-ubiquitin [Scenedesmus sp. NREL 46B-D3]	KAF8061910.1 RUB1 [Scenedesmus sp. PABB004]
N3.HOG0000066	OG0000016	n28									KAF6264040.1 ubiquitin-like protein 1 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000067	OG0000016	n29									KAF6264957.1 hypothetical protein COO60DRAFT_1634011 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000068	OG0000016	n34									KAF6256916.1 hypothetical protein COO60DRAFT_1640361 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000069	OG0000016	n39									KAF6262261.1 ubiquitin extension protein [Scenedesmus sp. NREL 46B-D3]	KAF8056382.1 UBI3 [Scenedesmus sp. PABB004]
N3.HOG0000070	OG0000016	n47										KAF8064496.1 SDE2 [Scenedesmus sp. PABB004]
N3.HOG0000071	OG0000017	n0									KAF6249604.1 hypothetical protein COO60DRAFT_944372 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000072	OG0000018	n1									KAF6252740.1 hypothetical protein COO60DRAFT_502322 [Scenedesmus sp. NREL 46B-D3], KAF6253083.1 hypothetical protein COO60DRAFT_469421 [Scenedesmus sp. NREL 46B-D3]	KAF8067115.1 MYB98 [Scenedesmus sp. PABB004]
N3.HOG0000073	OG0000018	n14									KAF6259699.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000074	OG0000018	n18									KAF6262542.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6256388.1 hypothetical protein COO60DRAFT_115932 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000075	OG0000018	n25									KAF6253755.1 hypothetical protein COO60DRAFT_391601 [Scenedesmus sp. NREL 46B-D3], KAF6254518.1 Homeodomain-like protein_ partial [Scenedesmus sp. NREL 46B-D3]	KAF8057715.1 MYB118 [Scenedesmus sp. PABB004]
N3.HOG0000076	OG0000018	n34									KAF6260264.1 c-myb-like transcription factor [Scenedesmus sp. NREL 46B-D3], KAF6255543.1 hypothetical protein COO60DRAFT_204648 [Scenedesmus sp. NREL 46B-D3]	KAF8065600.1 hypothetical protein HT031_003201 [Scenedesmus sp. PABB004]
N3.HOG0000077	OG0000018	n48									KAF6263245.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3]	KAF8056861.1 MYB44 [Scenedesmus sp. PABB004]
N3.HOG0000078	OG0000018	n49									KAF6251055.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3]	KAF8058933.1 MYB73 [Scenedesmus sp. PABB004]
N3.HOG0000079	OG0000020	n1									KAF6258882.1 hypothetical protein COO60DRAFT_1626305 [Scenedesmus sp. NREL 46B-D3], KAF6258884.1 hexose transporter-like protein [Scenedesmus sp. NREL 46B-D3], KAF6250807.1 sugar carrier protein A [Scenedesmus sp. NREL 46B-D3], KAF6258859.1 sugar carrier protein A [Scenedesmus sp. NREL 46B-D3], KAF6258883.1 glucose transporter_ partial [Scenedesmus sp. NREL 46B-D3], KAF6252072.1 general substrate transporter [Scenedesmus sp. NREL 46B-D3], KAF6258857.1 hypothetical protein COO60DRAFT_1295122 [Scenedesmus sp. NREL 46B-D3], KAF6256200.1 general substrate transporter_ partial [Scenedesmus sp. NREL 46B-D3], KAF6260004.1 monosaccharide transporter-like protein [Scenedesmus sp. NREL 46B-D3], KAF6263304.1 general substrate transporter [Scenedesmus sp. NREL 46B-D3], KAF6251354.1 hexose transporter [Scenedesmus sp. NREL 46B-D3]	KAF8065876.1 STP13 [Scenedesmus sp. PABB004]
N3.HOG0000080	OG0000020	n13									KAF6261082.1 hypothetical protein COO60DRAFT_1637118 [Scenedesmus sp. NREL 46B-D3], KAF6256201.1 hypothetical protein COO60DRAFT_1640881 [Scenedesmus sp. NREL 46B-D3], KAF6258856.1 hypothetical protein COO60DRAFT_1626293 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000081	OG0000022	n2									KAF6260294.1 hypothetical protein COO60DRAFT_1700405 [Scenedesmus sp. NREL 46B-D3]	KAF8060321.1 ANK3 [Scenedesmus sp. PABB004]
N3.HOG0000082	OG0000022	n7									KAF6252249.1 ankyrin repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000083	OG0000022	n37									KAF6256740.1 hypothetical protein COO60DRAFT_1527996 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000084	OG0000023	n1									KAF6249474.1 hypothetical protein COO60DRAFT_968441 [Scenedesmus sp. NREL 46B-D3], KAF6261206.1 hypothetical protein COO60DRAFT_801690 [Scenedesmus sp. NREL 46B-D3]	KAF8058078.1 zinc finger CCCH domain-containing protein 2 [Scenedesmus sp. PABB004]
N3.HOG0000085	OG0000023	n18									KAF6253365.1 hypothetical protein COO60DRAFT_1273755 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000086	OG0000023	n22									KAF6262812.1 hypothetical protein COO60DRAFT_1493981 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000087	OG0000023	n39									KAF6257256.1 hypothetical protein COO60DRAFT_25223 [Scenedesmus sp. NREL 46B-D3]	KAF8065783.1 zZinc finger CCCH domain-containing protein 33 [Scenedesmus sp. PABB004]
N3.HOG0000088	OG0000023	n40									KAF6253645.1 hypothetical protein COO60DRAFT_1703722 [Scenedesmus sp. NREL 46B-D3]	KAF8073124.1 Zinc finger CCCH domain-containing protein 2 [Scenedesmus sp. PABB004]
N3.HOG0000089	OG0000023	n41									KAF6262342.1 hypothetical protein COO60DRAFT_1268220 [Scenedesmus sp. NREL 46B-D3]	KAF8059146.1 TZF6 [Scenedesmus sp. PABB004]
N3.HOG0000090	OG0000023	n43									KAF6263383.1 hypothetical protein COO60DRAFT_1267608 [Scenedesmus sp. NREL 46B-D3]	KAF8066358.1 zinc finger CCCH domain-containing protein 50 [Scenedesmus sp. PABB004]
N3.HOG0000091	OG0000023	n44									KAF6258807.1 hypothetical protein COO60DRAFT_1083841 [Scenedesmus sp. NREL 46B-D3]	KAF8060494.1 zinc finger CCCH domain-containing protein 50 [Scenedesmus sp. PABB004], KAF8061961.1 zinc finger CCCH domain-containing protein 50 [Scenedesmus sp. PABB004]
N3.HOG0000092	OG0000023	n46									KAF6260304.1 hypothetical protein COO60DRAFT_1269534_ partial [Scenedesmus sp. NREL 46B-D3], KAF6256220.1 hypothetical protein COO60DRAFT_135613 [Scenedesmus sp. NREL 46B-D3]	KAF8065569.1 zZinc finger CCCH domain-containing protein 33 [Scenedesmus sp. PABB004]
N3.HOG0000093	OG0000024	n1									KAF6259892.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]	KAF8058934.1 hypothetical protein HT031_005502 [Scenedesmus sp. PABB004]
N3.HOG0000094	OG0000024	n5									KAF6250510.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252011.1 subtilase [Scenedesmus sp. NREL 46B-D3]	KAF8059396.1 subtilisin-like protein [Scenedesmus sp. PABB004], KAF8056848.1 Thermophilic serine proteinase [Scenedesmus sp. PABB004]
N3.HOG0000095	OG0000025	n10									KAF6261295.1 CheY-like superfamily [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000096	OG0000025	n16									KAF6259594.1 hypothetical protein COO60DRAFT_996241 [Scenedesmus sp. NREL 46B-D3]	KAF8069372.1 PHR1 [Scenedesmus sp. PABB004]
N3.HOG0000097	OG0000025	n25									KAF6253158.1 Homeodomain-like protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6257170.1 Homeodomain-like protein_ partial [Scenedesmus sp. NREL 46B-D3]	KAF8058903.1 hypothetical protein HT031_005471 [Scenedesmus sp. PABB004]
N3.HOG0000098	OG0000025	n33									KAF6266106.1 hypothetical protein COO60DRAFT_1697463 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000099	OG0000025	n39									KAF6252940.1 hypothetical protein COO60DRAFT_481024 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000100	OG0000026	n2									KAF6258814.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]	KAF8061965.1 hypothetical protein HT031_004225 [Scenedesmus sp. PABB004]
N3.HOG0000101	OG0000026	n8									KAF6252797.1 hypothetical protein COO60DRAFT_1628447 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000102	OG0000028	n0									KAF6262142.1 hypothetical protein COO60DRAFT_675402 [Scenedesmus sp. NREL 46B-D3]	KAF8071329.1 hypothetical protein HT031_001412 [Scenedesmus sp. PABB004]
N3.HOG0000103	OG0000029	n2										KAF8060533.1 EXPA15 [Scenedesmus sp. PABB004]
N3.HOG0000104	OG0000029	n7									KAF6259608.1 hypothetical protein COO60DRAFT_1460106 [Scenedesmus sp. NREL 46B-D3]	KAF8069379.1 EXPA2 [Scenedesmus sp. PABB004]
N3.HOG0000105	OG0000029	n15									KAF6254548.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8065858.1 EXPA32 [Scenedesmus sp. PABB004]
N3.HOG0000106	OG0000029	n16									KAF6251812.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8072813.1 EXPA15 [Scenedesmus sp. PABB004]
N3.HOG0000107	OG0000029	n17									KAF6253955.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266133.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8055747.1 hypothetical protein HT031_006651 [Scenedesmus sp. PABB004]
N3.HOG0000108	OG0000029	n21									KAF6253957.1 histidine phosphatase superfamily [Scenedesmus sp. NREL 46B-D3]	KAF8055096.1 2-carboxy-D-arabinitol-1-phosphatase [Scenedesmus sp. PABB004]
N3.HOG0000109	OG0000029	n24									KAF6265353.1 hypothetical protein COO60DRAFT_1689872 [Scenedesmus sp. NREL 46B-D3], KAF6265352.1 hypothetical protein COO60DRAFT_1457214 [Scenedesmus sp. NREL 46B-D3], KAF6262470.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262467.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0000110	OG0000029	n37									KAF6260259.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266518.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266519.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266517.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8073002.1 hypothetical protein HT031_000662 [Scenedesmus sp. PABB004]
