Orthogroup	Auxenochlorella_protothecoides	Micractinium_SAG24180
OG0000008	RMZ52519.1 hypothetical protein APUTEX25_003662 [Auxenochlorella protothecoides], RMZ55557.1 hypothetical protein APUTEX25_000140 [Auxenochlorella protothecoides]	PSC68336.1 Histone H4 [Micractinium conductrix]
OG0000008	RMZ54872.1 hypothetical protein APUTEX25_000389 [Auxenochlorella protothecoides]	PSC68363.1 Histone H4 [Micractinium conductrix]
OG0000008	RMZ52774.1 hypothetical protein APUTEX25_000893 [Auxenochlorella protothecoides]	PSC72279.1 Histone H4 [Micractinium conductrix]
OG0000009	RMZ53398.1 hypothetical protein APUTEX25_004886 [Auxenochlorella protothecoides]	PSC67809.1 ribonucleases P MRP subunit POP1 [Micractinium conductrix], PSC75877.1 left border a [Micractinium conductrix]
OG0000013	RMZ57357.1 hypothetical protein APUTEX25_004191 [Auxenochlorella protothecoides]	PSC70880.1 sulfur stress regulator [Micractinium conductrix]
OG0000013	RMZ57701.1 hypothetical protein APUTEX25_001901_ partial [Auxenochlorella protothecoides]	PSC67849.1 hypothetical protein C2E20_8527 [Micractinium conductrix]
OG0000014	RMZ54969.1 hypothetical protein APUTEX25_000486_ partial [Auxenochlorella protothecoides]	PSC69049.1 peptidyl-prolyl cis-trans isomerase [Micractinium conductrix]
OG0000014	RMZ57118.1 hypothetical protein APUTEX25_002350 [Auxenochlorella protothecoides]	PSC73928.1 peptidyl-prolyl cis-trans isomerase [Micractinium conductrix]
OG0000014	RMZ52047.1 hypothetical protein APUTEX25_001241 [Auxenochlorella protothecoides]	PSC72208.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Micractinium conductrix]
OG0000014	RMZ53818.1 hypothetical protein APUTEX25_003957_ partial [Auxenochlorella protothecoides]	PSC76324.1 peptidyl-prolyl cis-trans isomerase B [Micractinium conductrix], PSC72104.1 photosynthetic NDH subunit of lumenal location chloroplastic [Micractinium conductrix]
OG0000016	RMZ52516.1 hypothetical protein APUTEX25_003659 [Auxenochlorella protothecoides]	PSC75488.1 polyubiquitin [Micractinium conductrix]
OG0000016	RMZ57375.1 hypothetical protein APUTEX25_004209 [Auxenochlorella protothecoides]	PSC67370.1 bi-major isoform [Micractinium conductrix]
OG0000016	RMZ54238.1 hypothetical protein APUTEX25_000589 [Auxenochlorella protothecoides]	PSC72465.1 SDE2-like protein [Micractinium conductrix]
OG0000018	RMZ56462.1 hypothetical protein APUTEX25_004685 [Auxenochlorella protothecoides]	PSC71636.1 transcription factor MYB98-like [Micractinium conductrix]
OG0000018	RMZ56882.1 hypothetical protein APUTEX25_002971_ partial [Auxenochlorella protothecoides]	PSC74728.1 Myb A [Micractinium conductrix]
OG0000020	RMZ57168.1 hypothetical protein APUTEX25_004002 [Auxenochlorella protothecoides], RMZ53879.1 hypothetical protein APUTEX25_005625_ partial [Auxenochlorella protothecoides], RMZ52155.1 hypothetical protein APUTEX25_001545 [Auxenochlorella protothecoides]	PSC76169.1 H_+_ hexose cotransporter 2 [Micractinium conductrix], PSC74047.1 H_+_ hexose cotransporter 2 isoform C [Micractinium conductrix], PSC74046.1 H_+_ hexose cotransporter 2 isoform A [Micractinium conductrix], PSC74048.1 H_+_ hexose cotransporter 2 isoform B [Micractinium conductrix], PSC74912.1 H_+_ hexose cotransporter 2 [Micractinium conductrix], PSC76673.1 H_+_ hexose cotransporter 2 [Micractinium conductrix]
OG0000023	RMZ56859.1 hypothetical protein APUTEX25_002948_ partial [Auxenochlorella protothecoides]	PSC75384.1 zinc finger CCCH domain-containing 66-like [Micractinium conductrix]
OG0000023	RMZ54038.1 hypothetical protein APUTEX25_002615_ partial [Auxenochlorella protothecoides]	PSC76370.1 Prolyl 4-hydroxylase subunit alpha-2 [Micractinium conductrix]
OG0000024	RMZ52930.1 hypothetical protein APUTEX25_001049_ partial [Auxenochlorella protothecoides]	PSC68481.1 subtilisin-like serine protease [Micractinium conductrix], PSC71480.1 subtilisin-like serine protease [Micractinium conductrix], PSC71786.1 peptidase S8 [Micractinium conductrix], PSC71832.1 peptidase S8 [Micractinium conductrix], PSC74435.1 Extracellular basic protease [Micractinium conductrix], PSC71482.1 alkaline serine protease [Micractinium conductrix], PSC76977.1 peptidase S8 [Micractinium conductrix]
OG0000025	RMZ54574.1 hypothetical protein APUTEX25_002149_ partial [Auxenochlorella protothecoides]	PSC72439.1 Myb family transcription factor APL [Micractinium conductrix]
OG0000025	RMZ52951.1 hypothetical protein APUTEX25_001070 [Auxenochlorella protothecoides]	PSC69534.1 Two-component response regulator ARR14 isoform 1 [Micractinium conductrix]
OG0000026	RMZ52180.1 hypothetical protein APUTEX25_001570 [Auxenochlorella protothecoides]	PSC74002.1 Ccr4p [Micractinium conductrix]
OG0000026	RMZ57625.1 hypothetical protein APUTEX25_001825 [Auxenochlorella protothecoides]	PSC74992.1 Sn1-specific diacylglycerol lipase beta [Micractinium conductrix]
OG0000027	RMZ52838.1 hypothetical protein APUTEX25_000957 [Auxenochlorella protothecoides]	PSC76714.1 serine threonine-kinase [Micractinium conductrix]
OG0000027	RMZ56507.1 hypothetical protein APUTEX25_001354_ partial [Auxenochlorella protothecoides]	PSC68500.1 serine threonine-kinase [Micractinium conductrix], PSC68562.1 serine threonine-kinase [Micractinium conductrix]
OG0000028	RMZ53801.1 hypothetical protein APUTEX25_003940 [Auxenochlorella protothecoides]	PSC71672.1 hypothetical protein C2E20_4858 [Micractinium conductrix], PSC72252.1 ankyrin repeat PH and SEC7 domain containing [Micractinium conductrix], PSC68771.1 ankyrin repeat PH and SEC7 domain containing [Micractinium conductrix], PSC72679.1 hypothetical protein C2E20_4057 [Micractinium conductrix], PSC74578.1 ankyrin repeat domain [Micractinium conductrix], PSC73592.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Micractinium conductrix]
OG0000029	RMZ54167.1 hypothetical protein APUTEX25_005323 [Auxenochlorella protothecoides]	PSC67656.1 U6 snRNA phosphodiesterase [Micractinium conductrix], PSC67673.1 U6 snRNA phosphodiesterase [Micractinium conductrix], PSC67670.1 U6 snRNA phosphodiesterase [Micractinium conductrix]
OG0000031	RMZ52494.1 hypothetical protein APUTEX25_003637 [Auxenochlorella protothecoides]	PSC76428.1 cytochrome P450 isoform A [Micractinium conductrix], PSC76426.1 cytochrome P450 isoform B [Micractinium conductrix], PSC76427.1 cytochrome P450 isoform C [Micractinium conductrix]
OG0000035	RMZ53240.1 hypothetical protein APUTEX25_005229 [Auxenochlorella protothecoides]	PSC68386.1 3-ketoacyl-synthase 11-like [Micractinium conductrix]
OG0000035	RMZ56375.1 hypothetical protein APUTEX25_004732_ partial [Auxenochlorella protothecoides]	PSC74991.1 very-long-chain 3-ketoacyl-synthase [Micractinium conductrix], PSC75078.1 3-ketoacyl-synthase 20-like [Micractinium conductrix]
OG0000036	RMZ53707.1 hypothetical protein APUTEX25_003241 [Auxenochlorella protothecoides]	PSC70592.1 kinase [Micractinium conductrix]
OG0000037	RMZ56229.1 hypothetical protein APUTEX25_002419 [Auxenochlorella protothecoides]	PSC70558.1 Chlorophyll a-b binding chloroplastic [Micractinium conductrix]
OG0000037	RMZ53830.1 hypothetical protein APUTEX25_003969_ partial [Auxenochlorella protothecoides]	PSC74553.1 chlorophyll a b-binding [Micractinium conductrix]
OG0000038	RMZ55544.1 hypothetical protein APUTEX25_000127_ partial [Auxenochlorella protothecoides]	PSC74255.1 pp1a replicase poly [Micractinium conductrix], PSC71330.1 beta-1_6-N-acetylglucosaminyltransferase enzyme [Micractinium conductrix], PSC67186.1 beta-1_6-N-acetylglucosaminyltransferase enzyme [Micractinium conductrix], PSC67183.1 beta-1_6-N-acetylglucosaminyltransferase enzyme [Micractinium conductrix]
OG0000038	RMZ55519.1 hypothetical protein APUTEX25_000102 [Auxenochlorella protothecoides]	PSC73532.1 Transcription initiation factor TFIID subunit 13 [Micractinium conductrix]
OG0000043	RMZ57650.1 hypothetical protein APUTEX25_001850_ partial [Auxenochlorella protothecoides]	PSC73588.1 putative alpha-glucosidase isoform X1 [Micractinium conductrix], PSC70424.1 alpha-xylosidase 1 [Micractinium conductrix]
OG0000044	RMZ56035.1 hypothetical protein APUTEX25_004459 [Auxenochlorella protothecoides], RMZ52121.1 hypothetical protein APUTEX25_003608 [Auxenochlorella protothecoides]	PSC68320.1 retroelement pol poly [Micractinium conductrix]
OG0000045	RMZ52023.1 hypothetical protein APUTEX25_001217_ partial [Auxenochlorella protothecoides]	PSC69377.1 ATP-binding cassette transporter isoform A [Micractinium conductrix], PSC69376.1 ATP-binding cassette transporter isoform B [Micractinium conductrix]
OG0000045	RMZ55942.1 hypothetical protein APUTEX25_004366 [Auxenochlorella protothecoides]	PSC68161.1 Pleiotropic drug resistance 15 [Micractinium conductrix]
OG0000046	RMZ53206.1 hypothetical protein APUTEX25_005195_ partial [Auxenochlorella protothecoides]	PSC69555.1 serine threonine-kinase [Micractinium conductrix], PSC74771.1 serine threonine-kinase [Micractinium conductrix], PSC74773.1 putative LRR receptor-like serine threonine-kinase [Micractinium conductrix], PSC75307.1 Serine threonine-kinase CTR1 [Micractinium conductrix], PSC67144.1 Serine threonine-kinase CTR1 [Micractinium conductrix], PSC75471.1 surface antigen [Micractinium conductrix], PSC76706.1 exostosin-like glycosyltransferase isoform B [Micractinium conductrix], PSC76704.1 exostosin-like glycosyltransferase isoform C [Micractinium conductrix], PSC70368.1 serine threonine-kinase [Micractinium conductrix]
OG0000048	RMZ57813.1 hypothetical protein APUTEX25_003429_ partial [Auxenochlorella protothecoides]	PSC69304.1 protein TPLATE [Micractinium conductrix]
OG0000049	RMZ56843.1 hypothetical protein APUTEX25_002932 [Auxenochlorella protothecoides]	PSC75423.1 ubiquitin-like-specific protease 2A [Micractinium conductrix]
OG0000049	RMZ55633.1 hypothetical protein APUTEX25_000216_ partial [Auxenochlorella protothecoides]	PSC71619.1 translation initiation factor fusion with methylthioribose kinase [Micractinium conductrix]
OG0000050	RMZ55912.1 hypothetical protein APUTEX25_004336 [Auxenochlorella protothecoides]	PSC74666.1 UPF0187 chloroplastic [Micractinium conductrix], PSC76825.1 UPF0187 chloroplastic [Micractinium conductrix], PSC67432.1 UPF0187 chloroplastic [Micractinium conductrix], PSC74369.1 UPF0187 chloroplastic [Micractinium conductrix], PSC75582.1 UPF0187 chloroplastic [Micractinium conductrix], PSC75313.1 hypothetical protein C2E20_1391 [Micractinium conductrix], PSC75458.1 UPF0187 chloroplastic [Micractinium conductrix]
OG0000051	RMZ54646.1 hypothetical protein APUTEX25_003024 [Auxenochlorella protothecoides]	PSC75850.1 MATE efflux family [Micractinium conductrix]
OG0000051	RMZ53475.1 hypothetical protein APUTEX25_003297_ partial [Auxenochlorella protothecoides]	PSC70081.1 MATE efflux family [Micractinium conductrix], PSC70154.1 MATE efflux family [Micractinium conductrix], PSC71531.1 MATE efflux family [Micractinium conductrix]
OG0000052	RMZ53869.1 hypothetical protein APUTEX25_005615 [Auxenochlorella protothecoides]	PSC70432.1 zinc finger protein [Micractinium conductrix]
OG0000054	RMZ52985.1 hypothetical protein APUTEX25_001104_ partial [Auxenochlorella protothecoides], RMZ55166.1 hypothetical protein APUTEX25_005444 [Auxenochlorella protothecoides]	PSC76705.1 exostosin-like glycosyltransferase isoform A [Micractinium conductrix], PSC76197.1 exostosin-like glycosyltransferase [Micractinium conductrix], PSC76549.1 exostosin-like glycosyltransferase [Micractinium conductrix], PSC72923.1 exostosin-like glycosyltransferase [Micractinium conductrix]
OG0000055	RMZ54002.1 hypothetical protein APUTEX25_002579_ partial [Auxenochlorella protothecoides]	PSC77032.1 Pentatricopeptide repeat-containing [Micractinium conductrix]
OG0000059	RMZ55038.1 hypothetical protein APUTEX25_005664 [Auxenochlorella protothecoides]	PSC71846.1 putative GTP-binding [Micractinium conductrix]
OG0000059	RMZ53302.1 hypothetical protein APUTEX25_004790 [Auxenochlorella protothecoides]	PSC69152.1 cobalamin biosynthesis [Micractinium conductrix]
OG0000059	RMZ52433.1 hypothetical protein APUTEX25_000012_ partial [Auxenochlorella protothecoides]	PSC73198.1 zinc metalloprotease [Micractinium conductrix]
OG0000060	RMZ52705.1 hypothetical protein APUTEX25_000824_ partial [Auxenochlorella protothecoides]	PSC71834.1 LOV domain-containing isoform A [Micractinium conductrix], PSC71833.1 LOV domain-containing isoform B [Micractinium conductrix], PSC73702.1 LOV domain-containing [Micractinium conductrix]
OG0000060	RMZ55290.1 hypothetical protein APUTEX25_003773_ partial [Auxenochlorella protothecoides]	PSC71674.1 hypothetical protein C2E20_4892 [Micractinium conductrix]
OG0000062	RMZ54008.1 hypothetical protein APUTEX25_002585_ partial [Auxenochlorella protothecoides]	PSC67528.1 Penta-EF hand domain-containing 1 isoform B [Micractinium conductrix], PSC67529.1 Penta-EF hand domain-containing 1 isoform A [Micractinium conductrix], PSC67527.1 Penta-EF hand domain-containing 1 isoform C [Micractinium conductrix], PSC67537.1 Coiled-coil domain-containing 40 [Micractinium conductrix]
OG0000063	RMZ54150.1 hypothetical protein APUTEX25_005306 [Auxenochlorella protothecoides]	PSC69773.1 Peroxisomal membrane PEX14 [Micractinium conductrix]
OG0000064	RMZ54709.1 hypothetical protein APUTEX25_003087 [Auxenochlorella protothecoides]	PSC70224.1 translation initiation factor IF-chloroplastic [Micractinium conductrix], PSC75863.1 translation initiation factor [Micractinium conductrix]
OG0000064	RMZ57318.1 hypothetical protein APUTEX25_004152 [Auxenochlorella protothecoides]	PSC74717.1 cullin 4 [Micractinium conductrix]
OG0000064	RMZ54652.1 hypothetical protein APUTEX25_003030 [Auxenochlorella protothecoides]	PSC70166.1 cullin 3 [Micractinium conductrix]
OG0000065	RMZ55168.1 hypothetical protein APUTEX25_005446 [Auxenochlorella protothecoides]	PSC69988.1 GPR1 FUN34 yaaH protein [Micractinium conductrix], PSC70112.1 GPR1 FUN34 yaaH protein [Micractinium conductrix]
OG0000065	RMZ54882.1 hypothetical protein APUTEX25_000399 [Auxenochlorella protothecoides]	PSC72052.1 Inner membrane [Micractinium conductrix], PSC71970.1 Inner membrane [Micractinium conductrix], PSC71926.1 Inner membrane [Micractinium conductrix], PSC68974.1 cation symporter [Micractinium conductrix]
OG0000066	RMZ56540.1 hypothetical protein APUTEX25_001387 [Auxenochlorella protothecoides]	PSC74031.1 MFS transporter isoform A [Micractinium conductrix], PSC74030.1 MFS transporter isoform B [Micractinium conductrix]
OG0000069	RMZ52481.1 hypothetical protein APUTEX25_003624 [Auxenochlorella protothecoides]	PSC75952.1 heat shock 83 [Micractinium conductrix]
OG0000069	RMZ52692.1 hypothetical protein APUTEX25_000811_ partial [Auxenochlorella protothecoides]	PSC74731.1 heat shock 90C [Micractinium conductrix]
OG0000069	RMZ53095.1 hypothetical protein APUTEX25_002504 [Auxenochlorella protothecoides]	PSC75445.1 endoplasmin-like protein [Micractinium conductrix]
OG0000070	RMZ52856.1 hypothetical protein APUTEX25_000975 [Auxenochlorella protothecoides]	PSC73713.1 squamosa promoter-binding 11 [Micractinium conductrix]
OG0000070	RMZ53469.1 hypothetical protein APUTEX25_003291_ partial [Auxenochlorella protothecoides]	PSC69222.1 dihydrolipoamide succinyltransferase [Micractinium conductrix]
OG0000071	RMZ54148.1 hypothetical protein APUTEX25_005304 [Auxenochlorella protothecoides]	PSC73989.1 CAMK CAMK1 kinase [Micractinium conductrix]
OG0000072	RMZ54387.1 hypothetical protein APUTEX25_001963 [Auxenochlorella protothecoides]	PSC74857.1 beta-Ig-H3 fasciclin [Micractinium conductrix]
OG0000073	RMZ54907.1 hypothetical protein APUTEX25_000424_ partial [Auxenochlorella protothecoides]	PSC68631.1 hypothetical protein C2E20_7797 [Micractinium conductrix]
OG0000074	RMZ55613.1 hypothetical protein APUTEX25_000196 [Auxenochlorella protothecoides]	PSC74182.1 UPF0160 -like [Micractinium conductrix]
OG0000078	RMZ56534.1 hypothetical protein APUTEX25_001381 [Auxenochlorella protothecoides]	PSC70696.1 phosphofructokinase family [Micractinium conductrix]
OG0000078	RMZ52490.1 hypothetical protein APUTEX25_003633_ partial [Auxenochlorella protothecoides]	PSC69047.1 phosphofructokinase family [Micractinium conductrix]
OG0000079	RMZ57222.1 hypothetical protein APUTEX25_004056 [Auxenochlorella protothecoides]	PSC74693.1 heat shock 70 [Micractinium conductrix]
OG0000079	RMZ53096.1 hypothetical protein APUTEX25_002505 [Auxenochlorella protothecoides]	PSC75643.1 luminal-binding 5 [Micractinium conductrix]
