Orthogroup	Auxenochlorella_protothecoides	Chlorella_Vulgaris2111P
OG0000018	RMZ57669.1 hypothetical protein APUTEX25_001869 [Auxenochlorella protothecoides]	KAI3426390.1 hypothetical protein D9Q98_008761 [Chlorella vulgaris]
OG0000020	RMZ57168.1 hypothetical protein APUTEX25_004002 [Auxenochlorella protothecoides], RMZ53879.1 hypothetical protein APUTEX25_005625_ partial [Auxenochlorella protothecoides], RMZ52155.1 hypothetical protein APUTEX25_001545 [Auxenochlorella protothecoides]	KAI3433312.1 hypothetical protein D9Q98_003130 [Chlorella vulgaris], KAI3425243.1 hypothetical protein D9Q98_009011 [Chlorella vulgaris], KAI3425251.1 hypothetical protein D9Q98_009019 [Chlorella vulgaris]
OG0000021	RMZ55277.1 hypothetical protein APUTEX25_005555 [Auxenochlorella protothecoides], RMZ56751.1 hypothetical protein APUTEX25_002840 [Auxenochlorella protothecoides], RMZ53358.1 hypothetical protein APUTEX25_004846 [Auxenochlorella protothecoides], RMZ53351.1 hypothetical protein APUTEX25_004839 [Auxenochlorella protothecoides], RMZ52458.1 hypothetical protein APUTEX25_000037 [Auxenochlorella protothecoides], RMZ52263.1 hypothetical protein APUTEX25_001653_ partial [Auxenochlorella protothecoides], RMZ56137.1 hypothetical protein APUTEX25_004561_ partial [Auxenochlorella protothecoides], RMZ56587.1 hypothetical protein APUTEX25_003497_ partial [Auxenochlorella protothecoides], RMZ55278.1 hypothetical protein APUTEX25_005556_ partial [Auxenochlorella protothecoides], RMZ56148.1 hypothetical protein APUTEX25_004572_ partial [Auxenochlorella protothecoides], RMZ56950.1 hypothetical protein APUTEX25_005012_ partial [Auxenochlorella protothecoides], RMZ57038.1 hypothetical protein APUTEX25_002270_ partial [Auxenochlorella protothecoides], RMZ52304.1 hypothetical protein APUTEX25_001920 [Auxenochlorella protothecoides], RMZ53039.1 hypothetical protein APUTEX25_001158 [Auxenochlorella protothecoides], RMZ53927.1 hypothetical protein APUTEX25_004952_ partial [Auxenochlorella protothecoides], RMZ55601.1 hypothetical protein APUTEX25_000184 [Auxenochlorella protothecoides], RMZ55564.1 hypothetical protein APUTEX25_000147 [Auxenochlorella protothecoides], RMZ52164.1 hypothetical protein APUTEX25_001554 [Auxenochlorella protothecoides], RMZ54026.1 hypothetical protein APUTEX25_002603 [Auxenochlorella protothecoides], RMZ52575.1 hypothetical protein APUTEX25_003718_ partial [Auxenochlorella protothecoides], RMZ56947.1 hypothetical protein APUTEX25_005009_ partial [Auxenochlorella protothecoides], RMZ52071.1 hypothetical protein APUTEX25_001265_ partial [Auxenochlorella protothecoides], RMZ55558.1 hypothetical protein APUTEX25_000141 [Auxenochlorella protothecoides], RMZ54560.1 hypothetical protein APUTEX25_002135_ partial [Auxenochlorella protothecoides], RMZ53719.1 hypothetical protein APUTEX25_003253_ partial [Auxenochlorella protothecoides], RMZ54728.1 hypothetical protein APUTEX25_003106 [Auxenochlorella protothecoides], RMZ54271.1 hypothetical protein APUTEX25_000622 [Auxenochlorella protothecoides], RMZ52115.1 hypothetical protein APUTEX25_001309 [Auxenochlorella protothecoides], RMZ56742.1 hypothetical protein APUTEX25_002831 [Auxenochlorella protothecoides], RMZ53008.1 hypothetical protein APUTEX25_001127_ partial [Auxenochlorella protothecoides], RMZ53649.1 hypothetical protein APUTEX25_003183 [Auxenochlorella protothecoides], RMZ54012.1 hypothetical protein APUTEX25_002589_ partial [Auxenochlorella protothecoides], RMZ55801.1 hypothetical protein APUTEX25_005842_ partial [Auxenochlorella protothecoides], RMZ53110.1 hypothetical protein APUTEX25_002519 [Auxenochlorella protothecoides], RMZ55679.1 hypothetical protein APUTEX25_000262 [Auxenochlorella protothecoides], RMZ57438.1 hypothetical protein APUTEX25_004272 [Auxenochlorella protothecoides], RMZ52777.1 hypothetical protein APUTEX25_000896_ partial [Auxenochlorella protothecoides], RMZ54099.1 hypothetical protein APUTEX25_002676 [Auxenochlorella protothecoides], RMZ53862.1 hypothetical protein APUTEX25_005608_ partial [Auxenochlorella protothecoides], RMZ55561.1 hypothetical protein APUTEX25_000144_ partial [Auxenochlorella protothecoides], RMZ56171.1 hypothetical protein APUTEX25_004595 [Auxenochlorella protothecoides], RMZ56458.1 hypothetical protein APUTEX25_004681 [Auxenochlorella protothecoides], RMZ52381.1 hypothetical protein APUTEX25_000656_ partial [Auxenochlorella protothecoides], RMZ53113.1 hypothetical protein APUTEX25_005102_ partial [Auxenochlorella protothecoides], RMZ55746.1 hypothetical protein APUTEX25_005787_ partial [Auxenochlorella protothecoides], RMZ56152.1 hypothetical protein APUTEX25_004576 [Auxenochlorella protothecoides], RMZ52347.1 hypothetical protein APUTEX25_004751_ partial [Auxenochlorella protothecoides], RMZ53889.1 hypothetical protein APUTEX25_005571_ partial [Auxenochlorella protothecoides]	KAI3427994.1 hypothetical protein D9Q98_006382 [Chlorella vulgaris]
OG0000023	RMZ56859.1 hypothetical protein APUTEX25_002948_ partial [Auxenochlorella protothecoides]	KAI3439065.1 hypothetical protein D9Q98_001475 [Chlorella vulgaris]
OG0000023	RMZ54038.1 hypothetical protein APUTEX25_002615_ partial [Auxenochlorella protothecoides]	KAI3430482.1 hypothetical protein D9Q98_005077 [Chlorella vulgaris]
OG0000024	RMZ52930.1 hypothetical protein APUTEX25_001049_ partial [Auxenochlorella protothecoides]	KAI3426010.1 hypothetical protein D9Q98_007978 [Chlorella vulgaris], KAI3426016.1 hypothetical protein D9Q98_007984 [Chlorella vulgaris], KAI3427425.1 hypothetical protein D9Q98_010340 [Chlorella vulgaris], KAI3427426.1 hypothetical protein D9Q98_010341 [Chlorella vulgaris], KAI3429556.1 hypothetical protein D9Q98_005644 [Chlorella vulgaris], KAI3436676.1 hypothetical protein D9Q98_006092 [Chlorella vulgaris], KAI3437696.1 hypothetical protein D9Q98_000145 [Chlorella vulgaris]
OG0000025	RMZ54574.1 hypothetical protein APUTEX25_002149_ partial [Auxenochlorella protothecoides]	KAI3427962.1 hypothetical protein D9Q98_006352 [Chlorella vulgaris]
OG0000025	RMZ52951.1 hypothetical protein APUTEX25_001070 [Auxenochlorella protothecoides]	KAI3437773.1 hypothetical protein D9Q98_000220 [Chlorella vulgaris]
OG0000026	RMZ52180.1 hypothetical protein APUTEX25_001570 [Auxenochlorella protothecoides]	KAI3424157.1 hypothetical protein D9Q98_009516 [Chlorella vulgaris]
OG0000026	RMZ57625.1 hypothetical protein APUTEX25_001825 [Auxenochlorella protothecoides]	KAI3429288.1 hypothetical protein D9Q98_005384 [Chlorella vulgaris], KAI3429289.1 hypothetical protein D9Q98_005385 [Chlorella vulgaris], KAI3429291.1 hypothetical protein D9Q98_005387 [Chlorella vulgaris]
OG0000027	RMZ52838.1 hypothetical protein APUTEX25_000957 [Auxenochlorella protothecoides]	KAI3433311.1 hypothetical protein D9Q98_003129 [Chlorella vulgaris]
OG0000027	RMZ56507.1 hypothetical protein APUTEX25_001354_ partial [Auxenochlorella protothecoides]	KAI3429894.1 hypothetical protein D9Q98_010205 [Chlorella vulgaris], KAI3429892.1 hypothetical protein D9Q98_010203 [Chlorella vulgaris]
OG0000028	RMZ53801.1 hypothetical protein APUTEX25_003940 [Auxenochlorella protothecoides]	KAI3430771.1 hypothetical protein D9Q98_009183 [Chlorella vulgaris], KAI3433783.1 hypothetical protein D9Q98_003588 [Chlorella vulgaris]
OG0000029	RMZ54167.1 hypothetical protein APUTEX25_005323 [Auxenochlorella protothecoides]	KAI3431531.1 hypothetical protein D9Q98_004581 [Chlorella vulgaris], KAI3431536.1 hypothetical protein D9Q98_004586 [Chlorella vulgaris]
OG0000031	RMZ52494.1 hypothetical protein APUTEX25_003637 [Auxenochlorella protothecoides]	KAI3438694.1 hypothetical protein D9Q98_001114 [Chlorella vulgaris]
OG0000035	RMZ53240.1 hypothetical protein APUTEX25_005229 [Auxenochlorella protothecoides]	KAI3435763.1 hypothetical protein D9Q98_001821 [Chlorella vulgaris], KAI3435762.1 hypothetical protein D9Q98_001820 [Chlorella vulgaris]
OG0000035	RMZ56375.1 hypothetical protein APUTEX25_004732_ partial [Auxenochlorella protothecoides]	KAI3432775.1 hypothetical protein D9Q98_004315 [Chlorella vulgaris], KAI3432777.1 hypothetical protein D9Q98_004315 [Chlorella vulgaris], KAI3432776.1 hypothetical protein D9Q98_004315 [Chlorella vulgaris]
OG0000036	RMZ53707.1 hypothetical protein APUTEX25_003241 [Auxenochlorella protothecoides]	KAI3432880.1 hypothetical protein D9Q98_010463 [Chlorella vulgaris], KAI3432881.1 hypothetical protein D9Q98_010463 [Chlorella vulgaris]
OG0000037	RMZ56229.1 hypothetical protein APUTEX25_002419 [Auxenochlorella protothecoides]	KAI3432340.1 hypothetical protein D9Q98_003898 [Chlorella vulgaris]
OG0000037	RMZ53830.1 hypothetical protein APUTEX25_003969_ partial [Auxenochlorella protothecoides]	KAI3434541.1 hypothetical protein D9Q98_002614 [Chlorella vulgaris]
OG0000038	RMZ55544.1 hypothetical protein APUTEX25_000127_ partial [Auxenochlorella protothecoides]	KAI3428200.1 hypothetical protein D9Q98_006580 [Chlorella vulgaris], KAI3431710.1 hypothetical protein D9Q98_004755 [Chlorella vulgaris], KAI3427440.1 hypothetical protein D9Q98_010355 [Chlorella vulgaris], KAI3427437.1 hypothetical protein D9Q98_010352 [Chlorella vulgaris]
OG0000038	RMZ55519.1 hypothetical protein APUTEX25_000102 [Auxenochlorella protothecoides]	KAI3423835.1 hypothetical protein D9Q98_009671 [Chlorella vulgaris], KAI3432241.1 hypothetical protein D9Q98_003802 [Chlorella vulgaris]
OG0000038	RMZ57629.1 hypothetical protein APUTEX25_001829 [Auxenochlorella protothecoides]	KAI3426374.1 hypothetical protein D9Q98_008746 [Chlorella vulgaris]
OG0000039	RMZ55921.1 hypothetical protein APUTEX25_004345 [Auxenochlorella protothecoides]	KAI3436411.1 hypothetical protein D9Q98_005828 [Chlorella vulgaris]
OG0000042	RMZ53607.1 hypothetical protein APUTEX25_003141 [Auxenochlorella protothecoides]	KAI3431269.1 hypothetical protein D9Q98_004330 [Chlorella vulgaris]
OG0000043	RMZ57650.1 hypothetical protein APUTEX25_001850_ partial [Auxenochlorella protothecoides]	KAI3424775.1 hypothetical protein D9Q98_008163 [Chlorella vulgaris], KAI3426380.1 hypothetical protein D9Q98_008751 [Chlorella vulgaris]
OG0000044	RMZ56035.1 hypothetical protein APUTEX25_004459 [Auxenochlorella protothecoides]	KAI3424684.1 hypothetical protein D9Q98_008074 [Chlorella vulgaris], KAI3434824.1 hypothetical protein D9Q98_002880 [Chlorella vulgaris]
OG0000044	RMZ52121.1 hypothetical protein APUTEX25_003608 [Auxenochlorella protothecoides]	KAI3424683.1 hypothetical protein D9Q98_008073 [Chlorella vulgaris]
OG0000045	RMZ52023.1 hypothetical protein APUTEX25_001217_ partial [Auxenochlorella protothecoides]	KAI3429571.1 hypothetical protein D9Q98_005658 [Chlorella vulgaris]
OG0000045	RMZ55942.1 hypothetical protein APUTEX25_004366 [Auxenochlorella protothecoides]	KAI3433548.1 hypothetical protein D9Q98_003359 [Chlorella vulgaris]
OG0000046	RMZ53206.1 hypothetical protein APUTEX25_005195_ partial [Auxenochlorella protothecoides]	KAI3433944.1 hypothetical protein D9Q98_003746 [Chlorella vulgaris], KAI3423962.1 hypothetical protein D9Q98_009796 [Chlorella vulgaris], KAI3427363.1 hypothetical protein D9Q98_010279 [Chlorella vulgaris], KAI3424711.1 hypothetical protein D9Q98_008100 [Chlorella vulgaris], KAI3429305.1 hypothetical protein D9Q98_005400 [Chlorella vulgaris]
OG0000048	RMZ57813.1 hypothetical protein APUTEX25_003429_ partial [Auxenochlorella protothecoides]	KAI3431829.1 hypothetical protein D9Q98_010582 [Chlorella vulgaris]
OG0000048	RMZ54618.1 hypothetical protein APUTEX25_002204 [Auxenochlorella protothecoides]	KAI3431831.1 hypothetical protein D9Q98_010584 [Chlorella vulgaris]
OG0000049	RMZ56843.1 hypothetical protein APUTEX25_002932 [Auxenochlorella protothecoides]	KAI3438841.1 hypothetical protein D9Q98_001258 [Chlorella vulgaris]
OG0000049	RMZ55633.1 hypothetical protein APUTEX25_000216_ partial [Auxenochlorella protothecoides]	KAI3436640.1 hypothetical protein D9Q98_006056 [Chlorella vulgaris]
OG0000050	RMZ55912.1 hypothetical protein APUTEX25_004336 [Auxenochlorella protothecoides]	KAI3424312.1 hypothetical protein D9Q98_009865 [Chlorella vulgaris], KAI3425144.1 hypothetical protein D9Q98_008915 [Chlorella vulgaris], KAI3425150.1 hypothetical protein D9Q98_008921 [Chlorella vulgaris], KAI3425146.1 hypothetical protein D9Q98_008917 [Chlorella vulgaris], KAI3423972.1 hypothetical protein D9Q98_009806 [Chlorella vulgaris], KAI3434997.1 hypothetical protein D9Q98_003049 [Chlorella vulgaris], KAI3426349.1 hypothetical protein D9Q98_008722 [Chlorella vulgaris], KAI3434870.1 hypothetical protein D9Q98_002924 [Chlorella vulgaris], KAI3424164.1 hypothetical protein D9Q98_009523 [Chlorella vulgaris], KAI3427099.1 hypothetical protein D9Q98_007038 [Chlorella vulgaris]
OG0000051	RMZ54646.1 hypothetical protein APUTEX25_003024 [Auxenochlorella protothecoides]	KAI3433740.1 hypothetical protein D9Q98_003547 [Chlorella vulgaris]
OG0000051	RMZ53475.1 hypothetical protein APUTEX25_003297_ partial [Auxenochlorella protothecoides]	KAI3424145.1 hypothetical protein D9Q98_009505 [Chlorella vulgaris], KAI3429547.1 hypothetical protein D9Q98_005635 [Chlorella vulgaris], KAI3428258.1 hypothetical protein D9Q98_006637 [Chlorella vulgaris]
OG0000052	RMZ53869.1 hypothetical protein APUTEX25_005615 [Auxenochlorella protothecoides]	KAI3426265.1 hypothetical protein D9Q98_008640 [Chlorella vulgaris]
OG0000054	RMZ52985.1 hypothetical protein APUTEX25_001104_ partial [Auxenochlorella protothecoides], RMZ55166.1 hypothetical protein APUTEX25_005444 [Auxenochlorella protothecoides]	KAI3427182.1 hypothetical protein D9Q98_007119 [Chlorella vulgaris], KAI3425325.1 hypothetical protein D9Q98_009089 [Chlorella vulgaris]
OG0000055	RMZ54002.1 hypothetical protein APUTEX25_002579_ partial [Auxenochlorella protothecoides]	KAI3436207.1 hypothetical protein D9Q98_002261 [Chlorella vulgaris]
OG0000055	RMZ54658.1 hypothetical protein APUTEX25_003036_ partial [Auxenochlorella protothecoides]	KAI3430621.1 hypothetical protein D9Q98_005214 [Chlorella vulgaris]
OG0000059	RMZ55038.1 hypothetical protein APUTEX25_005664 [Auxenochlorella protothecoides]	KAI3430825.1 hypothetical protein D9Q98_009236 [Chlorella vulgaris]
OG0000059	RMZ53302.1 hypothetical protein APUTEX25_004790 [Auxenochlorella protothecoides]	KAI3439001.1 hypothetical protein D9Q98_001413 [Chlorella vulgaris], KAI3428122.1 hypothetical protein D9Q98_006505 [Chlorella vulgaris]
OG0000059	RMZ52433.1 hypothetical protein APUTEX25_000012_ partial [Auxenochlorella protothecoides]	KAI3430446.1 hypothetical protein D9Q98_005041 [Chlorella vulgaris]
OG0000060	RMZ52705.1 hypothetical protein APUTEX25_000824_ partial [Auxenochlorella protothecoides]	KAI3430814.1 hypothetical protein D9Q98_009225 [Chlorella vulgaris], KAI3433447.1 hypothetical protein D9Q98_003261 [Chlorella vulgaris]
OG0000060	RMZ55290.1 hypothetical protein APUTEX25_003773_ partial [Auxenochlorella protothecoides]	KAI3430812.1 hypothetical protein D9Q98_009223 [Chlorella vulgaris]
OG0000062	RMZ54088.1 hypothetical protein APUTEX25_002665 [Auxenochlorella protothecoides]	KAI3426145.1 hypothetical protein D9Q98_008522 [Chlorella vulgaris], KAI3426144.1 hypothetical protein D9Q98_008522 [Chlorella vulgaris]
OG0000062	RMZ54008.1 hypothetical protein APUTEX25_002585_ partial [Auxenochlorella protothecoides]	KAI3426143.1 hypothetical protein D9Q98_008521 [Chlorella vulgaris], KAI3426142.1 hypothetical protein D9Q98_008521 [Chlorella vulgaris], KAI3426120.1 hypothetical protein D9Q98_008499 [Chlorella vulgaris]
OG0000063	RMZ54150.1 hypothetical protein APUTEX25_005306 [Auxenochlorella protothecoides]	KAI3434646.1 hypothetical protein D9Q98_002711 [Chlorella vulgaris], KAI3426836.1 hypothetical protein D9Q98_006783 [Chlorella vulgaris]
OG0000064	RMZ54709.1 hypothetical protein APUTEX25_003087 [Auxenochlorella protothecoides]	KAI3430251.1 hypothetical protein D9Q98_004847 [Chlorella vulgaris]
OG0000064	RMZ57318.1 hypothetical protein APUTEX25_004152 [Auxenochlorella protothecoides]	KAI3434468.1 hypothetical protein D9Q98_002545 [Chlorella vulgaris]
OG0000064	RMZ54652.1 hypothetical protein APUTEX25_003030 [Auxenochlorella protothecoides]	KAI3430253.1 hypothetical protein D9Q98_004849 [Chlorella vulgaris]
OG0000065	RMZ55168.1 hypothetical protein APUTEX25_005446 [Auxenochlorella protothecoides]	KAI3425227.1 hypothetical protein D9Q98_008995 [Chlorella vulgaris], KAI3425222.1 hypothetical protein D9Q98_008990 [Chlorella vulgaris]
OG0000065	RMZ54882.1 hypothetical protein APUTEX25_000399 [Auxenochlorella protothecoides]	KAI3424962.1 hypothetical protein D9Q98_008343 [Chlorella vulgaris]
OG0000066	RMZ56540.1 hypothetical protein APUTEX25_001387 [Auxenochlorella protothecoides]	KAI3437905.1 hypothetical protein D9Q98_000350 [Chlorella vulgaris]
OG0000069	RMZ52481.1 hypothetical protein APUTEX25_003624 [Auxenochlorella protothecoides]	KAI3426981.1 hypothetical protein D9Q98_006925 [Chlorella vulgaris]
OG0000069	RMZ52692.1 hypothetical protein APUTEX25_000811_ partial [Auxenochlorella protothecoides]	KAI3424311.1 hypothetical protein D9Q98_009864 [Chlorella vulgaris]
OG0000069	RMZ53095.1 hypothetical protein APUTEX25_002504 [Auxenochlorella protothecoides]	KAI3433912.1 hypothetical protein D9Q98_003714 [Chlorella vulgaris]
OG0000070	RMZ52856.1 hypothetical protein APUTEX25_000975 [Auxenochlorella protothecoides]	KAI3427231.1 hypothetical protein D9Q98_007166 [Chlorella vulgaris]
OG0000070	RMZ53469.1 hypothetical protein APUTEX25_003291_ partial [Auxenochlorella protothecoides]	KAI3437586.1 hypothetical protein D9Q98_000039 [Chlorella vulgaris], KAI3434901.1 hypothetical protein D9Q98_002955 [Chlorella vulgaris]
OG0000071	RMZ54148.1 hypothetical protein APUTEX25_005304 [Auxenochlorella protothecoides]	KAI3424158.1 hypothetical protein D9Q98_009517 [Chlorella vulgaris]
OG0000072	RMZ54387.1 hypothetical protein APUTEX25_001963 [Auxenochlorella protothecoides]	KAI3430561.1 hypothetical protein D9Q98_005154 [Chlorella vulgaris], KAI3435017.1 hypothetical protein D9Q98_003069 [Chlorella vulgaris], KAI3433579.1 hypothetical protein D9Q98_003390 [Chlorella vulgaris], KAI3433580.1 hypothetical protein D9Q98_003391 [Chlorella vulgaris]
OG0000073	RMZ54907.1 hypothetical protein APUTEX25_000424_ partial [Auxenochlorella protothecoides]	KAI3424943.1 hypothetical protein D9Q98_008325 [Chlorella vulgaris]
OG0000074	RMZ55613.1 hypothetical protein APUTEX25_000196 [Auxenochlorella protothecoides]	KAI3424079.1 hypothetical protein D9Q98_009442 [Chlorella vulgaris]
OG0000078	RMZ56534.1 hypothetical protein APUTEX25_001381 [Auxenochlorella protothecoides]	KAI3437917.1 hypothetical protein D9Q98_000362 [Chlorella vulgaris]
OG0000078	RMZ52490.1 hypothetical protein APUTEX25_003633_ partial [Auxenochlorella protothecoides]	KAI3436493.1 hypothetical protein D9Q98_005910 [Chlorella vulgaris]
OG0000078	RMZ53346.1 hypothetical protein APUTEX25_004834 [Auxenochlorella protothecoides]	KAI3433465.1 hypothetical protein D9Q98_003278 [Chlorella vulgaris]
OG0000079	RMZ57222.1 hypothetical protein APUTEX25_004056 [Auxenochlorella protothecoides]	KAI3434525.1 hypothetical protein D9Q98_002598 [Chlorella vulgaris]
OG0000079	RMZ53096.1 hypothetical protein APUTEX25_002505 [Auxenochlorella protothecoides]	KAI3433911.1 hypothetical protein D9Q98_003713 [Chlorella vulgaris]
