Orthogroup	Auxenochlorella_protothecoides	Coccomyxa_SubellipsoideaC169
OG0000020	RMZ57168.1 hypothetical protein APUTEX25_004002 [Auxenochlorella protothecoides], RMZ53879.1 hypothetical protein APUTEX25_005625_ partial [Auxenochlorella protothecoides], RMZ52155.1 hypothetical protein APUTEX25_001545 [Auxenochlorella protothecoides]	EIE22313.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE20603.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE27221.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE19027.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE22323.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE26164.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE21809.1 hexose transporter [Coccomyxa subellipsoidea C-169], EIE25646.1 general substrate transporter [Coccomyxa subellipsoidea C-169]
OG0000023	RMZ56859.1 hypothetical protein APUTEX25_002948_ partial [Auxenochlorella protothecoides], RMZ54038.1 hypothetical protein APUTEX25_002615_ partial [Auxenochlorella protothecoides]	EIE18478.1 hypothetical protein COCSUDRAFT_9572_ partial [Coccomyxa subellipsoidea C-169]
OG0000023	RMZ55376.1 hypothetical protein APUTEX25_004691_ partial [Auxenochlorella protothecoides]	EIE18253.1 hypothetical protein COCSUDRAFT_60449 [Coccomyxa subellipsoidea C-169]
OG0000024	RMZ52930.1 hypothetical protein APUTEX25_001049_ partial [Auxenochlorella protothecoides]	EIE18942.1 subtilisin-like protein [Coccomyxa subellipsoidea C-169], EIE18940.1 hypothetical protein COCSUDRAFT_68092 [Coccomyxa subellipsoidea C-169], EIE27460.1 hypothetical protein COCSUDRAFT_39124 [Coccomyxa subellipsoidea C-169]
OG0000025	RMZ52951.1 hypothetical protein APUTEX25_001070 [Auxenochlorella protothecoides]	EIE27570.1 CheY-like protein [Coccomyxa subellipsoidea C-169]
OG0000027	RMZ54217.1 hypothetical protein APUTEX25_005373 [Auxenochlorella protothecoides], RMZ54669.1 hypothetical protein APUTEX25_003047_ partial [Auxenochlorella protothecoides], RMZ57276.1 hypothetical protein APUTEX25_004110_ partial [Auxenochlorella protothecoides]	EIE26921.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000027	RMZ56507.1 hypothetical protein APUTEX25_001354_ partial [Auxenochlorella protothecoides]	EIE27191.1 hypothetical protein COCSUDRAFT_55214 [Coccomyxa subellipsoidea C-169]
OG0000028	RMZ53801.1 hypothetical protein APUTEX25_003940 [Auxenochlorella protothecoides]	EIE21876.1 hypothetical protein COCSUDRAFT_56324 [Coccomyxa subellipsoidea C-169]
OG0000031	RMZ52494.1 hypothetical protein APUTEX25_003637 [Auxenochlorella protothecoides]	EIE20244.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE25682.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE20661.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE21561.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19061.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19060.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19314.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]
OG0000035	RMZ53240.1 hypothetical protein APUTEX25_005229 [Auxenochlorella protothecoides]	EIE21150.1 hypothetical protein COCSUDRAFT_18014 [Coccomyxa subellipsoidea C-169]
OG0000035	RMZ56375.1 hypothetical protein APUTEX25_004732_ partial [Auxenochlorella protothecoides]	EIE23299.1 hypothetical protein COCSUDRAFT_36731 [Coccomyxa subellipsoidea C-169], EIE26318.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169], EIE19204.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169], EIE20572.1 very-long-chain 3-ketoacyl-CoA synthase_ partial [Coccomyxa subellipsoidea C-169], EIE20573.1 hypothetical protein COCSUDRAFT_18466_ partial [Coccomyxa subellipsoidea C-169], EIE26289.1 hypothetical protein COCSUDRAFT_12451_ partial [Coccomyxa subellipsoidea C-169], EIE26326.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169]
OG0000036	RMZ53707.1 hypothetical protein APUTEX25_003241 [Auxenochlorella protothecoides]	EIE26066.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18360.1 hypothetical protein COCSUDRAFT_49303 [Coccomyxa subellipsoidea C-169], EIE27057.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22387.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE26119.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000037	RMZ53830.1 hypothetical protein APUTEX25_003969_ partial [Auxenochlorella protothecoides]	EIE26437.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169], EIE26873.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169], EIE26815.1 major light-harvesting complex II protein m10 [Coccomyxa subellipsoidea C-169]
OG0000038	RMZ55544.1 hypothetical protein APUTEX25_000127_ partial [Auxenochlorella protothecoides]	EIE20983.1 hypothetical protein COCSUDRAFT_43360 [Coccomyxa subellipsoidea C-169], EIE23576.1 hypothetical protein COCSUDRAFT_47351 [Coccomyxa subellipsoidea C-169], EIE27181.1 hypothetical protein COCSUDRAFT_45764 [Coccomyxa subellipsoidea C-169], EIE21077.1 hypothetical protein COCSUDRAFT_67068 [Coccomyxa subellipsoidea C-169], EIE23577.1 hypothetical protein COCSUDRAFT_41776 [Coccomyxa subellipsoidea C-169], EIE20154.1 hypothetical protein COCSUDRAFT_44111 [Coccomyxa subellipsoidea C-169]
OG0000038	RMZ55519.1 hypothetical protein APUTEX25_000102 [Auxenochlorella protothecoides]	EIE22676.1 hypothetical protein COCSUDRAFT_66338 [Coccomyxa subellipsoidea C-169]
OG0000038	RMZ57629.1 hypothetical protein APUTEX25_001829 [Auxenochlorella protothecoides]	EIE26902.1 hypothetical protein COCSUDRAFT_64713 [Coccomyxa subellipsoidea C-169]
OG0000042	RMZ53607.1 hypothetical protein APUTEX25_003141 [Auxenochlorella protothecoides]	EIE25118.1 phosphate transporter [Coccomyxa subellipsoidea C-169], EIE21753.1 PHO4-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000043	RMZ57650.1 hypothetical protein APUTEX25_001850_ partial [Auxenochlorella protothecoides]	EIE23320.1 hypothetical protein COCSUDRAFT_53571 [Coccomyxa subellipsoidea C-169], EIE23322.1 hypothetical protein COCSUDRAFT_928_ partial [Coccomyxa subellipsoidea C-169], EIE27126.1 hypothetical protein COCSUDRAFT_21230 [Coccomyxa subellipsoidea C-169], EIE21337.1 hypothetical protein COCSUDRAFT_56560 [Coccomyxa subellipsoidea C-169], EIE19743.1 hypothetical protein COCSUDRAFT_31111 [Coccomyxa subellipsoidea C-169], EIE26263.1 hypothetical protein COCSUDRAFT_64412 [Coccomyxa subellipsoidea C-169]
OG0000044	RMZ56035.1 hypothetical protein APUTEX25_004459 [Auxenochlorella protothecoides], RMZ52121.1 hypothetical protein APUTEX25_003608 [Auxenochlorella protothecoides], RMZ52019.1 hypothetical protein APUTEX25_001213 [Auxenochlorella protothecoides]	EIE27609.1 hypothetical protein COCSUDRAFT_55605 [Coccomyxa subellipsoidea C-169]
OG0000046	RMZ53206.1 hypothetical protein APUTEX25_005195_ partial [Auxenochlorella protothecoides]	EIE25620.1 hypothetical protein COCSUDRAFT_83627 [Coccomyxa subellipsoidea C-169]
OG0000048	RMZ54606.1 hypothetical protein APUTEX25_002192 [Auxenochlorella protothecoides]	EIE21084.1 hypothetical protein COCSUDRAFT_43438 [Coccomyxa subellipsoidea C-169]
OG0000049	RMZ56843.1 hypothetical protein APUTEX25_002932 [Auxenochlorella protothecoides]	EIE23933.1 hypothetical protein COCSUDRAFT_62462 [Coccomyxa subellipsoidea C-169]
OG0000049	RMZ55633.1 hypothetical protein APUTEX25_000216_ partial [Auxenochlorella protothecoides]	EIE24013.1 hypothetical protein COCSUDRAFT_65695 [Coccomyxa subellipsoidea C-169]
OG0000050	RMZ55912.1 hypothetical protein APUTEX25_004336 [Auxenochlorella protothecoides]	EIE19187.1 UPF0187-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000051	RMZ54646.1 hypothetical protein APUTEX25_003024 [Auxenochlorella protothecoides], RMZ53475.1 hypothetical protein APUTEX25_003297_ partial [Auxenochlorella protothecoides]	EIE25012.1 MATE efflux family protein [Coccomyxa subellipsoidea C-169]
OG0000052	RMZ53869.1 hypothetical protein APUTEX25_005615 [Auxenochlorella protothecoides]	EIE22213.1 hypothetical protein COCSUDRAFT_16438 [Coccomyxa subellipsoidea C-169]
OG0000054	RMZ52985.1 hypothetical protein APUTEX25_001104_ partial [Auxenochlorella protothecoides], RMZ55166.1 hypothetical protein APUTEX25_005444 [Auxenochlorella protothecoides]	EIE26070.1 exostosin-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE25364.1 exostosin-like glycosyltransferase [Coccomyxa subellipsoidea C-169]
OG0000055	RMZ54002.1 hypothetical protein APUTEX25_002579_ partial [Auxenochlorella protothecoides]	EIE21414.1 TPR-like protein [Coccomyxa subellipsoidea C-169]
OG0000059	RMZ55038.1 hypothetical protein APUTEX25_005664 [Auxenochlorella protothecoides]	EIE19800.1 cobW-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000059	RMZ53302.1 hypothetical protein APUTEX25_004790 [Auxenochlorella protothecoides]	EIE25747.1 cobW-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000060	RMZ52705.1 hypothetical protein APUTEX25_000824_ partial [Auxenochlorella protothecoides]	EIE21789.1 hypothetical protein COCSUDRAFT_17195 [Coccomyxa subellipsoidea C-169], EIE21790.1 hypothetical protein COCSUDRAFT_7070_ partial [Coccomyxa subellipsoidea C-169], EIE24815.1 hypothetical protein COCSUDRAFT_46955 [Coccomyxa subellipsoidea C-169]
OG0000060	RMZ53684.1 hypothetical protein APUTEX25_003218 [Auxenochlorella protothecoides], RMZ55289.1 hypothetical protein APUTEX25_003772_ partial [Auxenochlorella protothecoides]	EIE21788.1 hypothetical protein COCSUDRAFT_42835 [Coccomyxa subellipsoidea C-169]
OG0000060	RMZ55290.1 hypothetical protein APUTEX25_003773_ partial [Auxenochlorella protothecoides]	EIE21877.1 putative zinc finger protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000062	RMZ54088.1 hypothetical protein APUTEX25_002665 [Auxenochlorella protothecoides]	EIE22227.1 EF-hand [Coccomyxa subellipsoidea C-169]
OG0000062	RMZ54008.1 hypothetical protein APUTEX25_002585_ partial [Auxenochlorella protothecoides]	EIE22363.1 hypothetical protein COCSUDRAFT_47848 [Coccomyxa subellipsoidea C-169], EIE22210.1 hypothetical protein COCSUDRAFT_55906 [Coccomyxa subellipsoidea C-169]
OG0000063	RMZ54150.1 hypothetical protein APUTEX25_005306 [Auxenochlorella protothecoides]	EIE19534.1 hypothetical protein COCSUDRAFT_48772 [Coccomyxa subellipsoidea C-169]
OG0000064	RMZ54709.1 hypothetical protein APUTEX25_003087 [Auxenochlorella protothecoides]	EIE27388.1 initiation factor 2_ partial [Coccomyxa subellipsoidea C-169]
OG0000064	RMZ57318.1 hypothetical protein APUTEX25_004152 [Auxenochlorella protothecoides]	EIE20444.1 Cullin-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000064	RMZ54652.1 hypothetical protein APUTEX25_003030 [Auxenochlorella protothecoides]	EIE18972.1 Cullin-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000065	RMZ54882.1 hypothetical protein APUTEX25_000399 [Auxenochlorella protothecoides]	EIE24448.1 hypothetical protein COCSUDRAFT_65361 [Coccomyxa subellipsoidea C-169], EIE19959.1 hypothetical protein COCSUDRAFT_44355 [Coccomyxa subellipsoidea C-169]
OG0000066	RMZ56540.1 hypothetical protein APUTEX25_001387 [Auxenochlorella protothecoides]	EIE20526.1 MFS general substrate transporter_ partial [Coccomyxa subellipsoidea C-169]
OG0000069	RMZ52481.1 hypothetical protein APUTEX25_003624 [Auxenochlorella protothecoides]	EIE18559.1 HSP90-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000069	RMZ52692.1 hypothetical protein APUTEX25_000811_ partial [Auxenochlorella protothecoides]	EIE19325.1 heat shock protein Hsp90 [Coccomyxa subellipsoidea C-169]
OG0000069	RMZ53095.1 hypothetical protein APUTEX25_002504 [Auxenochlorella protothecoides]	EIE27138.1 heat shock protein Hsp90 [Coccomyxa subellipsoidea C-169]
OG0000070	RMZ52856.1 hypothetical protein APUTEX25_000975 [Auxenochlorella protothecoides]	EIE19387.1 hypothetical protein COCSUDRAFT_58675 [Coccomyxa subellipsoidea C-169]
OG0000070	RMZ53469.1 hypothetical protein APUTEX25_003291_ partial [Auxenochlorella protothecoides]	EIE20416.1 voltage-gated potassium channel [Coccomyxa subellipsoidea C-169]
OG0000071	RMZ54148.1 hypothetical protein APUTEX25_005304 [Auxenochlorella protothecoides]	EIE19137.1 Pkinase-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000073	RMZ54907.1 hypothetical protein APUTEX25_000424_ partial [Auxenochlorella protothecoides]	EIE22545.1 hypothetical protein COCSUDRAFT_63696 [Coccomyxa subellipsoidea C-169]
OG0000074	RMZ55613.1 hypothetical protein APUTEX25_000196 [Auxenochlorella protothecoides]	EIE19122.1 hypothetical protein COCSUDRAFT_38365 [Coccomyxa subellipsoidea C-169]
OG0000078	RMZ56534.1 hypothetical protein APUTEX25_001381 [Auxenochlorella protothecoides]	EIE27764.1 phosphofructokinase family protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000079	RMZ57222.1 hypothetical protein APUTEX25_004056 [Auxenochlorella protothecoides]	EIE19893.1 heat shock protein 70 [Coccomyxa subellipsoidea C-169], EIE18906.1 heat shock protein 70 [Coccomyxa subellipsoidea C-169]
OG0000079	RMZ53096.1 hypothetical protein APUTEX25_002505 [Auxenochlorella protothecoides]	EIE27137.1 binding protein 1 [Coccomyxa subellipsoidea C-169]
OG0000080	RMZ55523.1 hypothetical protein APUTEX25_000106 [Auxenochlorella protothecoides]	EIE26869.1 hypothetical protein COCSUDRAFT_59376 [Coccomyxa subellipsoidea C-169]
OG0000081	RMZ56073.1 hypothetical protein APUTEX25_004497_ partial [Auxenochlorella protothecoides]	EIE25078.1 acetyl-CoA synthetase-like protein [Coccomyxa subellipsoidea C-169]
OG0000081	RMZ56025.1 hypothetical protein APUTEX25_004449 [Auxenochlorella protothecoides]	EIE25220.1 hypothetical protein COCSUDRAFT_46640 [Coccomyxa subellipsoidea C-169]
OG0000082	RMZ52693.1 hypothetical protein APUTEX25_000812 [Auxenochlorella protothecoides]	EIE25779.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22390.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000083	RMZ54832.1 hypothetical protein APUTEX25_000349 [Auxenochlorella protothecoides]	EIE24754.1 aminopeptidase N_ partial [Coccomyxa subellipsoidea C-169]
OG0000083	RMZ53760.1 hypothetical protein APUTEX25_003899 [Auxenochlorella protothecoides]	EIE27787.1 hypothetical protein COCSUDRAFT_64386 [Coccomyxa subellipsoidea C-169]
OG0000084	RMZ55442.1 hypothetical protein APUTEX25_003566_ partial [Auxenochlorella protothecoides]	EIE25691.1 cysteine synthase [Coccomyxa subellipsoidea C-169]
OG0000084	RMZ56130.1 hypothetical protein APUTEX25_004554 [Auxenochlorella protothecoides]	EIE25216.1 cysteine synthase A [Coccomyxa subellipsoidea C-169]
OG0000087	RMZ52173.1 hypothetical protein APUTEX25_001563 [Auxenochlorella protothecoides]	EIE19175.1 hypothetical protein COCSUDRAFT_67996 [Coccomyxa subellipsoidea C-169], EIE25316.1 hypothetical protein COCSUDRAFT_40598 [Coccomyxa subellipsoidea C-169], EIE24943.1 hypothetical protein COCSUDRAFT_65606 [Coccomyxa subellipsoidea C-169], EIE25412.1 hypothetical protein COCSUDRAFT_65236 [Coccomyxa subellipsoidea C-169]
OG0000087	RMZ55593.1 hypothetical protein APUTEX25_000176 [Auxenochlorella protothecoides]	EIE26463.1 MFS general substrate transporter [Coccomyxa subellipsoidea C-169], EIE25599.1 MFS general substrate transporter [Coccomyxa subellipsoidea C-169]
OG0000088	RMZ55551.1 hypothetical protein APUTEX25_000134 [Auxenochlorella protothecoides]	EIE21536.1 Phosphoenolpyruvate/pyruvate domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000088	RMZ52215.1 hypothetical protein APUTEX25_001605 [Auxenochlorella protothecoides]	EIE23527.1 pyruvate kinase [Coccomyxa subellipsoidea C-169]
OG0000089	RMZ53103.1 hypothetical protein APUTEX25_002512_ partial [Auxenochlorella protothecoides], RMZ52759.1 hypothetical protein APUTEX25_000878 [Auxenochlorella protothecoides]	EIE20580.1 hypothetical protein COCSUDRAFT_48569 [Coccomyxa subellipsoidea C-169], EIE27157.1 hypothetical protein COCSUDRAFT_64095 [Coccomyxa subellipsoidea C-169]
OG0000090	RMZ53227.1 hypothetical protein APUTEX25_005216 [Auxenochlorella protothecoides]	EIE25492.1 serine O-acetyltransferase [Coccomyxa subellipsoidea C-169]
OG0000090	RMZ55723.1 hypothetical protein APUTEX25_005764 [Auxenochlorella protothecoides]	EIE26347.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]
OG0000091	RMZ57273.1 hypothetical protein APUTEX25_004107 [Auxenochlorella protothecoides]	EIE24477.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169]
OG0000091	RMZ54971.1 hypothetical protein APUTEX25_000488 [Auxenochlorella protothecoides]	EIE19094.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169]
OG0000091	RMZ57393.1 hypothetical protein APUTEX25_004227 [Auxenochlorella protothecoides]	EIE19973.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169]
OG0000095	RMZ52360.1 hypothetical protein APUTEX25_000635_ partial [Auxenochlorella protothecoides]	EIE20398.1 DUF1253-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000096	RMZ52686.1 hypothetical protein APUTEX25_000805 [Auxenochlorella protothecoides]	EIE21885.1 hypothetical protein COCSUDRAFT_56332 [Coccomyxa subellipsoidea C-169]
OG0000097	RMZ52823.1 hypothetical protein APUTEX25_000942_ partial [Auxenochlorella protothecoides]	EIE23134.1 hypothetical protein COCSUDRAFT_42072 [Coccomyxa subellipsoidea C-169]
OG0000097	RMZ54024.1 hypothetical protein APUTEX25_002601 [Auxenochlorella protothecoides]	EIE21411.1 hypothetical protein COCSUDRAFT_66872 [Coccomyxa subellipsoidea C-169]
OG0000098	RMZ53120.1 hypothetical protein APUTEX25_005109 [Auxenochlorella protothecoides]	EIE25121.1 malate dehydrogenase [Coccomyxa subellipsoidea C-169]
OG0000098	RMZ54071.1 hypothetical protein APUTEX25_002648_ partial [Auxenochlorella protothecoides]	EIE24005.1 malate dehydrogenase [Coccomyxa subellipsoidea C-169]
OG0000098	RMZ55147.1 hypothetical protein APUTEX25_005425 [Auxenochlorella protothecoides]	EIE20588.1 mitochondrial malate dehydrogenase [Coccomyxa subellipsoidea C-169]
OG0000099	RMZ53156.1 hypothetical protein APUTEX25_005145_ partial [Auxenochlorella protothecoides]	EIE24867.1 glycoside hydrolase_ partial [Coccomyxa subellipsoidea C-169]
OG0000100	RMZ53823.1 hypothetical protein APUTEX25_003962_ partial [Auxenochlorella protothecoides]	EIE25271.1 hypothetical protein COCSUDRAFT_13722_ partial [Coccomyxa subellipsoidea C-169]
OG0000100	RMZ53226.1 hypothetical protein APUTEX25_005215 [Auxenochlorella protothecoides]	EIE22901.1 chaperonin 60B2 [Coccomyxa subellipsoidea C-169]
OG0000101	RMZ53299.1 hypothetical protein APUTEX25_004787 [Auxenochlorella protothecoides]	EIE24424.1 hypothetical protein COCSUDRAFT_28166 [Coccomyxa subellipsoidea C-169]
OG0000101	RMZ55334.1 hypothetical protein APUTEX25_003472 [Auxenochlorella protothecoides]	EIE27350.1 ATP-dependent Clp protease ATPase subunit [Coccomyxa subellipsoidea C-169]
OG0000102	RMZ53552.1 hypothetical protein APUTEX25_003374_ partial [Auxenochlorella protothecoides]	EIE25370.1 ferredoxin-dependent glutamate synthase [Coccomyxa subellipsoidea C-169]
OG0000102	RMZ54043.1 hypothetical protein APUTEX25_002620_ partial [Auxenochlorella protothecoides]	EIE24001.1 glutamate synthase_ NADH-dependent [Coccomyxa subellipsoidea C-169]
OG0000104	RMZ56066.1 hypothetical protein APUTEX25_004490_ partial [Auxenochlorella protothecoides]	EIE25771.1 hypothetical protein COCSUDRAFT_40047 [Coccomyxa subellipsoidea C-169]
OG0000105	RMZ56376.1 hypothetical protein APUTEX25_004733_ partial [Auxenochlorella protothecoides]	EIE26288.1 gamma heavy chain subunit of outer-arm dynein_ partial [Coccomyxa subellipsoidea C-169], EIE25538.1 hypothetical protein COCSUDRAFT_40751 [Coccomyxa subellipsoidea C-169]
OG0000106	RMZ57268.1 hypothetical protein APUTEX25_004102_ partial [Auxenochlorella protothecoides]	EIE24632.1 aldose 1-epimerase [Coccomyxa subellipsoidea C-169], EIE18881.1 aldose 1-epimerase [Coccomyxa subellipsoidea C-169]
OG0000106	RMZ57423.1 hypothetical protein APUTEX25_004257 [Auxenochlorella protothecoides]	EIE26900.1 farnesyl-diphosphate farnesyltransferase [Coccomyxa subellipsoidea C-169]
OG0000111	RMZ54959.1 hypothetical protein APUTEX25_000476 [Auxenochlorella protothecoides], RMZ52193.1 hypothetical protein APUTEX25_001583_ partial [Auxenochlorella protothecoides], RMZ52188.1 hypothetical protein APUTEX25_001578_ partial [Auxenochlorella protothecoides]	EIE20987.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]
