Orthogroup	Auxenochlorella_protothecoides	Chlorella_Sorokiniana1602
OG0000016	RMZ52516.1 hypothetical protein APUTEX25_003659 [Auxenochlorella protothecoides]	PRW50795.1 polyubiquitin 3 isoform B [Chlorella sorokiniana], PRW50796.1 polyubiquitin 3 isoform A [Chlorella sorokiniana]
OG0000016	RMZ57375.1 hypothetical protein APUTEX25_004209 [Auxenochlorella protothecoides]	PRW33690.1 ubiquitin-NEDD8 RUB2 [Chlorella sorokiniana]
OG0000016	RMZ54238.1 hypothetical protein APUTEX25_000589 [Auxenochlorella protothecoides]	PRW45491.1 40S ribosomal S27 [Chlorella sorokiniana]
OG0000018	RMZ56462.1 hypothetical protein APUTEX25_004685 [Auxenochlorella protothecoides]	PRW56613.1 transcription factor MYB98-like [Chlorella sorokiniana]
OG0000018	RMZ56699.1 hypothetical protein APUTEX25_002788 [Auxenochlorella protothecoides]	PRW20403.1 Myb-related B isoform B [Chlorella sorokiniana], PRW20404.1 Myb-related B isoform A [Chlorella sorokiniana]
OG0000018	RMZ57669.1 hypothetical protein APUTEX25_001869 [Auxenochlorella protothecoides]	PRW44975.1 transcription factor MYB44-like [Chlorella sorokiniana]
OG0000020	RMZ57168.1 hypothetical protein APUTEX25_004002 [Auxenochlorella protothecoides], RMZ53879.1 hypothetical protein APUTEX25_005625_ partial [Auxenochlorella protothecoides], RMZ52155.1 hypothetical protein APUTEX25_001545 [Auxenochlorella protothecoides]	PRW58220.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana], PRW60271.1 sugar porter _SP_ family MFS transporter [Chlorella sorokiniana], PRW20825.1 sugar transport 9 [Chlorella sorokiniana], PRW33669.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana], PRW33672.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana]
OG0000023	RMZ56859.1 hypothetical protein APUTEX25_002948_ partial [Auxenochlorella protothecoides]	PRW59139.1 zinc finger CCCH domain-containing 66-like [Chlorella sorokiniana]
OG0000023	RMZ54038.1 hypothetical protein APUTEX25_002615_ partial [Auxenochlorella protothecoides]	PRW32871.1 zinc finger family isoform B [Chlorella sorokiniana], PRW32872.1 zinc finger family isoform A [Chlorella sorokiniana]
OG0000024	RMZ52930.1 hypothetical protein APUTEX25_001049_ partial [Auxenochlorella protothecoides]	PRW55960.1 peptidase S8 [Chlorella sorokiniana], PRW20948.1 peptidase S8 isoform A [Chlorella sorokiniana], PRW20949.1 peptidase S8 isoform B [Chlorella sorokiniana]
OG0000025	RMZ54574.1 hypothetical protein APUTEX25_002149_ partial [Auxenochlorella protothecoides]	PRW56722.1 PHR1-LIKE 1-like [Chlorella sorokiniana]
OG0000026	RMZ57625.1 hypothetical protein APUTEX25_001825 [Auxenochlorella protothecoides]	PRW60635.1 alpha beta-hydrolase [Chlorella sorokiniana]
OG0000027	RMZ54217.1 hypothetical protein APUTEX25_005373 [Auxenochlorella protothecoides], RMZ54669.1 hypothetical protein APUTEX25_003047_ partial [Auxenochlorella protothecoides], RMZ57276.1 hypothetical protein APUTEX25_004110_ partial [Auxenochlorella protothecoides]	PRW50927.1 serine threonine- kinase [Chlorella sorokiniana]
OG0000027	RMZ52838.1 hypothetical protein APUTEX25_000957 [Auxenochlorella protothecoides]	PRW58424.1 serine threonine- kinase isoform B [Chlorella sorokiniana], PRW58423.1 serine threonine- kinase isoform A [Chlorella sorokiniana]
OG0000027	RMZ56507.1 hypothetical protein APUTEX25_001354_ partial [Auxenochlorella protothecoides]	PRW60292.1 serine threonine- kinase [Chlorella sorokiniana]
OG0000028	RMZ53801.1 hypothetical protein APUTEX25_003940 [Auxenochlorella protothecoides]	PRW21073.1 G patch domain and ankyrin repeat-containing 1-like protein [Chlorella sorokiniana], PRW33315.1 serine threonine- phosphatase 6 regulatory ankyrin repeat subunit B-like [Chlorella sorokiniana], PRW58720.1 ankyrin repeat-containing protein [Chlorella sorokiniana], PRW20255.1 hypothetical protein C2E21_9214 [Chlorella sorokiniana], PRW57216.1 ankyrin repeat-containing protein [Chlorella sorokiniana]
OG0000029	RMZ54167.1 hypothetical protein APUTEX25_005323 [Auxenochlorella protothecoides]	PRW39270.1 U6 snRNA phosphodiesterase [Chlorella sorokiniana], PRW39389.1 formate nitrite transporter [Chlorella sorokiniana]
OG0000031	RMZ52494.1 hypothetical protein APUTEX25_003637 [Auxenochlorella protothecoides]	PRW50749.1 cytochrome P450 [Chlorella sorokiniana]
OG0000035	RMZ53240.1 hypothetical protein APUTEX25_005229 [Auxenochlorella protothecoides]	PRW59728.1 3-ketoacyl- synthase 11 isoform A [Chlorella sorokiniana]
OG0000035	RMZ56375.1 hypothetical protein APUTEX25_004732_ partial [Auxenochlorella protothecoides]	PRW61324.1 3-ketoacyl- synthase 4-like [Chlorella sorokiniana]
OG0000036	RMZ53707.1 hypothetical protein APUTEX25_003241 [Auxenochlorella protothecoides]	PRW61026.1 kinase [Chlorella sorokiniana]
OG0000037	RMZ53830.1 hypothetical protein APUTEX25_003969_ partial [Auxenochlorella protothecoides]	PRW50945.1 chlorophyll a b-binding [Chlorella sorokiniana], PRW20612.1 chlorophyll a b-binding [Chlorella sorokiniana]
OG0000038	RMZ55544.1 hypothetical protein APUTEX25_000127_ partial [Auxenochlorella protothecoides]	PRW50834.1 Transcription initiation factor TFIID subunit 13 [Chlorella sorokiniana], PRW33249.1 Transcription initiation factor TFIID subunit 13 isoform A [Chlorella sorokiniana], PRW33248.1 Transcription initiation factor TFIID subunit 13 isoform B [Chlorella sorokiniana], PRW05940.1 beta-1_6-N-acetylglucosaminyltransferase enzyme [Chlorella sorokiniana], PRW05935.1 beta-1_6-N-acetylglucosaminyltransferase enzyme [Chlorella sorokiniana]
OG0000038	RMZ55519.1 hypothetical protein APUTEX25_000102 [Auxenochlorella protothecoides]	PRW32548.1 Transcription initiation factor TFIID subunit 13 [Chlorella sorokiniana]
OG0000038	RMZ57629.1 hypothetical protein APUTEX25_001829 [Auxenochlorella protothecoides]	PRW45079.1 Transcription initiation factor TFIID subunit 13 [Chlorella sorokiniana]
OG0000042	RMZ53607.1 hypothetical protein APUTEX25_003141 [Auxenochlorella protothecoides]	PRW39173.1 sodium phosphate symporter [Chlorella sorokiniana]
OG0000043	RMZ57650.1 hypothetical protein APUTEX25_001850_ partial [Auxenochlorella protothecoides]	PRW45699.1 alpha-glucosidase isoform B [Chlorella sorokiniana], PRW45700.1 alpha-glucosidase isoform A [Chlorella sorokiniana], PRW44983.1 Glycosyl hydrolases family 31 isoform 1 [Chlorella sorokiniana]
OG0000045	RMZ52023.1 hypothetical protein APUTEX25_001217_ partial [Auxenochlorella protothecoides]	PRW60778.1 ATP-binding cassette transporter [Chlorella sorokiniana]
OG0000045	RMZ55942.1 hypothetical protein APUTEX25_004366 [Auxenochlorella protothecoides]	PRW58352.1 ATP-binding cassette transporter [Chlorella sorokiniana]
OG0000046	RMZ53206.1 hypothetical protein APUTEX25_005195_ partial [Auxenochlorella protothecoides]	PRW45736.1 serine threonine- kinase receptor R831 [Chlorella sorokiniana], PRW58688.1 Amino acid permease 2 [Chlorella sorokiniana], PRW58712.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW58414.1 serine threonine- kinase [Chlorella sorokiniana]
OG0000048	RMZ57813.1 hypothetical protein APUTEX25_003429_ partial [Auxenochlorella protothecoides]	PRW33180.1 oxygen evolving enhancer 3 isoform B [Chlorella sorokiniana], PRW33181.1 oxygen evolving enhancer 3 isoform C [Chlorella sorokiniana], PRW33182.1 oxygen evolving enhancer 3 isoform A [Chlorella sorokiniana]
OG0000049	RMZ56843.1 hypothetical protein APUTEX25_002932 [Auxenochlorella protothecoides]	PRW58828.1 putative ubiquitin-like-specific protease 2B isoform X1 [Chlorella sorokiniana]
OG0000049	RMZ55633.1 hypothetical protein APUTEX25_000216_ partial [Auxenochlorella protothecoides]	PRW55925.1 translation initiation factor fusion with methylthioribose kinase [Chlorella sorokiniana]
OG0000050	RMZ55912.1 hypothetical protein APUTEX25_004336 [Auxenochlorella protothecoides]	PRW33726.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW32665.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW33245.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW20392.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW51063.1 UPF0187 chloroplastic [Chlorella sorokiniana]
OG0000051	RMZ54646.1 hypothetical protein APUTEX25_003024 [Auxenochlorella protothecoides]	PRW58610.1 DETOXIFICATION 16-like [Chlorella sorokiniana]
OG0000051	RMZ53475.1 hypothetical protein APUTEX25_003297_ partial [Auxenochlorella protothecoides]	PRW56350.1 MATE efflux family [Chlorella sorokiniana], PRW56780.1 DETOXIFICATION 16-like [Chlorella sorokiniana]
OG0000052	RMZ53869.1 hypothetical protein APUTEX25_005615 [Auxenochlorella protothecoides]	PRW45252.1 zinc finger protein [Chlorella sorokiniana]
OG0000055	RMZ54002.1 hypothetical protein APUTEX25_002579_ partial [Auxenochlorella protothecoides]	PRW59967.1 Pentatricopeptide repeat-containing [Chlorella sorokiniana]
OG0000059	RMZ55038.1 hypothetical protein APUTEX25_005664 [Auxenochlorella protothecoides]	PRW21133.1 putative GTP-binding -like isoform B [Chlorella sorokiniana], PRW21134.1 putative GTP-binding -like isoform A [Chlorella sorokiniana]
OG0000059	RMZ53302.1 hypothetical protein APUTEX25_004790 [Auxenochlorella protothecoides]	PRW59349.1 cobalamin biosynthesis [Chlorella sorokiniana], PRW58648.1 cobalamin biosynthesis [Chlorella sorokiniana]
OG0000059	RMZ52433.1 hypothetical protein APUTEX25_000012_ partial [Auxenochlorella protothecoides]	PRW32945.1 zinc metalloprotease [Chlorella sorokiniana]
OG0000060	RMZ52705.1 hypothetical protein APUTEX25_000824_ partial [Auxenochlorella protothecoides]	PRW58431.1 LOV domain-containing [Chlorella sorokiniana]
OG0000060	RMZ57737.1 hypothetical protein APUTEX25_005101_ partial [Auxenochlorella protothecoides]	PRW20982.1 LOV domain-containing isoform B [Chlorella sorokiniana], PRW20983.1 LOV domain-containing isoform A [Chlorella sorokiniana]
OG0000062	RMZ54088.1 hypothetical protein APUTEX25_002665 [Auxenochlorella protothecoides]	PRW57843.1 sorcin-like [Chlorella sorokiniana]
OG0000062	RMZ54008.1 hypothetical protein APUTEX25_002585_ partial [Auxenochlorella protothecoides]	PRW45037.1 hypothetical protein C2E21_6480 [Chlorella sorokiniana], PRW44943.1 Coiled-coil domain-containing 40 isoform B [Chlorella sorokiniana], PRW44942.1 Coiled-coil domain-containing 40 isoform A [Chlorella sorokiniana], PRW44941.1 Coiled-coil domain-containing 40 isoform C [Chlorella sorokiniana]
OG0000063	RMZ54150.1 hypothetical protein APUTEX25_005306 [Auxenochlorella protothecoides]	PRW50752.1 peroxisomal membrane PEX14-like isoform X1 [Chlorella sorokiniana]
OG0000064	RMZ54709.1 hypothetical protein APUTEX25_003087 [Auxenochlorella protothecoides]	PRW44490.1 translation initiation factor [Chlorella sorokiniana]
OG0000064	RMZ57318.1 hypothetical protein APUTEX25_004152 [Auxenochlorella protothecoides]	PRW20747.1 Cullin-4 [Chlorella sorokiniana]
OG0000064	RMZ54652.1 hypothetical protein APUTEX25_003030 [Auxenochlorella protothecoides]	PRW20452.1 cullin family [Chlorella sorokiniana]
OG0000065	RMZ55168.1 hypothetical protein APUTEX25_005446 [Auxenochlorella protothecoides]	PRW20917.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana], PRW50851.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana], PRW50880.1 GPR1 FUN34 family [Chlorella sorokiniana], PRW33699.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana], PRW33593.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana]
OG0000066	RMZ56540.1 hypothetical protein APUTEX25_001387 [Auxenochlorella protothecoides]	PRW57472.1 major facilitator family [Chlorella sorokiniana]
OG0000069	RMZ52481.1 hypothetical protein APUTEX25_003624 [Auxenochlorella protothecoides]	PRW51017.1 heat shock 83 isoform A [Chlorella sorokiniana], PRW51016.1 heat shock 83 isoform B [Chlorella sorokiniana], PRW51015.1 heat shock 83 isoform C [Chlorella sorokiniana]
OG0000069	RMZ52692.1 hypothetical protein APUTEX25_000811_ partial [Auxenochlorella protothecoides]	PRW20326.1 heat shock 90C isoform B [Chlorella sorokiniana], PRW20328.1 heat shock 90C isoform C [Chlorella sorokiniana], PRW20327.1 heat shock 90C isoform A [Chlorella sorokiniana]
OG0000069	RMZ53095.1 hypothetical protein APUTEX25_002504 [Auxenochlorella protothecoides]	PRW58127.1 endoplasmin-like protein [Chlorella sorokiniana]
OG0000070	RMZ52856.1 hypothetical protein APUTEX25_000975 [Auxenochlorella protothecoides]	PRW51012.1 12-oxophytodienoate reductase 11 isoform B [Chlorella sorokiniana]
OG0000070	RMZ53469.1 hypothetical protein APUTEX25_003291_ partial [Auxenochlorella protothecoides]	PRW20924.1 potassium voltage-gated channel subfamily H member 6 isoform X1 [Chlorella sorokiniana], PRW33893.1 Cyclic nucleotide-gated ion channel 1 [Chlorella sorokiniana]
OG0000071	RMZ54148.1 hypothetical protein APUTEX25_005304 [Auxenochlorella protothecoides]	PRW60879.1 Calcium calmodulin-dependent kinase type 1 [Chlorella sorokiniana]
OG0000072	RMZ54387.1 hypothetical protein APUTEX25_001963 [Auxenochlorella protothecoides]	PRW58570.1 beta-Ig-H3 fasciclin [Chlorella sorokiniana], PRW58312.1 beta-Ig-H3 fasciclin [Chlorella sorokiniana], PRW58483.1 beta-Ig-H3 fasciclin [Chlorella sorokiniana], PRW56406.1 beta-Ig-H3 fasciclin [Chlorella sorokiniana]
OG0000074	RMZ55613.1 hypothetical protein APUTEX25_000196 [Auxenochlorella protothecoides]	PRW20365.1 endonuclease 2 isoform X1 [Chlorella sorokiniana], PRW61163.1 hypothetical protein C2E21_0045 [Chlorella sorokiniana]
OG0000078	RMZ56534.1 hypothetical protein APUTEX25_001381 [Auxenochlorella protothecoides]	PRW57277.1 phosphofructokinase family [Chlorella sorokiniana]
OG0000078	RMZ52490.1 hypothetical protein APUTEX25_003633_ partial [Auxenochlorella protothecoides]	PRW56044.1 phosphofructokinase family isoform B [Chlorella sorokiniana], PRW56045.1 phosphofructokinase family isoform A [Chlorella sorokiniana]
OG0000078	RMZ53346.1 hypothetical protein APUTEX25_004834 [Auxenochlorella protothecoides]	PRW58389.1 phosphofructokinase family [Chlorella sorokiniana]
OG0000079	RMZ53096.1 hypothetical protein APUTEX25_002505 [Auxenochlorella protothecoides]	PRW58244.1 luminal-binding 5-like [Chlorella sorokiniana]
OG0000080	RMZ55523.1 hypothetical protein APUTEX25_000106 [Auxenochlorella protothecoides]	PRW05945.1 MIS12-like protein [Chlorella sorokiniana], PRW51019.1 hypothetical protein C2E21_5409 [Chlorella sorokiniana], PRW50784.1 hypothetical protein C2E21_5410 [Chlorella sorokiniana], PRW56409.1 sulfotransferase [Chlorella sorokiniana], PRW61543.1 sulfotransferase [Chlorella sorokiniana], PRW44571.1 sulfotransferase [Chlorella sorokiniana]
OG0000081	RMZ56073.1 hypothetical protein APUTEX25_004497_ partial [Auxenochlorella protothecoides]	PRW56561.1 non-ribosomal peptide synthetase [Chlorella sorokiniana]
OG0000081	RMZ56025.1 hypothetical protein APUTEX25_004449 [Auxenochlorella protothecoides]	PRW56611.1 putative sodium metabolite cotransporter chloroplastic [Chlorella sorokiniana]
OG0000082	RMZ52693.1 hypothetical protein APUTEX25_000812 [Auxenochlorella protothecoides]	PRW60771.1 hypothetical protein C2E21_1229 [Chlorella sorokiniana], PRW59159.1 kinase domain containing [Chlorella sorokiniana], PRW51136.1 hypothetical protein C2E21_5509 [Chlorella sorokiniana], PRW33292.1 hypothetical protein C2E21_7904 [Chlorella sorokiniana]
OG0000083	RMZ54832.1 hypothetical protein APUTEX25_000349 [Auxenochlorella protothecoides]	PRW56146.1 puromycin-sensitive aminopeptidase isoform X1 isoform B [Chlorella sorokiniana], PRW56145.1 puromycin-sensitive aminopeptidase isoform X1 isoform A [Chlorella sorokiniana]
OG0000083	RMZ53760.1 hypothetical protein APUTEX25_003899 [Auxenochlorella protothecoides]	PRW56133.1 hypothetical protein C2E21_5250 [Chlorella sorokiniana]
OG0000084	RMZ54449.1 hypothetical protein APUTEX25_002025_ partial [Auxenochlorella protothecoides]	PRW20938.1 Cysteine chloroplastic chromoplastic [Chlorella sorokiniana]
OG0000084	RMZ56130.1 hypothetical protein APUTEX25_004554 [Auxenochlorella protothecoides]	PRW56601.1 cysteine synthase A [Chlorella sorokiniana]
OG0000087	RMZ52173.1 hypothetical protein APUTEX25_001563 [Auxenochlorella protothecoides]	PRW20801.1 peroxisomal membrane PMP22 [Chlorella sorokiniana]
OG0000087	RMZ55593.1 hypothetical protein APUTEX25_000176 [Auxenochlorella protothecoides]	PRW61348.1 hexose phosphate transport isoform B [Chlorella sorokiniana], PRW61349.1 hexose phosphate transport isoform A [Chlorella sorokiniana]
OG0000088	RMZ55551.1 hypothetical protein APUTEX25_000134 [Auxenochlorella protothecoides]	PRW59875.1 Pyruvate kinase [Chlorella sorokiniana], PRW57674.1 Pyruvate kinase [Chlorella sorokiniana]
OG0000088	RMZ52215.1 hypothetical protein APUTEX25_001605 [Auxenochlorella protothecoides]	PRW57773.1 pyruvate kinase isoform A [Chlorella sorokiniana], PRW57774.1 pyruvate kinase isoform B [Chlorella sorokiniana], PRW57775.1 pyruvate kinase isoform C [Chlorella sorokiniana]
OG0000089	RMZ53103.1 hypothetical protein APUTEX25_002512_ partial [Auxenochlorella protothecoides]	PRW58095.1 CSE family protein [Chlorella sorokiniana]
OG0000089	RMZ52759.1 hypothetical protein APUTEX25_000878 [Auxenochlorella protothecoides]	PRW45466.1 beta-carotene hydroxylase [Chlorella sorokiniana]
OG0000090	RMZ53227.1 hypothetical protein APUTEX25_005216 [Auxenochlorella protothecoides]	PRW44297.1 serine acetyltransferase [Chlorella sorokiniana]
OG0000090	RMZ55739.1 hypothetical protein APUTEX25_005780_ partial [Auxenochlorella protothecoides]	PRW61457.1 serine acetyltransferase 2 [Chlorella sorokiniana], PRW44585.1 serine O-acetyltransferase [Chlorella sorokiniana]
OG0000090	RMZ55723.1 hypothetical protein APUTEX25_005764 [Auxenochlorella protothecoides]	PRW61310.1 S-adenosyl-L-methionine-dependent methyltransferase [Chlorella sorokiniana]
OG0000091	RMZ57273.1 hypothetical protein APUTEX25_004107 [Auxenochlorella protothecoides]	PRW60266.1 Serine threonine- phosphatase 2A catalytic subunit beta isoform [Chlorella sorokiniana]
OG0000091	RMZ54971.1 hypothetical protein APUTEX25_000488 [Auxenochlorella protothecoides]	PRW20366.1 serine threonine- phosphatase PP-X isozyme 2 [Chlorella sorokiniana]
OG0000091	RMZ57393.1 hypothetical protein APUTEX25_004227 [Auxenochlorella protothecoides]	PRW20629.1 phytochrome-associated serine threonine- phosphatase 3-like [Chlorella sorokiniana]
OG0000095	RMZ52360.1 hypothetical protein APUTEX25_000635_ partial [Auxenochlorella protothecoides]	PRW59313.1 U3 small nucleolar RNA-associated 25 [Chlorella sorokiniana]
OG0000096	RMZ52686.1 hypothetical protein APUTEX25_000805 [Auxenochlorella protothecoides]	PRW21097.1 ATP-binding cassette sub-family B member mitochondrial isoform B [Chlorella sorokiniana]
OG0000096	RMZ56656.1 hypothetical protein APUTEX25_002745_ partial [Auxenochlorella protothecoides]	PRW21098.1 ATP-binding cassette sub-family B member mitochondrial isoform A [Chlorella sorokiniana]
OG0000097	RMZ52823.1 hypothetical protein APUTEX25_000942_ partial [Auxenochlorella protothecoides]	PRW44590.1 CURVATURE THYLAKOID chloroplastic [Chlorella sorokiniana]
OG0000097	RMZ54024.1 hypothetical protein APUTEX25_002601 [Auxenochlorella protothecoides]	PRW59626.1 CURVATURE THYLAKOID chloroplastic-like isoform B [Chlorella sorokiniana], PRW59627.1 CURVATURE THYLAKOID chloroplastic-like isoform A [Chlorella sorokiniana]
OG0000098	RMZ53120.1 hypothetical protein APUTEX25_005109 [Auxenochlorella protothecoides]	PRW61160.1 malate mitochondrial isoform B [Chlorella sorokiniana], PRW61159.1 malate mitochondrial isoform A [Chlorella sorokiniana]
OG0000098	RMZ55147.1 hypothetical protein APUTEX25_005425 [Auxenochlorella protothecoides]	PRW18311.1 malate glyoxysomal-like [Chlorella sorokiniana]
OG0000099	RMZ53156.1 hypothetical protein APUTEX25_005145_ partial [Auxenochlorella protothecoides]	PRW57607.1 Endoglucanase A [Chlorella sorokiniana], PRW44265.1 Endoglucanase A [Chlorella sorokiniana]
OG0000100	RMZ53823.1 hypothetical protein APUTEX25_003962_ partial [Auxenochlorella protothecoides]	PRW61091.1 TOC75- chloroplastic [Chlorella sorokiniana]
OG0000100	RMZ53226.1 hypothetical protein APUTEX25_005215 [Auxenochlorella protothecoides]	PRW61354.1 ru large subunit-binding subunit chloroplastic isoform A [Chlorella sorokiniana], PRW61355.1 ru large subunit-binding subunit chloroplastic isoform B [Chlorella sorokiniana]
OG0000101	RMZ53299.1 hypothetical protein APUTEX25_004787 [Auxenochlorella protothecoides]	PRW61387.1 ATP-dependent Clp protease ATP-binding subunit-like protein chloroplastic [Chlorella sorokiniana]
OG0000101	RMZ55341.1 hypothetical protein APUTEX25_003479 [Auxenochlorella protothecoides]	PRW59843.1 ATP-dependent chaperone [Chlorella sorokiniana]
OG0000101	RMZ55334.1 hypothetical protein APUTEX25_003472 [Auxenochlorella protothecoides]	PRW57345.1 ATP-dependent Clp protease ATP-binding subunit [Chlorella sorokiniana]
OG0000102	RMZ53552.1 hypothetical protein APUTEX25_003374_ partial [Auxenochlorella protothecoides]	PRW56489.1 ferredoxin-dependent glutamate synthase isoform A [Chlorella sorokiniana], PRW56490.1 ferredoxin-dependent glutamate synthase isoform B [Chlorella sorokiniana]
