Orthogroup	Chlorella_Vulgaris2111P	Scenedesmus_NREL
OG0000006	KAI3428490.1 hypothetical protein D9Q98_007315 [Chlorella vulgaris], KAI3438102.1 hypothetical protein D9Q98_000544 [Chlorella vulgaris], KAI3430385.1 hypothetical protein D9Q98_004980 [Chlorella vulgaris], KAI3437833.1 hypothetical protein D9Q98_000279 [Chlorella vulgaris], KAI3437832.1 hypothetical protein D9Q98_000279 [Chlorella vulgaris], KAI3436594.1 hypothetical protein D9Q98_006011 [Chlorella vulgaris], KAI3432561.1 hypothetical protein D9Q98_004110 [Chlorella vulgaris], KAI3436086.1 hypothetical protein D9Q98_002144 [Chlorella vulgaris], KAI3437831.1 hypothetical protein D9Q98_000278 [Chlorella vulgaris], KAI3427342.1 hypothetical protein D9Q98_010259 [Chlorella vulgaris], KAI3427397.1 hypothetical protein D9Q98_010312 [Chlorella vulgaris], KAI3432762.1 hypothetical protein D9Q98_004302 [Chlorella vulgaris], KAI3430255.1 hypothetical protein D9Q98_004851 [Chlorella vulgaris], KAI3425719.1 hypothetical protein D9Q98_007695 [Chlorella vulgaris], KAI3425723.1 hypothetical protein D9Q98_007699 [Chlorella vulgaris], KAI3425720.1 hypothetical protein D9Q98_007696 [Chlorella vulgaris], KAI3425961.1 hypothetical protein D9Q98_007931 [Chlorella vulgaris]	KAF6263287.1 kinase-like domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6253127.1 hypothetical protein COO60DRAFT_1463350 [Scenedesmus sp. NREL 46B-D3]
OG0000007	KAI3424460.1 hypothetical protein D9Q98_010011 [Chlorella vulgaris], KAI3424352.1 hypothetical protein D9Q98_009905 [Chlorella vulgaris], KAI3424382.1 hypothetical protein D9Q98_009935 [Chlorella vulgaris], KAI3424433.1 hypothetical protein D9Q98_009985 [Chlorella vulgaris], KAI3424411.1 hypothetical protein D9Q98_009963 [Chlorella vulgaris], KAI3424401.1 hypothetical protein D9Q98_009954 [Chlorella vulgaris], KAI3424376.1 hypothetical protein D9Q98_009929 [Chlorella vulgaris], KAI3428572.1 hypothetical protein D9Q98_007394 [Chlorella vulgaris], KAI3428591.1 hypothetical protein D9Q98_007414 [Chlorella vulgaris], KAI3429596.1 hypothetical protein D9Q98_005682 [Chlorella vulgaris]	KAF6252075.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6248398.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6252085.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253507.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253137.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253540.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253534.1 histone H2B type 1-C/E/F/G/I-like protein [Scenedesmus sp. NREL 46B-D3], KAF6240836.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6266598.1 putative histone [Scenedesmus sp. NREL 46B-D3]
OG0000008	KAI3424356.1 hypothetical protein D9Q98_009909 [Chlorella vulgaris], KAI3428573.1 hypothetical protein D9Q98_007395 [Chlorella vulgaris], KAI3424399.1 hypothetical protein D9Q98_009952 [Chlorella vulgaris], KAI3424386.1 hypothetical protein D9Q98_009939 [Chlorella vulgaris], KAI3433952.1 hypothetical protein D9Q98_003754 [Chlorella vulgaris], KAI3428590.1 hypothetical protein D9Q98_007413 [Chlorella vulgaris], KAI3433958.1 hypothetical protein D9Q98_003760 [Chlorella vulgaris], KAI3424372.1 hypothetical protein D9Q98_009925 [Chlorella vulgaris], KAI3424431.1 hypothetical protein D9Q98_009983 [Chlorella vulgaris], KAI3424396.1 hypothetical protein D9Q98_009949 [Chlorella vulgaris], KAI3427072.1 hypothetical protein D9Q98_007012 [Chlorella vulgaris], KAI3424413.1 hypothetical protein D9Q98_009965 [Chlorella vulgaris], KAI3428056.1 hypothetical protein D9Q98_006441 [Chlorella vulgaris]	KAF6253689.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253539.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252081.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252086.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6248397.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253533.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6248395.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252074.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253506.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000009	KAI3438951.1 hypothetical protein D9Q98_001365 [Chlorella vulgaris]	KAF6242295.1 hypothetical protein COO60DRAFT_206430 [Scenedesmus sp. NREL 46B-D3]
OG0000011	KAI3436536.1 hypothetical protein D9Q98_005953 [Chlorella vulgaris], KAI3436537.1 hypothetical protein D9Q98_005954 [Chlorella vulgaris]	KAF6265892.1 hypothetical protein COO60DRAFT_768059 [Scenedesmus sp. NREL 46B-D3], KAF6265889.1 hypothetical protein COO60DRAFT_1697568 [Scenedesmus sp. NREL 46B-D3], KAF6258193.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263888.1 hypothetical protein COO60DRAFT_308005 [Scenedesmus sp. NREL 46B-D3], KAF6255294.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255835.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266356.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6265430.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000012	KAI3424414.1 hypothetical protein D9Q98_009966 [Chlorella vulgaris]	KAF6251374.1 histone H3.1-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000013	KAI3426414.1 hypothetical protein D9Q98_008783 [Chlorella vulgaris]	KAF6263511.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263514.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250539.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257324.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255583.1 Snf1-like ser/thr protein kinase [Scenedesmus sp. NREL 46B-D3]
OG0000013	KAI3438615.1 hypothetical protein D9Q98_001038 [Chlorella vulgaris]	KAF6258910.1 Snf1-like protein kinase [Scenedesmus sp. NREL 46B-D3]
OG0000013	KAI3438614.1 hypothetical protein D9Q98_001037 [Chlorella vulgaris]	KAF6256672.1 Rab3 GTPase-activating protein catalytic subunit-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000014	KAI3436474.1 hypothetical protein D9Q98_005891 [Chlorella vulgaris]	KAF6256541.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000014	KAI3435791.1 hypothetical protein D9Q98_001849 [Chlorella vulgaris]	KAF6264995.1 hypothetical protein COO60DRAFT_1698077 [Scenedesmus sp. NREL 46B-D3]
OG0000014	KAI3424803.1 hypothetical protein D9Q98_008189 [Chlorella vulgaris]	KAF6259760.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000014	KAI3438190.1 hypothetical protein D9Q98_000627 [Chlorella vulgaris]	KAF6258195.1 cyclophilin-type peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. NREL 46B-D3]
OG0000014	KAI3433293.1 hypothetical protein D9Q98_003112 [Chlorella vulgaris]	KAF6253704.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000014	KAI3438732.1 hypothetical protein D9Q98_001152 [Chlorella vulgaris]	KAF6252786.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6236267.1 NDH subunit PnsL5_ partial [Scenedesmus sp. NREL 46B-D3]
OG0000014	KAI3438240.1 hypothetical protein D9Q98_000677 [Chlorella vulgaris]	KAF6259651.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000015	KAI3432843.1 hypothetical protein D9Q98_010427 [Chlorella vulgaris]	KAF6251559.1 hypothetical protein COO60DRAFT_1644892 [Scenedesmus sp. NREL 46B-D3]
OG0000016	KAI3427078.1 hypothetical protein D9Q98_007017 [Chlorella vulgaris], KAI3427077.1 hypothetical protein D9Q98_007017 [Chlorella vulgaris]	KAF6257509.1 mitochondrial carrier domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000016	KAI3425284.1 hypothetical protein D9Q98_009051 [Chlorella vulgaris]	KAF6264957.1 hypothetical protein COO60DRAFT_1634011 [Scenedesmus sp. NREL 46B-D3]
OG0000016	KAI3428307.1 hypothetical protein D9Q98_006686 [Chlorella vulgaris]	KAF6262261.1 ubiquitin extension protein [Scenedesmus sp. NREL 46B-D3]
OG0000017	KAI3437548.1 hypothetical protein D9Q98_000001_ partial [Chlorella vulgaris], KAI3424825.1 hypothetical protein D9Q98_008211 [Chlorella vulgaris], KAI3432781.1 hypothetical protein D9Q98_010366 [Chlorella vulgaris], KAI3435038.1 hypothetical protein D9Q98_003089 [Chlorella vulgaris], KAI3426835.1 hypothetical protein D9Q98_006782 [Chlorella vulgaris], KAI3428413.1 hypothetical protein D9Q98_007240 [Chlorella vulgaris], KAI3434647.1 hypothetical protein D9Q98_002712 [Chlorella vulgaris], KAI3435037.1 hypothetical protein D9Q98_003089 [Chlorella vulgaris], KAI3436335.1 hypothetical protein D9Q98_002388 [Chlorella vulgaris]	KAF6249604.1 hypothetical protein COO60DRAFT_944372 [Scenedesmus sp. NREL 46B-D3]
OG0000018	KAI3428238.1 hypothetical protein D9Q98_006618 [Chlorella vulgaris]	KAF6252740.1 hypothetical protein COO60DRAFT_502322 [Scenedesmus sp. NREL 46B-D3], KAF6253083.1 hypothetical protein COO60DRAFT_469421 [Scenedesmus sp. NREL 46B-D3]
OG0000018	KAI3426185.1 hypothetical protein D9Q98_008562 [Chlorella vulgaris]	KAF6259699.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000018	KAI3424394.1 hypothetical protein D9Q98_009947 [Chlorella vulgaris]	KAF6262542.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6256388.1 hypothetical protein COO60DRAFT_115932 [Scenedesmus sp. NREL 46B-D3]
OG0000018	KAI3424403.1 hypothetical protein D9Q98_009956 [Chlorella vulgaris], KAI3424404.1 hypothetical protein D9Q98_009956 [Chlorella vulgaris]	KAF6253755.1 hypothetical protein COO60DRAFT_391601 [Scenedesmus sp. NREL 46B-D3]
OG0000018	KAI3426390.1 hypothetical protein D9Q98_008761 [Chlorella vulgaris]	KAF6260264.1 c-myb-like transcription factor [Scenedesmus sp. NREL 46B-D3], KAF6255543.1 hypothetical protein COO60DRAFT_204648 [Scenedesmus sp. NREL 46B-D3]
OG0000018	KAI3427919.1 hypothetical protein D9Q98_006311 [Chlorella vulgaris]	KAF6257155.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6263245.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6251055.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000020	KAI3433312.1 hypothetical protein D9Q98_003130 [Chlorella vulgaris]	KAF6261082.1 hypothetical protein COO60DRAFT_1637118 [Scenedesmus sp. NREL 46B-D3], KAF6256201.1 hypothetical protein COO60DRAFT_1640881 [Scenedesmus sp. NREL 46B-D3], KAF6258856.1 hypothetical protein COO60DRAFT_1626293 [Scenedesmus sp. NREL 46B-D3]
OG0000022	KAI3436432.1 hypothetical protein D9Q98_005849 [Chlorella vulgaris], KAI3436433.1 hypothetical protein D9Q98_005850 [Chlorella vulgaris]	KAF6256740.1 hypothetical protein COO60DRAFT_1527996 [Scenedesmus sp. NREL 46B-D3]
OG0000023	KAI3430338.1 hypothetical protein D9Q98_004933 [Chlorella vulgaris], KAI3430336.1 hypothetical protein D9Q98_004931 [Chlorella vulgaris], KAI3428527.1 hypothetical protein D9Q98_007350 [Chlorella vulgaris], KAI3428437.1 hypothetical protein D9Q98_007264 [Chlorella vulgaris]	KAF6249474.1 hypothetical protein COO60DRAFT_968441 [Scenedesmus sp. NREL 46B-D3], KAF6261206.1 hypothetical protein COO60DRAFT_801690 [Scenedesmus sp. NREL 46B-D3]
OG0000023	KAI3438995.1 hypothetical protein D9Q98_001407 [Chlorella vulgaris]	KAF6253365.1 hypothetical protein COO60DRAFT_1273755 [Scenedesmus sp. NREL 46B-D3]
OG0000023	KAI3439065.1 hypothetical protein D9Q98_001475 [Chlorella vulgaris], KAI3430482.1 hypothetical protein D9Q98_005077 [Chlorella vulgaris]	KAF6262812.1 hypothetical protein COO60DRAFT_1493981 [Scenedesmus sp. NREL 46B-D3]
OG0000024	KAI3437697.1 hypothetical protein D9Q98_000146 [Chlorella vulgaris]	KAF6259892.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]
OG0000024	KAI3426010.1 hypothetical protein D9Q98_007978 [Chlorella vulgaris], KAI3426016.1 hypothetical protein D9Q98_007984 [Chlorella vulgaris], KAI3427425.1 hypothetical protein D9Q98_010340 [Chlorella vulgaris], KAI3427426.1 hypothetical protein D9Q98_010341 [Chlorella vulgaris], KAI3429556.1 hypothetical protein D9Q98_005644 [Chlorella vulgaris], KAI3436676.1 hypothetical protein D9Q98_006092 [Chlorella vulgaris], KAI3437696.1 hypothetical protein D9Q98_000145 [Chlorella vulgaris]	KAF6250510.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252011.1 subtilase [Scenedesmus sp. NREL 46B-D3]
OG0000025	KAI3436539.1 hypothetical protein D9Q98_005956 [Chlorella vulgaris]	KAF6261295.1 CheY-like superfamily [Scenedesmus sp. NREL 46B-D3]
OG0000025	KAI3425317.1 hypothetical protein D9Q98_009082 [Chlorella vulgaris], KAI3425318.1 hypothetical protein D9Q98_009082 [Chlorella vulgaris]	KAF6253158.1 Homeodomain-like protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6257170.1 Homeodomain-like protein_ partial [Scenedesmus sp. NREL 46B-D3]
OG0000025	KAI3438452.1 hypothetical protein D9Q98_000881 [Chlorella vulgaris]	KAF6266106.1 hypothetical protein COO60DRAFT_1697463 [Scenedesmus sp. NREL 46B-D3]
OG0000025	KAI3437773.1 hypothetical protein D9Q98_000220 [Chlorella vulgaris]	KAF6252940.1 hypothetical protein COO60DRAFT_481024 [Scenedesmus sp. NREL 46B-D3]
OG0000026	KAI3427076.1 hypothetical protein D9Q98_007016 [Chlorella vulgaris]	KAF6258814.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]
OG0000026	KAI3424157.1 hypothetical protein D9Q98_009516 [Chlorella vulgaris]	KAF6252797.1 hypothetical protein COO60DRAFT_1628447 [Scenedesmus sp. NREL 46B-D3]
OG0000028	KAI3430771.1 hypothetical protein D9Q98_009183 [Chlorella vulgaris], KAI3433783.1 hypothetical protein D9Q98_003588 [Chlorella vulgaris]	KAF6262142.1 hypothetical protein COO60DRAFT_675402 [Scenedesmus sp. NREL 46B-D3]
OG0000029	KAI3429477.1 hypothetical protein D9Q98_005568 [Chlorella vulgaris]	KAF6253957.1 histidine phosphatase superfamily [Scenedesmus sp. NREL 46B-D3]
OG0000029	KAI3431531.1 hypothetical protein D9Q98_004581 [Chlorella vulgaris], KAI3431536.1 hypothetical protein D9Q98_004586 [Chlorella vulgaris]	KAF6262470.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262467.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000031	KAI3435993.1 hypothetical protein D9Q98_002050 [Chlorella vulgaris], KAI3435991.1 hypothetical protein D9Q98_002048 [Chlorella vulgaris], KAI3435992.1 hypothetical protein D9Q98_002049 [Chlorella vulgaris]	KAF6257433.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]
OG0000031	KAI3424890.1 hypothetical protein D9Q98_008274 [Chlorella vulgaris], KAI3438694.1 hypothetical protein D9Q98_001114 [Chlorella vulgaris]	KAF6260940.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]
OG0000032	KAI3433537.1 hypothetical protein D9Q98_003347 [Chlorella vulgaris], KAI3438051.1 hypothetical protein D9Q98_000494 [Chlorella vulgaris], KAI3425810.1 hypothetical protein D9Q98_007785 [Chlorella vulgaris], KAI3434627.1 hypothetical protein D9Q98_002694 [Chlorella vulgaris], KAI3430824.1 hypothetical protein D9Q98_009235 [Chlorella vulgaris]	KAF6252709.1 Gametolysin peptidase M11-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6265132.1 Gametolysin peptidase M11-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000035	KAI3435762.1 hypothetical protein D9Q98_001820 [Chlorella vulgaris]	KAF6253624.1 LsmAD domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000035	KAI3432775.1 hypothetical protein D9Q98_004315 [Chlorella vulgaris], KAI3432777.1 hypothetical protein D9Q98_004315 [Chlorella vulgaris], KAI3432776.1 hypothetical protein D9Q98_004315 [Chlorella vulgaris]	KAF6254848.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254756.1 hypothetical protein COO60DRAFT_1286152_ partial [Scenedesmus sp. NREL 46B-D3], KAF6264839.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6261610.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257671.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266311.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6251507.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000036	KAI3426335.1 hypothetical protein D9Q98_008708 [Chlorella vulgaris], KAI3438918.1 hypothetical protein D9Q98_001332 [Chlorella vulgaris], KAI3431592.1 hypothetical protein D9Q98_004642 [Chlorella vulgaris], KAI3432747.1 hypothetical protein D9Q98_004288 [Chlorella vulgaris], KAI3434780.1 hypothetical protein D9Q98_002840 [Chlorella vulgaris], KAI3432748.1 hypothetical protein D9Q98_004289 [Chlorella vulgaris], KAI3431777.1 hypothetical protein D9Q98_010532 [Chlorella vulgaris], KAI3432880.1 hypothetical protein D9Q98_010463 [Chlorella vulgaris], KAI3432881.1 hypothetical protein D9Q98_010463 [Chlorella vulgaris]	KAF6263822.1 hypothetical protein COO60DRAFT_345552 [Scenedesmus sp. NREL 46B-D3]
OG0000037	KAI3436635.1 hypothetical protein D9Q98_006051 [Chlorella vulgaris]	KAF6262818.1 light harvesting complex II protein precursor [Scenedesmus sp. NREL 46B-D3]
OG0000037	KAI3432340.1 hypothetical protein D9Q98_003898 [Chlorella vulgaris]	KAF6254837.1 light-harvesting chlorophyll a/b-binding protein LhcbM2 [Scenedesmus sp. NREL 46B-D3], KAF6254840.1 light-harvesting chlorophyll a/b-binding protein LhcbM2 [Scenedesmus sp. NREL 46B-D3], KAF6254838.1 light-harvesting chlorophyll a/b-binding protein LhcbM3 [Scenedesmus sp. NREL 46B-D3]
OG0000038	KAI3428200.1 hypothetical protein D9Q98_006580 [Chlorella vulgaris], KAI3431710.1 hypothetical protein D9Q98_004755 [Chlorella vulgaris], KAI3427440.1 hypothetical protein D9Q98_010355 [Chlorella vulgaris], KAI3427437.1 hypothetical protein D9Q98_010352 [Chlorella vulgaris], KAI3423835.1 hypothetical protein D9Q98_009671 [Chlorella vulgaris], KAI3432241.1 hypothetical protein D9Q98_003802 [Chlorella vulgaris], KAI3426374.1 hypothetical protein D9Q98_008746 [Chlorella vulgaris]	KAF6256320.1 core-2/I-branching enzyme-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000040	KAI3433853.1 hypothetical protein D9Q98_003656 [Chlorella vulgaris], KAI3433943.1 hypothetical protein D9Q98_003745 [Chlorella vulgaris], KAI3431794.1 hypothetical protein D9Q98_010547 [Chlorella vulgaris]	KAF6260197.1 hypothetical protein COO60DRAFT_1507980 [Scenedesmus sp. NREL 46B-D3]
OG0000041	KAI3424283.1 hypothetical protein D9Q98_009838 [Chlorella vulgaris], KAI3423982.1 hypothetical protein D9Q98_009815 [Chlorella vulgaris]	KAF6263524.1 hypothetical protein COO60DRAFT_413862 [Scenedesmus sp. NREL 46B-D3], KAF6251517.1 hypothetical protein COO60DRAFT_608923 [Scenedesmus sp. NREL 46B-D3]
OG0000042	KAI3430490.1 hypothetical protein D9Q98_005085 [Chlorella vulgaris], KAI3429392.1 hypothetical protein D9Q98_005487 [Chlorella vulgaris]	KAF6263080.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3], KAF6256603.1 sodium/phosphate symporter [Scenedesmus sp. NREL 46B-D3], KAF6259740.1 sodium/phosphate symporter [Scenedesmus sp. NREL 46B-D3], KAF6251745.1 phosphate transporter family-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262371.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3]
OG0000043	KAI3424775.1 hypothetical protein D9Q98_008163 [Chlorella vulgaris], KAI3426380.1 hypothetical protein D9Q98_008751 [Chlorella vulgaris]	KAF6262255.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264757.1 glycosyl hydrolases family 31-domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6253912.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262828.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254921.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6258268.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256155.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000044	KAI3438166.1 hypothetical protein D9Q98_000603 [Chlorella vulgaris]	KAF6250838.1 hypothetical protein COO60DRAFT_1566477 [Scenedesmus sp. NREL 46B-D3], KAF6252628.1 hypothetical protein COO60DRAFT_1552102 [Scenedesmus sp. NREL 46B-D3]
OG0000044	KAI3424684.1 hypothetical protein D9Q98_008074 [Chlorella vulgaris], KAI3434824.1 hypothetical protein D9Q98_002880 [Chlorella vulgaris], KAI3424683.1 hypothetical protein D9Q98_008073 [Chlorella vulgaris]	KAF6258012.1 hypothetical protein COO60DRAFT_1164663 [Scenedesmus sp. NREL 46B-D3]
OG0000046	KAI3433944.1 hypothetical protein D9Q98_003746 [Chlorella vulgaris], KAI3423962.1 hypothetical protein D9Q98_009796 [Chlorella vulgaris], KAI3427363.1 hypothetical protein D9Q98_010279 [Chlorella vulgaris], KAI3424711.1 hypothetical protein D9Q98_008100 [Chlorella vulgaris]	KAF6253266.1 hypothetical protein COO60DRAFT_434274 [Scenedesmus sp. NREL 46B-D3]
