Orthogroup	Auxenochlorella_protothecoides	Chlorella_A99	Chlorella_KRBP	Chlorella_Sorokiniana1602	Chlorella_VariabilisNC64A	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180	Scenedesmus_NREL	Scenedesmus_PABB004
OG0010685	RMZ52345.1 hypothetical protein APUTEX25_005098_ partial [Auxenochlorella protothecoides]									
OG0010686	RMZ52346.1 hypothetical protein APUTEX25_005099 [Auxenochlorella protothecoides]									
OG0010687	RMZ52354.1 hypothetical protein APUTEX25_000629 [Auxenochlorella protothecoides]									
OG0010688	RMZ52379.1 hypothetical protein APUTEX25_000654 [Auxenochlorella protothecoides]									
OG0010689	RMZ52382.1 hypothetical protein APUTEX25_000657 [Auxenochlorella protothecoides]									
OG0010690	RMZ52385.1 hypothetical protein APUTEX25_000660 [Auxenochlorella protothecoides]									
OG0010691	RMZ52418.1 hypothetical protein APUTEX25_000693 [Auxenochlorella protothecoides]									
OG0010692	RMZ52422.1 hypothetical protein APUTEX25_000697 [Auxenochlorella protothecoides]									
OG0010693	RMZ52470.1 hypothetical protein APUTEX25_000049_ partial [Auxenochlorella protothecoides]									
OG0010694	RMZ52522.1 hypothetical protein APUTEX25_003665 [Auxenochlorella protothecoides]									
OG0010695	RMZ52523.1 hypothetical protein APUTEX25_003666 [Auxenochlorella protothecoides]									
OG0010696	RMZ52532.1 hypothetical protein APUTEX25_003675 [Auxenochlorella protothecoides]									
OG0010697	RMZ52576.1 hypothetical protein APUTEX25_003719 [Auxenochlorella protothecoides]									
OG0010698	RMZ52582.1 hypothetical protein APUTEX25_003725 [Auxenochlorella protothecoides]									
OG0010699	RMZ52583.1 hypothetical protein APUTEX25_003726 [Auxenochlorella protothecoides]									
OG0010700	RMZ52587.1 hypothetical protein APUTEX25_003613_ partial [Auxenochlorella protothecoides]									
OG0010701	RMZ52589.1 hypothetical protein APUTEX25_000708_ partial [Auxenochlorella protothecoides]									
OG0010702	RMZ52590.1 hypothetical protein APUTEX25_000709_ partial [Auxenochlorella protothecoides]									
OG0010703	RMZ52591.1 hypothetical protein APUTEX25_000710 [Auxenochlorella protothecoides]									
OG0010704	RMZ52593.1 hypothetical protein APUTEX25_000712_ partial [Auxenochlorella protothecoides]									
OG0010705	RMZ52600.1 hypothetical protein APUTEX25_000719_ partial [Auxenochlorella protothecoides]									
OG0010706	RMZ52606.1 hypothetical protein APUTEX25_000725_ partial [Auxenochlorella protothecoides]									
OG0010707	RMZ52622.1 hypothetical protein APUTEX25_000741 [Auxenochlorella protothecoides]									
OG0010708	RMZ52623.1 hypothetical protein APUTEX25_000742 [Auxenochlorella protothecoides]									
OG0010709	RMZ52626.1 hypothetical protein APUTEX25_000745_ partial [Auxenochlorella protothecoides]									
OG0010710	RMZ52676.1 hypothetical protein APUTEX25_000795_ partial [Auxenochlorella protothecoides]									
OG0010711	RMZ52739.1 hypothetical protein APUTEX25_000858_ partial [Auxenochlorella protothecoides]									
OG0010712	RMZ52760.1 hypothetical protein APUTEX25_000879 [Auxenochlorella protothecoides]									
OG0010713	RMZ52766.1 hypothetical protein APUTEX25_000885_ partial [Auxenochlorella protothecoides]									
OG0010714	RMZ52771.1 hypothetical protein APUTEX25_000890_ partial [Auxenochlorella protothecoides]									
OG0010715	RMZ52775.1 hypothetical protein APUTEX25_000894 [Auxenochlorella protothecoides]									
OG0010716	RMZ52780.1 hypothetical protein APUTEX25_000899 [Auxenochlorella protothecoides]									
OG0010717	RMZ52795.1 hypothetical protein APUTEX25_000914_ partial [Auxenochlorella protothecoides]									
OG0010718	RMZ52802.1 hypothetical protein APUTEX25_000921_ partial [Auxenochlorella protothecoides]									
OG0010719	RMZ52835.1 hypothetical protein APUTEX25_000954_ partial [Auxenochlorella protothecoides]									
OG0010720	RMZ52841.1 hypothetical protein APUTEX25_000960_ partial [Auxenochlorella protothecoides]									
OG0010721	RMZ52850.1 hypothetical protein APUTEX25_000969_ partial [Auxenochlorella protothecoides]									
OG0010722	RMZ52876.1 hypothetical protein APUTEX25_000995 [Auxenochlorella protothecoides]									
OG0010723	RMZ52883.1 hypothetical protein APUTEX25_001002 [Auxenochlorella protothecoides]									
OG0010724	RMZ52884.1 hypothetical protein APUTEX25_001003_ partial [Auxenochlorella protothecoides]									
OG0010725	RMZ52902.1 hypothetical protein APUTEX25_001021_ partial [Auxenochlorella protothecoides]									
OG0010726	RMZ52903.1 hypothetical protein APUTEX25_001022 [Auxenochlorella protothecoides]									
OG0010727	RMZ52935.1 hypothetical protein APUTEX25_001054_ partial [Auxenochlorella protothecoides]									
OG0010728	RMZ52960.1 hypothetical protein APUTEX25_001079_ partial [Auxenochlorella protothecoides]									
OG0010729	RMZ52980.1 hypothetical protein APUTEX25_001099 [Auxenochlorella protothecoides]									
OG0010730	RMZ52984.1 hypothetical protein APUTEX25_001103 [Auxenochlorella protothecoides]									
OG0010731	RMZ53007.1 hypothetical protein APUTEX25_001126_ partial [Auxenochlorella protothecoides]									
OG0010732	RMZ53010.1 hypothetical protein APUTEX25_001129_ partial [Auxenochlorella protothecoides]									
OG0010733	RMZ53041.1 hypothetical protein APUTEX25_001160 [Auxenochlorella protothecoides]									
OG0010734	RMZ53043.1 hypothetical protein APUTEX25_001162_ partial [Auxenochlorella protothecoides]									
OG0010735	RMZ53055.1 hypothetical protein APUTEX25_001174_ partial [Auxenochlorella protothecoides]									
OG0010736	RMZ53065.1 hypothetical protein APUTEX25_001184 [Auxenochlorella protothecoides]									
OG0010737	RMZ53066.1 hypothetical protein APUTEX25_001185 [Auxenochlorella protothecoides]									
OG0010738	RMZ53072.1 hypothetical protein APUTEX25_001191 [Auxenochlorella protothecoides]									
OG0010739	RMZ53073.1 hypothetical protein APUTEX25_001192 [Auxenochlorella protothecoides]									
OG0010740	RMZ53075.1 hypothetical protein APUTEX25_001194 [Auxenochlorella protothecoides]									
OG0010741	RMZ53076.1 hypothetical protein APUTEX25_001195 [Auxenochlorella protothecoides]									
OG0010742	RMZ53078.1 hypothetical protein APUTEX25_001197_ partial [Auxenochlorella protothecoides]									
OG0010743	RMZ53079.1 hypothetical protein APUTEX25_001198 [Auxenochlorella protothecoides]									
OG0010744	RMZ53080.1 hypothetical protein APUTEX25_001199 [Auxenochlorella protothecoides]									
OG0010745	RMZ53117.1 hypothetical protein APUTEX25_005106 [Auxenochlorella protothecoides]									
OG0010746	RMZ53134.1 hypothetical protein APUTEX25_005123 [Auxenochlorella protothecoides]									
OG0010747	RMZ53149.1 hypothetical protein APUTEX25_005138 [Auxenochlorella protothecoides]									
OG0010748	RMZ53184.1 hypothetical protein APUTEX25_005173 [Auxenochlorella protothecoides]									
OG0010749	RMZ53201.1 hypothetical protein APUTEX25_005190 [Auxenochlorella protothecoides]									
OG0010750	RMZ53212.1 hypothetical protein APUTEX25_005201_ partial [Auxenochlorella protothecoides]									
OG0010751	RMZ53265.1 hypothetical protein APUTEX25_005254_ partial [Auxenochlorella protothecoides]									
OG0010752	RMZ53284.1 hypothetical protein APUTEX25_005273 [Auxenochlorella protothecoides]									
OG0010753	RMZ53288.1 hypothetical protein APUTEX25_005277 [Auxenochlorella protothecoides]									
OG0010754	RMZ53304.1 hypothetical protein APUTEX25_004792_ partial [Auxenochlorella protothecoides]									
OG0010755	RMZ53364.1 hypothetical protein APUTEX25_004852_ partial [Auxenochlorella protothecoides]									
OG0010756	RMZ53396.1 hypothetical protein APUTEX25_004884_ partial [Auxenochlorella protothecoides]									
OG0010757	RMZ53401.1 hypothetical protein APUTEX25_004889 [Auxenochlorella protothecoides]									
OG0010758	RMZ53425.1 hypothetical protein APUTEX25_004913_ partial [Auxenochlorella protothecoides]									
OG0010759	RMZ53434.1 hypothetical protein APUTEX25_004922 [Auxenochlorella protothecoides]									
OG0010760	RMZ53436.1 hypothetical protein APUTEX25_004924 [Auxenochlorella protothecoides]									
OG0010761	RMZ53440.1 hypothetical protein APUTEX25_004928 [Auxenochlorella protothecoides]									
OG0010762	RMZ53441.1 hypothetical protein APUTEX25_004929 [Auxenochlorella protothecoides]									
OG0010763	RMZ53445.1 hypothetical protein APUTEX25_004933 [Auxenochlorella protothecoides]									
OG0010764	RMZ53446.1 hypothetical protein APUTEX25_004934 [Auxenochlorella protothecoides]									
OG0010765	RMZ53448.1 hypothetical protein APUTEX25_003270 [Auxenochlorella protothecoides]									
OG0010766	RMZ53454.1 hypothetical protein APUTEX25_003276 [Auxenochlorella protothecoides]									
OG0010767	RMZ53456.1 hypothetical protein APUTEX25_003278_ partial [Auxenochlorella protothecoides]									
OG0010768	RMZ53467.1 hypothetical protein APUTEX25_003289 [Auxenochlorella protothecoides]									
OG0010769	RMZ53516.1 hypothetical protein APUTEX25_003338_ partial [Auxenochlorella protothecoides]									
OG0010770	RMZ53541.1 hypothetical protein APUTEX25_003363 [Auxenochlorella protothecoides]									
OG0010771	RMZ53550.1 hypothetical protein APUTEX25_003372 [Auxenochlorella protothecoides]									
OG0010772	RMZ53574.1 hypothetical protein APUTEX25_003396 [Auxenochlorella protothecoides]									
OG0010773	RMZ53598.1 hypothetical protein APUTEX25_003420_ partial [Auxenochlorella protothecoides]									
OG0010774	RMZ53599.1 hypothetical protein APUTEX25_003421 [Auxenochlorella protothecoides]									
OG0010775	RMZ53600.1 hypothetical protein APUTEX25_003422_ partial [Auxenochlorella protothecoides]									
OG0010776	RMZ53601.1 hypothetical protein APUTEX25_003423 [Auxenochlorella protothecoides]									
OG0010777	RMZ53614.1 hypothetical protein APUTEX25_003148 [Auxenochlorella protothecoides]									
OG0010778	RMZ53667.1 hypothetical protein APUTEX25_003201 [Auxenochlorella protothecoides]									
OG0010779	RMZ53682.1 hypothetical protein APUTEX25_003216_ partial [Auxenochlorella protothecoides]									
OG0010780	RMZ53696.1 hypothetical protein APUTEX25_003230_ partial [Auxenochlorella protothecoides]									
OG0010781	RMZ53699.1 hypothetical protein APUTEX25_003233 [Auxenochlorella protothecoides]									
OG0010782	RMZ53726.1 hypothetical protein APUTEX25_003260 [Auxenochlorella protothecoides]									
OG0010783	RMZ53728.1 hypothetical protein APUTEX25_003262 [Auxenochlorella protothecoides]									
OG0010784	RMZ53730.1 hypothetical protein APUTEX25_003264 [Auxenochlorella protothecoides]									
OG0010785	RMZ53751.1 hypothetical protein APUTEX25_003890_ partial [Auxenochlorella protothecoides]									
OG0010786	RMZ53776.1 hypothetical protein APUTEX25_003915 [Auxenochlorella protothecoides]									
OG0010787	RMZ53782.1 hypothetical protein APUTEX25_003921 [Auxenochlorella protothecoides]									
OG0010788	RMZ53783.1 hypothetical protein APUTEX25_003922 [Auxenochlorella protothecoides]									
OG0010789	RMZ53820.1 hypothetical protein APUTEX25_003959_ partial [Auxenochlorella protothecoides]									
OG0010790	RMZ53831.1 hypothetical protein APUTEX25_003970_ partial [Auxenochlorella protothecoides]									
OG0010791	RMZ53833.1 hypothetical protein APUTEX25_003972_ partial [Auxenochlorella protothecoides]									
OG0010792	RMZ53837.1 hypothetical protein APUTEX25_003976 [Auxenochlorella protothecoides]									
OG0010793	RMZ53838.1 hypothetical protein APUTEX25_003977 [Auxenochlorella protothecoides]									
OG0010794	RMZ53840.1 hypothetical protein APUTEX25_003979 [Auxenochlorella protothecoides]									
OG0010795	RMZ53858.1 hypothetical protein APUTEX25_005604 [Auxenochlorella protothecoides]									
OG0010796	RMZ53885.1 hypothetical protein APUTEX25_005631 [Auxenochlorella protothecoides]									
OG0010797	RMZ53894.1 hypothetical protein APUTEX25_005576 [Auxenochlorella protothecoides]									
OG0010798	RMZ53897.1 hypothetical protein APUTEX25_005579_ partial [Auxenochlorella protothecoides]									
OG0010799	RMZ53900.1 hypothetical protein APUTEX25_005582 [Auxenochlorella protothecoides]									
OG0010800	RMZ53902.1 hypothetical protein APUTEX25_004746_ partial [Auxenochlorella protothecoides]									
OG0010801	RMZ53909.1 hypothetical protein APUTEX25_004613 [Auxenochlorella protothecoides]									
OG0010802	RMZ53911.1 hypothetical protein APUTEX25_005584_ partial [Auxenochlorella protothecoides]									
OG0010803	RMZ53915.1 hypothetical protein APUTEX25_004940_ partial [Auxenochlorella protothecoides]									
OG0010804	RMZ53922.1 hypothetical protein APUTEX25_004947_ partial [Auxenochlorella protothecoides]									
OG0010805	RMZ53943.1 hypothetical protein APUTEX25_004968_ partial [Auxenochlorella protothecoides]									
OG0010806	RMZ53944.1 hypothetical protein APUTEX25_004969 [Auxenochlorella protothecoides]									
OG0010807	RMZ53971.1 hypothetical protein APUTEX25_002548_ partial [Auxenochlorella protothecoides]									
OG0010808	RMZ54048.1 hypothetical protein APUTEX25_002625 [Auxenochlorella protothecoides]									
OG0010809	RMZ54115.1 hypothetical protein APUTEX25_002692_ partial [Auxenochlorella protothecoides]									
OG0010810	RMZ54117.1 hypothetical protein APUTEX25_002694 [Auxenochlorella protothecoides]									
OG0010811	RMZ54141.1 hypothetical protein APUTEX25_005297 [Auxenochlorella protothecoides]									
OG0010812	RMZ54162.1 hypothetical protein APUTEX25_005318 [Auxenochlorella protothecoides]									
OG0010813	RMZ54195.1 hypothetical protein APUTEX25_005351_ partial [Auxenochlorella protothecoides]									
OG0010814	RMZ54213.1 hypothetical protein APUTEX25_005369_ partial [Auxenochlorella protothecoides]									
OG0010815	RMZ54216.1 hypothetical protein APUTEX25_005372 [Auxenochlorella protothecoides]									
OG0010816	RMZ54221.1 hypothetical protein APUTEX25_005377 [Auxenochlorella protothecoides]									
OG0010817	RMZ54223.1 hypothetical protein APUTEX25_005379_ partial [Auxenochlorella protothecoides]									
OG0010818	RMZ54224.1 hypothetical protein APUTEX25_000575 [Auxenochlorella protothecoides]									
OG0010819	RMZ54232.1 hypothetical protein APUTEX25_000583_ partial [Auxenochlorella protothecoides]									
OG0010820	RMZ54239.1 hypothetical protein APUTEX25_000590 [Auxenochlorella protothecoides]									
OG0010821	RMZ54247.1 hypothetical protein APUTEX25_000598_ partial [Auxenochlorella protothecoides]									
OG0010822	RMZ54248.1 hypothetical protein APUTEX25_000599 [Auxenochlorella protothecoides]									
OG0010823	RMZ54280.1 hypothetical protein APUTEX25_001438_ partial [Auxenochlorella protothecoides]									
OG0010824	RMZ54326.1 hypothetical protein APUTEX25_001484 [Auxenochlorella protothecoides]									
OG0010825	RMZ54328.1 hypothetical protein APUTEX25_001486 [Auxenochlorella protothecoides]									
OG0010826	RMZ54336.1 hypothetical protein APUTEX25_001494 [Auxenochlorella protothecoides]									
OG0010827	RMZ54337.1 hypothetical protein APUTEX25_001495_ partial [Auxenochlorella protothecoides]									
OG0010828	RMZ54340.1 hypothetical protein APUTEX25_001498 [Auxenochlorella protothecoides]									
OG0010829	RMZ54344.1 hypothetical protein APUTEX25_001502 [Auxenochlorella protothecoides]									
OG0010830	RMZ54347.1 hypothetical protein APUTEX25_001923 [Auxenochlorella protothecoides]									
OG0010831	RMZ54379.1 hypothetical protein APUTEX25_001955 [Auxenochlorella protothecoides]									
OG0010832	RMZ54436.1 hypothetical protein APUTEX25_002012 [Auxenochlorella protothecoides]									
OG0010833	RMZ54444.1 hypothetical protein APUTEX25_002020 [Auxenochlorella protothecoides]									
OG0010834	RMZ54519.1 hypothetical protein APUTEX25_002095 [Auxenochlorella protothecoides]									
OG0010835	RMZ54520.1 hypothetical protein APUTEX25_002096 [Auxenochlorella protothecoides]									
OG0010836	RMZ54522.1 hypothetical protein APUTEX25_002098 [Auxenochlorella protothecoides]									
OG0010837	RMZ54524.1 hypothetical protein APUTEX25_002100 [Auxenochlorella protothecoides]									
OG0010838	RMZ54527.1 hypothetical protein APUTEX25_002103 [Auxenochlorella protothecoides]									
OG0010839	RMZ54528.1 hypothetical protein APUTEX25_002104 [Auxenochlorella protothecoides]									
OG0010840	RMZ54543.1 hypothetical protein APUTEX25_002118 [Auxenochlorella protothecoides]									
OG0010841	RMZ54553.1 hypothetical protein APUTEX25_002128 [Auxenochlorella protothecoides]									
OG0010842	RMZ54575.1 hypothetical protein APUTEX25_002150 [Auxenochlorella protothecoides]									
OG0010843	RMZ54576.1 hypothetical protein APUTEX25_002151_ partial [Auxenochlorella protothecoides]									
OG0010844	RMZ54580.1 hypothetical protein APUTEX25_002486_ partial [Auxenochlorella protothecoides]									
OG0010845	RMZ54676.1 hypothetical protein APUTEX25_003054 [Auxenochlorella protothecoides]									
OG0010846	RMZ54683.1 hypothetical protein APUTEX25_003061 [Auxenochlorella protothecoides]									
OG0010847	RMZ54727.1 hypothetical protein APUTEX25_003105 [Auxenochlorella protothecoides]									
OG0010848	RMZ54750.1 hypothetical protein APUTEX25_003128 [Auxenochlorella protothecoides]									
OG0010849	RMZ54751.1 hypothetical protein APUTEX25_003129 [Auxenochlorella protothecoides]									
OG0010850	RMZ54754.1 hypothetical protein APUTEX25_003132_ partial [Auxenochlorella protothecoides]									
OG0010851	RMZ54762.1 hypothetical protein APUTEX25_000279 [Auxenochlorella protothecoides]									
OG0010852	RMZ54763.1 hypothetical protein APUTEX25_000280 [Auxenochlorella protothecoides]									
OG0010853	RMZ54767.1 hypothetical protein APUTEX25_000284 [Auxenochlorella protothecoides]									
OG0010854	RMZ54774.1 hypothetical protein APUTEX25_000291 [Auxenochlorella protothecoides]									
OG0010855	RMZ54800.1 hypothetical protein APUTEX25_000317_ partial [Auxenochlorella protothecoides]									
OG0010856	RMZ54811.1 hypothetical protein APUTEX25_000328 [Auxenochlorella protothecoides]									
OG0010857	RMZ54823.1 hypothetical protein APUTEX25_000340 [Auxenochlorella protothecoides]									
OG0010858	RMZ54867.1 hypothetical protein APUTEX25_000384_ partial [Auxenochlorella protothecoides]									
OG0010859	RMZ54869.1 hypothetical protein APUTEX25_000386_ partial [Auxenochlorella protothecoides]									
OG0010860	RMZ54873.1 hypothetical protein APUTEX25_000390 [Auxenochlorella protothecoides]									
OG0010861	RMZ54953.1 hypothetical protein APUTEX25_000470 [Auxenochlorella protothecoides]									
OG0010862	RMZ54955.1 hypothetical protein APUTEX25_000472 [Auxenochlorella protothecoides]									
OG0010863	RMZ54966.1 hypothetical protein APUTEX25_000483 [Auxenochlorella protothecoides]									
OG0010864	RMZ54967.1 hypothetical protein APUTEX25_000484_ partial [Auxenochlorella protothecoides]									
OG0010865	RMZ54974.1 hypothetical protein APUTEX25_000491 [Auxenochlorella protothecoides]									
OG0010866	RMZ54975.1 hypothetical protein APUTEX25_000492 [Auxenochlorella protothecoides]									
OG0010867	RMZ54991.1 hypothetical protein APUTEX25_000508 [Auxenochlorella protothecoides]									
OG0010868	RMZ54992.1 hypothetical protein APUTEX25_000509 [Auxenochlorella protothecoides]									
OG0010869	RMZ54993.1 hypothetical protein APUTEX25_000510 [Auxenochlorella protothecoides]									
OG0010870	RMZ54997.1 hypothetical protein APUTEX25_000514 [Auxenochlorella protothecoides]									
OG0010871	RMZ54998.1 hypothetical protein APUTEX25_000515 [Auxenochlorella protothecoides]									
OG0010872	RMZ55000.1 hypothetical protein APUTEX25_000517 [Auxenochlorella protothecoides]									
OG0010873	RMZ55001.1 hypothetical protein APUTEX25_000518 [Auxenochlorella protothecoides]									
OG0010874	RMZ55003.1 hypothetical protein APUTEX25_000520 [Auxenochlorella protothecoides]									
OG0010875	RMZ55004.1 hypothetical protein APUTEX25_000521 [Auxenochlorella protothecoides]									
OG0010876	RMZ55008.1 hypothetical protein APUTEX25_000525 [Auxenochlorella protothecoides]									
OG0010877	RMZ55013.1 hypothetical protein APUTEX25_005639 [Auxenochlorella protothecoides]									
OG0010878	RMZ55031.1 hypothetical protein APUTEX25_005657_ partial [Auxenochlorella protothecoides]									
OG0010879	RMZ55050.1 hypothetical protein APUTEX25_005676 [Auxenochlorella protothecoides]									
OG0010880	RMZ55100.1 hypothetical protein APUTEX25_005726 [Auxenochlorella protothecoides]									
OG0010881	RMZ55153.1 hypothetical protein APUTEX25_005431 [Auxenochlorella protothecoides]									
OG0010882	RMZ55192.1 hypothetical protein APUTEX25_005470_ partial [Auxenochlorella protothecoides]									
OG0010883	RMZ55211.1 hypothetical protein APUTEX25_005489_ partial [Auxenochlorella protothecoides]									
OG0010884	RMZ55255.1 hypothetical protein APUTEX25_005533_ partial [Auxenochlorella protothecoides]									
OG0010885	RMZ55259.1 hypothetical protein APUTEX25_005537 [Auxenochlorella protothecoides]									
OG0010886	RMZ55284.1 hypothetical protein APUTEX25_005562 [Auxenochlorella protothecoides]									
OG0010887	RMZ55285.1 hypothetical protein APUTEX25_005563 [Auxenochlorella protothecoides]									
OG0010888	RMZ55287.1 hypothetical protein APUTEX25_000701_ partial [Auxenochlorella protothecoides]									
OG0010889	RMZ55291.1 hypothetical protein APUTEX25_003774_ partial [Auxenochlorella protothecoides]									
OG0010890	RMZ55361.1 hypothetical protein APUTEX25_002219_ partial [Auxenochlorella protothecoides]									
OG0010891	RMZ55372.1 hypothetical protein APUTEX25_002230 [Auxenochlorella protothecoides]									
OG0010892	RMZ55373.1 hypothetical protein APUTEX25_002231_ partial [Auxenochlorella protothecoides]									
OG0010893	RMZ55415.1 hypothetical protein APUTEX25_003539 [Auxenochlorella protothecoides]									
OG0010894	RMZ55417.1 hypothetical protein APUTEX25_003541 [Auxenochlorella protothecoides]									
OG0010895	RMZ55419.1 hypothetical protein APUTEX25_003543 [Auxenochlorella protothecoides]									
OG0010896	RMZ55469.1 hypothetical protein APUTEX25_000052 [Auxenochlorella protothecoides]									
OG0010897	RMZ55471.1 hypothetical protein APUTEX25_000054_ partial [Auxenochlorella protothecoides]									
OG0010898	RMZ55489.1 hypothetical protein APUTEX25_000072 [Auxenochlorella protothecoides]									
OG0010899	RMZ55501.1 hypothetical protein APUTEX25_000084 [Auxenochlorella protothecoides]									
OG0010900	RMZ55506.1 hypothetical protein APUTEX25_000089_ partial [Auxenochlorella protothecoides]									
OG0010901	RMZ55509.1 hypothetical protein APUTEX25_000092 [Auxenochlorella protothecoides]									
OG0010902	RMZ55549.1 hypothetical protein APUTEX25_000132 [Auxenochlorella protothecoides]									
OG0010903	RMZ55552.1 hypothetical protein APUTEX25_000135 [Auxenochlorella protothecoides]									
OG0010904	RMZ55554.1 hypothetical protein APUTEX25_000137 [Auxenochlorella protothecoides]									
OG0010905	RMZ55565.1 hypothetical protein APUTEX25_000148_ partial [Auxenochlorella protothecoides]									
OG0010906	RMZ55566.1 hypothetical protein APUTEX25_000149 [Auxenochlorella protothecoides]									
OG0010907	RMZ55595.1 hypothetical protein APUTEX25_000178 [Auxenochlorella protothecoides]									
OG0010908	RMZ55597.1 hypothetical protein APUTEX25_000180_ partial [Auxenochlorella protothecoides]									
OG0010909	RMZ55632.1 hypothetical protein APUTEX25_000215 [Auxenochlorella protothecoides]									
OG0010910	RMZ55654.1 hypothetical protein APUTEX25_000237_ partial [Auxenochlorella protothecoides]									
OG0010911	RMZ55659.1 hypothetical protein APUTEX25_000242 [Auxenochlorella protothecoides]									
OG0010912	RMZ55660.1 hypothetical protein APUTEX25_000243_ partial [Auxenochlorella protothecoides]									
OG0010913	RMZ55669.1 hypothetical protein APUTEX25_000252 [Auxenochlorella protothecoides]									
OG0010914	RMZ55674.1 hypothetical protein APUTEX25_000257 [Auxenochlorella protothecoides]									
OG0010915	RMZ55675.1 hypothetical protein APUTEX25_000258 [Auxenochlorella protothecoides]									
OG0010916	RMZ55676.1 hypothetical protein APUTEX25_000259 [Auxenochlorella protothecoides]									
OG0010917	RMZ55677.1 hypothetical protein APUTEX25_000260 [Auxenochlorella protothecoides]									
OG0010918	RMZ55682.1 hypothetical protein APUTEX25_000265 [Auxenochlorella protothecoides]									
OG0010919	RMZ55684.1 hypothetical protein APUTEX25_000267 [Auxenochlorella protothecoides]									
OG0010920	RMZ55686.1 hypothetical protein APUTEX25_000269 [Auxenochlorella protothecoides]									
OG0010921	RMZ55688.1 hypothetical protein APUTEX25_000271 [Auxenochlorella protothecoides]									
OG0010922	RMZ55706.1 hypothetical protein APUTEX25_005747_ partial [Auxenochlorella protothecoides]									
OG0010923	RMZ55777.1 hypothetical protein APUTEX25_005818 [Auxenochlorella protothecoides]									
OG0010924	RMZ55800.1 hypothetical protein APUTEX25_005841_ partial [Auxenochlorella protothecoides]									
OG0010925	RMZ55806.1 hypothetical protein APUTEX25_005847 [Auxenochlorella protothecoides]									
OG0010926	RMZ55807.1 hypothetical protein APUTEX25_005848 [Auxenochlorella protothecoides]									
OG0010927	RMZ55809.1 hypothetical protein APUTEX25_005850 [Auxenochlorella protothecoides]									
OG0010928	RMZ55860.1 hypothetical protein APUTEX25_003826_ partial [Auxenochlorella protothecoides]									
OG0010929	RMZ55861.1 hypothetical protein APUTEX25_003827 [Auxenochlorella protothecoides]									
OG0010930	RMZ55889.1 hypothetical protein APUTEX25_003855_ partial [Auxenochlorella protothecoides]									
