Orthogroup	Chlorella_KRBP	Chlorella_VariabilisNC64A
OG0000152	QAXK01008299.1_4185-5535	XP_005843332.1 hypothetical protein CHLNCDRAFT_10735_ partial [Chlorella variabilis], XP_005844457.1 hypothetical protein CHLNCDRAFT_36812 [Chlorella variabilis], XP_005850318.1 hypothetical protein CHLNCDRAFT_50622 [Chlorella variabilis]
OG0000163	QAXK01013733.1_9353-8061	XP_005850241.1 hypothetical protein CHLNCDRAFT_20429 [Chlorella variabilis], XP_005847412.1 hypothetical protein CHLNCDRAFT_35570 [Chlorella variabilis], XP_005845590.1 hypothetical protein CHLNCDRAFT_49011 [Chlorella variabilis]
OG0000165	QAXK01004609.1_12369-13533	XP_005851011.1 hypothetical protein CHLNCDRAFT_140853 [Chlorella variabilis], XP_005847971.1 hypothetical protein CHLNCDRAFT_52121 [Chlorella variabilis], XP_005851012.1 hypothetical protein CHLNCDRAFT_140854 [Chlorella variabilis]
OG0000175	QAXK01006319.1_3560-2355	XP_005849740.1 hypothetical protein CHLNCDRAFT_59621 [Chlorella variabilis], XP_005849739.1 hypothetical protein CHLNCDRAFT_57189 [Chlorella variabilis], XP_005847511.1 hypothetical protein CHLNCDRAFT_134529 [Chlorella variabilis]
OG0000177	QAXK01000575.1_15675-16655	XP_005846177.1 hypothetical protein CHLNCDRAFT_53457 [Chlorella variabilis], XP_005850133.1 hypothetical protein CHLNCDRAFT_57100 [Chlorella variabilis], XP_005843259.1 hypothetical protein CHLNCDRAFT_141382 [Chlorella variabilis]
OG0000187	QAXK01014854.1_51-3845	XP_005845908.1 hypothetical protein CHLNCDRAFT_136511 [Chlorella variabilis], XP_005843412.1 hypothetical protein CHLNCDRAFT_28217_ partial [Chlorella variabilis]
OG0000189	QAXK01000217.1_14674-15859	XP_005848107.1 hypothetical protein CHLNCDRAFT_30996 [Chlorella variabilis], XP_005848105.1 hypothetical protein CHLNCDRAFT_145396 [Chlorella variabilis], XP_005848106.1 hypothetical protein CHLNCDRAFT_17179_ partial [Chlorella variabilis]
OG0000192	QAXK01001504.1_2221-4972	XP_005843959.1 hypothetical protein CHLNCDRAFT_32928 [Chlorella variabilis], XP_005843577.1 hypothetical protein CHLNCDRAFT_33088 [Chlorella variabilis], XP_005842646.1 hypothetical protein CHLNCDRAFT_29032_ partial [Chlorella variabilis]
OG0000199	QAXK01013035.1_1945-4404	XP_005843386.1 hypothetical protein CHLNCDRAFT_141221 [Chlorella variabilis]
OG0000199	QAXK01010173.1_3319-5256	XP_005851124.1 hypothetical protein CHLNCDRAFT_137703 [Chlorella variabilis]
OG0000201	QAXK01000736.1_9467-8726	XP_005850772.1 hypothetical protein CHLNCDRAFT_140958 [Chlorella variabilis], XP_005844567.1 hypothetical protein CHLNCDRAFT_138793 [Chlorella variabilis]
OG0000207	QAXK01004998.1_5108-4093	XP_005850435.1 hypothetical protein CHLNCDRAFT_30168 [Chlorella variabilis]
OG0000207	QAXK01001786.1_12609-11430	XP_005850434.1 hypothetical protein CHLNCDRAFT_34478 [Chlorella variabilis]
OG0000215	QAXK01013809.1_3869-6090	XP_005844078.1 hypothetical protein CHLNCDRAFT_37079_ partial [Chlorella variabilis], XP_005845727.1 hypothetical protein CHLNCDRAFT_58424 [Chlorella variabilis], XP_005849801.1 hypothetical protein CHLNCDRAFT_50966 [Chlorella variabilis], XP_005844077.1 hypothetical protein CHLNCDRAFT_139472 [Chlorella variabilis]
OG0000217	QAXK01003927.1_26651-24094	XP_005851986.1 hypothetical protein CHLNCDRAFT_59525 [Chlorella variabilis], XP_005849954.1 hypothetical protein CHLNCDRAFT_21192_ partial [Chlorella variabilis]
OG0000222	QAXK01005046.1_1470-3041	XP_005844141.1 hypothetical protein CHLNCDRAFT_139232 [Chlorella variabilis], XP_005844140.1 hypothetical protein CHLNCDRAFT_139231 [Chlorella variabilis]
OG0000225	QAXK01000132.1_14211-8944	XP_005845654.1 hypothetical protein CHLNCDRAFT_136690 [Chlorella variabilis], XP_005849588.1 hypothetical protein CHLNCDRAFT_143015 [Chlorella variabilis]
OG0000226	QAXK01001147.1_264-2985	XP_005846881.1 hypothetical protein CHLNCDRAFT_134722 [Chlorella variabilis], XP_005851633.1 hypothetical protein CHLNCDRAFT_138195 [Chlorella variabilis], XP_005851632.1 hypothetical protein CHLNCDRAFT_138191 [Chlorella variabilis]
OG0000234	QAXK01001703.1_3693-800	XP_005845171.1 eukaryotic initiation factor 4A _ATP-dependent RNA helicase eIF4A_ [Chlorella variabilis]
OG0000234	QAXK01001715.1_46567-44103	XP_005851716.1 hypothetical protein CHLNCDRAFT_29172 [Chlorella variabilis]
OG0000243	QAXK01017572.1_4284-1659	XP_005842720.1 hypothetical protein CHLNCDRAFT_55718_ partial [Chlorella variabilis], XP_005842665.1 hypothetical protein CHLNCDRAFT_37749 [Chlorella variabilis], XP_005844355.1 hypothetical protein CHLNCDRAFT_36916 [Chlorella variabilis], XP_005847379.1 hypothetical protein CHLNCDRAFT_134199 [Chlorella variabilis]
OG0000255	QAXK01003493.1_20875-19869	XP_005850447.1 hypothetical protein CHLNCDRAFT_50794 [Chlorella variabilis], XP_005850195.1 hypothetical protein CHLNCDRAFT_50798 [Chlorella variabilis]
OG0000256	QAXK01000928.1_4721-1230	XP_005850527.1 hypothetical protein CHLNCDRAFT_11200_ partial [Chlorella variabilis], XP_005850529.1 hypothetical protein CHLNCDRAFT_140385 [Chlorella variabilis], XP_005852164.1 hypothetical protein CHLNCDRAFT_133330 [Chlorella variabilis]
OG0000260	QAXK01007811.1_6343-7669	XP_005847825.1 hypothetical protein CHLNCDRAFT_52381 [Chlorella variabilis], XP_005848085.1 hypothetical protein CHLNCDRAFT_22974 [Chlorella variabilis]
OG0000262	QAXK01001305.1_3092-9737	XP_005847132.1 hypothetical protein CHLNCDRAFT_24350_ partial [Chlorella variabilis]
OG0000268	QAXK01007959.1_4344-7510	XP_005847540.1 hypothetical protein CHLNCDRAFT_133732 [Chlorella variabilis], XP_005846000.1 hypothetical protein CHLNCDRAFT_31922 [Chlorella variabilis], XP_005843444.1 hypothetical protein CHLNCDRAFT_141147 [Chlorella variabilis]
OG0000269	QAXK01000159.1_2526-4128	XP_005850324.1 hypothetical protein CHLNCDRAFT_142100 [Chlorella variabilis], XP_005850323.1 hypothetical protein CHLNCDRAFT_142099 [Chlorella variabilis]
OG0000276	QAXK01013106.1_2869-3857	XP_005843894.1 expressed protein [Chlorella variabilis], XP_005843916.1 hypothetical protein CHLNCDRAFT_139804 [Chlorella variabilis]
OG0000290	QAXK01007708.1_8045-6769	XP_005851745.1 hypothetical protein CHLNCDRAFT_56489 [Chlorella variabilis], XP_005847707.1 hypothetical protein CHLNCDRAFT_52224 [Chlorella variabilis]
OG0000293	QAXK01000427.1_18710-23853	XP_005847963.1 hypothetical protein CHLNCDRAFT_35323 [Chlorella variabilis], XP_005849129.1 hypothetical protein CHLNCDRAFT_143714 [Chlorella variabilis]
OG0000297	QAXK01003382.1_7730-10683	XP_005849963.1 hypothetical protein CHLNCDRAFT_143323 [Chlorella variabilis], XP_005849602.1 hypothetical protein CHLNCDRAFT_143059 [Chlorella variabilis]
OG0000298	QAXK01006215.1_8306-11634	XP_005843810.1 hypothetical protein CHLNCDRAFT_139858 [Chlorella variabilis], XP_005843812.1 hypothetical protein CHLNCDRAFT_54915 [Chlorella variabilis], XP_005843811.1 hypothetical protein CHLNCDRAFT_139859 [Chlorella variabilis]
OG0000299	QAXK01000488.1_8485-5165	XP_005851620.1 hypothetical protein CHLNCDRAFT_19207 [Chlorella variabilis], XP_005851619.1 hypothetical protein CHLNCDRAFT_18854_ partial [Chlorella variabilis]
OG0000300	QAXK01000495.1_4618-6885	XP_005849278.1 hypothetical protein CHLNCDRAFT_56094 [Chlorella variabilis], XP_005844637.1 hypothetical protein CHLNCDRAFT_58882 [Chlorella variabilis]
OG0000301	QAXK01005324.1_4296-8149	XP_005850633.1 hypothetical protein CHLNCDRAFT_34137 [Chlorella variabilis], XP_005846374.1 hypothetical protein CHLNCDRAFT_135840 [Chlorella variabilis]
OG0000302	QAXK01009146.1_0-3841	XP_005842935.1 hypothetical protein CHLNCDRAFT_6977_ partial [Chlorella variabilis], XP_005850901.1 hypothetical protein CHLNCDRAFT_140589 [Chlorella variabilis]
OG0000304	QAXK01014492.1_877-182	XP_005845253.1 hypothetical protein CHLNCDRAFT_136923 [Chlorella variabilis], XP_005849062.1 hypothetical protein CHLNCDRAFT_21811_ partial [Chlorella variabilis], XP_005845252.1 hypothetical protein CHLNCDRAFT_136922 [Chlorella variabilis]
OG0000315	QAXK01002353.1_19232-23410	XP_005852304.1 hypothetical protein CHLNCDRAFT_59481 [Chlorella variabilis], XP_005846168.1 hypothetical protein CHLNCDRAFT_136163 [Chlorella variabilis], XP_005843373.1 hypothetical protein CHLNCDRAFT_37464 [Chlorella variabilis]
OG0000316	QAXK01003905.1_19782-15375	XP_005849873.1 hypothetical protein CHLNCDRAFT_21181_ partial [Chlorella variabilis], XP_005842593.1 hypothetical protein CHLNCDRAFT_55867_ partial [Chlorella variabilis], XP_005849872.1 hypothetical protein CHLNCDRAFT_143098_ partial [Chlorella variabilis]
OG0000317	QAXK01008437.1_3645-238	XP_005848629.1 hypothetical protein CHLNCDRAFT_30648 [Chlorella variabilis], XP_005847625.1 26S proteasome AAA-ATPase subunit RPT2a [Chlorella variabilis]
OG0000320	QAXK01008510.1_15994-20405	XP_005846023.1 hypothetical protein CHLNCDRAFT_136135 [Chlorella variabilis], XP_005852051.1 hypothetical protein CHLNCDRAFT_14012_ partial [Chlorella variabilis]
OG0000321	QAXK01000378.1_25585-26545	XP_005848515.1 hypothetical protein CHLNCDRAFT_145001 [Chlorella variabilis], XP_005848518.1 hypothetical protein CHLNCDRAFT_145007 [Chlorella variabilis], XP_005847616.1 hypothetical protein CHLNCDRAFT_59671 [Chlorella variabilis]
OG0000340	QAXK01005276.1_5688-3058	XP_005846623.1 hypothetical protein CHLNCDRAFT_24443_ partial [Chlorella variabilis], XP_005850990.1 hypothetical protein CHLNCDRAFT_56016 [Chlorella variabilis]
OG0000352	QAXK01000899.1_7462-5804	XP_005843767.1 hypothetical protein CHLNCDRAFT_54929 [Chlorella variabilis], XP_005845791.1 hypothetical protein CHLNCDRAFT_136500 [Chlorella variabilis]
OG0000353	QAXK01000970.1_11060-12297	XP_005846841.1 hypothetical protein CHLNCDRAFT_31371 [Chlorella variabilis], XP_005846842.1 hypothetical protein CHLNCDRAFT_35689 [Chlorella variabilis], XP_005842605.1 hypothetical protein CHLNCDRAFT_16011_ partial [Chlorella variabilis]
OG0000355	QAXK01000575.1_38061-33279	XP_005843214.1 hypothetical protein CHLNCDRAFT_28384 [Chlorella variabilis], XP_005843184.1 hypothetical protein CHLNCDRAFT_141464 [Chlorella variabilis]
OG0000356	QAXK01001458.1_25468-28021	XP_005850419.1 hypothetical protein CHLNCDRAFT_142335 [Chlorella variabilis], XP_005850962.1 hypothetical protein CHLNCDRAFT_48551 [Chlorella variabilis]
OG0000362	QAXK01002504.1_1584-235	XP_005846340.1 hypothetical protein CHLNCDRAFT_135759 [Chlorella variabilis], XP_005847152.1 hypothetical protein CHLNCDRAFT_58089 [Chlorella variabilis]
OG0000372	QAXK01000007.1_3483-1851	XP_005850810.1 hypothetical protein CHLNCDRAFT_140350 [Chlorella variabilis], XP_005842733.1 hypothetical protein CHLNCDRAFT_55698_ partial [Chlorella variabilis], XP_005850811.1 hypothetical protein CHLNCDRAFT_140351 [Chlorella variabilis]
OG0000374	QAXK01001576.1_25385-29462	XP_005849751.1 hypothetical protein CHLNCDRAFT_34609 [Chlorella variabilis], XP_005849750.1 hypothetical protein CHLNCDRAFT_21051_ partial [Chlorella variabilis]
OG0000375	QAXK01008707.1_239-2925	XP_005846709.1 hypothetical protein CHLNCDRAFT_8428_ partial [Chlorella variabilis], XP_005846575.1 hypothetical protein CHLNCDRAFT_52919 [Chlorella variabilis]
OG0000383	QAXK01011194.1_5918-9002	XP_005851508.1 hypothetical protein CHLNCDRAFT_48478 [Chlorella variabilis]
OG0000390	QAXK01005078.1_1174-132	XP_005844467.1 hypothetical protein CHLNCDRAFT_138794 [Chlorella variabilis]
OG0000390	QAXK01003294.1_6337-3495	XP_005844468.1 hypothetical protein CHLNCDRAFT_138795 [Chlorella variabilis]
OG0000394	QAXK01008702.1_3083-212	XP_005852179.1 hypothetical protein CHLNCDRAFT_133375 [Chlorella variabilis]
OG0000408	QAXK01003094.1_1529-6518	XP_005845135.1 hypothetical protein CHLNCDRAFT_26194 [Chlorella variabilis], XP_005845028.1 hypothetical protein CHLNCDRAFT_137251 [Chlorella variabilis]
OG0000412	QAXK01007672.1_3589-1228	XP_005843796.1 hypothetical protein CHLNCDRAFT_139944 [Chlorella variabilis], XP_005844481.1 hypothetical protein CHLNCDRAFT_26750_ partial [Chlorella variabilis]
OG0000418	QAXK01005097.1_6985-2749	XP_005849660.1 hypothetical protein CHLNCDRAFT_34770 [Chlorella variabilis], XP_005850396.1 hypothetical protein CHLNCDRAFT_142278 [Chlorella variabilis]
OG0000431	QAXK01001330.1_10692-5073	XP_005847566.1 hypothetical protein CHLNCDRAFT_133810 [Chlorella variabilis], XP_005849442.1 hypothetical protein CHLNCDRAFT_142698 [Chlorella variabilis]
OG0000443	QAXK01002390.1_2379-454	XP_005844006.1 hypothetical protein CHLNCDRAFT_27314 [Chlorella variabilis], XP_005844009.1 hypothetical protein CHLNCDRAFT_54762 [Chlorella variabilis], XP_005844004.1 hypothetical protein CHLNCDRAFT_139527 [Chlorella variabilis]
OG0000446	QAXK01006391.1_1754-3793	XP_005849694.1 hypothetical protein CHLNCDRAFT_20970_ partial [Chlorella variabilis]
OG0000449	QAXK01017753.1_1728-436	XP_005851351.1 hypothetical protein CHLNCDRAFT_19196 [Chlorella variabilis], XP_005851646.1 hypothetical protein CHLNCDRAFT_19379_ partial [Chlorella variabilis]
OG0000452	QAXK01003135.1_2479-16	XP_005850888.1 hypothetical protein CHLNCDRAFT_56887 [Chlorella variabilis]
OG0000455	QAXK01015054.1_2845-4309	XP_005843906.1 hypothetical protein CHLNCDRAFT_27668_ partial [Chlorella variabilis], XP_005843905.1 hypothetical protein CHLNCDRAFT_59136 [Chlorella variabilis]
OG0000468	QAXK01006097.1_2371-905	XP_005846307.1 GTP-binding protein yptV1 [Chlorella variabilis], XP_005851611.1 hypothetical protein CHLNCDRAFT_33935 [Chlorella variabilis]
OG0000470	QAXK01000050.1_24428-29981	XP_005848387.1 hypothetical protein CHLNCDRAFT_145167 [Chlorella variabilis], XP_005843941.1 hypothetical protein CHLNCDRAFT_32859 [Chlorella variabilis]
OG0000471	QAXK01001670.1_7180-6388	XP_005849344.1 hypothetical protein CHLNCDRAFT_143750 [Chlorella variabilis], XP_005849343.1 hypothetical protein CHLNCDRAFT_143749 [Chlorella variabilis]
OG0000474	QAXK01000042.1_28045-28765	XP_005845200.1 hypothetical protein CHLNCDRAFT_26241_ partial [Chlorella variabilis], XP_005845199.1 hypothetical protein CHLNCDRAFT_137425 [Chlorella variabilis]
OG0000479	QAXK01004028.1_58546-56431	XP_005845224.1 hypothetical protein CHLNCDRAFT_59750 [Chlorella variabilis], XP_005845223.1 hypothetical protein CHLNCDRAFT_137476 [Chlorella variabilis]
OG0000499	QAXK01009964.1_53-2582	XP_005847220.1 hypothetical protein CHLNCDRAFT_31176_ partial [Chlorella variabilis]
OG0000501	QAXK01015180.1_1811-4048	XP_005849197.1 hypothetical protein CHLNCDRAFT_21535_ partial [Chlorella variabilis]
OG0000501	QAXK01019765.1_356-165	XP_005849394.1 hypothetical protein CHLNCDRAFT_143887 [Chlorella variabilis]
OG0000506	QAXK01002250.1_1739-4040	XP_005849792.1 hypothetical protein CHLNCDRAFT_142884 [Chlorella variabilis], XP_005849791.1 hypothetical protein CHLNCDRAFT_142883 [Chlorella variabilis]
OG0000512	QAXK01000565.1_7520-10250	XP_005844806.1 hypothetical protein CHLNCDRAFT_26566 [Chlorella variabilis], XP_005844807.1 hypothetical protein CHLNCDRAFT_36787_ partial [Chlorella variabilis]
OG0000517	QAXK01001595.1_3107-7081	XP_005846970.1 hypothetical protein CHLNCDRAFT_58100 [Chlorella variabilis]
OG0000519	QAXK01004538.1_836-4145	XP_005847186.1 hypothetical protein CHLNCDRAFT_134977 [Chlorella variabilis], XP_005847907.1 hypothetical protein CHLNCDRAFT_48776 [Chlorella variabilis]
OG0000520	QAXK01002274.1_7306-5678	XP_005852105.1 hypothetical protein CHLNCDRAFT_18410 [Chlorella variabilis], XP_005852106.1 hypothetical protein CHLNCDRAFT_48072 [Chlorella variabilis]
OG0000521	QAXK01000876.1_25410-28882	XP_005843587.1 hypothetical protein CHLNCDRAFT_59242 [Chlorella variabilis]
OG0000522	QAXK01010222.1_2855-4006	XP_005844333.1 hypothetical protein CHLNCDRAFT_54553 [Chlorella variabilis], XP_005844349.1 hypothetical protein CHLNCDRAFT_139136 [Chlorella variabilis]
OG0000528	QAXK01011871.1_1755-3976	XP_005851802.1 hypothetical protein CHLNCDRAFT_11319_ partial [Chlorella variabilis], XP_005851801.1 hypothetical protein CHLNCDRAFT_49502 [Chlorella variabilis]
OG0000535	QAXK01008326.1_3715-2230	XP_005846241.1 hypothetical protein CHLNCDRAFT_135529 [Chlorella variabilis], XP_005845288.1 hypothetical protein CHLNCDRAFT_36534 [Chlorella variabilis]
OG0000542	QAXK01007731.1_21245-25168	XP_005848123.1 hypothetical protein CHLNCDRAFT_22879 [Chlorella variabilis], XP_005848122.1 hypothetical protein CHLNCDRAFT_145437 [Chlorella variabilis]
OG0000546	QAXK01003383.1_11610-10089	XP_005847042.1 hypothetical protein CHLNCDRAFT_134688 [Chlorella variabilis], XP_005844576.1 hypothetical protein CHLNCDRAFT_138824 [Chlorella variabilis], XP_005844577.1 hypothetical protein CHLNCDRAFT_58852 [Chlorella variabilis]
OG0000552	QAXK01001452.1_4877-8338	XP_005848535.1 hypothetical protein CHLNCDRAFT_22188 [Chlorella variabilis], XP_005848536.1 hypothetical protein CHLNCDRAFT_22309_ partial [Chlorella variabilis]
OG0000565	QAXK01012018.1_21-2846	XP_005847677.1 hypothetical protein CHLNCDRAFT_23378 [Chlorella variabilis], XP_005847676.1 hypothetical protein CHLNCDRAFT_17706_ partial [Chlorella variabilis]
OG0000572	QAXK01002353.1_6519-15187	XP_005849076.1 hypothetical protein CHLNCDRAFT_143568 [Chlorella variabilis], XP_005849078.1 hypothetical protein CHLNCDRAFT_143570 [Chlorella variabilis]
OG0000573	QAXK01003348.1_1486-6	XP_005844799.1 hypothetical protein CHLNCDRAFT_36784 [Chlorella variabilis], XP_005844717.1 hypothetical protein CHLNCDRAFT_7719_ partial [Chlorella variabilis]
OG0000577	QAXK01003132.1_5372-2862	XP_005847226.1 hypothetical protein CHLNCDRAFT_134176 [Chlorella variabilis], XP_005847225.1 hypothetical protein CHLNCDRAFT_134175 [Chlorella variabilis]
OG0000585	QAXK01002652.1_31218-33264	XP_005845870.1 hypothetical protein CHLNCDRAFT_10527_ partial [Chlorella variabilis]
OG0000586	QAXK01001200.1_17606-19818	XP_005849977.1 hypothetical protein CHLNCDRAFT_57002 [Chlorella variabilis], XP_005846410.1 hypothetical protein CHLNCDRAFT_36005 [Chlorella variabilis]
OG0000594	QAXK01013585.1_2213-468	XP_005847169.1 hypothetical protein CHLNCDRAFT_134944 [Chlorella variabilis]
OG0000595	QAXK01010664.1_1473-417	XP_005848051.1 hypothetical protein CHLNCDRAFT_48772 [Chlorella variabilis], XP_005843019.1 hypothetical protein CHLNCDRAFT_33302 [Chlorella variabilis]
OG0000611	QAXK01011586.1_4054-3461	XP_005849196.1 hypothetical protein CHLNCDRAFT_143888 [Chlorella variabilis], XP_005849198.1 hypothetical protein CHLNCDRAFT_15068_ partial [Chlorella variabilis]
OG0000616	QAXK01001265.1_8774-9883	XP_005846240.1 hypothetical protein CHLNCDRAFT_135527 [Chlorella variabilis], XP_005844439.1 hypothetical protein CHLNCDRAFT_139157 [Chlorella variabilis]
OG0000618	QAXK01000835.1_1-309	XP_005849532.1 40S ribosomal protein S15 [Chlorella variabilis], XP_005849796.1 hypothetical protein CHLNCDRAFT_142893 [Chlorella variabilis]
OG0000626	QAXK01003230.1_4778-8012	XP_005845350.1 hypothetical protein CHLNCDRAFT_32275 [Chlorella variabilis], XP_005843990.1 hypothetical protein CHLNCDRAFT_27284 [Chlorella variabilis]
OG0000635	QAXK01004870.1_4878-5513	XP_005850070.1 ribulose-phosphate 3-epimerase mature form [Chlorella variabilis], XP_005851858.1 hypothetical protein CHLNCDRAFT_48415 [Chlorella variabilis]
OG0000637	QAXK01001575.1_13855-13334	XP_005846769.1 hypothetical protein CHLNCDRAFT_48918 [Chlorella variabilis]
OG0000638	QAXK01010124.1_10448-8669	XP_005843569.1 hypothetical protein CHLNCDRAFT_37406 [Chlorella variabilis]
OG0000649	QAXK01000254.1_6101-3555	XP_005845245.1 hypothetical protein CHLNCDRAFT_58576 [Chlorella variabilis]
OG0000653	QAXK01000123.1_7289-10291	XP_005847351.1 hypothetical protein CHLNCDRAFT_134577 [Chlorella variabilis]
OG0000654	QAXK01000799.1_92299-89512	XP_005851510.1 hypothetical protein CHLNCDRAFT_137921 [Chlorella variabilis], XP_005851509.1 hypothetical protein CHLNCDRAFT_137920 [Chlorella variabilis]
OG0000660	QAXK01014960.1_11495-10348	XP_005847363.1 40S ribosomal protein S27 [Chlorella variabilis]
OG0000661	QAXK01004242.1_3727-7707	XP_005844719.1 hypothetical protein CHLNCDRAFT_32463 [Chlorella variabilis], XP_005844720.1 hypothetical protein CHLNCDRAFT_138688 [Chlorella variabilis]
OG0000662	QAXK01000452.1_6301-4533	XP_005851960.1 hypothetical protein CHLNCDRAFT_29389 [Chlorella variabilis], XP_005843043.1 hypothetical protein CHLNCDRAFT_141599 [Chlorella variabilis]
OG0000664	QAXK01015723.1_3192-4172	XP_005850644.1 hypothetical protein CHLNCDRAFT_10628_ partial [Chlorella variabilis], XP_005850643.1 hypothetical protein CHLNCDRAFT_140646 [Chlorella variabilis]
OG0000671	QAXK01001535.1_15806-14316	XP_005849549.1 hypothetical protein CHLNCDRAFT_59631 [Chlorella variabilis], XP_005847530.1 hypothetical protein CHLNCDRAFT_133710 [Chlorella variabilis]
