Orthogroup	Chlorella_KRBP	Chlorella_Vulgaris2111P
OG0000126	QAXK01000372.1_2577-4525	KAI3436801.1 hypothetical protein D9Q98_006211 [Chlorella vulgaris], KAI3436798.1 hypothetical protein D9Q98_006208 [Chlorella vulgaris], KAI3432596.1 hypothetical protein D9Q98_004144 [Chlorella vulgaris]
OG0000128	QAXK01009125.1_10140-8059	KAI3428500.1 hypothetical protein D9Q98_007324 [Chlorella vulgaris], KAI3434857.1 hypothetical protein D9Q98_002911 [Chlorella vulgaris], KAI3438663.1 hypothetical protein D9Q98_001084 [Chlorella vulgaris]
OG0000137	QAXK01002137.1_9267-10854	KAI3429801.1 hypothetical protein D9Q98_010114 [Chlorella vulgaris], KAI3430245.1 hypothetical protein D9Q98_004841 [Chlorella vulgaris], KAI3429816.1 hypothetical protein D9Q98_010129 [Chlorella vulgaris], KAI3429817.1 hypothetical protein D9Q98_010130 [Chlorella vulgaris]
OG0000152	QAXK01008299.1_4185-5535	KAI3430434.1 hypothetical protein D9Q98_005029 [Chlorella vulgaris], KAI3428099.1 hypothetical protein D9Q98_006482 [Chlorella vulgaris]
OG0000163	QAXK01013733.1_9353-8061	KAI3427949.1 hypothetical protein D9Q98_006339 [Chlorella vulgaris], KAI3428664.1 hypothetical protein D9Q98_007487 [Chlorella vulgaris], KAI3424065.1 hypothetical protein D9Q98_009428 [Chlorella vulgaris]
OG0000165	QAXK01004609.1_12369-13533	KAI3436495.1 hypothetical protein D9Q98_005912 [Chlorella vulgaris], KAI3437708.1 hypothetical protein D9Q98_000156 [Chlorella vulgaris], KAI3436494.1 hypothetical protein D9Q98_005911 [Chlorella vulgaris]
OG0000175	QAXK01006319.1_3560-2355	KAI3438436.1 hypothetical protein D9Q98_000867 [Chlorella vulgaris], KAI3438435.1 hypothetical protein D9Q98_000866 [Chlorella vulgaris], KAI3428453.1 hypothetical protein D9Q98_007280 [Chlorella vulgaris]
OG0000177	QAXK01000575.1_15675-16655	KAI3431472.1 hypothetical protein D9Q98_004524 [Chlorella vulgaris], KAI3428234.1 hypothetical protein D9Q98_006614 [Chlorella vulgaris], KAI3431781.1 hypothetical protein D9Q98_010536 [Chlorella vulgaris]
OG0000187	QAXK01014854.1_51-3845	KAI3425177.1 hypothetical protein D9Q98_008947 [Chlorella vulgaris], KAI3430447.1 hypothetical protein D9Q98_005042 [Chlorella vulgaris]
OG0000189	QAXK01000217.1_14674-15859	KAI3437762.1 hypothetical protein D9Q98_000209 [Chlorella vulgaris], KAI3437764.1 hypothetical protein D9Q98_000211 [Chlorella vulgaris], KAI3437763.1 hypothetical protein D9Q98_000210 [Chlorella vulgaris]
OG0000192	QAXK01001504.1_2221-4972	KAI3434482.1 hypothetical protein D9Q98_002558 [Chlorella vulgaris], KAI3432591.1 hypothetical protein D9Q98_004139 [Chlorella vulgaris], KAI3437619.1 hypothetical protein D9Q98_000071 [Chlorella vulgaris]
OG0000199	QAXK01013035.1_1945-4404	KAI3430489.1 hypothetical protein D9Q98_005084 [Chlorella vulgaris]
OG0000199	QAXK01010173.1_3319-5256	KAI3433775.1 hypothetical protein D9Q98_003581 [Chlorella vulgaris], KAI3433776.1 hypothetical protein D9Q98_003581 [Chlorella vulgaris]
OG0000201	QAXK01000736.1_9467-8726	KAI3436387.1 hypothetical protein D9Q98_005804_ partial [Chlorella vulgaris], KAI3430408.1 hypothetical protein D9Q98_005003 [Chlorella vulgaris]
OG0000207	QAXK01004998.1_5108-4093	KAI3428349.1 hypothetical protein D9Q98_006729 [Chlorella vulgaris]
OG0000207	QAXK01001786.1_12609-11430	KAI3428348.1 hypothetical protein D9Q98_006728 [Chlorella vulgaris]
OG0000215	QAXK01013809.1_3869-6090	KAI3425348.1 hypothetical protein D9Q98_009112 [Chlorella vulgaris], KAI3430567.1 hypothetical protein D9Q98_005160 [Chlorella vulgaris]
OG0000217	QAXK01003927.1_26651-24094	KAI3438921.1 hypothetical protein D9Q98_001335 [Chlorella vulgaris], KAI3429243.1 hypothetical protein D9Q98_005342 [Chlorella vulgaris]
OG0000222	QAXK01005046.1_1470-3041	KAI3426047.1 hypothetical protein D9Q98_008015 [Chlorella vulgaris], KAI3426046.1 hypothetical protein D9Q98_008014 [Chlorella vulgaris]
OG0000225	QAXK01000132.1_14211-8944	KAI3424144.1 hypothetical protein D9Q98_009504 [Chlorella vulgaris], KAI3438673.1 hypothetical protein D9Q98_001094 [Chlorella vulgaris]
OG0000226	QAXK01001147.1_264-2985	KAI3438233.1 hypothetical protein D9Q98_000670 [Chlorella vulgaris], KAI3433319.1 hypothetical protein D9Q98_003137 [Chlorella vulgaris], KAI3433318.1 hypothetical protein D9Q98_003136 [Chlorella vulgaris]
OG0000234	QAXK01001715.1_46567-44103	KAI3429374.1 hypothetical protein D9Q98_005469 [Chlorella vulgaris]
OG0000243	QAXK01017572.1_4284-1659	KAI3432427.1 hypothetical protein D9Q98_003981 [Chlorella vulgaris], KAI3428727.1 hypothetical protein D9Q98_007551 [Chlorella vulgaris]
OG0000255	QAXK01003493.1_20875-19869	KAI3428378.1 hypothetical protein D9Q98_006758 [Chlorella vulgaris], KAI3424770.1 hypothetical protein D9Q98_008158 [Chlorella vulgaris]
OG0000256	QAXK01000928.1_4721-1230	KAI3423807.1 hypothetical protein D9Q98_009644 [Chlorella vulgaris], KAI3429612.1 hypothetical protein D9Q98_005698 [Chlorella vulgaris]
OG0000260	QAXK01007811.1_6343-7669	KAI3425958.1 hypothetical protein D9Q98_007928 [Chlorella vulgaris], KAI3437802.1 hypothetical protein D9Q98_000249 [Chlorella vulgaris]
OG0000262	QAXK01001305.1_3092-9737	KAI3438087.1 hypothetical protein D9Q98_000529 [Chlorella vulgaris], KAI3438086.1 hypothetical protein D9Q98_000528 [Chlorella vulgaris]
OG0000268	QAXK01007959.1_4344-7510	KAI3431366.1 hypothetical protein D9Q98_004423 [Chlorella vulgaris], KAI3439126.1 hypothetical protein D9Q98_001534 [Chlorella vulgaris]
OG0000269	QAXK01000159.1_2526-4128	KAI3434638.1 hypothetical protein D9Q98_002705 [Chlorella vulgaris], KAI3428111.1 hypothetical protein D9Q98_006494 [Chlorella vulgaris]
OG0000276	QAXK01013106.1_2869-3857	KAI3434519.1 hypothetical protein D9Q98_002592 [Chlorella vulgaris], KAI3434403.1 hypothetical protein D9Q98_002481 [Chlorella vulgaris]
OG0000290	QAXK01007708.1_8045-6769	KAI3429433.1 hypothetical protein D9Q98_005527 [Chlorella vulgaris], KAI3429432.1 hypothetical protein D9Q98_005526 [Chlorella vulgaris]
OG0000293	QAXK01000427.1_18710-23853	KAI3437728.1 hypothetical protein D9Q98_000176 [Chlorella vulgaris], KAI3434966.1 hypothetical protein D9Q98_003018 [Chlorella vulgaris], KAI3434802.1 hypothetical protein D9Q98_002859 [Chlorella vulgaris], KAI3434801.1 hypothetical protein D9Q98_002859 [Chlorella vulgaris]
OG0000297	QAXK01003382.1_7730-10683	KAI3438932.1 hypothetical protein D9Q98_001346 [Chlorella vulgaris], KAI3438704.1 hypothetical protein D9Q98_001124 [Chlorella vulgaris]
OG0000298	QAXK01006215.1_8306-11634	KAI3438965.1 hypothetical protein D9Q98_001379 [Chlorella vulgaris], KAI3438967.1 hypothetical protein D9Q98_001381 [Chlorella vulgaris], KAI3438966.1 hypothetical protein D9Q98_001380 [Chlorella vulgaris]
OG0000299	QAXK01000488.1_8485-5165	KAI3433342.1 hypothetical protein D9Q98_003160 [Chlorella vulgaris], KAI3433343.1 hypothetical protein D9Q98_003161 [Chlorella vulgaris]
OG0000300	QAXK01000495.1_4618-6885	KAI3434910.1 hypothetical protein D9Q98_002964 [Chlorella vulgaris], KAI3430247.1 hypothetical protein D9Q98_004843 [Chlorella vulgaris]
OG0000301	QAXK01005324.1_4296-8149	KAI3436698.1 hypothetical protein D9Q98_006113 [Chlorella vulgaris], KAI3435664.1 hypothetical protein D9Q98_001722 [Chlorella vulgaris]
OG0000302	QAXK01009146.1_0-3841	KAI3430970.1 hypothetical protein D9Q98_009375 [Chlorella vulgaris], KAI3430971.1 hypothetical protein D9Q98_009375 [Chlorella vulgaris], KAI3436727.1 hypothetical protein D9Q98_006142 [Chlorella vulgaris]
OG0000304	QAXK01014492.1_877-182	KAI3436285.1 hypothetical protein D9Q98_002338 [Chlorella vulgaris], KAI3436286.1 hypothetical protein D9Q98_002339 [Chlorella vulgaris]
OG0000315	QAXK01002353.1_19232-23410	KAI3431450.1 hypothetical protein D9Q98_004502 [Chlorella vulgaris], KAI3430517.1 hypothetical protein D9Q98_005110 [Chlorella vulgaris]
OG0000316	QAXK01003905.1_19782-15375	KAI3438724.1 hypothetical protein D9Q98_001144 [Chlorella vulgaris], KAI3438723.1 hypothetical protein D9Q98_001143 [Chlorella vulgaris]
OG0000317	QAXK01008437.1_3645-238	KAI3427210.1 hypothetical protein D9Q98_007145 [Chlorella vulgaris], KAI3425881.1 hypothetical protein D9Q98_007854 [Chlorella vulgaris]
OG0000320	QAXK01008510.1_15994-20405	KAI3431427.1 hypothetical protein D9Q98_004480 [Chlorella vulgaris], KAI3429362.1 hypothetical protein D9Q98_005457 [Chlorella vulgaris]
OG0000321	QAXK01000378.1_25585-26545	KAI3425862.1 hypothetical protein D9Q98_007835 [Chlorella vulgaris], KAI3426361.1 hypothetical protein D9Q98_008733 [Chlorella vulgaris]
OG0000340	QAXK01005276.1_5688-3058	KAI3425091.1 hypothetical protein D9Q98_008469 [Chlorella vulgaris], KAI3436547.1 hypothetical protein D9Q98_005963 [Chlorella vulgaris]
OG0000352	QAXK01000899.1_7462-5804	KAI3438986.1 hypothetical protein D9Q98_001399 [Chlorella vulgaris], KAI3425186.1 hypothetical protein D9Q98_008955 [Chlorella vulgaris]
OG0000353	QAXK01000970.1_11060-12297	KAI3438329.1 hypothetical protein D9Q98_000763 [Chlorella vulgaris], KAI3438328.1 hypothetical protein D9Q98_000762 [Chlorella vulgaris]
OG0000355	QAXK01000575.1_38061-33279	KAI3427321.1 hypothetical protein D9Q98_010238 [Chlorella vulgaris], KAI3427340.1 hypothetical protein D9Q98_010257 [Chlorella vulgaris], KAI3427337.1 hypothetical protein D9Q98_010254 [Chlorella vulgaris]
OG0000356	QAXK01001458.1_25468-28021	KAI3428318.1 hypothetical protein D9Q98_006698 [Chlorella vulgaris], KAI3436614.1 hypothetical protein D9Q98_006031 [Chlorella vulgaris]
OG0000362	QAXK01002504.1_1584-235	KAI3435734.1 hypothetical protein D9Q98_001792 [Chlorella vulgaris], KAI3438061.1 hypothetical protein D9Q98_000504 [Chlorella vulgaris]
OG0000372	QAXK01000007.1_3483-1851	KAI3435517.1 hypothetical protein D9Q98_001583 [Chlorella vulgaris], KAI3435516.1 hypothetical protein D9Q98_001582 [Chlorella vulgaris]
OG0000374	QAXK01001576.1_25385-29462	KAI3438459.1 hypothetical protein D9Q98_000888 [Chlorella vulgaris], KAI3438458.1 hypothetical protein D9Q98_000887 [Chlorella vulgaris]
OG0000375	QAXK01008707.1_239-2925	KAI3423896.1 hypothetical protein D9Q98_009730 [Chlorella vulgaris], KAI3423892.1 hypothetical protein D9Q98_009726 [Chlorella vulgaris]
OG0000383	QAXK01011194.1_5918-9002	KAI3433585.1 hypothetical protein D9Q98_003396 [Chlorella vulgaris], KAI3429755.1 hypothetical protein D9Q98_010068 [Chlorella vulgaris]
OG0000390	QAXK01005078.1_1174-132	KAI3430407.1 hypothetical protein D9Q98_005002 [Chlorella vulgaris]
OG0000390	QAXK01003294.1_6337-3495	KAI3430406.1 hypothetical protein D9Q98_005001 [Chlorella vulgaris]
OG0000394	QAXK01008702.1_3083-212	KAI3429583.1 hypothetical protein D9Q98_005669 [Chlorella vulgaris], KAI3429731.1 hypothetical protein D9Q98_010046 [Chlorella vulgaris]
OG0000408	QAXK01003094.1_1529-6518	KAI3424703.1 hypothetical protein D9Q98_008093 [Chlorella vulgaris], KAI3424702.1 hypothetical protein D9Q98_008092 [Chlorella vulgaris]
OG0000412	QAXK01007672.1_3589-1228	KAI3439044.1 hypothetical protein D9Q98_001454 [Chlorella vulgaris], KAI3430388.1 hypothetical protein D9Q98_004983 [Chlorella vulgaris]
OG0000417	QAXK01003046.1_10052-9637	KAI3434435.1 hypothetical protein D9Q98_002512 [Chlorella vulgaris], KAI3434437.1 hypothetical protein D9Q98_002514 [Chlorella vulgaris], KAI3429904.1 hypothetical protein D9Q98_010215 [Chlorella vulgaris]
OG0000418	QAXK01005097.1_6985-2749	KAI3438821.1 hypothetical protein D9Q98_001238 [Chlorella vulgaris], KAI3428267.1 hypothetical protein D9Q98_006646 [Chlorella vulgaris]
OG0000431	QAXK01001330.1_10692-5073	KAI3425770.1 hypothetical protein D9Q98_007745 [Chlorella vulgaris], KAI3438384.1 hypothetical protein D9Q98_000816 [Chlorella vulgaris], KAI3438383.1 hypothetical protein D9Q98_000815 [Chlorella vulgaris]
OG0000443	QAXK01002390.1_2379-454	KAI3430606.1 hypothetical protein D9Q98_005199 [Chlorella vulgaris], KAI3430612.1 hypothetical protein D9Q98_005204 [Chlorella vulgaris]
OG0000446	QAXK01006391.1_1754-3793	KAI3436065.1 hypothetical protein D9Q98_002123 [Chlorella vulgaris], KAI3438903.1 hypothetical protein D9Q98_001318 [Chlorella vulgaris]
OG0000449	QAXK01017753.1_1728-436	KAI3423794.1 hypothetical protein D9Q98_009632 [Chlorella vulgaris], KAI3433290.1 hypothetical protein D9Q98_003109 [Chlorella vulgaris]
OG0000452	QAXK01003135.1_2479-16	KAI3436763.1 hypothetical protein D9Q98_006175 [Chlorella vulgaris], KAI3436762.1 hypothetical protein D9Q98_006174 [Chlorella vulgaris], KAI3426483.1 hypothetical protein D9Q98_008849 [Chlorella vulgaris]
OG0000455	QAXK01015054.1_2845-4309	KAI3434451.1 hypothetical protein D9Q98_002528 [Chlorella vulgaris], KAI3434446.1 hypothetical protein D9Q98_002523 [Chlorella vulgaris]
OG0000468	QAXK01006097.1_2371-905	KAI3435810.1 hypothetical protein D9Q98_001868 [Chlorella vulgaris], KAI3433359.1 hypothetical protein D9Q98_003177 [Chlorella vulgaris]
OG0000470	QAXK01000050.1_24428-29981	KAI3426508.1 hypothetical protein D9Q98_008873 [Chlorella vulgaris], KAI3434498.1 hypothetical protein D9Q98_002573 [Chlorella vulgaris]
OG0000471	QAXK01001670.1_7180-6388	KAI3434778.1 hypothetical protein D9Q98_002838 [Chlorella vulgaris], KAI3434777.1 hypothetical protein D9Q98_002837 [Chlorella vulgaris]
OG0000474	QAXK01000042.1_28045-28765	KAI3424846.1 hypothetical protein D9Q98_008232 [Chlorella vulgaris], KAI3424847.1 hypothetical protein D9Q98_008232 [Chlorella vulgaris]
OG0000479	QAXK01004028.1_58546-56431	KAI3424894.1 hypothetical protein D9Q98_008278 [Chlorella vulgaris], KAI3424893.1 hypothetical protein D9Q98_008277 [Chlorella vulgaris]
OG0000499	QAXK01009964.1_53-2582	KAI3428774.1 hypothetical protein D9Q98_007595 [Chlorella vulgaris]
OG0000501	QAXK01015180.1_1811-4048	KAI3434677.1 hypothetical protein D9Q98_002741 [Chlorella vulgaris]
OG0000501	QAXK01019765.1_356-165	KAI3434680.1 hypothetical protein D9Q98_002744 [Chlorella vulgaris]
OG0000506	QAXK01002250.1_1739-4040	KAI3438557.1 hypothetical protein D9Q98_000985 [Chlorella vulgaris]
OG0000512	QAXK01000565.1_7520-10250	KAI3430867.1 hypothetical protein D9Q98_009276 [Chlorella vulgaris], KAI3430868.1 hypothetical protein D9Q98_009277 [Chlorella vulgaris]
OG0000517	QAXK01001595.1_3107-7081	KAI3438018.1 hypothetical protein D9Q98_000461 [Chlorella vulgaris], KAI3438019.1 hypothetical protein D9Q98_000462 [Chlorella vulgaris]
OG0000519	QAXK01004538.1_836-4145	KAI3437986.1 hypothetical protein D9Q98_000429 [Chlorella vulgaris], KAI3437841.1 hypothetical protein D9Q98_000287 [Chlorella vulgaris]
OG0000520	QAXK01002274.1_7306-5678	KAI3429478.1 hypothetical protein D9Q98_005569 [Chlorella vulgaris], KAI3429479.1 hypothetical protein D9Q98_005570 [Chlorella vulgaris]
OG0000521	QAXK01000876.1_25410-28882	KAI3432894.1 hypothetical protein D9Q98_010476 [Chlorella vulgaris], KAI3432893.1 hypothetical protein D9Q98_010475 [Chlorella vulgaris]
OG0000522	QAXK01010222.1_2855-4006	KAI3432852.1 hypothetical protein D9Q98_010435 [Chlorella vulgaris], KAI3432814.1 hypothetical protein D9Q98_010397 [Chlorella vulgaris]
OG0000528	QAXK01011871.1_1755-3976	KAI3429542.1 hypothetical protein D9Q98_005630 [Chlorella vulgaris]
OG0000535	QAXK01008326.1_3715-2230	KAI3435944.1 hypothetical protein D9Q98_002002 [Chlorella vulgaris], KAI3436209.1 hypothetical protein D9Q98_002263 [Chlorella vulgaris]
OG0000542	QAXK01007731.1_21245-25168	KAI3437729.1 hypothetical protein D9Q98_000177 [Chlorella vulgaris]
OG0000546	QAXK01003383.1_11610-10089	KAI3438264.1 hypothetical protein D9Q98_000700 [Chlorella vulgaris], KAI3430380.1 hypothetical protein D9Q98_004975 [Chlorella vulgaris], KAI3430379.1 hypothetical protein D9Q98_004974 [Chlorella vulgaris]
OG0000552	QAXK01001452.1_4877-8338	KAI3426409.1 hypothetical protein D9Q98_008779 [Chlorella vulgaris], KAI3426410.1 hypothetical protein D9Q98_008779 [Chlorella vulgaris]
OG0000565	QAXK01012018.1_21-2846	KAI3425981.1 hypothetical protein D9Q98_007949 [Chlorella vulgaris], KAI3425980.1 hypothetical protein D9Q98_007948 [Chlorella vulgaris]
OG0000572	QAXK01002353.1_6519-15187	KAI3434899.1 hypothetical protein D9Q98_002953 [Chlorella vulgaris], KAI3434894.1 hypothetical protein D9Q98_002948 [Chlorella vulgaris]
OG0000573	QAXK01003348.1_1486-6	KAI3430859.1 hypothetical protein D9Q98_009268 [Chlorella vulgaris], KAI3430849.1 hypothetical protein D9Q98_009259 [Chlorella vulgaris]
OG0000577	QAXK01003132.1_5372-2862	KAI3428754.1 hypothetical protein D9Q98_007576 [Chlorella vulgaris], KAI3428755.1 hypothetical protein D9Q98_007577 [Chlorella vulgaris]
OG0000585	QAXK01002652.1_31218-33264	KAI3425261.1 hypothetical protein D9Q98_009029 [Chlorella vulgaris], KAI3425268.1 hypothetical protein D9Q98_009035 [Chlorella vulgaris]
OG0000586	QAXK01001200.1_17606-19818	KAI3427930.1 hypothetical protein D9Q98_006322 [Chlorella vulgaris], KAI3435961.1 hypothetical protein D9Q98_002019 [Chlorella vulgaris]
OG0000594	QAXK01013585.1_2213-468	KAI3438027.1 hypothetical protein D9Q98_000470 [Chlorella vulgaris], KAI3438024.1 hypothetical protein D9Q98_000467 [Chlorella vulgaris]
OG0000595	QAXK01010664.1_1473-417	KAI3437877.1 hypothetical protein D9Q98_000323 [Chlorella vulgaris], KAI3436354.1 hypothetical protein D9Q98_002407 [Chlorella vulgaris]
OG0000611	QAXK01011586.1_4054-3461	KAI3434679.1 hypothetical protein D9Q98_002743 [Chlorella vulgaris], KAI3434670.1 hypothetical protein D9Q98_002734 [Chlorella vulgaris]
OG0000616	QAXK01001265.1_8774-9883	KAI3435946.1 hypothetical protein D9Q98_002004 [Chlorella vulgaris], KAI3432435.1 hypothetical protein D9Q98_003988 [Chlorella vulgaris], KAI3432436.1 hypothetical protein D9Q98_003989 [Chlorella vulgaris]
OG0000618	QAXK01000835.1_1-309	KAI3438568.1 hypothetical protein D9Q98_000995 [Chlorella vulgaris], KAI3438569.1 hypothetical protein D9Q98_000996 [Chlorella vulgaris]
OG0000626	QAXK01003230.1_4778-8012	KAI3436093.1 hypothetical protein D9Q98_002151 [Chlorella vulgaris], KAI3430569.1 hypothetical protein D9Q98_005162 [Chlorella vulgaris]
OG0000635	QAXK01004870.1_4878-5513	KAI3428114.1 hypothetical protein D9Q98_006497 [Chlorella vulgaris]
OG0000637	QAXK01001575.1_13855-13334	KAI3425086.1 hypothetical protein D9Q98_008464 [Chlorella vulgaris], KAI3432760.1 hypothetical protein D9Q98_004300 [Chlorella vulgaris]
OG0000638	QAXK01010124.1_10448-8669	KAI3432606.1 hypothetical protein D9Q98_004153 [Chlorella vulgaris]
OG0000649	QAXK01000254.1_6101-3555	KAI3436300.1 hypothetical protein D9Q98_002353 [Chlorella vulgaris], KAI3436301.1 hypothetical protein D9Q98_002354 [Chlorella vulgaris]
OG0000653	QAXK01000123.1_7289-10291	KAI3428422.1 hypothetical protein D9Q98_007249 [Chlorella vulgaris], KAI3428423.1 hypothetical protein D9Q98_007250 [Chlorella vulgaris]
OG0000654	QAXK01000799.1_92299-89512	KAI3433576.1 hypothetical protein D9Q98_003387 [Chlorella vulgaris], KAI3433577.1 hypothetical protein D9Q98_003388 [Chlorella vulgaris]
OG0000660	QAXK01014960.1_11495-10348	KAI3428772.1 hypothetical protein D9Q98_007593 [Chlorella vulgaris], KAI3428771.1 hypothetical protein D9Q98_007592 [Chlorella vulgaris]
OG0000661	QAXK01004242.1_3727-7707	KAI3430851.1 hypothetical protein D9Q98_009261 [Chlorella vulgaris], KAI3430852.1 hypothetical protein D9Q98_009262 [Chlorella vulgaris]
OG0000662	QAXK01000452.1_6301-4533	KAI3429858.1 hypothetical protein D9Q98_010169 [Chlorella vulgaris], KAI3423953.1 hypothetical protein D9Q98_009787 [Chlorella vulgaris]
OG0000664	QAXK01015723.1_3192-4172	KAI3436681.1 hypothetical protein D9Q98_006097 [Chlorella vulgaris], KAI3436682.1 hypothetical protein D9Q98_006098 [Chlorella vulgaris]
OG0000671	QAXK01001535.1_15806-14316	KAI3438602.1 hypothetical protein D9Q98_001025 [Chlorella vulgaris]
OG0000676	QAXK01015338.1_519-166	KAI3438591.1 hypothetical protein D9Q98_001015 [Chlorella vulgaris], KAI3435824.1 hypothetical protein D9Q98_001882 [Chlorella vulgaris]
OG0000678	QAXK01001500.1_1992-2978	KAI3431398.1 hypothetical protein D9Q98_004451 [Chlorella vulgaris], KAI3431397.1 hypothetical protein D9Q98_004450 [Chlorella vulgaris]
OG0000679	QAXK01006881.1_8512-9541	KAI3431464.1 hypothetical protein D9Q98_004516 [Chlorella vulgaris], KAI3431463.1 hypothetical protein D9Q98_004515 [Chlorella vulgaris]
OG0000688	QAXK01003305.1_27047-24211	KAI3428208.1 hypothetical protein D9Q98_006588 [Chlorella vulgaris], KAI3428209.1 hypothetical protein D9Q98_006589 [Chlorella vulgaris]
OG0000689	QAXK01001638.1_16082-13313	KAI3429866.1 hypothetical protein D9Q98_010177 [Chlorella vulgaris]
OG0000691	QAXK01001186.1_10565-8532	KAI3428322.1 hypothetical protein D9Q98_006702 [Chlorella vulgaris], KAI3428321.1 hypothetical protein D9Q98_006701 [Chlorella vulgaris]
OG0000693	QAXK01008377.1_3630-1851	KAI3428380.1 hypothetical protein D9Q98_006760 [Chlorella vulgaris], KAI3428361.1 hypothetical protein D9Q98_006741 [Chlorella vulgaris]
OG0000694	QAXK01012986.1_3546-2582	KAI3436883.1 hypothetical protein D9Q98_006291 [Chlorella vulgaris], KAI3436885.1 hypothetical protein D9Q98_006293 [Chlorella vulgaris]
OG0000697	QAXK01000899.1_15443-14285	KAI3438535.1 hypothetical protein D9Q98_000963 [Chlorella vulgaris], KAI3438534.1 hypothetical protein D9Q98_000962 [Chlorella vulgaris]
OG0000704	QAXK01006701.1_1896-1296	KAI3429349.1 hypothetical protein D9Q98_005444 [Chlorella vulgaris], KAI3429350.1 hypothetical protein D9Q98_005445 [Chlorella vulgaris]
OG0000730	QAXK01001551.1_59690-63747	KAI3438510.1 hypothetical protein D9Q98_000938 [Chlorella vulgaris], KAI3438509.1 hypothetical protein D9Q98_000937 [Chlorella vulgaris]
OG0000732	QAXK01003652.1_16558-15646	KAI3426990.1 hypothetical protein D9Q98_006934 [Chlorella vulgaris], KAI3426986.1 hypothetical protein D9Q98_006930 [Chlorella vulgaris], KAI3426989.1 hypothetical protein D9Q98_006933 [Chlorella vulgaris]
OG0000734	QAXK01007307.1_6962-7960	KAI3431603.1 hypothetical protein D9Q98_004653 [Chlorella vulgaris]
OG0000735	QAXK01011105.1_8336-6488	KAI3438882.1 hypothetical protein D9Q98_001297 [Chlorella vulgaris], KAI3438880.1 hypothetical protein D9Q98_001295 [Chlorella vulgaris]
OG0000747	QAXK01006607.1_16309-17535	KAI3429409.1 hypothetical protein D9Q98_005504 [Chlorella vulgaris]
