Orthogroup	Chlorella_KRBP	Micractinium_SAG24180
OG0000126	QAXK01000372.1_2577-4525	PSC71573.1 pollen-specific SF21-like [Micractinium conductrix], PSC74099.1 sulfolipid synthase [Micractinium conductrix]
OG0000128	QAXK01009125.1_10140-8059	PSC69883.1 obg-like ATPase 1 [Micractinium conductrix], PSC76415.1 cysteine protease atg4b [Micractinium conductrix], PSC75412.1 ribonuclease [Micractinium conductrix]
OG0000137	QAXK01002137.1_9267-10854	PSC74076.1 E3 ubiquitin-ligase RNF185 isoform X1 [Micractinium conductrix], PSC70297.1 bifunctional apoptosis regulator [Micractinium conductrix]
OG0000152	QAXK01008299.1_4185-5535	PSC77015.1 serine threonine-kinase EDR1 [Micractinium conductrix], PSC73017.1 serine threonine-kinase EDR1-like isoform X1 [Micractinium conductrix], PSC72410.1 Serine threonine-kinase CTR1 [Micractinium conductrix]
OG0000163	QAXK01013733.1_9353-8061	PSC74229.1 ADP-ribosylation factor 2 [Micractinium conductrix]
OG0000165	QAXK01004609.1_12369-13533	PSC69501.1 P-loop containing nucleoside triphosphate hydrolases superfamily [Micractinium conductrix], PSC69023.1 3-hydroxyisobutyryl-mitochondrial [Micractinium conductrix]
OG0000175	QAXK01006319.1_3560-2355	PSC76898.1 60S ribosomal L9 [Micractinium conductrix]
OG0000177	QAXK01000575.1_15675-16655	PSC71886.1 2-C-methyl-D-erythritol 2_4-cyclodiphosphate chloroplastic [Micractinium conductrix], PSC71450.1 Golgi apparatus [Micractinium conductrix], PSC69293.1 2-C-methyl-D-erythritol 2_4-cyclodiphosphate synthase [Micractinium conductrix]
OG0000187	QAXK01014854.1_51-3845	PSC70071.1 DNA ligase [Micractinium conductrix], PSC72994.1 DNA ligase 1-like [Micractinium conductrix]
OG0000189	QAXK01000217.1_14674-15859	PSC69560.1 nucleic acid binding [Micractinium conductrix], PSC69554.1 V-type proton ATPase subunit c1 [Micractinium conductrix]
OG0000192	QAXK01001504.1_2221-4972	PSC74650.1 cell division control 2-like protein [Micractinium conductrix], PSC74119.1 plant specific cyclin dependent kinase [Micractinium conductrix]
OG0000199	QAXK01010173.1_3319-5256	PSC67356.1 F-box protein [Micractinium conductrix], PSC75559.1 F-box protein_ partial [Micractinium conductrix], PSC67070.1 F-box protein [Micractinium conductrix], PSC67485.1 F-box protein [Micractinium conductrix]
OG0000201	QAXK01000736.1_9467-8726	PSC69011.1 U5 small nuclear ribonucleo 200 kDa helicase-like [Micractinium conductrix], PSC69116.1 activating signal cointegrator 1 complex subunit 3 [Micractinium conductrix]
OG0000207	QAXK01004998.1_5108-4093	PSC69741.1 Exosome complex component CSL4 [Micractinium conductrix]
OG0000215	QAXK01013809.1_3869-6090	PSC76558.1 farnesyltransferase geranylgeranyltransferase type-1 subunit alpha [Micractinium conductrix], PSC75134.1 GCC2 and GCC3 domain containing [Micractinium conductrix], PSC75114.1 multiple epidermal growth factor-like domains 6 [Micractinium conductrix], PSC69766.1 pro convertase subtilisin kexin type 5-like [Micractinium conductrix], PSC74833.1 von Willebrand factor type EGF and pentraxin domain-containing 1 [Micractinium conductrix]
OG0000217	QAXK01003927.1_26651-24094	PSC74291.1 NAD_P_-binding [Micractinium conductrix], PSC73519.1 trans-2-enoyl-mitochondrial [Micractinium conductrix]
OG0000222	QAXK01005046.1_1470-3041	PSC70136.1 naphthoate synthase [Micractinium conductrix], PSC70267.1 mannose-6-phosphate isomerase 1 [Micractinium conductrix]
OG0000225	QAXK01000132.1_14211-8944	PSC73959.1 glutamine-fructose-6-phosphate aminotransferase [isomerizing] 2 [Micractinium conductrix], PSC73999.1 glutamine-fructose-6-phosphate aminotransferase [isomerizing] 2 [Micractinium conductrix], PSC75968.1 E3 UFM1-ligase 1-like protein [Micractinium conductrix]
OG0000226	QAXK01001147.1_264-2985	PSC72296.1 RNA polymerase II C-terminal domain phosphatase-like 4 [Micractinium conductrix], PSC76899.1 phosphatase 2C 6 [Micractinium conductrix], PSC76811.1 RNA polymerase II C-terminal domain phosphatase-like 3 [Micractinium conductrix]
OG0000234	QAXK01001703.1_3693-800	PSC73839.1 eukaryotic initiation factor 4A-3 [Micractinium conductrix]
OG0000234	QAXK01001715.1_46567-44103	PSC68153.1 eukaryotic initiation factor 4A-3 [Micractinium conductrix]
OG0000243	QAXK01017572.1_4284-1659	PSC73315.1 cobalamin-dependent methionine synthase [Micractinium conductrix], PSC75398.1 KRI1-like protein [Micractinium conductrix]
OG0000255	QAXK01003493.1_20875-19869	PSC69783.1 inner membrane protease subunit 2 [Micractinium conductrix], PSC73932.1 Mitochondrial inner membrane protease subunit 1 [Micractinium conductrix]
OG0000256	QAXK01000928.1_4721-1230	PSC67883.1 putative ATP-dependent RNA helicase DDX60 [Micractinium conductrix], PSC67062.1 putative ATP-dependent RNA helicase DDX60_ partial [Micractinium conductrix], PSC67092.1 putative phosphoinositide phosphatase SAC9 isoform X1_ partial [Micractinium conductrix], PSC67064.1 putative phosphoinositide phosphatase SAC9_ partial [Micractinium conductrix], PSC67145.1 putative phosphoinositide phosphatase SAC9 [Micractinium conductrix], PSC67061.1 putative phosphoinositide phosphatase SAC9 [Micractinium conductrix], PSC67116.1 putative phosphoinositide phosphatase SAC9 isoform X1_ partial [Micractinium conductrix]
OG0000260	QAXK01007811.1_6343-7669	PSC70256.1 putative homogentisate phytyltransferase chloroplastic [Micractinium conductrix], PSC69563.1 homogentisate prenyltransferase [Micractinium conductrix]
OG0000262	QAXK01001305.1_3092-9737	PSC72136.1 formate-tetrahydrofolate ligase [Micractinium conductrix], PSC72320.1 conserved oligomeric Golgi complex subunit 4 isoform B [Micractinium conductrix], PSC72319.1 conserved oligomeric Golgi complex subunit 4 isoform A [Micractinium conductrix]
OG0000268	QAXK01007959.1_4344-7510	PSC72035.1 transport SEC13-like protein B [Micractinium conductrix], PSC67926.1 kinase and PP2C-like domain-containing [Micractinium conductrix]
OG0000269	QAXK01000159.1_2526-4128	PSC72574.1 Secretory carrier-associated membrane 1 [Micractinium conductrix]
OG0000276	QAXK01013106.1_2869-3857	PSC74719.1 Serine threonine-kinase TNNI3K [Micractinium conductrix]
OG0000290	QAXK01007708.1_8045-6769	PSC75184.1 Leucyl-cystinyl aminopeptidase isoform B [Micractinium conductrix], PSC75185.1 Leucyl-cystinyl aminopeptidase isoform A [Micractinium conductrix]
OG0000293	QAXK01000427.1_18710-23853	PSC69548.1 calcium-dependent kinase 17 [Micractinium conductrix], PSC75499.1 hypothetical protein C2E20_0993 [Micractinium conductrix], PSC72943.1 calcium dependent kinase 17 [Micractinium conductrix]
OG0000297	QAXK01003382.1_7730-10683	PSC75288.1 hypothetical protein C2E20_1197 [Micractinium conductrix], PSC76976.1 putative anion transporter chloroplastic [Micractinium conductrix], PSC75780.1 putative anion transporter 2_ chloroplastic [Micractinium conductrix]
OG0000298	QAXK01006215.1_8306-11634	PSC72354.1 cytosolic Fe-S cluster assembly factor narfl [Micractinium conductrix], PSC72361.1 rhomboid-like protease [Micractinium conductrix]
OG0000299	QAXK01000488.1_8485-5165	PSC76222.1 COP9 signalosome complex subunit 5b-like [Micractinium conductrix]
OG0000300	QAXK01000495.1_4618-6885	PSC76323.1 inorganic pyrophosphatase [Micractinium conductrix], PSC70246.1 LOW PSII ACCUMULATION chloroplastic [Micractinium conductrix]
OG0000301	QAXK01005324.1_4296-8149	PSC71645.1 peptidyl-glycine alpha-amidating monooxygenase [Micractinium conductrix], PSC69592.1 peptidase M3 [Micractinium conductrix]
OG0000302	QAXK01009146.1_0-3841	PSC71455.1 cell division cycle 48-like protein [Micractinium conductrix]
OG0000304	QAXK01014492.1_877-182	PSC73021.1 dynamin-related 3A-like [Micractinium conductrix]
OG0000315	QAXK01002353.1_19232-23410	PSC71923.1 Eukaryotic translation initiation factor 3 subunit B [Micractinium conductrix], PSC76071.1 alpha-glucan water chloroplastic isoform X2 [Micractinium conductrix]
OG0000316	QAXK01003905.1_19782-15375	PSC67084.1 5 -3 exoribonuclease 1_ partial [Micractinium conductrix], PSC76060.1 6-phosphogluconate decarboxylating [Micractinium conductrix]
OG0000317	QAXK01008437.1_3645-238	PSC75793.1 26S protease regulatory subunit 6B-like protein [Micractinium conductrix], PSC74626.1 26S proteasome regulatory subunit 4-like protein B [Micractinium conductrix]
OG0000320	QAXK01008510.1_15994-20405	PSC72014.1 histone deacetylase [Micractinium conductrix], PSC75106.1 riboflavin kinase [Micractinium conductrix]
OG0000321	QAXK01000378.1_25585-26545	PSC70435.1 AP-2 complex subunit sigma [Micractinium conductrix], PSC67094.1 zinc knuckle domain-containing [Micractinium conductrix], PSC74498.1 AP-1 complex subunit sigma-1 [Micractinium conductrix]
OG0000340	QAXK01005276.1_5688-3058	PSC69391.1 ferrochelatase-chloroplastic [Micractinium conductrix], PSC72780.1 chaperone 1 [Micractinium conductrix]
OG0000352	QAXK01000899.1_7462-5804	PSC73423.1 choline isoform B [Micractinium conductrix], PSC73422.1 choline isoform A [Micractinium conductrix], PSC69826.1 amine oxidase [Micractinium conductrix]
OG0000353	QAXK01000970.1_11060-12297	PSC72254.1 pre-mRNA-splicing factor ISY1-like protein [Micractinium conductrix], PSC72149.1 U5 small nuclear ribonucleo 40 kDa [Micractinium conductrix]
OG0000355	QAXK01000575.1_38061-33279	PSC67765.1 putative ubiquitin conjugation factor E4 [Micractinium conductrix]
OG0000356	QAXK01001458.1_25468-28021	PSC69776.1 DEAD-box ATP-dependent RNA helicase 10 [Micractinium conductrix], PSC72599.1 RNA helicase [Micractinium conductrix]
OG0000362	QAXK01002504.1_1584-235	PSC69607.1 serine threonine kinase 19 [Micractinium conductrix], PSC71205.1 hypothetical protein C2E20_5424 isoform X1 [Micractinium conductrix]
OG0000372	QAXK01000007.1_3483-1851	PSC72835.1 GDP-mannose 3_5-epimerase 2 [Micractinium conductrix]
OG0000374	QAXK01001576.1_25385-29462	PSC71880.1 NADH_ubiquinone oxidoreductase 76 kDa subunit [Micractinium conductrix]
OG0000375	QAXK01008707.1_239-2925	PSC75244.1 CCAAT enhancer-binding zeta [Micractinium conductrix]
OG0000383	QAXK01011194.1_5918-9002	PSC74244.1 mitochondrial uncoupling 1 isoform C [Micractinium conductrix], PSC74243.1 mitochondrial uncoupling 1 isoform A [Micractinium conductrix], PSC74242.1 mitochondrial uncoupling 1 isoform B [Micractinium conductrix]
OG0000390	QAXK01005078.1_1174-132, QAXK01003294.1_6337-3495	PSC69136.1 coproporphyrinogen III oxidase [Micractinium conductrix]
OG0000394	QAXK01008702.1_3083-212	PSC69324.1 telomerase Cajal body 1 [Micractinium conductrix], PSC74015.1 apyrase 2-like isoform C [Micractinium conductrix], PSC74014.1 apyrase 2-like isoform B [Micractinium conductrix], PSC74016.1 apyrase 2-like isoform A [Micractinium conductrix]
OG0000408	QAXK01003094.1_1529-6518	PSC68238.1 arginine-tRNA chloroplastic mitochondrial-like isoform X2 [Micractinium conductrix]
OG0000412	QAXK01007672.1_3589-1228	PSC75610.1 ABC_ATP-binding_ family transporter_ iron compound [Micractinium conductrix]
OG0000417	QAXK01003046.1_10052-9637	PSC74414.1 Multiple myeloma tumor-associated 2 [Micractinium conductrix]
OG0000418	QAXK01005097.1_6985-2749	PSC71547.1 ATP-dependent zinc metalloprotease FTSH mitochondrial [Micractinium conductrix]
OG0000431	QAXK01001330.1_10692-5073	PSC69627.1 urea carboxylase [Micractinium conductrix], PSC68182.1 Peptidyl-prolyl cis-trans isomerase PASTICCINO1 [Micractinium conductrix]
OG0000443	QAXK01002390.1_2379-454	PSC75180.1 chorismate mutase [Micractinium conductrix]
OG0000446	QAXK01006391.1_1754-3793	PSC74157.1 LON peptidase N-terminal domain and RING finger 1 isoform B [Micractinium conductrix], PSC74156.1 LON peptidase N-terminal domain and RING finger 1 isoform A [Micractinium conductrix], PSC73677.1 DNA excision repair ERCC-8-like [Micractinium conductrix]
OG0000449	QAXK01017753.1_1728-436	PSC68672.1 DNA excision repair ERCC-1 [Micractinium conductrix], PSC76910.1 anaphase-promoting complex subunit 2 [Micractinium conductrix]
OG0000452	QAXK01003135.1_2479-16	PSC71605.1 putative 18S rRNA _guanine-N_7__-methyltransferase [Micractinium conductrix]
OG0000455	QAXK01015054.1_2845-4309	PSC67827.1 magnesium protoporphyrin IX chloroplastic-like [Micractinium conductrix]
OG0000468	QAXK01006097.1_2371-905	PSC68383.1 Rab family GTPase [Micractinium conductrix], PSC76058.1 Rab8 -family small GTPase [Micractinium conductrix]
OG0000470	QAXK01000050.1_24428-29981	PSC67745.1 multisubstrate pseudouridine synthase 7 [Micractinium conductrix], PSC74395.1 leucine-tRNA cytoplasmic [Micractinium conductrix]
OG0000471	QAXK01001670.1_7180-6388	PSC73183.1 histone chaperone asf1 [Micractinium conductrix], PSC72969.1 transcription initiation factor tfiid subunit 11 [Micractinium conductrix]
OG0000474	QAXK01000042.1_28045-28765	PSC73665.1 Structure-specific endonuclease subunit SLX1 [Micractinium conductrix], PSC73848.1 Chaperone dnaJ 10 isoform A [Micractinium conductrix], PSC73847.1 Chaperone dnaJ 10 isoform B [Micractinium conductrix]
OG0000479	QAXK01004028.1_58546-56431	PSC68596.1 sister chromatid cohesion DCC1 [Micractinium conductrix]
OG0000499	QAXK01009964.1_53-2582	PSC75519.1 twinkle-like protein chloroplastic mitochondrial isoform X2 [Micractinium conductrix]
OG0000501	QAXK01015180.1_1811-4048	PSC73003.1 putative S-acyltransferase 7 [Micractinium conductrix]
OG0000506	QAXK01002250.1_1739-4040	PSC73690.1 Bromodomain adjacent to zinc finger domain 1A [Micractinium conductrix]
OG0000512	QAXK01000565.1_7520-10250	PSC71732.1 glutamate-cysteine chloroplastic [Micractinium conductrix]
OG0000517	QAXK01001595.1_3107-7081	PSC71174.1 hypothetical protein C2E20_5468 [Micractinium conductrix]
OG0000519	QAXK01004538.1_836-4145	PSC71029.1 putative UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase SEC [Micractinium conductrix], PSC70746.1 Glycylpeptide N-tetradecanoyltransferase 1 [Micractinium conductrix]
OG0000520	QAXK01002274.1_7306-5678	PSC75158.1 3-oxo-5-alpha-steroid 4-dehydrogenase 1 [Micractinium conductrix]
OG0000521	QAXK01000876.1_25410-28882	PSC74144.1 sorting and assembly machinery component 50-like protein B-like [Micractinium conductrix], PSC74106.1 ubiquitin-like-specific protease ESD4 isoform X2 isoform A [Micractinium conductrix], PSC74105.1 ubiquitin-like-specific protease ESD4 isoform X2 isoform B [Micractinium conductrix]
OG0000522	QAXK01010222.1_2855-4006	PSC73440.1 molecular chaperone [Micractinium conductrix]
OG0000528	QAXK01011871.1_1755-3976	PSC75046.1 random slug 5-like [Micractinium conductrix]
OG0000535	QAXK01008326.1_3715-2230	PSC71223.1 Kinesin KIF6 [Micractinium conductrix], PSC76319.1 putative 6-phosphogluconolactonase chloroplastic [Micractinium conductrix]
OG0000542	QAXK01007731.1_21245-25168	PSC69479.1 vacuolar sorting-associated 45-like protein [Micractinium conductrix], PSC69510.1 mitochondrial substrate carrier family B [Micractinium conductrix]
OG0000546	QAXK01003383.1_11610-10089	PSC69174.1 putative phosphatase 2C 5 isoform X1 [Micractinium conductrix], PSC69106.1 Qa-SYP4 Tlg2p Syntaxin 16-type [Micractinium conductrix]
OG0000552	QAXK01001452.1_4877-8338	PSC70972.1 serine carboxypeptidase 24-like [Micractinium conductrix]
OG0000565	QAXK01012018.1_21-2846	PSC70159.1 3-dehydroquinate synthase [Micractinium conductrix]
OG0000572	QAXK01002353.1_6519-15187	PSC76246.1 histone acetyltransferase HAC1-like [Micractinium conductrix]
OG0000573	QAXK01003348.1_1486-6	PSC71818.1 hypothetical protein C2E20_4941 [Micractinium conductrix], PSC71739.1 Serine threonine-kinase TOUSLED [Micractinium conductrix]
OG0000577	QAXK01003132.1_5372-2862	PSC75825.1 Eukaryotic translation initiation factor 3 subunit F [Micractinium conductrix]
OG0000585	QAXK01002652.1_31218-33264	PSC67369.1 DNA RNA polymerase [Micractinium conductrix], PSC74997.1 NLI interacting factor-like phosphatase [Micractinium conductrix]
OG0000586	QAXK01001200.1_17606-19818	PSC72392.1 putative WD repeat-containing [Micractinium conductrix], PSC71302.1 mitochondrial-processing peptidase subunit alpha-like [Micractinium conductrix]
OG0000594	QAXK01013585.1_2213-468	PSC71121.1 Transaldolase [Micractinium conductrix]
OG0000595	QAXK01010664.1_1473-417	PSC70713.1 ras-related RIC2 [Micractinium conductrix], PSC68035.1 Rab11 -family small GTPase [Micractinium conductrix]
OG0000611	QAXK01011586.1_4054-3461	PSC72946.1 Ubiquitin domain-containing 2 [Micractinium conductrix]
OG0000616	QAXK01001265.1_8774-9883	PSC73413.1 small nuclear ribonucleo -associated B -like [Micractinium conductrix]
OG0000618	QAXK01000835.1_1-309	PSC73676.1 40S ribosomal S15a isoform B [Micractinium conductrix], PSC73675.1 40S ribosomal S15a isoform A [Micractinium conductrix]
OG0000626	QAXK01003230.1_4778-8012	PSC76267.1 lon protease-like protein peroxisomal [Micractinium conductrix], PSC76277.1 SDA1 [Micractinium conductrix]
OG0000635	QAXK01004870.1_4878-5513	PSC72390.1 ribulose-phosphate 3-chloroplastic-like [Micractinium conductrix]
OG0000637	QAXK01001575.1_13855-13334	PSC69313.1 N-alpha-acetyltransferase 20 [Micractinium conductrix], PSC74139.1 adiponectin receptor 1b [Micractinium conductrix]
OG0000638	QAXK01010124.1_10448-8669	PSC70505.1 MON2-like protein isoform X1 [Micractinium conductrix]
OG0000649	QAXK01000254.1_6101-3555	PSC73006.1 diaminopimelate decarboxylase chloroplastic-like [Micractinium conductrix]
OG0000653	QAXK01000123.1_7289-10291	PSC69951.1 aspartate-semialdehyde dehydrogenase-like [Micractinium conductrix]
OG0000654	QAXK01000799.1_92299-89512	PSC68286.1 ligase [Micractinium conductrix]
OG0000660	QAXK01014960.1_11495-10348	PSC75572.1 40S ribosomal S27-2 [Micractinium conductrix], PSC75573.1 plant intracellular Ras-group-related LRR 7-like [Micractinium conductrix]
OG0000661	QAXK01004242.1_3727-7707	PSC71826.1 Guanine nucleotide-binding -like 3 [Micractinium conductrix]
OG0000662	QAXK01000452.1_6301-4533	PSC68501.1 plant MCA23-20 [Micractinium conductrix], PSC76402.1 plant MCA23-20 [Micractinium conductrix]
OG0000664	QAXK01015723.1_3192-4172	PSC71591.1 CBL-interacting kinase 32 [Micractinium conductrix]
OG0000671	QAXK01001535.1_15806-14316	PSC73907.1 peptidyl-prolyl cis-trans isomerase FKBP16-chloroplastic isoform X2 [Micractinium conductrix], PSC67959.1 DNA-directed RNA polymerase III subunit RPC6 [Micractinium conductrix]
OG0000676	QAXK01015338.1_519-166	PSC68356.1 zinc finger CCCH domain-containing 39-like [Micractinium conductrix], PSC75295.1 U6 snRNA-associated Sm LSm1 [Micractinium conductrix]
OG0000678	QAXK01001500.1_1992-2978	PSC72021.1 SKP1 1B [Micractinium conductrix]
OG0000679	QAXK01006881.1_8512-9541	PSC71865.1 50S ribosomal chloroplastic [Micractinium conductrix]
OG0000688	QAXK01003305.1_27047-24211	PSC72831.1 60S ribosomal export NMD3-like [Micractinium conductrix]
OG0000689	QAXK01001638.1_16082-13313	PSC68493.1 2-isopropylmalate synthase isoform B [Micractinium conductrix], PSC68492.1 2-isopropylmalate synthase isoform A [Micractinium conductrix]
OG0000691	QAXK01001186.1_10565-8532	PSC69841.1 divinyl chlorophyllide a 8-vinyl-chloroplastic isoform B [Micractinium conductrix], PSC69840.1 divinyl chlorophyllide a 8-vinyl-chloroplastic isoform A [Micractinium conductrix]
OG0000693	QAXK01008377.1_3630-1851	PSC69767.1 nuA4 complex subunit EAF3-like protein [Micractinium conductrix], PSC69788.1 TRNA-dihydrouridine_16 17_ synthase [NAD_P__+_] [Micractinium conductrix]
OG0000694	QAXK01012986.1_3546-2582	PSC67459.1 hypothetical protein C2E20_8860 [Micractinium conductrix]
OG0000697	QAXK01000899.1_15443-14285	PSC76281.1 peptide deformylase [Micractinium conductrix]
OG0000704	QAXK01006701.1_1896-1296	PSC68459.1 Transmembrane 18 isoform B [Micractinium conductrix], PSC68460.1 Transmembrane 18 isoform A [Micractinium conductrix], PSC68437.1 Transmembrane 18 isoform A [Micractinium conductrix], PSC68436.1 Transmembrane 18 isoform B [Micractinium conductrix]
OG0000730	QAXK01001551.1_59690-63747	PSC73830.1 U4 U6 small nuclear ribonucleo Prp31-like [Micractinium conductrix]
OG0000732	QAXK01003652.1_16558-15646	PSC75709.1 Transcription elongation factor A 2 [Micractinium conductrix]
OG0000734	QAXK01007307.1_6962-7960	PSC67588.1 type A von Willebrand factor domain-containing isoform A [Micractinium conductrix], PSC67589.1 type A von Willebrand factor domain-containing isoform B [Micractinium conductrix]
OG0000735	QAXK01011105.1_8336-6488	PSC75361.1 TATA-box-binding 2 [Micractinium conductrix], PSC75796.1 pheromone shutdown [Micractinium conductrix]
OG0000747	QAXK01006607.1_16309-17535	PSC74939.1 Syntaxin-61 [Micractinium conductrix], PSC74993.1 ankyrin repeat [Micractinium conductrix]
OG0000753	QAXK01001647.1_3154-482	PSC67908.1 Succinyl-ligase [ADP-forming] subunit mitochondrial [Micractinium conductrix]
OG0000764	QAXK01005724.1_7661-4858	PSC68197.1 gamma-tocopherol methyltransferase isoform A [Micractinium conductrix], PSC68196.1 gamma-tocopherol methyltransferase isoform B [Micractinium conductrix]
OG0000770	QAXK01003607.1_11324-13747	PSC73084.1 glucose-6-phosphate 1-epimerase [Micractinium conductrix], PSC73327.1 glucose-6-phosphate 1-epimerase [Micractinium conductrix]
OG0000774	QAXK01004825.1_8965-10753	PSC69772.1 Meiotically up-regulated 66 [Micractinium conductrix]
OG0000777	QAXK01002948.1_4354-3157	PSC70747.1 glyoxylase family [Micractinium conductrix], PSC70687.1 hypothetical protein C2E20_5796 [Micractinium conductrix]
OG0000778	QAXK01014006.1_1593-3302	PSC68405.1 SET domain-containing [Micractinium conductrix]
OG0000782	QAXK01009651.1_2303-1712	PSC75842.1 hypothetical protein C2E20_1662 [Micractinium conductrix], PSC72832.1 vanadium-dependent haloperoxidase [Micractinium conductrix]
OG0000784	QAXK01014689.1_5406-4708	PSC77006.1 dolichol-phosphate mannosyltransferase subunit 1 [Micractinium conductrix]
OG0000786	QAXK01006828.1_9411-7696	PSC69594.1 ribulosamine 3-chloroplastic [Micractinium conductrix]
OG0000788	QAXK01010339.1_3422-4517	PSC74525.1 centrin [Micractinium conductrix]
OG0000793	QAXK01000249.1_22218-16975	PSC68109.1 ROOT HAIR DEFECTIVE 3 [Micractinium conductrix]
OG0000799	QAXK01005565.1_18254-19052	PSC76098.1 N-acetylserotonin O-methyltransferase isoform B [Micractinium conductrix], PSC76099.1 N-acetylserotonin O-methyltransferase isoform A [Micractinium conductrix], PSC75639.1 Mitochondrial nuclease [Micractinium conductrix]
OG0000818	QAXK01008587.1_153-1989	PSC67426.1 mitochondrial adenine nucleotide transporter ADNT1-like isoform B [Micractinium conductrix], PSC76352.1 mitochondrial carrier isoform A [Micractinium conductrix], PSC76353.1 mitochondrial carrier isoform B [Micractinium conductrix], PSC67425.1 mitochondrial adenine nucleotide transporter ADNT1-like isoform A [Micractinium conductrix]
OG0000819	QAXK01003572.1_15443-13865	PSC69747.1 Tbc2 translation chloroplastic [Micractinium conductrix], PSC69830.1 nuclear migration nudc [Micractinium conductrix]
OG0000827	QAXK01003364.1_14418-18303	PSC69959.1 acetohydroxy acid isomeroreductase isoform B [Micractinium conductrix], PSC69958.1 acetohydroxy acid isomeroreductase isoform C [Micractinium conductrix], PSC69960.1 acetohydroxy acid isomeroreductase isoform A [Micractinium conductrix]
OG0000828	QAXK01000782.1_20679-19905	PSC70636.1 50S ribosomal mitochondrial-like [Micractinium conductrix]
OG0000830	QAXK01013271.1_12309-15183	PSC73574.1 SRSF kinase isoform B [Micractinium conductrix], PSC73573.1 SRSF kinase isoform A [Micractinium conductrix], PSC68985.1 SRSF kinase 1 [Micractinium conductrix]
OG0000838	QAXK01003718.1_1305-2104	PSC70531.1 nudC domain-containing 2 [Micractinium conductrix]
OG0000856	QAXK01018212.1_1235-2568	PSC73388.1 putative tRNA N6-adenosine threonylcarbamoyltransferase isoform A [Micractinium conductrix], PSC73389.1 putative tRNA N6-adenosine threonylcarbamoyltransferase isoform B [Micractinium conductrix]
OG0000857	QAXK01003829.1_4453-4800	PSC72356.1 putative boron transporter 2 [Micractinium conductrix]
OG0000858	QAXK01000114.1_14115-13091	PSC67126.1 mitochondrial inner membrane protease ATP23-like [Micractinium conductrix], PSC73865.1 mitochondrial inner membrane protease ATP23 [Micractinium conductrix], PSC67124.1 auxin efflux carrier family [Micractinium conductrix]
OG0000882	QAXK01006249.1_4939-7634	PSC74364.1 flap endonuclease 1 [Micractinium conductrix]
OG0000890	QAXK01001134.1_10091-19430	PSC69547.1 5-oxoprolinase isoform B [Micractinium conductrix], PSC69546.1 5-oxoprolinase isoform A [Micractinium conductrix], PSC69545.1 5-oxoprolinase isoform C [Micractinium conductrix], PSC69544.1 5-oxoprolinase isoform D [Micractinium conductrix]
