Orthogroup	Chlorella_KRBP	Auxenochlorella_protothecoides
OG0000372	QAXK01000007.1_3483-1851	RMZ55145.1 hypothetical protein APUTEX25_005423_ partial [Auxenochlorella protothecoides], RMZ55120.1 hypothetical protein APUTEX25_005398 [Auxenochlorella protothecoides]
OG0000374	QAXK01001576.1_25385-29462	RMZ55186.1 hypothetical protein APUTEX25_005464 [Auxenochlorella protothecoides], RMZ55200.1 hypothetical protein APUTEX25_005478_ partial [Auxenochlorella protothecoides]
OG0000375	QAXK01008707.1_239-2925	RMZ55260.1 hypothetical protein APUTEX25_005538 [Auxenochlorella protothecoides]
OG0000383	QAXK01011194.1_5918-9002	RMZ56512.1 hypothetical protein APUTEX25_001359 [Auxenochlorella protothecoides]
OG0000390	QAXK01005078.1_1174-132, QAXK01003294.1_6337-3495	RMZ57399.1 hypothetical protein APUTEX25_004233 [Auxenochlorella protothecoides]
OG0000408	QAXK01003094.1_1529-6518	RMZ52140.1 hypothetical protein APUTEX25_001530 [Auxenochlorella protothecoides], RMZ56791.1 hypothetical protein APUTEX25_002880 [Auxenochlorella protothecoides]
OG0000412	QAXK01007672.1_3589-1228	RMZ54660.1 hypothetical protein APUTEX25_003038 [Auxenochlorella protothecoides], RMZ52499.1 hypothetical protein APUTEX25_003642 [Auxenochlorella protothecoides]
OG0000417	QAXK01003046.1_10052-9637	RMZ52852.1 hypothetical protein APUTEX25_000971 [Auxenochlorella protothecoides]
OG0000418	QAXK01005097.1_6985-2749	RMZ52947.1 hypothetical protein APUTEX25_001066_ partial [Auxenochlorella protothecoides]
OG0000431	QAXK01001330.1_10692-5073	RMZ53709.1 hypothetical protein APUTEX25_003243_ partial [Auxenochlorella protothecoides]
OG0000443	QAXK01002390.1_2379-454	RMZ54734.1 hypothetical protein APUTEX25_003112 [Auxenochlorella protothecoides]
OG0000446	QAXK01006391.1_1754-3793	RMZ55066.1 hypothetical protein APUTEX25_005692 [Auxenochlorella protothecoides], RMZ56155.1 hypothetical protein APUTEX25_004579 [Auxenochlorella protothecoides]
OG0000449	QAXK01017753.1_1728-436	RMZ55262.1 hypothetical protein APUTEX25_005540_ partial [Auxenochlorella protothecoides]
OG0000452	QAXK01003135.1_2479-16	RMZ57028.1 hypothetical protein APUTEX25_002260_ partial [Auxenochlorella protothecoides], RMZ55356.1 hypothetical protein APUTEX25_002214 [Auxenochlorella protothecoides]
OG0000455	QAXK01015054.1_2845-4309	RMZ55403.1 hypothetical protein APUTEX25_003527_ partial [Auxenochlorella protothecoides], RMZ55435.1 hypothetical protein APUTEX25_003559_ partial [Auxenochlorella protothecoides]
OG0000468	QAXK01006097.1_2371-905	RMZ57221.1 hypothetical protein APUTEX25_004055 [Auxenochlorella protothecoides], RMZ56355.1 hypothetical protein APUTEX25_004712_ partial [Auxenochlorella protothecoides]
OG0000470	QAXK01000050.1_24428-29981	RMZ57656.1 hypothetical protein APUTEX25_001856 [Auxenochlorella protothecoides], RMZ56552.1 hypothetical protein APUTEX25_001399 [Auxenochlorella protothecoides]
OG0000471	QAXK01001670.1_7180-6388	RMZ56752.1 hypothetical protein APUTEX25_002841_ partial [Auxenochlorella protothecoides]
OG0000474	QAXK01000042.1_28045-28765	RMZ57017.1 hypothetical protein APUTEX25_002249 [Auxenochlorella protothecoides], RMZ57001.1 hypothetical protein APUTEX25_002233 [Auxenochlorella protothecoides]
OG0000479	QAXK01004028.1_58546-56431	RMZ57644.1 hypothetical protein APUTEX25_001844 [Auxenochlorella protothecoides], RMZ57382.1 hypothetical protein APUTEX25_004216 [Auxenochlorella protothecoides]
OG0000499	QAXK01009964.1_53-2582	RMZ52031.1 hypothetical protein APUTEX25_001225_ partial [Auxenochlorella protothecoides], RMZ57844.1 hypothetical protein APUTEX25_001201_ partial [Auxenochlorella protothecoides]
OG0000501	QAXK01019765.1_356-165	RMZ52092.1 hypothetical protein APUTEX25_001286_ partial [Auxenochlorella protothecoides]
OG0000506	QAXK01002250.1_1739-4040	RMZ52573.1 hypothetical protein APUTEX25_003716_ partial [Auxenochlorella protothecoides], RMZ52560.1 hypothetical protein APUTEX25_003703_ partial [Auxenochlorella protothecoides]
OG0000512	QAXK01000565.1_7520-10250	RMZ52907.1 hypothetical protein APUTEX25_001026 [Auxenochlorella protothecoides]
OG0000517	QAXK01001595.1_3107-7081	RMZ53153.1 hypothetical protein APUTEX25_005142 [Auxenochlorella protothecoides]
OG0000519	QAXK01004538.1_836-4145	RMZ53264.1 hypothetical protein APUTEX25_005253_ partial [Auxenochlorella protothecoides], RMZ54388.1 hypothetical protein APUTEX25_001964_ partial [Auxenochlorella protothecoides]
OG0000520	QAXK01002274.1_7306-5678	RMZ53266.1 hypothetical protein APUTEX25_005255_ partial [Auxenochlorella protothecoides]
OG0000521	QAXK01000876.1_25410-28882	RMZ53354.1 hypothetical protein APUTEX25_004842 [Auxenochlorella protothecoides], RMZ53359.1 hypothetical protein APUTEX25_004847 [Auxenochlorella protothecoides]
OG0000522	QAXK01010222.1_2855-4006	RMZ53397.1 hypothetical protein APUTEX25_004885 [Auxenochlorella protothecoides], RMZ56227.1 hypothetical protein APUTEX25_002417_ partial [Auxenochlorella protothecoides]
OG0000528	QAXK01011871.1_1755-3976	RMZ53744.1 hypothetical protein APUTEX25_003883 [Auxenochlorella protothecoides]
OG0000535	QAXK01008326.1_3715-2230	RMZ54061.1 hypothetical protein APUTEX25_002638 [Auxenochlorella protothecoides]
OG0000542	QAXK01007731.1_21245-25168	RMZ54410.1 hypothetical protein APUTEX25_001986 [Auxenochlorella protothecoides]
OG0000546	QAXK01003383.1_11610-10089	RMZ54704.1 hypothetical protein APUTEX25_003082_ partial [Auxenochlorella protothecoides]
OG0000552	QAXK01001452.1_4877-8338	RMZ55131.1 hypothetical protein APUTEX25_005409 [Auxenochlorella protothecoides]
OG0000565	QAXK01012018.1_21-2846	RMZ55744.1 hypothetical protein APUTEX25_005785 [Auxenochlorella protothecoides]
OG0000572	QAXK01002353.1_6519-15187	RMZ56474.1 hypothetical protein APUTEX25_001321_ partial [Auxenochlorella protothecoides], RMZ57131.1 hypothetical protein APUTEX25_002363 [Auxenochlorella protothecoides]
OG0000573	QAXK01003348.1_1486-6	RMZ56532.1 hypothetical protein APUTEX25_001379 [Auxenochlorella protothecoides], RMZ57188.1 hypothetical protein APUTEX25_004022 [Auxenochlorella protothecoides]
OG0000577	QAXK01003132.1_5372-2862	RMZ56925.1 hypothetical protein APUTEX25_004987 [Auxenochlorella protothecoides], RMZ56949.1 hypothetical protein APUTEX25_005011 [Auxenochlorella protothecoides]
OG0000585	QAXK01002652.1_31218-33264	RMZ57249.1 hypothetical protein APUTEX25_004083 [Auxenochlorella protothecoides]
OG0000586	QAXK01001200.1_17606-19818	RMZ57309.1 hypothetical protein APUTEX25_004143 [Auxenochlorella protothecoides]
OG0000611	QAXK01011586.1_4054-3461	RMZ52033.1 hypothetical protein APUTEX25_001227_ partial [Auxenochlorella protothecoides]
OG0000616	QAXK01001265.1_8774-9883	RMZ52321.1 hypothetical protein APUTEX25_005074_ partial [Auxenochlorella protothecoides]
OG0000618	QAXK01000835.1_1-309	RMZ52555.1 hypothetical protein APUTEX25_003698_ partial [Auxenochlorella protothecoides]
OG0000626	QAXK01003230.1_4778-8012	RMZ55093.1 hypothetical protein APUTEX25_005719 [Auxenochlorella protothecoides], RMZ53082.1 hypothetical protein APUTEX25_002491_ partial [Auxenochlorella protothecoides]
OG0000635	QAXK01004870.1_4878-5513	RMZ56144.1 hypothetical protein APUTEX25_004568 [Auxenochlorella protothecoides], RMZ53449.1 hypothetical protein APUTEX25_003271 [Auxenochlorella protothecoides]
OG0000637	QAXK01001575.1_13855-13334	RMZ53706.1 hypothetical protein APUTEX25_003240 [Auxenochlorella protothecoides], RMZ56338.1 hypothetical protein APUTEX25_004695 [Auxenochlorella protothecoides]
OG0000638	QAXK01010124.1_10448-8669	RMZ56080.1 hypothetical protein APUTEX25_004504 [Auxenochlorella protothecoides], RMZ53764.1 hypothetical protein APUTEX25_003903_ partial [Auxenochlorella protothecoides]
OG0000649	QAXK01000254.1_6101-3555	RMZ54291.1 hypothetical protein APUTEX25_001449 [Auxenochlorella protothecoides], RMZ54279.1 hypothetical protein APUTEX25_001437 [Auxenochlorella protothecoides]
OG0000653	QAXK01000123.1_7289-10291	RMZ54477.1 hypothetical protein APUTEX25_002053_ partial [Auxenochlorella protothecoides]
OG0000654	QAXK01000799.1_92299-89512	RMZ54551.1 hypothetical protein APUTEX25_002126 [Auxenochlorella protothecoides]
OG0000660	QAXK01014960.1_11495-10348	RMZ55058.1 hypothetical protein APUTEX25_005684 [Auxenochlorella protothecoides]
OG0000661	QAXK01004242.1_3727-7707	RMZ55081.1 hypothetical protein APUTEX25_005707 [Auxenochlorella protothecoides]
OG0000662	QAXK01000452.1_6301-4533	RMZ55110.1 hypothetical protein APUTEX25_005388 [Auxenochlorella protothecoides]
OG0000664	QAXK01015723.1_3192-4172	RMZ55173.1 hypothetical protein APUTEX25_005451_ partial [Auxenochlorella protothecoides], RMZ57180.1 hypothetical protein APUTEX25_004014 [Auxenochlorella protothecoides]
OG0000671	QAXK01001535.1_15806-14316	RMZ55508.1 hypothetical protein APUTEX25_000091 [Auxenochlorella protothecoides]
OG0000676	QAXK01015338.1_519-166	RMZ57478.1 hypothetical protein APUTEX25_004312 [Auxenochlorella protothecoides], RMZ55646.1 hypothetical protein APUTEX25_000229 [Auxenochlorella protothecoides]
OG0000678	QAXK01001500.1_1992-2978	RMZ55892.1 hypothetical protein APUTEX25_003858_ partial [Auxenochlorella protothecoides]
OG0000679	QAXK01006881.1_8512-9541	RMZ55895.1 hypothetical protein APUTEX25_003861 [Auxenochlorella protothecoides]
OG0000688	QAXK01003305.1_27047-24211	RMZ56435.1 hypothetical protein APUTEX25_004658 [Auxenochlorella protothecoides]
OG0000689	QAXK01001638.1_16082-13313	RMZ56566.1 hypothetical protein APUTEX25_001413 [Auxenochlorella protothecoides]
OG0000691	QAXK01001186.1_10565-8532	RMZ56622.1 hypothetical protein APUTEX25_002711 [Auxenochlorella protothecoides], RMZ56674.1 hypothetical protein APUTEX25_002763_ partial [Auxenochlorella protothecoides]
OG0000693	QAXK01008377.1_3630-1851	RMZ56690.1 hypothetical protein APUTEX25_002779 [Auxenochlorella protothecoides], RMZ56786.1 hypothetical protein APUTEX25_002875 [Auxenochlorella protothecoides]
OG0000694	QAXK01012986.1_3546-2582	RMZ56696.1 hypothetical protein APUTEX25_002785 [Auxenochlorella protothecoides]
OG0000697	QAXK01000899.1_15443-14285	RMZ57035.1 hypothetical protein APUTEX25_002267 [Auxenochlorella protothecoides], RMZ56775.1 hypothetical protein APUTEX25_002864 [Auxenochlorella protothecoides]
OG0000704	QAXK01006701.1_1896-1296	RMZ57405.1 hypothetical protein APUTEX25_004239 [Auxenochlorella protothecoides]
OG0000730	QAXK01001551.1_59690-63747	RMZ52364.1 hypothetical protein APUTEX25_000639_ partial [Auxenochlorella protothecoides]
OG0000732	QAXK01003652.1_16558-15646	RMZ52510.1 hypothetical protein APUTEX25_003653 [Auxenochlorella protothecoides]
OG0000734	QAXK01007307.1_6962-7960	RMZ52619.1 hypothetical protein APUTEX25_000738 [Auxenochlorella protothecoides], RMZ52645.1 hypothetical protein APUTEX25_000764 [Auxenochlorella protothecoides]
OG0000735	QAXK01011105.1_8336-6488	RMZ52751.1 hypothetical protein APUTEX25_000870 [Auxenochlorella protothecoides], RMZ52630.1 hypothetical protein APUTEX25_000749 [Auxenochlorella protothecoides]
OG0000747	QAXK01006607.1_16309-17535	RMZ53148.1 hypothetical protein APUTEX25_005137 [Auxenochlorella protothecoides], RMZ57809.1 hypothetical protein APUTEX25_000571_ partial [Auxenochlorella protothecoides]
OG0000753	QAXK01001647.1_3154-482	RMZ53347.1 hypothetical protein APUTEX25_004835_ partial [Auxenochlorella protothecoides]
OG0000764	QAXK01005724.1_7661-4858	RMZ53749.1 hypothetical protein APUTEX25_003888_ partial [Auxenochlorella protothecoides]
OG0000770	QAXK01003607.1_11324-13747	RMZ54042.1 hypothetical protein APUTEX25_002619_ partial [Auxenochlorella protothecoides]
OG0000774	QAXK01004825.1_8965-10753	RMZ54190.1 hypothetical protein APUTEX25_005346_ partial [Auxenochlorella protothecoides]
OG0000777	QAXK01002948.1_4354-3157	RMZ54250.1 hypothetical protein APUTEX25_000601 [Auxenochlorella protothecoides]
OG0000778	QAXK01014006.1_1593-3302	RMZ54282.1 hypothetical protein APUTEX25_001440 [Auxenochlorella protothecoides], RMZ54310.1 hypothetical protein APUTEX25_001468 [Auxenochlorella protothecoides]
OG0000782	QAXK01009651.1_2303-1712	RMZ54643.1 hypothetical protein APUTEX25_003021 [Auxenochlorella protothecoides], RMZ55187.1 hypothetical protein APUTEX25_005465 [Auxenochlorella protothecoides]
OG0000784	QAXK01014689.1_5406-4708	RMZ54824.1 hypothetical protein APUTEX25_000341 [Auxenochlorella protothecoides], RMZ57581.1 hypothetical protein APUTEX25_001781 [Auxenochlorella protothecoides]
OG0000786	QAXK01006828.1_9411-7696	RMZ54925.1 hypothetical protein APUTEX25_000442_ partial [Auxenochlorella protothecoides]
OG0000788	QAXK01010339.1_3422-4517	RMZ54950.1 hypothetical protein APUTEX25_000467_ partial [Auxenochlorella protothecoides]
OG0000793	QAXK01000249.1_22218-16975	RMZ55086.1 hypothetical protein APUTEX25_005712_ partial [Auxenochlorella protothecoides]
OG0000799	QAXK01005565.1_18254-19052	RMZ55698.1 hypothetical protein APUTEX25_005739 [Auxenochlorella protothecoides], RMZ55407.1 hypothetical protein APUTEX25_003531 [Auxenochlorella protothecoides]
OG0000818	QAXK01008587.1_153-1989	RMZ56638.1 hypothetical protein APUTEX25_002727_ partial [Auxenochlorella protothecoides]
OG0000819	QAXK01003572.1_15443-13865	RMZ56733.1 hypothetical protein APUTEX25_002822 [Auxenochlorella protothecoides], RMZ56774.1 hypothetical protein APUTEX25_002863 [Auxenochlorella protothecoides]
OG0000827	QAXK01003364.1_14418-18303	RMZ57161.1 hypothetical protein APUTEX25_003995 [Auxenochlorella protothecoides]
OG0000828	QAXK01000782.1_20679-19905	RMZ57214.1 hypothetical protein APUTEX25_004048 [Auxenochlorella protothecoides], RMZ57331.1 hypothetical protein APUTEX25_004165 [Auxenochlorella protothecoides]
OG0000830	QAXK01013271.1_12309-15183	RMZ57261.1 hypothetical protein APUTEX25_004095_ partial [Auxenochlorella protothecoides]
OG0000838	QAXK01003718.1_1305-2104	RMZ57462.1 hypothetical protein APUTEX25_004296 [Auxenochlorella protothecoides]
OG0000882	QAXK01006249.1_4939-7634	RMZ52184.1 hypothetical protein APUTEX25_001574 [Auxenochlorella protothecoides]
OG0000890	QAXK01001134.1_10091-19430	RMZ52372.1 hypothetical protein APUTEX25_000647 [Auxenochlorella protothecoides]
