Orthogroup	Scenedesmus_NREL	Auxenochlorella_protothecoides
OG0000043	KAF6262255.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264757.1 glycosyl hydrolases family 31-domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6253912.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262828.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254921.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6258268.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256155.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ57650.1 hypothetical protein APUTEX25_001850_ partial [Auxenochlorella protothecoides]
OG0000044	KAF6258012.1 hypothetical protein COO60DRAFT_1164663 [Scenedesmus sp. NREL 46B-D3]	RMZ56035.1 hypothetical protein APUTEX25_004459 [Auxenochlorella protothecoides], RMZ52121.1 hypothetical protein APUTEX25_003608 [Auxenochlorella protothecoides]
OG0000044	KAF6261176.1 hypothetical protein COO60DRAFT_812643 [Scenedesmus sp. NREL 46B-D3]	RMZ52019.1 hypothetical protein APUTEX25_001213 [Auxenochlorella protothecoides]
OG0000046	KAF6253266.1 hypothetical protein COO60DRAFT_434274 [Scenedesmus sp. NREL 46B-D3]	RMZ53206.1 hypothetical protein APUTEX25_005195_ partial [Auxenochlorella protothecoides]
OG0000049	KAF6254669.1 hypothetical protein COO60DRAFT_296766 [Scenedesmus sp. NREL 46B-D3]	RMZ56843.1 hypothetical protein APUTEX25_002932 [Auxenochlorella protothecoides]
OG0000049	KAF6251092.1 eukaryotic translation initiation factor 2B alpha [Scenedesmus sp. NREL 46B-D3]	RMZ55633.1 hypothetical protein APUTEX25_000216_ partial [Auxenochlorella protothecoides]
OG0000050	KAF6265287.1 Bestrophin_ RFP-TM_ chloride channel-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ55912.1 hypothetical protein APUTEX25_004336 [Auxenochlorella protothecoides]
OG0000051	KAF6260291.1 mate-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6260289.1 mate-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ54646.1 hypothetical protein APUTEX25_003024 [Auxenochlorella protothecoides], RMZ53475.1 hypothetical protein APUTEX25_003297_ partial [Auxenochlorella protothecoides]
OG0000052	KAF6255529.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6266010.1 hypothetical protein COO60DRAFT_1456729 [Scenedesmus sp. NREL 46B-D3], KAF6255530.1 hypothetical protein COO60DRAFT_203781 [Scenedesmus sp. NREL 46B-D3], KAF6256863.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6261262.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6259251.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6255528.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6257009.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6235444.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6262205.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6257012.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6257253.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6254409.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6264392.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6255124.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6258702.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6252823.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6253639.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6261751.1 hypothetical protein COO60DRAFT_735122 [Scenedesmus sp. NREL 46B-D3]	RMZ53869.1 hypothetical protein APUTEX25_005615 [Auxenochlorella protothecoides]
OG0000055	KAF6266596.1 hypothetical protein COO60DRAFT_1291580 [Scenedesmus sp. NREL 46B-D3]	RMZ54002.1 hypothetical protein APUTEX25_002579_ partial [Auxenochlorella protothecoides]
OG0000055	KAF6266522.1 hypothetical protein COO60DRAFT_1623393 [Scenedesmus sp. NREL 46B-D3]	RMZ54658.1 hypothetical protein APUTEX25_003036_ partial [Auxenochlorella protothecoides]
OG0000059	KAF6264360.1 CobW/HypB/UreG_ nucleotide-binding domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ55038.1 hypothetical protein APUTEX25_005664 [Auxenochlorella protothecoides]
OG0000059	KAF6256533.1 CobW/HypB/UreG_ nucleotide-binding domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264285.1 CobW/HypB/UreG_ nucleotide-binding domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ53302.1 hypothetical protein APUTEX25_004790 [Auxenochlorella protothecoides]
OG0000060	KAF6264570.1 hypothetical protein COO60DRAFT_1698180 [Scenedesmus sp. NREL 46B-D3]	RMZ52705.1 hypothetical protein APUTEX25_000824_ partial [Auxenochlorella protothecoides]
OG0000060	KAF6252347.1 hypothetical protein COO60DRAFT_1644120 [Scenedesmus sp. NREL 46B-D3]	RMZ53684.1 hypothetical protein APUTEX25_003218 [Auxenochlorella protothecoides], RMZ55289.1 hypothetical protein APUTEX25_003772_ partial [Auxenochlorella protothecoides]
OG0000060	KAF6250815.1 hypothetical protein COO60DRAFT_1298823 [Scenedesmus sp. NREL 46B-D3]	RMZ55290.1 hypothetical protein APUTEX25_003773_ partial [Auxenochlorella protothecoides]
OG0000062	KAF6251143.1 hypothetical protein COO60DRAFT_1562987 [Scenedesmus sp. NREL 46B-D3], KAF6265278.1 EF-hand [Scenedesmus sp. NREL 46B-D3]	RMZ54088.1 hypothetical protein APUTEX25_002665 [Auxenochlorella protothecoides]
OG0000062	KAF6254614.1 hypothetical protein COO60DRAFT_300575 [Scenedesmus sp. NREL 46B-D3], KAF6257749.1 hypothetical protein COO60DRAFT_1639651 [Scenedesmus sp. NREL 46B-D3]	RMZ54008.1 hypothetical protein APUTEX25_002585_ partial [Auxenochlorella protothecoides]
OG0000063	KAF6257295.1 hypothetical protein COO60DRAFT_1701891 [Scenedesmus sp. NREL 46B-D3]	RMZ54150.1 hypothetical protein APUTEX25_005306 [Auxenochlorella protothecoides]
OG0000064	KAF6248325.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	RMZ54709.1 hypothetical protein APUTEX25_003087 [Auxenochlorella protothecoides]
OG0000064	KAF6264244.1 Cullin-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ57318.1 hypothetical protein APUTEX25_004152 [Auxenochlorella protothecoides]
OG0000064	KAF6254705.1 Cullin-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ54652.1 hypothetical protein APUTEX25_003030 [Auxenochlorella protothecoides]
OG0000065	KAF6256829.1 GPR1/FUN34/yaaH family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ54882.1 hypothetical protein APUTEX25_000399 [Auxenochlorella protothecoides]
OG0000069	KAF6260424.1 heat shock protein 83-like protein [Scenedesmus sp. NREL 46B-D3]	RMZ52481.1 hypothetical protein APUTEX25_003624 [Auxenochlorella protothecoides]
OG0000069	KAF6254785.1 heat shock protein 90C [Scenedesmus sp. NREL 46B-D3]	RMZ52692.1 hypothetical protein APUTEX25_000811_ partial [Auxenochlorella protothecoides]
OG0000069	KAF6264589.1 Hsp90 protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ53095.1 hypothetical protein APUTEX25_002504 [Auxenochlorella protothecoides]
OG0000070	KAF6260112.1 hypothetical protein COO60DRAFT_1685835 [Scenedesmus sp. NREL 46B-D3]	RMZ52856.1 hypothetical protein APUTEX25_000975 [Auxenochlorella protothecoides], RMZ53469.1 hypothetical protein APUTEX25_003291_ partial [Auxenochlorella protothecoides]
OG0000071	KAF6261155.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ54148.1 hypothetical protein APUTEX25_005304 [Auxenochlorella protothecoides]
OG0000072	KAF6240834.1 hypothetical protein COO60DRAFT_1652369_ partial [Scenedesmus sp. NREL 46B-D3], KAF6250793.1 Fasciclin domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266036.1 fasciclin domain protein [Scenedesmus sp. NREL 46B-D3], KAF6266037.1 Fasciclin domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266038.1 hypothetical protein COO60DRAFT_1676428 [Scenedesmus sp. NREL 46B-D3], KAF6261686.1 Fasciclin domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254952.1 fasciclin domain protein [Scenedesmus sp. NREL 46B-D3], KAF6262784.1 fasciclin domain protein [Scenedesmus sp. NREL 46B-D3], KAF6262785.1 fasciclin domain protein [Scenedesmus sp. NREL 46B-D3], KAF6262786.1 fasciclin domain protein [Scenedesmus sp. NREL 46B-D3]	RMZ54387.1 hypothetical protein APUTEX25_001963 [Auxenochlorella protothecoides]
OG0000073	KAF6252841.1 hypothetical protein COO60DRAFT_494549 [Scenedesmus sp. NREL 46B-D3]	RMZ54907.1 hypothetical protein APUTEX25_000424_ partial [Auxenochlorella protothecoides]
OG0000074	KAF6263605.1 hypothetical protein COO60DRAFT_377479 [Scenedesmus sp. NREL 46B-D3], KAF6255024.1 hypothetical protein COO60DRAFT_258769 [Scenedesmus sp. NREL 46B-D3]	RMZ55613.1 hypothetical protein APUTEX25_000196 [Auxenochlorella protothecoides]
OG0000078	KAF6262869.1 phosphofructokinase family protein [Scenedesmus sp. NREL 46B-D3]	RMZ56534.1 hypothetical protein APUTEX25_001381 [Auxenochlorella protothecoides]
OG0000078	KAF6265494.1 phosphofructokinase family protein [Scenedesmus sp. NREL 46B-D3]	RMZ52490.1 hypothetical protein APUTEX25_003633_ partial [Auxenochlorella protothecoides], RMZ53346.1 hypothetical protein APUTEX25_004834 [Auxenochlorella protothecoides]
OG0000079	KAF6255521.1 heat shock cognate 70 kDa protein 2 [Scenedesmus sp. NREL 46B-D3], KAF6257577.1 heat shock protein 70 family [Scenedesmus sp. NREL 46B-D3]	RMZ57222.1 hypothetical protein APUTEX25_004056 [Auxenochlorella protothecoides]
OG0000079	KAF6264590.1 heat shock protein 70 family [Scenedesmus sp. NREL 46B-D3]	RMZ53096.1 hypothetical protein APUTEX25_002505 [Auxenochlorella protothecoides]
OG0000080	KAF6246275.1 P-loop containing nucleoside triphosphate hydrolase protein_ partial [Scenedesmus sp. NREL 46B-D3]	RMZ55523.1 hypothetical protein APUTEX25_000106 [Auxenochlorella protothecoides]
OG0000081	KAF6260391.1 hypothetical protein COO60DRAFT_901798 [Scenedesmus sp. NREL 46B-D3]	RMZ56073.1 hypothetical protein APUTEX25_004497_ partial [Auxenochlorella protothecoides]
OG0000081	KAF6252813.1 hypothetical protein COO60DRAFT_496525 [Scenedesmus sp. NREL 46B-D3]	RMZ56025.1 hypothetical protein APUTEX25_004449 [Auxenochlorella protothecoides]
OG0000082	KAF6262238.1 hypothetical protein COO60DRAFT_1636100 [Scenedesmus sp. NREL 46B-D3], KAF6252189.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255864.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255804.1 NimA-related protein kinase 4 [Scenedesmus sp. NREL 46B-D3], KAF6266231.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250724.1 hypothetical protein COO60DRAFT_1646246 [Scenedesmus sp. NREL 46B-D3], KAF6254591.1 NimA-related protein kinase 6 [Scenedesmus sp. NREL 46B-D3]	RMZ52693.1 hypothetical protein APUTEX25_000812 [Auxenochlorella protothecoides]
OG0000083	KAF6254050.1 hypothetical protein COO60DRAFT_1286428 [Scenedesmus sp. NREL 46B-D3]	RMZ54832.1 hypothetical protein APUTEX25_000349 [Auxenochlorella protothecoides]
OG0000083	KAF6266105.1 FAM91 N-terminus-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ53760.1 hypothetical protein APUTEX25_003899 [Auxenochlorella protothecoides]
OG0000084	KAF6258715.1 cysteine synthase A [Scenedesmus sp. NREL 46B-D3]	RMZ54449.1 hypothetical protein APUTEX25_002025_ partial [Auxenochlorella protothecoides], RMZ55442.1 hypothetical protein APUTEX25_003566_ partial [Auxenochlorella protothecoides], RMZ56130.1 hypothetical protein APUTEX25_004554 [Auxenochlorella protothecoides]
OG0000087	KAF6258900.1 hypothetical protein COO60DRAFT_1270418 [Scenedesmus sp. NREL 46B-D3], KAF6261972.1 hypothetical protein COO60DRAFT_1498627 [Scenedesmus sp. NREL 46B-D3]	RMZ52173.1 hypothetical protein APUTEX25_001563 [Auxenochlorella protothecoides]
OG0000087	KAF6261246.1 major facilitator superfamily domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6251702.1 hexose-phosphate transporter_ major isoform [Scenedesmus sp. NREL 46B-D3]	RMZ55593.1 hypothetical protein APUTEX25_000176 [Auxenochlorella protothecoides]
OG0000088	KAF6253445.1 pyruvate kinase [Scenedesmus sp. NREL 46B-D3], KAF6256496.1 pyruvate kinase [Scenedesmus sp. NREL 46B-D3], KAF6256488.1 Pyruvate/Phosphoenolpyruvate kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ52215.1 hypothetical protein APUTEX25_001605 [Auxenochlorella protothecoides]
OG0000090	KAF6265090.1 trimeric LpxA-like protein [Scenedesmus sp. NREL 46B-D3]	RMZ53227.1 hypothetical protein APUTEX25_005216 [Auxenochlorella protothecoides]
OG0000090	KAF6252954.1 trimeric LpxA-like protein [Scenedesmus sp. NREL 46B-D3]	RMZ55739.1 hypothetical protein APUTEX25_005780_ partial [Auxenochlorella protothecoides]
OG0000090	KAF6251678.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3]	RMZ55723.1 hypothetical protein APUTEX25_005764 [Auxenochlorella protothecoides]
