Orthogroup	Scenedesmus_NREL	Chlorella_VariabilisNC64A
OG0000013	KAF6263511.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263514.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250539.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257324.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255583.1 Snf1-like ser/thr protein kinase [Scenedesmus sp. NREL 46B-D3]	XP_005842607.1 hypothetical protein CHLNCDRAFT_59511_ partial [Chlorella variabilis], XP_005848350.1 hypothetical protein CHLNCDRAFT_145069 [Chlorella variabilis]
OG0000013	KAF6258910.1 Snf1-like protein kinase [Scenedesmus sp. NREL 46B-D3]	XP_005849558.1 hypothetical protein CHLNCDRAFT_34706 [Chlorella variabilis]
OG0000013	KAF6256672.1 Rab3 GTPase-activating protein catalytic subunit-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005849819.1 expressed protein [Chlorella variabilis]
OG0000014	KAF6256541.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005851021.1 hypothetical protein CHLNCDRAFT_29941 [Chlorella variabilis]
OG0000014	KAF6264995.1 hypothetical protein COO60DRAFT_1698077 [Scenedesmus sp. NREL 46B-D3]	XP_005846492.1 hypothetical protein CHLNCDRAFT_24996 [Chlorella variabilis], XP_005846491.1 hypothetical protein CHLNCDRAFT_31767 [Chlorella variabilis]
OG0000014	KAF6259760.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005845180.1 hypothetical protein CHLNCDRAFT_26227_ partial [Chlorella variabilis]
OG0000014	KAF6258195.1 cyclophilin-type peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. NREL 46B-D3]	XP_005846899.1 hypothetical protein CHLNCDRAFT_13673_ partial [Chlorella variabilis]
OG0000014	KAF6253704.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005851644.1 hypothetical protein CHLNCDRAFT_12885_ partial [Chlorella variabilis]
OG0000014	KAF6252786.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6236267.1 NDH subunit PnsL5_ partial [Scenedesmus sp. NREL 46B-D3]	XP_005849876.1 hypothetical protein CHLNCDRAFT_143107 [Chlorella variabilis]
OG0000016	KAF6257509.1 mitochondrial carrier domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005848904.1 hypothetical protein CHLNCDRAFT_51574 [Chlorella variabilis]
OG0000016	KAF6264040.1 ubiquitin-like protein 1 [Scenedesmus sp. NREL 46B-D3], KAF6264957.1 hypothetical protein COO60DRAFT_1634011 [Scenedesmus sp. NREL 46B-D3]	XP_005844299.1 hypothetical protein CHLNCDRAFT_27202 [Chlorella variabilis]
OG0000016	KAF6256916.1 hypothetical protein COO60DRAFT_1640361 [Scenedesmus sp. NREL 46B-D3]	XP_005849818.1 hypothetical protein CHLNCDRAFT_14180_ partial [Chlorella variabilis]
OG0000016	KAF6262261.1 ubiquitin extension protein [Scenedesmus sp. NREL 46B-D3]	XP_005845753.1 ubiquitin_ partial [Chlorella variabilis], XP_005846791.1 hypothetical protein CHLNCDRAFT_24467_ partial [Chlorella variabilis]
OG0000017	KAF6249604.1 hypothetical protein COO60DRAFT_944372 [Scenedesmus sp. NREL 46B-D3]	XP_005842900.1 hypothetical protein CHLNCDRAFT_55564 [Chlorella variabilis], XP_005852291.1 hypothetical protein CHLNCDRAFT_56640 [Chlorella variabilis], XP_005850982.1 hypothetical protein CHLNCDRAFT_140779_ partial [Chlorella variabilis], XP_005843800.1 hypothetical protein CHLNCDRAFT_54968 [Chlorella variabilis], XP_005846567.1 hypothetical protein CHLNCDRAFT_52903 [Chlorella variabilis], XP_005849148.1 hypothetical protein CHLNCDRAFT_143762 [Chlorella variabilis], XP_005850542.1 hypothetical protein CHLNCDRAFT_50203 [Chlorella variabilis], XP_005852193.1 hypothetical protein CHLNCDRAFT_133405 [Chlorella variabilis], XP_005842582.1 hypothetical protein CHLNCDRAFT_143409_ partial [Chlorella variabilis], XP_005847032.1 hypothetical protein CHLNCDRAFT_134662 [Chlorella variabilis], XP_005843489.1 hypothetical protein CHLNCDRAFT_141001 [Chlorella variabilis], XP_005842737.1 hypothetical protein CHLNCDRAFT_55694_ partial [Chlorella variabilis], XP_005842799.1 hypothetical protein CHLNCDRAFT_142632 [Chlorella variabilis], XP_005842611.1 hypothetical protein CHLNCDRAFT_142526_ partial [Chlorella variabilis], XP_005848399.1 hypothetical protein CHLNCDRAFT_144689 [Chlorella variabilis], XP_005849190.1 hypothetical protein CHLNCDRAFT_143869 [Chlorella variabilis], XP_005843501.1 hypothetical protein CHLNCDRAFT_141032 [Chlorella variabilis], XP_005848549.1 hypothetical protein CHLNCDRAFT_145089_ partial [Chlorella variabilis], XP_005842639.1 hypothetical protein CHLNCDRAFT_140114 [Chlorella variabilis], XP_005849053.1 hypothetical protein CHLNCDRAFT_143509 [Chlorella variabilis], XP_005844368.1 expressed protein [Chlorella variabilis], XP_005842894.1 hypothetical protein CHLNCDRAFT_141829 [Chlorella variabilis], XP_005846559.1 expressed protein_ partial [Chlorella variabilis], XP_005849191.1 hypothetical protein CHLNCDRAFT_51388 [Chlorella variabilis], XP_005844996.1 hypothetical protein CHLNCDRAFT_54215 [Chlorella variabilis], XP_005845526.1 hypothetical protein CHLNCDRAFT_136639 [Chlorella variabilis], XP_005843488.1 expressed protein [Chlorella variabilis], XP_005851373.1 hypothetical protein CHLNCDRAFT_56649 [Chlorella variabilis], XP_005843169.1 hypothetical protein CHLNCDRAFT_59333 [Chlorella variabilis], XP_005843515.1 expressed protein [Chlorella variabilis], XP_005843453.1 hypothetical protein CHLNCDRAFT_141074 [Chlorella variabilis], XP_005843538.1 hypothetical protein CHLNCDRAFT_140149 [Chlorella variabilis], XP_005843536.1 hypothetical protein CHLNCDRAFT_140147 [Chlorella variabilis], XP_005850773.1 expressed protein [Chlorella variabilis], XP_005842793.1 hypothetical protein CHLNCDRAFT_55644 [Chlorella variabilis], XP_005852316.1 hypothetical protein CHLNCDRAFT_142663_ partial [Chlorella variabilis], XP_005842784.1 hypothetical protein CHLNCDRAFT_55652_ partial [Chlorella variabilis]
OG0000018	KAF6252740.1 hypothetical protein COO60DRAFT_502322 [Scenedesmus sp. NREL 46B-D3], KAF6253083.1 hypothetical protein COO60DRAFT_469421 [Scenedesmus sp. NREL 46B-D3]	XP_005850135.1 hypothetical protein CHLNCDRAFT_15266_ partial [Chlorella variabilis]
OG0000018	KAF6259699.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3]	XP_005848235.1 hypothetical protein CHLNCDRAFT_11906_ partial [Chlorella variabilis]
OG0000018	KAF6262542.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6256388.1 hypothetical protein COO60DRAFT_115932 [Scenedesmus sp. NREL 46B-D3]	XP_005843700.1 hypothetical protein CHLNCDRAFT_14655_ partial [Chlorella variabilis]
OG0000018	KAF6253755.1 hypothetical protein COO60DRAFT_391601 [Scenedesmus sp. NREL 46B-D3]	XP_005843092.1 hypothetical protein CHLNCDRAFT_13490_ partial [Chlorella variabilis]
OG0000018	KAF6260264.1 c-myb-like transcription factor [Scenedesmus sp. NREL 46B-D3], KAF6255543.1 hypothetical protein COO60DRAFT_204648 [Scenedesmus sp. NREL 46B-D3]	XP_005848340.1 hypothetical protein CHLNCDRAFT_13979_ partial [Chlorella variabilis]
OG0000018	KAF6257155.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6263245.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6251055.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3]	XP_005850232.1 hypothetical protein CHLNCDRAFT_20303_ partial [Chlorella variabilis]
OG0000020	KAF6261082.1 hypothetical protein COO60DRAFT_1637118 [Scenedesmus sp. NREL 46B-D3], KAF6256201.1 hypothetical protein COO60DRAFT_1640881 [Scenedesmus sp. NREL 46B-D3], KAF6258856.1 hypothetical protein COO60DRAFT_1626293 [Scenedesmus sp. NREL 46B-D3]	XP_005851635.1 hypothetical protein CHLNCDRAFT_33950 [Chlorella variabilis], XP_005842791.1 hypothetical protein CHLNCDRAFT_28837_ partial [Chlorella variabilis]
OG0000022	KAF6252249.1 ankyrin repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	XP_005843709.1 hypothetical protein CHLNCDRAFT_139999 [Chlorella variabilis], XP_005843131.1 hypothetical protein CHLNCDRAFT_141505 [Chlorella variabilis], XP_005843650.1 hypothetical protein CHLNCDRAFT_140003 [Chlorella variabilis]
OG0000022	KAF6256740.1 hypothetical protein COO60DRAFT_1527996 [Scenedesmus sp. NREL 46B-D3]	XP_005850753.1 hypothetical protein CHLNCDRAFT_140910 [Chlorella variabilis], XP_005852127.1 hypothetical protein CHLNCDRAFT_133221 [Chlorella variabilis]
OG0000023	KAF6249474.1 hypothetical protein COO60DRAFT_968441 [Scenedesmus sp. NREL 46B-D3], KAF6261206.1 hypothetical protein COO60DRAFT_801690 [Scenedesmus sp. NREL 46B-D3]	XP_005844503.1 hypothetical protein CHLNCDRAFT_138869 [Chlorella variabilis], XP_005847308.1 hypothetical protein CHLNCDRAFT_134430 [Chlorella variabilis], XP_005847520.1 hypothetical protein CHLNCDRAFT_134556 [Chlorella variabilis]
OG0000023	KAF6253365.1 hypothetical protein COO60DRAFT_1273755 [Scenedesmus sp. NREL 46B-D3]	XP_005843823.1 hypothetical protein CHLNCDRAFT_139889 [Chlorella variabilis]
OG0000023	KAF6262812.1 hypothetical protein COO60DRAFT_1493981 [Scenedesmus sp. NREL 46B-D3]	XP_005843420.1 hypothetical protein CHLNCDRAFT_16757_ partial [Chlorella variabilis], XP_005843390.1 hypothetical protein CHLNCDRAFT_141228 [Chlorella variabilis]
OG0000024	KAF6259892.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]	XP_005848138.1 hypothetical protein CHLNCDRAFT_145475 [Chlorella variabilis]
OG0000024	KAF6250510.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252011.1 subtilase [Scenedesmus sp. NREL 46B-D3]	XP_005847855.1 hypothetical protein CHLNCDRAFT_134105 [Chlorella variabilis], XP_005847859.1 hypothetical protein CHLNCDRAFT_17670_ partial [Chlorella variabilis], XP_005843167.1 hypothetical protein CHLNCDRAFT_59329 [Chlorella variabilis], XP_005846181.1 hypothetical protein CHLNCDRAFT_136197 [Chlorella variabilis], XP_005849234.1 hypothetical protein CHLNCDRAFT_51199 [Chlorella variabilis], XP_005851812.1 hypothetical protein CHLNCDRAFT_49515 [Chlorella variabilis], XP_005849223.1 hypothetical protein CHLNCDRAFT_51447 [Chlorella variabilis], XP_005846619.1 hypothetical protein CHLNCDRAFT_135242 [Chlorella variabilis], XP_005843052.1 hypothetical protein CHLNCDRAFT_55438 [Chlorella variabilis], XP_005850926.1 hypothetical protein CHLNCDRAFT_140655 [Chlorella variabilis], XP_005848139.1 hypothetical protein CHLNCDRAFT_22903_ partial [Chlorella variabilis]
OG0000025	KAF6261295.1 CheY-like superfamily [Scenedesmus sp. NREL 46B-D3]	XP_005850994.1 hypothetical protein CHLNCDRAFT_140816 [Chlorella variabilis]
OG0000025	KAF6259594.1 hypothetical protein COO60DRAFT_996241 [Scenedesmus sp. NREL 46B-D3]	XP_005846121.1 hypothetical protein CHLNCDRAFT_136057 [Chlorella variabilis]
OG0000025	KAF6253158.1 Homeodomain-like protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6257170.1 Homeodomain-like protein_ partial [Scenedesmus sp. NREL 46B-D3]	XP_005845848.1 hypothetical protein CHLNCDRAFT_136336 [Chlorella variabilis]
OG0000025	KAF6266106.1 hypothetical protein COO60DRAFT_1697463 [Scenedesmus sp. NREL 46B-D3]	XP_005849749.1 hypothetical protein CHLNCDRAFT_142770 [Chlorella variabilis]
OG0000025	KAF6252940.1 hypothetical protein COO60DRAFT_481024 [Scenedesmus sp. NREL 46B-D3]	XP_005848101.1 hypothetical protein CHLNCDRAFT_30989_ partial [Chlorella variabilis]
OG0000026	KAF6258814.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]	XP_005848688.1 hypothetical protein CHLNCDRAFT_57509 [Chlorella variabilis]
OG0000026	KAF6252797.1 hypothetical protein COO60DRAFT_1628447 [Scenedesmus sp. NREL 46B-D3]	XP_005845649.1 hypothetical protein CHLNCDRAFT_136679 [Chlorella variabilis]
OG0000028	KAF6262142.1 hypothetical protein COO60DRAFT_675402 [Scenedesmus sp. NREL 46B-D3]	XP_005844756.1 hypothetical protein CHLNCDRAFT_54290 [Chlorella variabilis], XP_005845947.1 hypothetical protein CHLNCDRAFT_135930 [Chlorella variabilis], XP_005845945.1 hypothetical protein CHLNCDRAFT_135928 [Chlorella variabilis], XP_005846105.1 hypothetical protein CHLNCDRAFT_136011 [Chlorella variabilis], XP_005845948.1 hypothetical protein CHLNCDRAFT_135932 [Chlorella variabilis], XP_005843455.1 hypothetical protein CHLNCDRAFT_141091 [Chlorella variabilis], XP_005845965.1 hypothetical protein CHLNCDRAFT_135974 [Chlorella variabilis], XP_005845963.1 hypothetical protein CHLNCDRAFT_135972 [Chlorella variabilis], XP_005846074.1 hypothetical protein CHLNCDRAFT_58343 [Chlorella variabilis], XP_005845962.1 hypothetical protein CHLNCDRAFT_135971 [Chlorella variabilis], XP_005846079.1 hypothetical protein CHLNCDRAFT_135922 [Chlorella variabilis], XP_005845964.1 hypothetical protein CHLNCDRAFT_135973 [Chlorella variabilis], XP_005846080.1 hypothetical protein CHLNCDRAFT_135923 [Chlorella variabilis], XP_005846078.1 hypothetical protein CHLNCDRAFT_135921 [Chlorella variabilis], XP_005851357.1 hypothetical protein CHLNCDRAFT_49764 [Chlorella variabilis], XP_005844829.1 hypothetical protein CHLNCDRAFT_138267 [Chlorella variabilis], XP_005846086.1 hypothetical protein CHLNCDRAFT_135944 [Chlorella variabilis], XP_005845946.1 hypothetical protein CHLNCDRAFT_135929 [Chlorella variabilis], XP_005849194.1 hypothetical protein CHLNCDRAFT_143883 [Chlorella variabilis], XP_005846085.1 hypothetical protein CHLNCDRAFT_135942 [Chlorella variabilis], XP_005847353.1 expressed protein [Chlorella variabilis], XP_005845589.1 hypothetical protein CHLNCDRAFT_53764 [Chlorella variabilis], XP_005851663.1 expressed protein [Chlorella variabilis], XP_005845031.1 hypothetical protein CHLNCDRAFT_137260 [Chlorella variabilis], XP_005847189.1 hypothetical protein CHLNCDRAFT_52864 [Chlorella variabilis]
OG0000029	KAF6259608.1 hypothetical protein COO60DRAFT_1460106 [Scenedesmus sp. NREL 46B-D3]	XP_005848335.1 hypothetical protein CHLNCDRAFT_51898 [Chlorella variabilis]
OG0000029	KAF6262470.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262467.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005846208.1 hypothetical protein CHLNCDRAFT_136255 [Chlorella variabilis]
OG0000031	KAF6257433.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]	XP_005846217.1 hypothetical protein CHLNCDRAFT_135475 [Chlorella variabilis]
OG0000031	KAF6260940.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]	XP_005849862.1 hypothetical protein CHLNCDRAFT_57280 [Chlorella variabilis], XP_005852048.1 hypothetical protein CHLNCDRAFT_49396 [Chlorella variabilis], XP_005849595.1 hypothetical protein CHLNCDRAFT_34731 [Chlorella variabilis]
