Orthogroup	Scenedesmus_NREL	Chlorella_A99
OG0000049	KAF6251092.1 eukaryotic translation initiation factor 2B alpha [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2855 [Chlorella sp. A99]
OG0000050	KAF6265287.1 Bestrophin_ RFP-TM_ chloride channel-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000005.1 g823 [Chlorella sp. A99]
OG0000051	KAF6260291.1 mate-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6260289.1 mate-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1472 [Chlorella sp. A99]
OG0000052	KAF6255529.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6266010.1 hypothetical protein COO60DRAFT_1456729 [Scenedesmus sp. NREL 46B-D3], KAF6255530.1 hypothetical protein COO60DRAFT_203781 [Scenedesmus sp. NREL 46B-D3], KAF6256863.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6261262.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6259251.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6255528.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6257009.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6235444.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6262205.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6257012.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6257253.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6254409.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6264392.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6255124.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6258702.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6252823.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6253639.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6261751.1 hypothetical protein COO60DRAFT_735122 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000080.1 g1947 [Chlorella sp. A99]
OG0000055	KAF6259499.1 hypothetical protein COO60DRAFT_1700790 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2784 [Chlorella sp. A99]
OG0000055	KAF6266522.1 hypothetical protein COO60DRAFT_1623393 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000002.1 g663 [Chlorella sp. A99]
OG0000059	KAF6256534.1 intramembrane metalloprotease [Scenedesmus sp. NREL 46B-D3], KAF6264360.1 CobW/HypB/UreG_ nucleotide-binding domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256533.1 CobW/HypB/UreG_ nucleotide-binding domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264285.1 CobW/HypB/UreG_ nucleotide-binding domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000004.1 g2590 [Chlorella sp. A99]
OG0000062	KAF6251143.1 hypothetical protein COO60DRAFT_1562987 [Scenedesmus sp. NREL 46B-D3], KAF6265278.1 EF-hand [Scenedesmus sp. NREL 46B-D3]	PCFQ01000020.1 g871 [Chlorella sp. A99]
OG0000062	KAF6254614.1 hypothetical protein COO60DRAFT_300575 [Scenedesmus sp. NREL 46B-D3], KAF6257749.1 hypothetical protein COO60DRAFT_1639651 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2914 [Chlorella sp. A99]
OG0000064	KAF6248325.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6256183.1 hypothetical protein COO60DRAFT_1296299 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000002.1 g733 [Chlorella sp. A99]
OG0000064	KAF6264244.1 Cullin-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000018.1 g479 [Chlorella sp. A99]
OG0000064	KAF6254705.1 Cullin-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000002.1 g732 [Chlorella sp. A99]
OG0000069	KAF6260424.1 heat shock protein 83-like protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000005.1 g800 [Chlorella sp. A99]
OG0000069	KAF6254785.1 heat shock protein 90C [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g619 [Chlorella sp. A99]
OG0000069	KAF6264589.1 Hsp90 protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g50 [Chlorella sp. A99]
OG0000070	KAF6260112.1 hypothetical protein COO60DRAFT_1685835 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g142 [Chlorella sp. A99], PCFQ01000081.1 g1628 [Chlorella sp. A99], PCFQ01000007.1 g1186 [Chlorella sp. A99], PCFQ01000002.1 g655 [Chlorella sp. A99]
OG0000071	KAF6254170.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000046.1 g1858 [Chlorella sp. A99], PCFQ01000081.1 g1641 [Chlorella sp. A99], PCFQ01000079.1 g1436 [Chlorella sp. A99], PCFQ01000079.1 g1437 [Chlorella sp. A99], PCFQ01000058.1 g242 [Chlorella sp. A99]
OG0000071	KAF6261155.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1323 [Chlorella sp. A99]
OG0000073	KAF6252841.1 hypothetical protein COO60DRAFT_494549 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000073.1 g1975 [Chlorella sp. A99], PCFQ01000005.1 g782 [Chlorella sp. A99]
OG0000074	KAF6263605.1 hypothetical protein COO60DRAFT_377479 [Scenedesmus sp. NREL 46B-D3], KAF6255024.1 hypothetical protein COO60DRAFT_258769 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1351 [Chlorella sp. A99]
OG0000075	KAF6252032.1 hypothetical protein COO60DRAFT_562161 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000081.1 g1616 [Chlorella sp. A99]
OG0000078	KAF6262869.1 phosphofructokinase family protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000081.1 g1620 [Chlorella sp. A99]
OG0000078	KAF6260633.1 phosphofructokinase family protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000001.1 g954 [Chlorella sp. A99]
OG0000078	KAF6265494.1 phosphofructokinase family protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2872 [Chlorella sp. A99]
OG0000079	KAF6255521.1 heat shock cognate 70 kDa protein 2 [Scenedesmus sp. NREL 46B-D3], KAF6257577.1 heat shock protein 70 family [Scenedesmus sp. NREL 46B-D3]	PCFQ01000002.1 g739 [Chlorella sp. A99], PCFQ01000006.1 g3202 [Chlorella sp. A99]
OG0000079	KAF6264590.1 heat shock protein 70 family [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g51 [Chlorella sp. A99]
OG0000082	KAF6254591.1 NimA-related protein kinase 6 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1317 [Chlorella sp. A99]
OG0000083	KAF6254050.1 hypothetical protein COO60DRAFT_1286428 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000031.1 g3095 [Chlorella sp. A99]
OG0000083	KAF6266105.1 FAM91 N-terminus-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2844 [Chlorella sp. A99]
OG0000084	KAF6258715.1 cysteine synthase A [Scenedesmus sp. NREL 46B-D3]	PCFQ01000007.1 g1229 [Chlorella sp. A99], PCFQ01000058.1 g283 [Chlorella sp. A99], PCFQ01000001.1 g974 [Chlorella sp. A99], PCFQ01000008.1 g1137 [Chlorella sp. A99]
OG0000087	KAF6261246.1 major facilitator superfamily domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6251702.1 hexose-phosphate transporter_ major isoform [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g584 [Chlorella sp. A99]
OG0000088	KAF6253445.1 pyruvate kinase [Scenedesmus sp. NREL 46B-D3], KAF6256496.1 pyruvate kinase [Scenedesmus sp. NREL 46B-D3], KAF6256488.1 Pyruvate/Phosphoenolpyruvate kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000015.1 g3029 [Chlorella sp. A99]
OG0000090	KAF6252954.1 trimeric LpxA-like protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000018.1 g427 [Chlorella sp. A99]
OG0000090	KAF6251678.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000014.1 g1879 [Chlorella sp. A99]
OG0000091	KAF6260461.1 Metallo-dependent phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6260505.1 Metallo-dependent phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6254291.1 Metallo-dependent phosphatase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000013.1 g3307 [Chlorella sp. A99]
OG0000091	KAF6254564.1 serine/threonine protein phosphatase 2A [Scenedesmus sp. NREL 46B-D3]	PCFQ01000006.1 g3243 [Chlorella sp. A99]
OG0000092	KAF6258815.1 hypothetical protein COO60DRAFT_1638905 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g621 [Chlorella sp. A99]
OG0000092	KAF6250944.1 hypothetical protein COO60DRAFT_1298685 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000001.1 g987 [Chlorella sp. A99]
OG0000093	KAF6258340.1 hypothetical protein COO60DRAFT_1284604 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000046.1 g1856 [Chlorella sp. A99], PCFQ01000046.1 g1870 [Chlorella sp. A99], PCFQ01000046.1 g1867 [Chlorella sp. A99]
OG0000095	KAF6265709.1 digestive organ expansion factor [Scenedesmus sp. NREL 46B-D3]	PCFQ01000037.1 g2440 [Chlorella sp. A99]
OG0000095	KAF6265696.1 hypothetical protein COO60DRAFT_868698 [Scenedesmus sp. NREL 46B-D3], KAF6250576.1 hypothetical protein COO60DRAFT_1705674 [Scenedesmus sp. NREL 46B-D3], KAF6251044.1 hypothetical protein COO60DRAFT_1645535 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000013.1 g3328 [Chlorella sp. A99]
OG0000096	KAF6263961.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6265156.1 hypothetical protein COO60DRAFT_1697984 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000046.1 g1869 [Chlorella sp. A99]
OG0000096	KAF6257345.1 hypothetical protein COO60DRAFT_1241922 [Scenedesmus sp. NREL 46B-D3], KAF6257343.1 hypothetical protein COO60DRAFT_1626853 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000020.1 g942 [Chlorella sp. A99]
OG0000097	KAF6262023.1 hypothetical protein COO60DRAFT_1699473 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2167 [Chlorella sp. A99]
OG0000097	KAF6262645.1 CAAD domains of cyanobacterial aminoacyl-tRNA synthetase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000037.1 g2444 [Chlorella sp. A99]
OG0000098	KAF6258954.1 lactate/malate dehydrogenase [Scenedesmus sp. NREL 46B-D3], KAF6252979.1 lactate/malate dehydrogenase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2754 [Chlorella sp. A99]
OG0000098	KAF6265692.1 malate dehydrogenase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000006.1 g3182 [Chlorella sp. A99]
OG0000100	KAF6261137.1 chaperonin 60A [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2746 [Chlorella sp. A99]
OG0000100	KAF6259379.1 chaperonin 60B2 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2762 [Chlorella sp. A99]
OG0000101	KAF6258649.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6249832.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1253 [Chlorella sp. A99]
OG0000101	KAF6252630.1 ClpD chaperone_ Hsp100 family [Scenedesmus sp. NREL 46B-D3], KAF6250844.1 ClpD chaperone_ Hsp100 family [Scenedesmus sp. NREL 46B-D3]	PCFQ01000081.1 g1580 [Chlorella sp. A99]
OG0000102	KAF6263529.1 ferredoxin-dependent glutamate synthase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000008.1 g1125 [Chlorella sp. A99]
OG0000102	KAF6263375.1 hypothetical protein COO60DRAFT_459133 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000018.1 g437 [Chlorella sp. A99]
OG0000105	KAF6254476.1 flagellar outer dynein arm heavy chain gamma [Scenedesmus sp. NREL 46B-D3]	PCFQ01000006.1 g3236 [Chlorella sp. A99]
OG0000105	KAF6258949.1 flagellar inner arm dynein 1 heavy chain alpha [Scenedesmus sp. NREL 46B-D3]	PCFQ01000003.1 g1032 [Chlorella sp. A99]
OG0000106	KAF6257191.1 aldose-1-epimerase [Scenedesmus sp. NREL 46B-D3], KAF6259777.1 galactose mutarotase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000013.1 g3273 [Chlorella sp. A99]
OG0000106	KAF6264647.1 farnesyl-diphosphate farnesyltransferase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000013.1 g3272 [Chlorella sp. A99]
