Orthogroup	Scenedesmus_NREL	Scenedesmus_PABB004
OG0000005	KAF6246278.1 histone 2A variant [Scenedesmus sp. NREL 46B-D3]	KAF8062745.1 histone H2A variant 2 [Scenedesmus sp. PABB004]
OG0000005	KAF6252076.1 hypothetical protein COO60DRAFT_1251114_ partial [Scenedesmus sp. NREL 46B-D3], KAF6252084.1 hypothetical protein COO60DRAFT_1257178_ partial [Scenedesmus sp. NREL 46B-D3], KAF6263025.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254739.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6240835.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8069675.1 Histone H2A-IV [Scenedesmus sp. PABB004], KAF8069689.1 Histone H2A-IV [Scenedesmus sp. PABB004], KAF8069662.1 Histone H2A-IV [Scenedesmus sp. PABB004]
OG0000006	KAF6263287.1 kinase-like domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6253127.1 hypothetical protein COO60DRAFT_1463350 [Scenedesmus sp. NREL 46B-D3]	KAF8069681.1 drkC [Scenedesmus sp. PABB004]
OG0000008	KAF6248397.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8069673.1 Histone H4 [Scenedesmus sp. PABB004]
OG0000008	KAF6253533.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8069657.1 Histone H4 [Scenedesmus sp. PABB004]
OG0000008	KAF6248395.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8069678.1 Histone H4 [Scenedesmus sp. PABB004]
OG0000008	KAF6252074.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8069686.1 Histone H4 [Scenedesmus sp. PABB004]
OG0000008	KAF6253506.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8069659.1 Histone H4 [Scenedesmus sp. PABB004]
OG0000011	KAF6258193.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263888.1 hypothetical protein COO60DRAFT_308005 [Scenedesmus sp. NREL 46B-D3], KAF6255294.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255835.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266356.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6265430.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8066337.1 Map3k12 [Scenedesmus sp. PABB004]
OG0000011	KAF6262439.1 hypothetical protein COO60DRAFT_627220 [Scenedesmus sp. NREL 46B-D3]	KAF8057650.1 DNA-directed RNA polymerase II subunit RPB7 [Scenedesmus sp. PABB004]
OG0000011	KAF6262437.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8057640.1 HT1 [Scenedesmus sp. PABB004]
OG0000011	KAF6237056.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8066284.1 Gucy1b1 [Scenedesmus sp. PABB004], KAF8072490.1 Map3k20 [Scenedesmus sp. PABB004]
OG0000013	KAF6252425.1 cobalt transport protein [Scenedesmus sp. NREL 46B-D3]	KAF8071107.1 ABCI12 [Scenedesmus sp. PABB004]
OG0000013	KAF6263511.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263514.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250539.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257324.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255583.1 Snf1-like ser/thr protein kinase [Scenedesmus sp. NREL 46B-D3]	KAF8060557.1 SRK2G [Scenedesmus sp. PABB004]
OG0000013	KAF6258910.1 Snf1-like protein kinase [Scenedesmus sp. NREL 46B-D3]	KAF8069392.1 SRK2A [Scenedesmus sp. PABB004]
OG0000014	KAF6264995.1 hypothetical protein COO60DRAFT_1698077 [Scenedesmus sp. NREL 46B-D3]	KAF8070918.1 PCKR1 [Scenedesmus sp. PABB004]
OG0000014	KAF6259760.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8061127.1 CYP20-1 [Scenedesmus sp. PABB004]
OG0000014	KAF6258195.1 cyclophilin-type peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. NREL 46B-D3]	KAF8055596.1 peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. PABB004]
OG0000014	KAF6253704.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8066173.1 hypothetical protein HT031_002495 [Scenedesmus sp. PABB004]
OG0000014	KAF6252786.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6236267.1 NDH subunit PnsL5_ partial [Scenedesmus sp. NREL 46B-D3], KAF6250332.1 putative peptidyl-prolyl cis-trans isomerase chloroplast precursor [Scenedesmus sp. NREL 46B-D3], KAF6259651.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8056125.1 Ppib [Scenedesmus sp. PABB004]
OG0000015	KAF6251559.1 hypothetical protein COO60DRAFT_1644892 [Scenedesmus sp. NREL 46B-D3]	KAF8062788.1 transposon TX1 protein [Scenedesmus sp. PABB004]
OG0000016	KAF6257509.1 mitochondrial carrier domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8073145.1 NDT1 [Scenedesmus sp. PABB004]
OG0000016	KAF6255339.1 bi-ubiquitin [Scenedesmus sp. NREL 46B-D3]	KAF8061910.1 RUB1 [Scenedesmus sp. PABB004]
OG0000016	KAF6262261.1 ubiquitin extension protein [Scenedesmus sp. NREL 46B-D3]	KAF8056382.1 UBI3 [Scenedesmus sp. PABB004]
OG0000018	KAF6252740.1 hypothetical protein COO60DRAFT_502322 [Scenedesmus sp. NREL 46B-D3], KAF6253083.1 hypothetical protein COO60DRAFT_469421 [Scenedesmus sp. NREL 46B-D3]	KAF8067115.1 MYB98 [Scenedesmus sp. PABB004]
OG0000018	KAF6253755.1 hypothetical protein COO60DRAFT_391601 [Scenedesmus sp. NREL 46B-D3]	KAF8057715.1 MYB118 [Scenedesmus sp. PABB004]
OG0000018	KAF6260264.1 c-myb-like transcription factor [Scenedesmus sp. NREL 46B-D3], KAF6255543.1 hypothetical protein COO60DRAFT_204648 [Scenedesmus sp. NREL 46B-D3]	KAF8065600.1 hypothetical protein HT031_003201 [Scenedesmus sp. PABB004]
OG0000018	KAF6263245.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3]	KAF8056861.1 MYB44 [Scenedesmus sp. PABB004]
OG0000018	KAF6251055.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3]	KAF8058933.1 MYB73 [Scenedesmus sp. PABB004]
OG0000020	KAF6258882.1 hypothetical protein COO60DRAFT_1626305 [Scenedesmus sp. NREL 46B-D3], KAF6258884.1 hexose transporter-like protein [Scenedesmus sp. NREL 46B-D3], KAF6250807.1 sugar carrier protein A [Scenedesmus sp. NREL 46B-D3], KAF6258859.1 sugar carrier protein A [Scenedesmus sp. NREL 46B-D3], KAF6258883.1 glucose transporter_ partial [Scenedesmus sp. NREL 46B-D3], KAF6252072.1 general substrate transporter [Scenedesmus sp. NREL 46B-D3], KAF6258857.1 hypothetical protein COO60DRAFT_1295122 [Scenedesmus sp. NREL 46B-D3], KAF6256200.1 general substrate transporter_ partial [Scenedesmus sp. NREL 46B-D3], KAF6260004.1 monosaccharide transporter-like protein [Scenedesmus sp. NREL 46B-D3], KAF6263304.1 general substrate transporter [Scenedesmus sp. NREL 46B-D3], KAF6251354.1 hexose transporter [Scenedesmus sp. NREL 46B-D3]	KAF8065876.1 STP13 [Scenedesmus sp. PABB004]
OG0000022	KAF6260294.1 hypothetical protein COO60DRAFT_1700405 [Scenedesmus sp. NREL 46B-D3]	KAF8060321.1 ANK3 [Scenedesmus sp. PABB004]
OG0000023	KAF6249474.1 hypothetical protein COO60DRAFT_968441 [Scenedesmus sp. NREL 46B-D3], KAF6261206.1 hypothetical protein COO60DRAFT_801690 [Scenedesmus sp. NREL 46B-D3]	KAF8058078.1 zinc finger CCCH domain-containing protein 2 [Scenedesmus sp. PABB004]
OG0000023	KAF6257256.1 hypothetical protein COO60DRAFT_25223 [Scenedesmus sp. NREL 46B-D3]	KAF8065783.1 zZinc finger CCCH domain-containing protein 33 [Scenedesmus sp. PABB004]
OG0000023	KAF6253645.1 hypothetical protein COO60DRAFT_1703722 [Scenedesmus sp. NREL 46B-D3]	KAF8073124.1 Zinc finger CCCH domain-containing protein 2 [Scenedesmus sp. PABB004]
OG0000023	KAF6262342.1 hypothetical protein COO60DRAFT_1268220 [Scenedesmus sp. NREL 46B-D3]	KAF8059146.1 TZF6 [Scenedesmus sp. PABB004]
OG0000023	KAF6263383.1 hypothetical protein COO60DRAFT_1267608 [Scenedesmus sp. NREL 46B-D3]	KAF8066358.1 zinc finger CCCH domain-containing protein 50 [Scenedesmus sp. PABB004]
OG0000023	KAF6258807.1 hypothetical protein COO60DRAFT_1083841 [Scenedesmus sp. NREL 46B-D3]	KAF8060494.1 zinc finger CCCH domain-containing protein 50 [Scenedesmus sp. PABB004], KAF8061961.1 zinc finger CCCH domain-containing protein 50 [Scenedesmus sp. PABB004]
OG0000023	KAF6260304.1 hypothetical protein COO60DRAFT_1269534_ partial [Scenedesmus sp. NREL 46B-D3], KAF6256220.1 hypothetical protein COO60DRAFT_135613 [Scenedesmus sp. NREL 46B-D3]	KAF8065569.1 zZinc finger CCCH domain-containing protein 33 [Scenedesmus sp. PABB004]
OG0000024	KAF6259892.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]	KAF8058934.1 hypothetical protein HT031_005502 [Scenedesmus sp. PABB004]
OG0000024	KAF6250510.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252011.1 subtilase [Scenedesmus sp. NREL 46B-D3]	KAF8059396.1 subtilisin-like protein [Scenedesmus sp. PABB004], KAF8056848.1 Thermophilic serine proteinase [Scenedesmus sp. PABB004]
OG0000025	KAF6259594.1 hypothetical protein COO60DRAFT_996241 [Scenedesmus sp. NREL 46B-D3]	KAF8069372.1 PHR1 [Scenedesmus sp. PABB004]
OG0000025	KAF6253158.1 Homeodomain-like protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6257170.1 Homeodomain-like protein_ partial [Scenedesmus sp. NREL 46B-D3]	KAF8058903.1 hypothetical protein HT031_005471 [Scenedesmus sp. PABB004]
OG0000025	KAF6266106.1 hypothetical protein COO60DRAFT_1697463 [Scenedesmus sp. NREL 46B-D3], KAF6252940.1 hypothetical protein COO60DRAFT_481024 [Scenedesmus sp. NREL 46B-D3], KAF6255431.1 hypothetical protein COO60DRAFT_211467 [Scenedesmus sp. NREL 46B-D3]	KAF8063097.1 hypothetical protein HT031_003936 [Scenedesmus sp. PABB004]
OG0000026	KAF6258814.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]	KAF8061965.1 hypothetical protein HT031_004225 [Scenedesmus sp. PABB004]
OG0000028	KAF6262142.1 hypothetical protein COO60DRAFT_675402 [Scenedesmus sp. NREL 46B-D3]	KAF8071329.1 hypothetical protein HT031_001412 [Scenedesmus sp. PABB004]
OG0000029	KAF6259608.1 hypothetical protein COO60DRAFT_1460106 [Scenedesmus sp. NREL 46B-D3]	KAF8069379.1 EXPA2 [Scenedesmus sp. PABB004]
OG0000029	KAF6254548.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8065858.1 EXPA32 [Scenedesmus sp. PABB004]
OG0000029	KAF6251812.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8072813.1 EXPA15 [Scenedesmus sp. PABB004]
OG0000029	KAF6253955.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266133.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8055747.1 hypothetical protein HT031_006651 [Scenedesmus sp. PABB004]
OG0000029	KAF6253957.1 histidine phosphatase superfamily [Scenedesmus sp. NREL 46B-D3]	KAF8055096.1 2-carboxy-D-arabinitol-1-phosphatase [Scenedesmus sp. PABB004]
OG0000029	KAF6260259.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266518.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266519.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266517.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8073002.1 hypothetical protein HT031_000662 [Scenedesmus sp. PABB004]
OG0000031	KAF6257433.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]	KAF8068429.1 cyp-13A10 [Scenedesmus sp. PABB004]
OG0000031	KAF6263115.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3], KAF6266200.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3], KAF6247248.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3], KAF6250399.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3], KAF6266201.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]	KAF8057861.1 CYP97C1 [Scenedesmus sp. PABB004]
OG0000031	KAF6260940.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]	KAF8072732.1 Cyp3a9 [Scenedesmus sp. PABB004]
OG0000035	KAF6253624.1 LsmAD domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8070895.1 hypothetical protein HT031_000976 [Scenedesmus sp. PABB004]
OG0000035	KAF6254848.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8055285.1 KCS4 [Scenedesmus sp. PABB004]
OG0000035	KAF6254756.1 hypothetical protein COO60DRAFT_1286152_ partial [Scenedesmus sp. NREL 46B-D3], KAF6264839.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8065770.1 KCS4 [Scenedesmus sp. PABB004]
OG0000035	KAF6261610.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8070862.1 KCS1 [Scenedesmus sp. PABB004]
OG0000035	KAF6257671.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8055276.1 KCS1 [Scenedesmus sp. PABB004]
OG0000035	KAF6266311.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8057691.1 KCS17 [Scenedesmus sp. PABB004], KAF8057911.1 KCS2 [Scenedesmus sp. PABB004]
OG0000036	KAF6263822.1 hypothetical protein COO60DRAFT_345552 [Scenedesmus sp. NREL 46B-D3]	KAF8072834.1 TRZ1 [Scenedesmus sp. PABB004], KAF8059664.1 Map3k11 [Scenedesmus sp. PABB004]
OG0000037	KAF6262818.1 light harvesting complex II protein precursor [Scenedesmus sp. NREL 46B-D3]	KAF8062790.1 RCABP89 [Scenedesmus sp. PABB004]
OG0000037	KAF6254837.1 light-harvesting chlorophyll a/b-binding protein LhcbM2 [Scenedesmus sp. NREL 46B-D3], KAF6254840.1 light-harvesting chlorophyll a/b-binding protein LhcbM2 [Scenedesmus sp. NREL 46B-D3], KAF6254838.1 light-harvesting chlorophyll a/b-binding protein LhcbM3 [Scenedesmus sp. NREL 46B-D3]	KAF8057671.1 Chlorophyll a-b binding protein of LHCII type I [Scenedesmus sp. PABB004]
OG0000037	KAF6255009.1 light-harvesting chlorophyll a/b-binding protein LhcbM1 [Scenedesmus sp. NREL 46B-D3], KAF6260058.1 light-harvesting chlorophyll a/b-binding protein LhcbM5 [Scenedesmus sp. NREL 46B-D3], KAF6262727.1 light-harvesting chlorophyll a/b-binding protein LhcbM4 [Scenedesmus sp. NREL 46B-D3], KAF6237334.1 hypothetical protein COO60DRAFT_1302164 [Scenedesmus sp. NREL 46B-D3]	KAF8063772.1 cabII-1 [Scenedesmus sp. PABB004]
OG0000039	KAF6263368.1 hypothetical protein COO60DRAFT_1698811 [Scenedesmus sp. NREL 46B-D3]	KAF8066381.1 hif1an [Scenedesmus sp. PABB004]
OG0000039	KAF6254769.1 pectin lyase fold/virulence factor_ partial [Scenedesmus sp. NREL 46B-D3]	KAF8072832.1 hypothetical protein HT031_000492 [Scenedesmus sp. PABB004]
OG0000042	KAF6263080.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3], KAF6256603.1 sodium/phosphate symporter [Scenedesmus sp. NREL 46B-D3], KAF6259740.1 sodium/phosphate symporter [Scenedesmus sp. NREL 46B-D3]	KAF8066209.1 pho-4 [Scenedesmus sp. PABB004]
OG0000042	KAF6251745.1 phosphate transporter family-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262371.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3]	KAF8059159.1 PHO89 [Scenedesmus sp. PABB004]
OG0000042	KAF6250657.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3], KAF6252255.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3]	KAF8062088.1 pho-4 [Scenedesmus sp. PABB004]
OG0000043	KAF6262828.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8057148.1 alpha-glucosidase [Scenedesmus sp. PABB004]
OG0000043	KAF6254921.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8062772.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062771.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062770.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062769.1 alpha-glucosidase [Scenedesmus sp. PABB004]
OG0000043	KAF6256155.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8061064.1 alpha-glucosidase [Scenedesmus sp. PABB004]
OG0000044	KAF6263715.1 hypothetical protein COO60DRAFT_1634871 [Scenedesmus sp. NREL 46B-D3], KAF6264069.1 hypothetical protein COO60DRAFT_1634738 [Scenedesmus sp. NREL 46B-D3], KAF6255802.1 hypothetical protein COO60DRAFT_1660578 [Scenedesmus sp. NREL 46B-D3], KAF6262829.1 hypothetical protein COO60DRAFT_1635655 [Scenedesmus sp. NREL 46B-D3], KAF6254891.1 hypothetical protein COO60DRAFT_276781 [Scenedesmus sp. NREL 46B-D3], KAF6249413.1 hypothetical protein COO60DRAFT_970363 [Scenedesmus sp. NREL 46B-D3], KAF6251272.1 hypothetical protein COO60DRAFT_655092 [Scenedesmus sp. NREL 46B-D3], KAF6254041.1 hypothetical protein COO60DRAFT_1543744 [Scenedesmus sp. NREL 46B-D3], KAF6248266.1 hypothetical protein COO60DRAFT_1589415 [Scenedesmus sp. NREL 46B-D3], KAF6242225.1 hypothetical protein COO60DRAFT_1606168_ partial [Scenedesmus sp. NREL 46B-D3], KAF6249414.1 hypothetical protein COO60DRAFT_1581207 [Scenedesmus sp. NREL 46B-D3], KAF6249762.1 hypothetical protein COO60DRAFT_1579417_ partial [Scenedesmus sp. NREL 46B-D3]	KAF8056149.1 pol [Scenedesmus sp. PABB004], KAF8057711.1 pol [Scenedesmus sp. PABB004]
OG0000045	KAF6255840.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	KAF8073262.1 ABCG35 [Scenedesmus sp. PABB004]
OG0000046	KAF6253266.1 hypothetical protein COO60DRAFT_434274 [Scenedesmus sp. NREL 46B-D3]	KAF8060501.1 Smyd3 [Scenedesmus sp. PABB004]
OG0000048	KAF6259723.1 hypothetical protein COO60DRAFT_981413 [Scenedesmus sp. NREL 46B-D3]	KAF8065439.1 hypothetical protein HT031_003040 [Scenedesmus sp. PABB004]
OG0000049	KAF6260775.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8059417.1 MTK1 [Scenedesmus sp. PABB004]
OG0000049	KAF6250885.1 histidine phosphatase superfamily [Scenedesmus sp. NREL 46B-D3]	KAF8054828.1 hypothetical protein HT031_006922 [Scenedesmus sp. PABB004], KAF8054826.1 hypothetical protein HT031_006920 [Scenedesmus sp. PABB004], KAF8054637.1 hypothetical protein HT031_006962 [Scenedesmus sp. PABB004], KAF8060108.1 AGO3 [Scenedesmus sp. PABB004], KAF8054806.1 MTK1 [Scenedesmus sp. PABB004], KAF8054761.1 hypothetical protein HT031_006935 [Scenedesmus sp. PABB004], KAF8063770.1 PSAT1 [Scenedesmus sp. PABB004], KAF8055670.1 hypothetical protein HT031_006692 [Scenedesmus sp. PABB004], KAF8058310.1 drkD [Scenedesmus sp. PABB004], KAF8058311.1 hypothetical protein HT031_005627 [Scenedesmus sp. PABB004], KAF8063020.1 hypothetical protein HT031_003859 [Scenedesmus sp. PABB004], KAF8063012.1 ALKBH8 [Scenedesmus sp. PABB004]
OG0000049	KAF6251092.1 eukaryotic translation initiation factor 2B alpha [Scenedesmus sp. NREL 46B-D3]	KAF8058952.1 MTK1 [Scenedesmus sp. PABB004], KAF8055466.1 methylthioribose-1-phosphate isomerase [Scenedesmus sp. PABB004]
OG0000050	KAF6265287.1 Bestrophin_ RFP-TM_ chloride channel-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8057910.1 hypothetical protein HT031_005856 [Scenedesmus sp. PABB004], KAF8069493.1 hypothetical protein HT031_001609 [Scenedesmus sp. PABB004]
OG0000051	KAF6257730.1 MATE efflux family protein [Scenedesmus sp. NREL 46B-D3]	KAF8059751.1 DTX52 [Scenedesmus sp. PABB004]
OG0000051	KAF6252626.1 hypothetical protein COO60DRAFT_507012 [Scenedesmus sp. NREL 46B-D3]	KAF8069389.1 SPAC11D3.06 [Scenedesmus sp. PABB004]
OG0000051	KAF6260291.1 mate-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6260289.1 mate-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8060322.1 DTX16 [Scenedesmus sp. PABB004]
OG0000051	KAF6259313.1 mate-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8063707.1 DTX14 [Scenedesmus sp. PABB004]
OG0000051	KAF6259041.1 mate-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8062039.1 DTX2 [Scenedesmus sp. PABB004]
OG0000052	KAF6256863.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6261262.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6259251.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6255528.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6257009.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6235444.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6262205.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6257012.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3]	KAF8065866.1 hypothetical protein HT031_002926 [Scenedesmus sp. PABB004]
OG0000052	KAF6257253.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6254409.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3]	KAF8056142.1 hypothetical protein HT031_006493 [Scenedesmus sp. PABB004], KAF8064531.1 Galns [Scenedesmus sp. PABB004]
OG0000052	KAF6264392.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6255124.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3]	KAF8058413.1 hypothetical protein HT031_005537 [Scenedesmus sp. PABB004]
OG0000052	KAF6258702.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6252823.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6253639.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3]	KAF8065865.1 hypothetical protein HT031_002925 [Scenedesmus sp. PABB004], KAF8066216.1 MRL1 [Scenedesmus sp. PABB004]
OG0000052	KAF6261751.1 hypothetical protein COO60DRAFT_735122 [Scenedesmus sp. NREL 46B-D3]	KAF8062975.1 REIL1 [Scenedesmus sp. PABB004]
OG0000053	KAF6262073.1 hypothetical protein COO60DRAFT_689373 [Scenedesmus sp. NREL 46B-D3], KAF6262088.1 hypothetical protein COO60DRAFT_1636292 [Scenedesmus sp. NREL 46B-D3], KAF6256492.1 hypothetical protein COO60DRAFT_99700 [Scenedesmus sp. NREL 46B-D3]	KAF8062709.1 hypothetical protein HT031_004038 [Scenedesmus sp. PABB004]
OG0000053	KAF6254766.1 hypothetical protein COO60DRAFT_1272940 [Scenedesmus sp. NREL 46B-D3]	KAF8061300.1 RXLR124 [Scenedesmus sp. PABB004]
