Orthogroup	Scenedesmus_NREL	Chlorella_Sorokiniana1602
OG0000013	KAF6256672.1 Rab3 GTPase-activating protein catalytic subunit-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PRW58940.1 serine threonine- kinase Nek1 isoform X5 [Chlorella sorokiniana]
OG0000014	KAF6256541.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PRW56328.1 cyclophilin [Chlorella sorokiniana]
OG0000014	KAF6264995.1 hypothetical protein COO60DRAFT_1698077 [Scenedesmus sp. NREL 46B-D3]	PRW59726.1 peptidyl-prolyl cis-trans isomerase CYP19-3 isoform X2 [Chlorella sorokiniana]
OG0000014	KAF6259760.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PRW45741.1 peptidyl-prolyl cis-trans isomerase CYP19-4 [Chlorella sorokiniana]
OG0000014	KAF6258195.1 cyclophilin-type peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. NREL 46B-D3]	PRW57312.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Chlorella sorokiniana]
OG0000014	KAF6253704.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PRW58429.1 Peptidyl-prolyl cis-trans isomerase [Chlorella sorokiniana]
OG0000014	KAF6252786.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6236267.1 NDH subunit PnsL5_ partial [Scenedesmus sp. NREL 46B-D3]	PRW57025.1 peptidyl-prolyl cis-trans isomerase B [Chlorella sorokiniana]
OG0000016	KAF6257509.1 mitochondrial carrier domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PRW50795.1 polyubiquitin 3 isoform B [Chlorella sorokiniana], PRW50796.1 polyubiquitin 3 isoform A [Chlorella sorokiniana]
OG0000016	KAF6264957.1 hypothetical protein COO60DRAFT_1634011 [Scenedesmus sp. NREL 46B-D3]	PRW33690.1 ubiquitin-NEDD8 RUB2 [Chlorella sorokiniana]
OG0000016	KAF6262261.1 ubiquitin extension protein [Scenedesmus sp. NREL 46B-D3]	PRW56465.1 ubiquitin-60S ribosomal L40 [Chlorella sorokiniana]
OG0000018	KAF6252740.1 hypothetical protein COO60DRAFT_502322 [Scenedesmus sp. NREL 46B-D3], KAF6253083.1 hypothetical protein COO60DRAFT_469421 [Scenedesmus sp. NREL 46B-D3]	PRW56613.1 transcription factor MYB98-like [Chlorella sorokiniana]
OG0000018	KAF6253755.1 hypothetical protein COO60DRAFT_391601 [Scenedesmus sp. NREL 46B-D3]	PRW20403.1 Myb-related B isoform B [Chlorella sorokiniana], PRW20404.1 Myb-related B isoform A [Chlorella sorokiniana]
OG0000018	KAF6260264.1 c-myb-like transcription factor [Scenedesmus sp. NREL 46B-D3], KAF6255543.1 hypothetical protein COO60DRAFT_204648 [Scenedesmus sp. NREL 46B-D3]	PRW44975.1 transcription factor MYB44-like [Chlorella sorokiniana]
OG0000018	KAF6257155.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6263245.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6251055.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3]	PRW56509.1 transcription factor Myb13 [Chlorella sorokiniana]
OG0000020	KAF6261082.1 hypothetical protein COO60DRAFT_1637118 [Scenedesmus sp. NREL 46B-D3], KAF6256201.1 hypothetical protein COO60DRAFT_1640881 [Scenedesmus sp. NREL 46B-D3], KAF6258856.1 hypothetical protein COO60DRAFT_1626293 [Scenedesmus sp. NREL 46B-D3]	PRW58220.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana]
OG0000022	KAF6252249.1 ankyrin repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	PRW57847.1 ankyrin repeat [Chlorella sorokiniana], PRW56411.1 ankyrin repeat [Chlorella sorokiniana], PRW56453.1 ankyrin 2_3 unc44 [Chlorella sorokiniana]
OG0000022	KAF6256740.1 hypothetical protein COO60DRAFT_1527996 [Scenedesmus sp. NREL 46B-D3]	PRW51129.1 vacuolar sorting 23A [Chlorella sorokiniana]
OG0000023	KAF6249474.1 hypothetical protein COO60DRAFT_968441 [Scenedesmus sp. NREL 46B-D3], KAF6261206.1 hypothetical protein COO60DRAFT_801690 [Scenedesmus sp. NREL 46B-D3]	PRW44501.1 D-tyrosyl-tRNA_Tyr_ deacylase [Chlorella sorokiniana]
OG0000023	KAF6262812.1 hypothetical protein COO60DRAFT_1493981 [Scenedesmus sp. NREL 46B-D3]	PRW59139.1 zinc finger CCCH domain-containing 66-like [Chlorella sorokiniana], PRW32871.1 zinc finger family isoform B [Chlorella sorokiniana], PRW32872.1 zinc finger family isoform A [Chlorella sorokiniana]
OG0000024	KAF6250510.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252011.1 subtilase [Scenedesmus sp. NREL 46B-D3]	PRW55960.1 peptidase S8 [Chlorella sorokiniana], PRW20948.1 peptidase S8 isoform A [Chlorella sorokiniana], PRW20949.1 peptidase S8 isoform B [Chlorella sorokiniana]
OG0000025	KAF6261295.1 CheY-like superfamily [Scenedesmus sp. NREL 46B-D3]	PRW56235.1 pseudo-response regulator 3 [Chlorella sorokiniana]
OG0000026	KAF6258814.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]	PRW50812.1 class V aminotransferase [Chlorella sorokiniana]
OG0000028	KAF6262142.1 hypothetical protein COO60DRAFT_675402 [Scenedesmus sp. NREL 46B-D3]	PRW21073.1 G patch domain and ankyrin repeat-containing 1-like protein [Chlorella sorokiniana], PRW33315.1 serine threonine- phosphatase 6 regulatory ankyrin repeat subunit B-like [Chlorella sorokiniana], PRW58720.1 ankyrin repeat-containing protein [Chlorella sorokiniana], PRW20255.1 hypothetical protein C2E21_9214 [Chlorella sorokiniana], PRW57216.1 ankyrin repeat-containing protein [Chlorella sorokiniana]
OG0000029	KAF6259608.1 hypothetical protein COO60DRAFT_1460106 [Scenedesmus sp. NREL 46B-D3]	PRW44850.1 hypothetical protein C2E21_6254 [Chlorella sorokiniana]
OG0000029	KAF6262470.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262467.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3]	PRW39270.1 U6 snRNA phosphodiesterase [Chlorella sorokiniana], PRW39389.1 formate nitrite transporter [Chlorella sorokiniana]
OG0000031	KAF6257433.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]	PRW59761.1 cytochrome P450 [Chlorella sorokiniana]
OG0000031	KAF6260940.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]	PRW50749.1 cytochrome P450 [Chlorella sorokiniana]
OG0000032	KAF6252709.1 Gametolysin peptidase M11-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6265132.1 Gametolysin peptidase M11-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PRW45713.1 hypothetical protein C2E21_5840 [Chlorella sorokiniana], PRW33287.1 hypothetical protein C2E21_7824 [Chlorella sorokiniana], PRW57195.1 hypothetical protein C2E21_4079 [Chlorella sorokiniana], PRW59320.1 hypothetical protein C2E21_2437 [Chlorella sorokiniana]
OG0000035	KAF6253624.1 LsmAD domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PRW59728.1 3-ketoacyl- synthase 11 isoform A [Chlorella sorokiniana]
OG0000035	KAF6254848.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254756.1 hypothetical protein COO60DRAFT_1286152_ partial [Scenedesmus sp. NREL 46B-D3], KAF6264839.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6261610.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257671.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266311.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6251507.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PRW61324.1 3-ketoacyl- synthase 4-like [Chlorella sorokiniana]
OG0000036	KAF6263822.1 hypothetical protein COO60DRAFT_345552 [Scenedesmus sp. NREL 46B-D3]	PRW33642.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61610.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW58034.1 kinase [Chlorella sorokiniana], PRW61254.1 kinase [Chlorella sorokiniana], PRW51042.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61026.1 kinase [Chlorella sorokiniana]
OG0000038	KAF6256320.1 core-2/I-branching enzyme-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PRW50834.1 Transcription initiation factor TFIID subunit 13 [Chlorella sorokiniana], PRW33249.1 Transcription initiation factor TFIID subunit 13 isoform A [Chlorella sorokiniana], PRW33248.1 Transcription initiation factor TFIID subunit 13 isoform B [Chlorella sorokiniana], PRW05940.1 beta-1_6-N-acetylglucosaminyltransferase enzyme [Chlorella sorokiniana], PRW05935.1 beta-1_6-N-acetylglucosaminyltransferase enzyme [Chlorella sorokiniana], PRW32548.1 Transcription initiation factor TFIID subunit 13 [Chlorella sorokiniana], PRW45079.1 Transcription initiation factor TFIID subunit 13 [Chlorella sorokiniana]
OG0000039	KAF6263368.1 hypothetical protein COO60DRAFT_1698811 [Scenedesmus sp. NREL 46B-D3]	PRW56320.1 lysine-specific demethylase 8 [Chlorella sorokiniana]
OG0000040	KAF6260197.1 hypothetical protein COO60DRAFT_1507980 [Scenedesmus sp. NREL 46B-D3]	PRW60632.1 ankyrin repeat and MYND domain-containing [Chlorella sorokiniana], PRW60463.1 hypothetical protein C2E21_1279 [Chlorella sorokiniana], PRW60340.1 hypothetical protein C2E21_1283 [Chlorella sorokiniana], PRW60239.1 Zinc finger domain-containing MYND finger domain [Chlorella sorokiniana], PRW20904.1 hypothetical protein C2E21_8584 [Chlorella sorokiniana], PRW20905.1 hypothetical protein C2E21_8584 [Chlorella sorokiniana], PRW59495.1 HIT MYND zinc finger [Chlorella sorokiniana], PRW56827.1 hypothetical protein C2E21_4658 [Chlorella sorokiniana], PRW33756.1 hypothetical protein C2E21_7361 [Chlorella sorokiniana], PRW56127.1 Zinc finger domain-containing MYND finger domain [Chlorella sorokiniana], PRW59997.1 Zinc finger MYND domain-containing 19 Q7TSV3 [Chlorella sorokiniana], PRW21076.1 transcriptional regulator [Chlorella sorokiniana], PRW55939.1 ubiquitin carboxyl-terminal hydrolase 18-like [Chlorella sorokiniana], PRW45161.1 Zinc finger MYND domain-containing 17 [Chlorella sorokiniana], PRW39187.1 MYND finger domain containing [Chlorella sorokiniana], PRW60147.1 HIT MYND zinc finger [Chlorella sorokiniana], PRW45512.1 hypothetical protein C2E21_5976 [Chlorella sorokiniana], PRW56574.1 Zinc finger MYND domain-containing 19 Q7TSV3 [Chlorella sorokiniana], PRW56662.1 MYND finger [Chlorella sorokiniana], PRW58358.1 hypothetical protein C2E21_2893 [Chlorella sorokiniana], PRW56289.1 PBS lyase [Chlorella sorokiniana], PRW56155.1 hypothetical protein C2E21_5198 [Chlorella sorokiniana], PRW56311.1 hypothetical protein C2E21_5126 [Chlorella sorokiniana], PRW56174.1 DNA-3-methyladenine glycosylase [Chlorella sorokiniana], PRW56081.1 hypothetical protein C2E21_5153 [Chlorella sorokiniana]
OG0000041	KAF6263524.1 hypothetical protein COO60DRAFT_413862 [Scenedesmus sp. NREL 46B-D3], KAF6251517.1 hypothetical protein COO60DRAFT_608923 [Scenedesmus sp. NREL 46B-D3]	PRW32643.1 TMV resistance N-like [Chlorella sorokiniana], PRW45435.1 leucine rich repeat [Chlorella sorokiniana], PRW51148.1 putative LRR receptor-like serine threonine- kinase [Chlorella sorokiniana], PRW33266.1 small GTP-binding [Chlorella sorokiniana], PRW56545.1 leucine-rich repeat SHOC-2-like [Chlorella sorokiniana], PRW20977.1 2-isopropylmalate synthase homocitrate synthase family [Chlorella sorokiniana], PRW20972.1 p53-induced death domain-containing 1 isoform X1 [Chlorella sorokiniana], PRW21009.1 small GTP-binding [Chlorella sorokiniana], PRW20986.1 leucine-rich repeat transmembrane kinase [Chlorella sorokiniana], PRW21137.1 TMV resistance N-like [Chlorella sorokiniana], PRW21050.1 receptor 12 [Chlorella sorokiniana], PRW32843.1 hypothetical protein C2E21_8154 [Chlorella sorokiniana], PRW45511.1 internalin A [Chlorella sorokiniana]
OG0000042	KAF6263080.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3], KAF6256603.1 sodium/phosphate symporter [Scenedesmus sp. NREL 46B-D3], KAF6259740.1 sodium/phosphate symporter [Scenedesmus sp. NREL 46B-D3], KAF6251745.1 phosphate transporter family-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262371.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3]	PRW33027.1 phosphate-repressible phosphate permease [Chlorella sorokiniana], PRW32920.1 phosphate transporter [Chlorella sorokiniana], PRW60515.1 phosphate-repressible phosphate permease [Chlorella sorokiniana]
OG0000042	KAF6250657.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3], KAF6252255.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3]	PRW33157.1 phosphate transporter [Chlorella sorokiniana]
OG0000043	KAF6262255.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264757.1 glycosyl hydrolases family 31-domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6253912.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262828.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254921.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6258268.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256155.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PRW45699.1 alpha-glucosidase isoform B [Chlorella sorokiniana], PRW45700.1 alpha-glucosidase isoform A [Chlorella sorokiniana], PRW44983.1 Glycosyl hydrolases family 31 isoform 1 [Chlorella sorokiniana]
OG0000044	KAF6250838.1 hypothetical protein COO60DRAFT_1566477 [Scenedesmus sp. NREL 46B-D3], KAF6252628.1 hypothetical protein COO60DRAFT_1552102 [Scenedesmus sp. NREL 46B-D3]	PRW56980.1 ARM repeat-containing [Chlorella sorokiniana]
OG0000046	KAF6253266.1 hypothetical protein COO60DRAFT_434274 [Scenedesmus sp. NREL 46B-D3]	PRW45736.1 serine threonine- kinase receptor R831 [Chlorella sorokiniana], PRW58688.1 Amino acid permease 2 [Chlorella sorokiniana], PRW58712.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW58414.1 serine threonine- kinase [Chlorella sorokiniana]
OG0000048	KAF6256083.1 oxygen-evolving enhancer protein 3_ chloroplastic [Scenedesmus sp. NREL 46B-D3]	PRW50814.1 hypothetical protein C2E21_5439 [Chlorella sorokiniana], PRW33015.1 hypothetical protein C2E21_8112 [Chlorella sorokiniana]
OG0000049	KAF6250885.1 histidine phosphatase superfamily [Scenedesmus sp. NREL 46B-D3]	PRW59120.1 hypothetical protein C2E21_2482 [Chlorella sorokiniana]
OG0000049	KAF6254669.1 hypothetical protein COO60DRAFT_296766 [Scenedesmus sp. NREL 46B-D3]	PRW58828.1 putative ubiquitin-like-specific protease 2B isoform X1 [Chlorella sorokiniana]
OG0000049	KAF6251092.1 eukaryotic translation initiation factor 2B alpha [Scenedesmus sp. NREL 46B-D3]	PRW55925.1 translation initiation factor fusion with methylthioribose kinase [Chlorella sorokiniana]
OG0000050	KAF6265287.1 Bestrophin_ RFP-TM_ chloride channel-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PRW33726.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW32665.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW33245.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW20392.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW51063.1 UPF0187 chloroplastic [Chlorella sorokiniana]
