Orthogroup	Micractinium_SAG24180	Scenedesmus_NREL
OG0000008	PSC71213.1 Histone H4 [Micractinium conductrix], PSC72310.1 Histone H4 [Micractinium conductrix], PSC68336.1 Histone H4 [Micractinium conductrix], PSC72060.1 Histone H4 [Micractinium conductrix], PSC71092.1 Histone H4 [Micractinium conductrix], PSC72143.1 Histone H4 [Micractinium conductrix], PSC72347.1 Histone H4 [Micractinium conductrix], PSC68363.1 Histone H4 [Micractinium conductrix], PSC72279.1 Histone H4 [Micractinium conductrix], PSC72277.1 Histone H4 [Micractinium conductrix], PSC74522.1 Histone H4 [Micractinium conductrix]	KAF6253689.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253539.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252081.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252086.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6248397.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253533.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6248395.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252074.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253506.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000009	PSC74521.1 Myb-related B isoform B [Micractinium conductrix], PSC74520.1 Myb-related B isoform C [Micractinium conductrix], PSC74519.1 Myb-related B isoform A [Micractinium conductrix]	KAF6254149.1 hypothetical protein COO60DRAFT_1703454 [Scenedesmus sp. NREL 46B-D3]
OG0000009	PSC67809.1 ribonucleases P MRP subunit POP1 [Micractinium conductrix], PSC75877.1 left border a [Micractinium conductrix]	KAF6242295.1 hypothetical protein COO60DRAFT_206430 [Scenedesmus sp. NREL 46B-D3]
OG0000011	PSC76957.1 kinase [Micractinium conductrix], PSC69706.1 kinase [Micractinium conductrix], PSC69656.1 kinase [Micractinium conductrix], PSC72637.1 kinase [Micractinium conductrix]	KAF6265892.1 hypothetical protein COO60DRAFT_768059 [Scenedesmus sp. NREL 46B-D3], KAF6265889.1 hypothetical protein COO60DRAFT_1697568 [Scenedesmus sp. NREL 46B-D3], KAF6258193.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263888.1 hypothetical protein COO60DRAFT_308005 [Scenedesmus sp. NREL 46B-D3], KAF6255294.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255835.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266356.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6265430.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000013	PSC70880.1 sulfur stress regulator [Micractinium conductrix]	KAF6263511.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263514.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250539.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257324.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255583.1 Snf1-like ser/thr protein kinase [Scenedesmus sp. NREL 46B-D3]
OG0000013	PSC67849.1 hypothetical protein C2E20_8527 [Micractinium conductrix]	KAF6258910.1 Snf1-like protein kinase [Scenedesmus sp. NREL 46B-D3]
OG0000014	PSC69049.1 peptidyl-prolyl cis-trans isomerase [Micractinium conductrix]	KAF6256541.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000014	PSC68358.1 peptidyl-prolyl cis-trans isomerase CYP19-3 [Micractinium conductrix]	KAF6264995.1 hypothetical protein COO60DRAFT_1698077 [Scenedesmus sp. NREL 46B-D3]
OG0000014	PSC73928.1 peptidyl-prolyl cis-trans isomerase [Micractinium conductrix]	KAF6259760.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000014	PSC72208.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Micractinium conductrix]	KAF6258195.1 cyclophilin-type peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. NREL 46B-D3]
OG0000014	PSC71934.1 peptidyl-prolyl cis-trans isomerase-like 1 [Micractinium conductrix]	KAF6252787.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000014	PSC76028.1 peptidyl-prolyl cis-trans cyclophilin-type [Micractinium conductrix]	KAF6253704.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000014	PSC76324.1 peptidyl-prolyl cis-trans isomerase B [Micractinium conductrix]	KAF6252786.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6236267.1 NDH subunit PnsL5_ partial [Scenedesmus sp. NREL 46B-D3]
OG0000014	PSC72104.1 photosynthetic NDH subunit of lumenal location chloroplastic [Micractinium conductrix]	KAF6250332.1 putative peptidyl-prolyl cis-trans isomerase chloroplast precursor [Scenedesmus sp. NREL 46B-D3], KAF6259651.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000015	PSC74858.1 reverse transcriptase [Micractinium conductrix], PSC71750.1 DNase I [Micractinium conductrix], PSC72806.1 hypothetical protein C2E20_3905 [Micractinium conductrix], PSC72775.1 hypothetical protein C2E20_3906 [Micractinium conductrix]	KAF6251559.1 hypothetical protein COO60DRAFT_1644892 [Scenedesmus sp. NREL 46B-D3]
OG0000016	PSC75488.1 polyubiquitin [Micractinium conductrix]	KAF6257509.1 mitochondrial carrier domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000016	PSC67370.1 bi-major isoform [Micractinium conductrix]	KAF6264957.1 hypothetical protein COO60DRAFT_1634011 [Scenedesmus sp. NREL 46B-D3]
OG0000016	PSC68113.1 ubiquitin-60S ribosomal L40 [Micractinium conductrix]	KAF6262261.1 ubiquitin extension protein [Scenedesmus sp. NREL 46B-D3]
OG0000017	PSC72953.1 reverse poly isoform A [Micractinium conductrix], PSC76120.1 Reverse transcriptase-related [Micractinium conductrix], PSC75431.1 RNA-directed DNA polymerase from mobile element jockey [Micractinium conductrix], PSC76992.1 RNA-directed DNA polymerase from mobile element jockey [Micractinium conductrix], PSC72954.1 reverse poly isoform B [Micractinium conductrix], PSC67114.1 hypothetical protein C2E20_9200 [Micractinium conductrix], PSC68936.1 reverse transcriptase [Micractinium conductrix]	KAF6249604.1 hypothetical protein COO60DRAFT_944372 [Scenedesmus sp. NREL 46B-D3]
OG0000018	PSC71636.1 transcription factor MYB98-like [Micractinium conductrix]	KAF6252740.1 hypothetical protein COO60DRAFT_502322 [Scenedesmus sp. NREL 46B-D3], KAF6253083.1 hypothetical protein COO60DRAFT_469421 [Scenedesmus sp. NREL 46B-D3]
OG0000018	PSC74728.1 Myb A [Micractinium conductrix]	KAF6262542.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6256388.1 hypothetical protein COO60DRAFT_115932 [Scenedesmus sp. NREL 46B-D3]
OG0000018	PSC72450.1 myb-related B-like isoform A [Micractinium conductrix], PSC72449.1 myb-related B-like isoform B [Micractinium conductrix]	KAF6257155.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6263245.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6251055.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000020	PSC76169.1 H_+_ hexose cotransporter 2 [Micractinium conductrix]	KAF6261082.1 hypothetical protein COO60DRAFT_1637118 [Scenedesmus sp. NREL 46B-D3], KAF6256201.1 hypothetical protein COO60DRAFT_1640881 [Scenedesmus sp. NREL 46B-D3], KAF6258856.1 hypothetical protein COO60DRAFT_1626293 [Scenedesmus sp. NREL 46B-D3]
OG0000023	PSC69922.1 Zn-finger CCCH type [Micractinium conductrix]	KAF6249474.1 hypothetical protein COO60DRAFT_968441 [Scenedesmus sp. NREL 46B-D3], KAF6261206.1 hypothetical protein COO60DRAFT_801690 [Scenedesmus sp. NREL 46B-D3]
OG0000023	PSC75384.1 zinc finger CCCH domain-containing 66-like [Micractinium conductrix], PSC76370.1 Prolyl 4-hydroxylase subunit alpha-2 [Micractinium conductrix]	KAF6262812.1 hypothetical protein COO60DRAFT_1493981 [Scenedesmus sp. NREL 46B-D3]
OG0000024	PSC74151.1 peptidase S8 [Micractinium conductrix]	KAF6259892.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]
OG0000024	PSC68481.1 subtilisin-like serine protease [Micractinium conductrix], PSC71480.1 subtilisin-like serine protease [Micractinium conductrix], PSC71786.1 peptidase S8 [Micractinium conductrix], PSC71832.1 peptidase S8 [Micractinium conductrix], PSC74435.1 Extracellular basic protease [Micractinium conductrix], PSC71482.1 alkaline serine protease [Micractinium conductrix], PSC76977.1 peptidase S8 [Micractinium conductrix]	KAF6250510.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252011.1 subtilase [Scenedesmus sp. NREL 46B-D3]
OG0000025	PSC74952.1 PHR1-LIKE 1 [Micractinium conductrix], PSC74956.1 LIM and cysteine-rich domains 1 [Micractinium conductrix]	KAF6261295.1 CheY-like superfamily [Scenedesmus sp. NREL 46B-D3], KAF6259594.1 hypothetical protein COO60DRAFT_996241 [Scenedesmus sp. NREL 46B-D3]
OG0000025	PSC71942.1 g2-like myb-family transcription factor [Micractinium conductrix], PSC67158.1 Acyl-[acyl-carrier] desaturase chloroplastic [Micractinium conductrix]	KAF6266106.1 hypothetical protein COO60DRAFT_1697463 [Scenedesmus sp. NREL 46B-D3]
OG0000025	PSC69534.1 Two-component response regulator ARR14 isoform 1 [Micractinium conductrix]	KAF6252940.1 hypothetical protein COO60DRAFT_481024 [Scenedesmus sp. NREL 46B-D3]
OG0000026	PSC75324.1 class V aminotransferase [Micractinium conductrix]	KAF6258814.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]
OG0000026	PSC74002.1 Ccr4p [Micractinium conductrix]	KAF6252797.1 hypothetical protein COO60DRAFT_1628447 [Scenedesmus sp. NREL 46B-D3]
OG0000028	PSC71672.1 hypothetical protein C2E20_4858 [Micractinium conductrix], PSC72252.1 ankyrin repeat PH and SEC7 domain containing [Micractinium conductrix], PSC68771.1 ankyrin repeat PH and SEC7 domain containing [Micractinium conductrix], PSC72679.1 hypothetical protein C2E20_4057 [Micractinium conductrix], PSC74578.1 ankyrin repeat domain [Micractinium conductrix], PSC73592.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Micractinium conductrix]	KAF6262142.1 hypothetical protein COO60DRAFT_675402 [Scenedesmus sp. NREL 46B-D3]
OG0000029	PSC70356.1 hypothetical protein C2E20_6254 [Micractinium conductrix]	KAF6259608.1 hypothetical protein COO60DRAFT_1460106 [Scenedesmus sp. NREL 46B-D3]
OG0000029	PSC67656.1 U6 snRNA phosphodiesterase [Micractinium conductrix], PSC67673.1 U6 snRNA phosphodiesterase [Micractinium conductrix], PSC67670.1 U6 snRNA phosphodiesterase [Micractinium conductrix]	KAF6262470.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262467.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000031	PSC71095.1 cytochrome P450 [Micractinium conductrix]	KAF6257433.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]
OG0000031	PSC76428.1 cytochrome P450 isoform A [Micractinium conductrix], PSC76426.1 cytochrome P450 isoform B [Micractinium conductrix], PSC76427.1 cytochrome P450 isoform C [Micractinium conductrix]	KAF6260940.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]
OG0000032	PSC67339.1 hypothetical protein C2E20_8969 [Micractinium conductrix], PSC76701.1 subunit of the ESCRT-III complex [Micractinium conductrix], PSC67873.1 hypothetical protein C2E20_8491 [Micractinium conductrix], PSC69234.1 hypothetical protein C2E20_7279 [Micractinium conductrix], PSC71116.1 hypothetical protein C2E20_5435 [Micractinium conductrix], PSC74160.1 hypothetical protein C2E20_2632 [Micractinium conductrix], PSC71071.1 hypothetical protein C2E20_5453 [Micractinium conductrix], PSC71168.1 Histone [Micractinium conductrix], PSC73454.1 CCCH zinc finger [Micractinium conductrix]	KAF6252709.1 Gametolysin peptidase M11-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6265132.1 Gametolysin peptidase M11-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000035	PSC68386.1 3-ketoacyl-synthase 11-like [Micractinium conductrix]	KAF6253624.1 LsmAD domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000035	PSC74991.1 very-long-chain 3-ketoacyl-synthase [Micractinium conductrix], PSC75078.1 3-ketoacyl-synthase 20-like [Micractinium conductrix]	KAF6254848.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254756.1 hypothetical protein COO60DRAFT_1286152_ partial [Scenedesmus sp. NREL 46B-D3], KAF6264839.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6261610.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257671.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266311.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6251507.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000036	PSC70418.1 Serine threonine-kinase CTR1 [Micractinium conductrix], PSC73115.1 kinase [Micractinium conductrix], PSC70592.1 kinase [Micractinium conductrix]	KAF6263822.1 hypothetical protein COO60DRAFT_345552 [Scenedesmus sp. NREL 46B-D3]
OG0000037	PSC70558.1 Chlorophyll a-b binding chloroplastic [Micractinium conductrix]	KAF6254837.1 light-harvesting chlorophyll a/b-binding protein LhcbM2 [Scenedesmus sp. NREL 46B-D3], KAF6254840.1 light-harvesting chlorophyll a/b-binding protein LhcbM2 [Scenedesmus sp. NREL 46B-D3], KAF6254838.1 light-harvesting chlorophyll a/b-binding protein LhcbM3 [Scenedesmus sp. NREL 46B-D3]
OG0000038	PSC74255.1 pp1a replicase poly [Micractinium conductrix], PSC71330.1 beta-1_6-N-acetylglucosaminyltransferase enzyme [Micractinium conductrix], PSC67186.1 beta-1_6-N-acetylglucosaminyltransferase enzyme [Micractinium conductrix], PSC67183.1 beta-1_6-N-acetylglucosaminyltransferase enzyme [Micractinium conductrix], PSC73532.1 Transcription initiation factor TFIID subunit 13 [Micractinium conductrix]	KAF6256320.1 core-2/I-branching enzyme-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
