Orthogroup	Coccomyxa_SubellipsoideaC169	Chlorella_KRBP
OG0000126	EIE26385.1 hypothetical protein COCSUDRAFT_46068 [Coccomyxa subellipsoidea C-169], EIE27012.1 hypothetical protein COCSUDRAFT_83571 [Coccomyxa subellipsoidea C-169], EIE27011.1 hypothetical protein COCSUDRAFT_83570 [Coccomyxa subellipsoidea C-169], EIE20061.1 UDP-Glycosyltransferase/glycogen phosphorylase [Coccomyxa subellipsoidea C-169]	QAXK01000372.1_2577-4525
OG0000128	EIE26319.1 flagellar associated protein [Coccomyxa subellipsoidea C-169], EIE27123.1 peptidase C54 [Coccomyxa subellipsoidea C-169], EIE22388.1 RNB-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01009125.1_10140-8059
OG0000137	EIE24164.1 ring finger protein 5_ partial [Coccomyxa subellipsoidea C-169], EIE18944.1 hypothetical protein COCSUDRAFT_59869 [Coccomyxa subellipsoidea C-169], EIE25580.1 hypothetical protein COCSUDRAFT_65314 [Coccomyxa subellipsoidea C-169]	QAXK01002137.1_9267-10854
OG0000152	EIE25415.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE24779.1 mitogen activated protein kinase [Coccomyxa subellipsoidea C-169]	QAXK01008299.1_4185-5535
OG0000163	EIE25145.1 ARF-like small GTPase [Coccomyxa subellipsoidea C-169], EIE18237.1 Arf6/ArfB-family small GTPase [Coccomyxa subellipsoidea C-169], EIE19146.1 ADP-ribosylation factor 1 [Coccomyxa subellipsoidea C-169]	QAXK01013733.1_9353-8061
OG0000165	EIE21929.1 ClpP/crotonase [Coccomyxa subellipsoidea C-169], EIE27428.1 AAA-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE22247.1 hypothetical protein COCSUDRAFT_55943 [Coccomyxa subellipsoidea C-169]	QAXK01004609.1_12369-13533
OG0000175	EIE20380.1 ribosomal protein L9 component of cytosolic 80S ribosome and 60S large subunit [Coccomyxa subellipsoidea C-169], EIE26550.1 hypothetical protein COCSUDRAFT_39616 [Coccomyxa subellipsoidea C-169], EIE21189.1 hypothetical protein COCSUDRAFT_43511 [Coccomyxa subellipsoidea C-169], EIE24447.1 hypothetical protein COCSUDRAFT_61872 [Coccomyxa subellipsoidea C-169]	QAXK01006319.1_3560-2355
OG0000177	EIE20953.1 hypothetical protein COCSUDRAFT_18339 [Coccomyxa subellipsoidea C-169], EIE25020.1 hypothetical protein COCSUDRAFT_27748 [Coccomyxa subellipsoidea C-169], EIE26022.1 hypothetical protein COCSUDRAFT_27585 [Coccomyxa subellipsoidea C-169]	QAXK01000575.1_15675-16655
OG0000187	EIE22772.1 ATP-dependent DNA ligase_ partial [Coccomyxa subellipsoidea C-169], EIE18924.1 ATP-dependent DNA ligase [Coccomyxa subellipsoidea C-169]	QAXK01014854.1_51-3845
OG0000189	EIE27551.1 V-type ATPase [Coccomyxa subellipsoidea C-169], EIE27550.1 hypothetical protein COCSUDRAFT_11455 [Coccomyxa subellipsoidea C-169]	QAXK01000217.1_14674-15859
OG0000192	EIE22685.1 Pkinase-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE25325.1 cyclin-dependent kinase 1 [Coccomyxa subellipsoidea C-169], EIE19555.1 cyclin dependent kinase [Coccomyxa subellipsoidea C-169], EIE27517.1 cell division control protein 2-like protein B [Coccomyxa subellipsoidea C-169]	QAXK01001504.1_2221-4972
OG0000199	EIE18486.1 Clavaminate synthase-like protein [Coccomyxa subellipsoidea C-169]	QAXK01013035.1_1945-4404
OG0000199	EIE24814.1 Clavaminate synthase-like protein_ partial [Coccomyxa subellipsoidea C-169]	QAXK01010173.1_3319-5256
OG0000201	EIE24694.1 RNA helicase_ activating signal cointegrator 1 [Coccomyxa subellipsoidea C-169], EIE24813.1 Sec63-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01000736.1_9467-8726
OG0000207	EIE25237.1 hypothetical protein COCSUDRAFT_52805 [Coccomyxa subellipsoidea C-169]	QAXK01004998.1_5108-4093
OG0000207	EIE25616.1 hypothetical protein COCSUDRAFT_83623 [Coccomyxa subellipsoidea C-169]	QAXK01001786.1_12609-11430
OG0000215	EIE22411.1 protein prenylyltransferase [Coccomyxa subellipsoidea C-169]	QAXK01013809.1_3869-6090
OG0000217	EIE26274.1 hypothetical protein COCSUDRAFT_26933 [Coccomyxa subellipsoidea C-169], EIE25506.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169], EIE20823.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169], EIE24499.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169], EIE27719.1 hypothetical protein COCSUDRAFT_55705 [Coccomyxa subellipsoidea C-169]	QAXK01003927.1_26651-24094
OG0000222	EIE20709.1 naphthoate synthase [Coccomyxa subellipsoidea C-169], EIE22791.1 putative GDP-L-fucose synthetase [Coccomyxa subellipsoidea C-169], EIE20706.1 mannose-6-phosphate isomerase [Coccomyxa subellipsoidea C-169]	QAXK01005046.1_1470-3041
OG0000225	EIE25165.1 isomerising glucosamine-fructose-6-phosphate aminotransferase [Coccomyxa subellipsoidea C-169], EIE20193.1 hypothetical protein COCSUDRAFT_67525 [Coccomyxa subellipsoidea C-169], EIE20801.1 hypothetical protein COCSUDRAFT_18283 [Coccomyxa subellipsoidea C-169]	QAXK01000132.1_14211-8944
OG0000226	EIE24688.1 carboxyl-terminal phosphatase-like 4 [Coccomyxa subellipsoidea C-169], EIE20582.1 hypothetical protein COCSUDRAFT_57726 [Coccomyxa subellipsoidea C-169]	QAXK01001147.1_264-2985
OG0000234	EIE20278.1 eukaryotic initiation factor 4A-11_ partial [Coccomyxa subellipsoidea C-169], EIE20276.1 eukaryotic initiation factor 4A-like protein [Coccomyxa subellipsoidea C-169]	QAXK01001703.1_3693-800
OG0000234	EIE24476.1 RNA helicase 2 [Coccomyxa subellipsoidea C-169]	QAXK01001715.1_46567-44103
OG0000243	EIE25304.1 hypothetical protein COCSUDRAFT_61527 [Coccomyxa subellipsoidea C-169]	QAXK01017572.1_4284-1659
OG0000255	EIE25229.1 LexA/Signal peptidase [Coccomyxa subellipsoidea C-169], EIE20285.1 LexA/Signal peptidase [Coccomyxa subellipsoidea C-169]	QAXK01003493.1_20875-19869
OG0000256	EIE24079.1 hypothetical protein COCSUDRAFT_41388 [Coccomyxa subellipsoidea C-169]	QAXK01000928.1_4721-1230
OG0000260	EIE19496.1 hypothetical protein COCSUDRAFT_31305 [Coccomyxa subellipsoidea C-169], EIE23306.1 homogentisate solanesyltransferase [Coccomyxa subellipsoidea C-169], EIE23585.1 hypothetical protein COCSUDRAFT_65999 [Coccomyxa subellipsoidea C-169]	QAXK01007811.1_6343-7669
OG0000262	EIE27503.1 formate-tetrahydrofolate ligase [Coccomyxa subellipsoidea C-169], EIE27386.1 COG4-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01001305.1_3092-9737
OG0000268	EIE25973.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169], EIE19353.1 protein serine/threonine phosphatase 2C [Coccomyxa subellipsoidea C-169]	QAXK01007959.1_4344-7510
OG0000269	EIE27021.1 hypothetical protein COCSUDRAFT_83580 [Coccomyxa subellipsoidea C-169], EIE27194.1 hypothetical protein COCSUDRAFT_55217 [Coccomyxa subellipsoidea C-169], EIE25217.1 scamp-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE25477.1 hypothetical protein COCSUDRAFT_61690 [Coccomyxa subellipsoidea C-169]	QAXK01000159.1_2526-4128
OG0000276	EIE22684.1 UDP-3-O-acyl N-acetylglucosamine deacetylase_ partial [Coccomyxa subellipsoidea C-169], EIE20067.1 ankyrin [Coccomyxa subellipsoidea C-169]	QAXK01013106.1_2869-3857
OG0000290	EIE20598.1 hypothetical protein COCSUDRAFT_44006 [Coccomyxa subellipsoidea C-169], EIE24465.1 hypothetical protein COCSUDRAFT_40855 [Coccomyxa subellipsoidea C-169], EIE22887.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	QAXK01007708.1_8045-6769
OG0000293	EIE18884.1 Pkinase-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]	QAXK01000427.1_18710-23853
OG0000297	EIE19438.1 MFS general substrate transporter [Coccomyxa subellipsoidea C-169], EIE23901.1 putative inorganic phosphate transporter [Coccomyxa subellipsoidea C-169]	QAXK01003382.1_7730-10683
OG0000298	EIE19363.1 iron hydrogenase [Coccomyxa subellipsoidea C-169], EIE18925.1 hypothetical protein COCSUDRAFT_59848 [Coccomyxa subellipsoidea C-169], EIE19327.1 rhomboid-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01006215.1_8306-11634
OG0000299	EIE18115.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE23589.1 Mov34-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01000488.1_8485-5165
OG0000300	EIE26764.1 inorganic pyrophosphatase_ partial [Coccomyxa subellipsoidea C-169], EIE23360.1 inorganic pyrophosphatase precursor [Coccomyxa subellipsoidea C-169], EIE24963.1 hypothetical protein COCSUDRAFT_83655 [Coccomyxa subellipsoidea C-169]	QAXK01000495.1_4618-6885
OG0000301	EIE25453.1 hypothetical protein COCSUDRAFT_65252 [Coccomyxa subellipsoidea C-169]	QAXK01005324.1_4296-8149
OG0000302	EIE21729.1 nuclear AAA ATPase [Coccomyxa subellipsoidea C-169], EIE23964.1 AAA ATPase [Coccomyxa subellipsoidea C-169]	QAXK01009146.1_0-3841
OG0000304	EIE21671.1 hypothetical protein COCSUDRAFT_37405 [Coccomyxa subellipsoidea C-169], EIE21722.1 hypothetical protein COCSUDRAFT_83511_ partial [Coccomyxa subellipsoidea C-169]	QAXK01014492.1_877-182
OG0000315	EIE24570.1 R1 protein [Coccomyxa subellipsoidea C-169], EIE23462.1 eukaryotic initiation factor [Coccomyxa subellipsoidea C-169]	QAXK01002353.1_19232-23410
OG0000316	EIE26896.1 decarboxylating 6-phosphogluconate dehydrogenase [Coccomyxa subellipsoidea C-169]	QAXK01003905.1_19782-15375
OG0000317	EIE19621.1 26S proteasome subunit P45 [Coccomyxa subellipsoidea C-169], EIE20773.1 26S proteasome subunit P45 [Coccomyxa subellipsoidea C-169]	QAXK01008437.1_3645-238
OG0000320	EIE25990.1 Arginase/deacetylase [Coccomyxa subellipsoidea C-169], EIE24478.1 Flavokinase-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01008510.1_15994-20405
OG0000321	EIE25151.1 sigma1 subunit of AP-1 complex of clathrin-coated vesicles [Coccomyxa subellipsoidea C-169], EIE22264.1 putative clathrin coat assembly protein [Coccomyxa subellipsoidea C-169]	QAXK01000378.1_25585-26545
OG0000340	EIE26713.1 heat shock protein [Coccomyxa subellipsoidea C-169], EIE20070.1 ferrochelatase-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01005276.1_5688-3058
OG0000352	EIE19701.1 thioredoxin-like protein [Coccomyxa subellipsoidea C-169], EIE20824.1 choline monooxygenase_ partial [Coccomyxa subellipsoidea C-169], EIE19726.1 choline monooxygenase [Coccomyxa subellipsoidea C-169]	QAXK01000899.1_7462-5804
OG0000353	EIE18817.1 Isy1-like splicing factor [Coccomyxa subellipsoidea C-169], EIE24861.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	QAXK01000970.1_11060-12297
OG0000355	EIE24463.1 protein kinase [Coccomyxa subellipsoidea C-169], EIE21193.1 hypothetical protein COCSUDRAFT_57105 [Coccomyxa subellipsoidea C-169]	QAXK01000575.1_38061-33279
OG0000356	EIE25544.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE19868.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01001458.1_25468-28021
OG0000362	EIE21693.1 serine/threonine protein kinase 19 [Coccomyxa subellipsoidea C-169], EIE24919.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18303.1 serine/threonine protein kinase 15_ partial [Coccomyxa subellipsoidea C-169]	QAXK01002504.1_1584-235
OG0000372	EIE26398.1 hypothetical protein COCSUDRAFT_52321 [Coccomyxa subellipsoidea C-169], EIE26738.1 sugar nucleotide epimerase [Coccomyxa subellipsoidea C-169]	QAXK01000007.1_3483-1851
OG0000374	EIE21055.1 shikimate kinase_ partial [Coccomyxa subellipsoidea C-169], EIE20400.1 SKI-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE20556.1 NADH_ubiquinone oxidoreductase 76 kDa subunit_ partial [Coccomyxa subellipsoidea C-169]	QAXK01001576.1_25385-29462
OG0000375	EIE24853.1 4-aminobutyrate aminotransferase [Coccomyxa subellipsoidea C-169], EIE24713.1 CBF-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE24712.1 hypothetical protein COCSUDRAFT_14147 [Coccomyxa subellipsoidea C-169]	QAXK01008707.1_239-2925
OG0000383	EIE24663.1 uncoupling protein [Coccomyxa subellipsoidea C-169]	QAXK01011194.1_5918-9002
OG0000390	EIE24820.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]	QAXK01005078.1_1174-132
OG0000390	EIE24812.1 radical SAM enzyme [Coccomyxa subellipsoidea C-169]	QAXK01003294.1_6337-3495
OG0000394	EIE24132.1 WD40 repeat-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE24311.1 apyrase [Coccomyxa subellipsoidea C-169]	QAXK01008702.1_3083-212
OG0000408	EIE21673.1 arginyl-tRNA synthetase [Coccomyxa subellipsoidea C-169], EIE22001.1 SE-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01003094.1_1529-6518
OG0000412	EIE24741.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169], EIE19293.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	QAXK01007672.1_3589-1228
OG0000417	EIE27448.1 hypothetical protein COCSUDRAFT_64236 [Coccomyxa subellipsoidea C-169]	QAXK01003046.1_10052-9637
OG0000418	EIE22910.1 ATP-dependent metallopeptidase Hfl [Coccomyxa subellipsoidea C-169], EIE25196.1 ATP-dependent metallopeptidase Hfl [Coccomyxa subellipsoidea C-169]	QAXK01005097.1_6985-2749
OG0000431	EIE19127.1 urea carboxylase [Coccomyxa subellipsoidea C-169], EIE22917.1 hypothetical protein COCSUDRAFT_64037 [Coccomyxa subellipsoidea C-169]	QAXK01001330.1_10692-5073
OG0000443	EIE23707.1 chorismate mutase [Coccomyxa subellipsoidea C-169]	QAXK01002390.1_2379-454
OG0000446	EIE20903.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169], EIE25760.1 hypothetical protein COCSUDRAFT_60776 [Coccomyxa subellipsoidea C-169]	QAXK01006391.1_1754-3793
OG0000449	EIE20407.1 DNA repair protein rad10_ partial [Coccomyxa subellipsoidea C-169], EIE27163.1 hypothetical protein COCSUDRAFT_55186 [Coccomyxa subellipsoidea C-169]	QAXK01017753.1_1728-436
OG0000452	EIE26516.1 Snf7-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE26515.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]	QAXK01003135.1_2479-16
OG0000455	EIE18383.1 magnesium-protoporphyrin IX methyltransferase [Coccomyxa subellipsoidea C-169], EIE25690.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01015054.1_2845-4309
OG0000468	EIE21175.1 GTP-binding protein YPTC1 [Coccomyxa subellipsoidea C-169], EIE18423.1 Rab8/RabE-family small GTPase [Coccomyxa subellipsoidea C-169]	QAXK01006097.1_2371-905
OG0000470	EIE24990.1 tRNA pseudouridine synthase D [Coccomyxa subellipsoidea C-169], EIE19624.1 leucyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]	QAXK01000050.1_24428-29981
OG0000471	EIE18841.1 anti-silence-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE19612.1 TAFII28-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01001670.1_7180-6388
OG0000474	EIE22588.1 DnaJ-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE22556.1 hypothetical protein COCSUDRAFT_63706 [Coccomyxa subellipsoidea C-169], EIE23753.1 hypothetical protein COCSUDRAFT_63277 [Coccomyxa subellipsoidea C-169]	QAXK01000042.1_28045-28765
OG0000479	EIE22529.1 hypothetical protein COCSUDRAFT_42218 [Coccomyxa subellipsoidea C-169], EIE26940.1 hypothetical protein COCSUDRAFT_32309 [Coccomyxa subellipsoidea C-169]	QAXK01004028.1_58546-56431
OG0000499	EIE25296.1 DNA primase core_ partial [Coccomyxa subellipsoidea C-169]	QAXK01009964.1_53-2582
OG0000501	EIE23578.1 hypothetical protein COCSUDRAFT_47352 [Coccomyxa subellipsoidea C-169]	QAXK01015180.1_1811-4048
OG0000501	EIE23580.1 hypothetical protein COCSUDRAFT_15265 [Coccomyxa subellipsoidea C-169]	QAXK01019765.1_356-165
OG0000506	EIE20439.1 hypothetical protein COCSUDRAFT_57588 [Coccomyxa subellipsoidea C-169], EIE20449.1 hypothetical protein COCSUDRAFT_43891 [Coccomyxa subellipsoidea C-169]	QAXK01002250.1_1739-4040
OG0000512	EIE22104.1 plant glutamate cysteine ligase in complex with Mg2+ and L-glutamate [Coccomyxa subellipsoidea C-169], EIE18444.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01000565.1_7520-10250
OG0000517	EIE25088.1 hypothetical protein COCSUDRAFT_65089 [Coccomyxa subellipsoidea C-169], EIE20507.1 hypothetical protein COCSUDRAFT_67394 [Coccomyxa subellipsoidea C-169], EIE27226.1 hypothetical protein COCSUDRAFT_55247 [Coccomyxa subellipsoidea C-169], EIE27224.1 hypothetical protein COCSUDRAFT_26596 [Coccomyxa subellipsoidea C-169]	QAXK01001595.1_3107-7081
OG0000519	EIE27625.1 TPR-like protein [Coccomyxa subellipsoidea C-169], EIE27786.1 N-myristoyl transferase [Coccomyxa subellipsoidea C-169]	QAXK01004538.1_836-4145
OG0000520	EIE24953.1 hypothetical protein COCSUDRAFT_83645_ partial [Coccomyxa subellipsoidea C-169], EIE24146.1 hypothetical protein COCSUDRAFT_32988 [Coccomyxa subellipsoidea C-169]	QAXK01002274.1_7306-5678
OG0000521	EIE18252.1 hypothetical protein COCSUDRAFT_60448 [Coccomyxa subellipsoidea C-169], EIE20629.1 cysteine proteinase [Coccomyxa subellipsoidea C-169]	QAXK01000876.1_25410-28882
OG0000522	EIE26461.1 succinate dehydrogenase subunit b560 [Coccomyxa subellipsoidea C-169], EIE26272.1 DnaJ-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]	QAXK01010222.1_2855-4006
OG0000528	EIE24100.1 CRAL/TRIO domain-containing protein [Coccomyxa subellipsoidea C-169], EIE23731.1 CRAL/TRIO domain-containing protein [Coccomyxa subellipsoidea C-169], EIE24198.1 hypothetical protein COCSUDRAFT_62706 [Coccomyxa subellipsoidea C-169]	QAXK01011871.1_1755-3976
OG0000535	EIE21413.1 6-phosphogluconolactonase-like protein [Coccomyxa subellipsoidea C-169], EIE20980.1 kinesin-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01008326.1_3715-2230
OG0000542	EIE27427.1 SM/Sec1-family protein [Coccomyxa subellipsoidea C-169], EIE18155.1 mitochondrial carrier_ partial [Coccomyxa subellipsoidea C-169]	QAXK01007731.1_21245-25168
OG0000546	EIE24732.1 Qa-SNARE_ SYP4/Tlg2p/Syntaxin 16-type [Coccomyxa subellipsoidea C-169]	QAXK01003383.1_11610-10089
OG0000552	EIE23392.1 peptidase S10_ serine carboxypeptidase [Coccomyxa subellipsoidea C-169]	QAXK01001452.1_4877-8338
OG0000565	EIE20726.1 DHQS-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE20786.1 hypothetical protein COCSUDRAFT_33893 [Coccomyxa subellipsoidea C-169]	QAXK01012018.1_21-2846
OG0000572	EIE23727.1 DUF906-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE23372.1 H+-translocating pyrophosphatase [Coccomyxa subellipsoidea C-169], EIE23056.1 hypothetical protein COCSUDRAFT_63438 [Coccomyxa subellipsoidea C-169]	QAXK01002353.1_6519-15187
OG0000573	EIE19774.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	QAXK01003348.1_1486-6
OG0000577	EIE25195.1 Mov34-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE27375.1 plastidic ADP/ATP translocase_ partial [Coccomyxa subellipsoidea C-169]	QAXK01003132.1_5372-2862
OG0000585	EIE20137.1 DNA/RNA polymerase [Coccomyxa subellipsoidea C-169], EIE20107.1 hypothetical protein COCSUDRAFT_54397 [Coccomyxa subellipsoidea C-169]	QAXK01002652.1_31218-33264
OG0000586	EIE25504.1 NMT1-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE21086.1 LuxS/MPP-like metallohydrolase [Coccomyxa subellipsoidea C-169]	QAXK01001200.1_17606-19818
OG0000594	EIE27334.1 putative transaldolase [Coccomyxa subellipsoidea C-169], EIE25254.1 hypothetical protein COCSUDRAFT_27890 [Coccomyxa subellipsoidea C-169]	QAXK01013585.1_2213-468
OG0000595	EIE22109.1 ras-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE21319.1 ras-related protein Rab2BV [Coccomyxa subellipsoidea C-169]	QAXK01010664.1_1473-417
OG0000611	EIE19907.1 hypothetical protein COCSUDRAFT_19107 [Coccomyxa subellipsoidea C-169], EIE23586.1 hypothetical protein COCSUDRAFT_53398 [Coccomyxa subellipsoidea C-169]	QAXK01011586.1_4054-3461
OG0000616	EIE21296.1 hypothetical protein COCSUDRAFT_83520 [Coccomyxa subellipsoidea C-169], EIE23984.1 hypothetical protein COCSUDRAFT_62512 [Coccomyxa subellipsoidea C-169]	QAXK01001265.1_8774-9883
OG0000618	EIE20469.1 ribosomal protein S15a component of cytosolic 80S ribosome and 40S small subunit [Coccomyxa subellipsoidea C-169]	QAXK01000835.1_1-309
OG0000626	EIE25800.1 SDA1-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01003230.1_4778-8012
OG0000635	EIE20104.1 D-Ribulose-5-phosphate 3-epimerase [Coccomyxa subellipsoidea C-169]	QAXK01004870.1_4878-5513
OG0000637	EIE26327.1 hypothetical protein COCSUDRAFT_64439 [Coccomyxa subellipsoidea C-169], EIE19634.1 catalytic subunit of N-acetyltransferase [Coccomyxa subellipsoidea C-169]	QAXK01001575.1_13855-13334
OG0000638	EIE18545.1 ABC family transporter _Fe-S assembly/SufBCD system_ [Coccomyxa subellipsoidea C-169], EIE25629.1 hypothetical protein COCSUDRAFT_83636 [Coccomyxa subellipsoidea C-169]	QAXK01010124.1_10448-8669
OG0000649	EIE21458.1 TPT-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE21399.1 diaminopimelate decarboxylase [Coccomyxa subellipsoidea C-169]	QAXK01000254.1_6101-3555
OG0000653	EIE23023.1 aspartate semialdehyde dehydrogenase [Coccomyxa subellipsoidea C-169], EIE22955.1 hypothetical protein COCSUDRAFT_47454 [Coccomyxa subellipsoidea C-169]	QAXK01000123.1_7289-10291
OG0000654	EIE22826.1 Mur ligase [Coccomyxa subellipsoidea C-169], EIE27174.1 hypothetical protein COCSUDRAFT_55196 [Coccomyxa subellipsoidea C-169]	QAXK01000799.1_92299-89512
