Orthogroup	Coccomyxa_SubellipsoideaC169	Scenedesmus_NREL
OG0000020	EIE22371.1 general substrate transporter [Coccomyxa subellipsoidea C-169]	KAF6258882.1 hypothetical protein COO60DRAFT_1626305 [Scenedesmus sp. NREL 46B-D3], KAF6258884.1 hexose transporter-like protein [Scenedesmus sp. NREL 46B-D3], KAF6250807.1 sugar carrier protein A [Scenedesmus sp. NREL 46B-D3], KAF6258859.1 sugar carrier protein A [Scenedesmus sp. NREL 46B-D3], KAF6258883.1 glucose transporter_ partial [Scenedesmus sp. NREL 46B-D3], KAF6252072.1 general substrate transporter [Scenedesmus sp. NREL 46B-D3], KAF6258857.1 hypothetical protein COO60DRAFT_1295122 [Scenedesmus sp. NREL 46B-D3], KAF6256200.1 general substrate transporter_ partial [Scenedesmus sp. NREL 46B-D3], KAF6260004.1 monosaccharide transporter-like protein [Scenedesmus sp. NREL 46B-D3], KAF6263304.1 general substrate transporter [Scenedesmus sp. NREL 46B-D3], KAF6251354.1 hexose transporter [Scenedesmus sp. NREL 46B-D3]
OG0000020	EIE22313.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE20603.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE27221.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE19027.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE22323.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE26164.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE21809.1 hexose transporter [Coccomyxa subellipsoidea C-169], EIE25646.1 general substrate transporter [Coccomyxa subellipsoidea C-169]	KAF6261082.1 hypothetical protein COO60DRAFT_1637118 [Scenedesmus sp. NREL 46B-D3], KAF6256201.1 hypothetical protein COO60DRAFT_1640881 [Scenedesmus sp. NREL 46B-D3], KAF6258856.1 hypothetical protein COO60DRAFT_1626293 [Scenedesmus sp. NREL 46B-D3]
OG0000022	EIE24288.1 U box [Coccomyxa subellipsoidea C-169]	KAF6260294.1 hypothetical protein COO60DRAFT_1700405 [Scenedesmus sp. NREL 46B-D3]
OG0000022	EIE25368.1 hypothetical protein COCSUDRAFT_61587 [Coccomyxa subellipsoidea C-169]	KAF6252249.1 ankyrin repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]
OG0000022	EIE22085.1 hypothetical protein COCSUDRAFT_48053 [Coccomyxa subellipsoidea C-169]	KAF6256740.1 hypothetical protein COO60DRAFT_1527996 [Scenedesmus sp. NREL 46B-D3]
OG0000023	EIE23296.1 hypothetical protein COCSUDRAFT_15780_ partial [Coccomyxa subellipsoidea C-169], EIE22970.1 hypothetical protein COCSUDRAFT_15840_ partial [Coccomyxa subellipsoidea C-169]	KAF6249474.1 hypothetical protein COO60DRAFT_968441 [Scenedesmus sp. NREL 46B-D3], KAF6261206.1 hypothetical protein COO60DRAFT_801690 [Scenedesmus sp. NREL 46B-D3]
OG0000023	EIE19376.1 hypothetical protein COCSUDRAFT_19782 [Coccomyxa subellipsoidea C-169], EIE19354.1 hypothetical protein COCSUDRAFT_48920 [Coccomyxa subellipsoidea C-169]	KAF6253365.1 hypothetical protein COO60DRAFT_1273755 [Scenedesmus sp. NREL 46B-D3]
OG0000023	EIE18478.1 hypothetical protein COCSUDRAFT_9572_ partial [Coccomyxa subellipsoidea C-169]	KAF6262812.1 hypothetical protein COO60DRAFT_1493981 [Scenedesmus sp. NREL 46B-D3]
OG0000023	EIE18253.1 hypothetical protein COCSUDRAFT_60449 [Coccomyxa subellipsoidea C-169]	KAF6257256.1 hypothetical protein COO60DRAFT_25223 [Scenedesmus sp. NREL 46B-D3], KAF6253645.1 hypothetical protein COO60DRAFT_1703722 [Scenedesmus sp. NREL 46B-D3], KAF6262342.1 hypothetical protein COO60DRAFT_1268220 [Scenedesmus sp. NREL 46B-D3], KAF6263383.1 hypothetical protein COO60DRAFT_1267608 [Scenedesmus sp. NREL 46B-D3], KAF6258807.1 hypothetical protein COO60DRAFT_1083841 [Scenedesmus sp. NREL 46B-D3]
OG0000024	EIE18942.1 subtilisin-like protein [Coccomyxa subellipsoidea C-169], EIE18940.1 hypothetical protein COCSUDRAFT_68092 [Coccomyxa subellipsoidea C-169], EIE27460.1 hypothetical protein COCSUDRAFT_39124 [Coccomyxa subellipsoidea C-169]	KAF6250510.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252011.1 subtilase [Scenedesmus sp. NREL 46B-D3]
OG0000025	EIE26260.1 hypothetical protein COCSUDRAFT_64410 [Coccomyxa subellipsoidea C-169], EIE20369.1 CheY-like protein_ partial [Coccomyxa subellipsoidea C-169]	KAF6261295.1 CheY-like superfamily [Scenedesmus sp. NREL 46B-D3]
OG0000025	EIE20127.1 hypothetical protein COCSUDRAFT_57853 [Coccomyxa subellipsoidea C-169], EIE20396.1 hypothetical protein COCSUDRAFT_9894_ partial [Coccomyxa subellipsoidea C-169]	KAF6266106.1 hypothetical protein COO60DRAFT_1697463 [Scenedesmus sp. NREL 46B-D3]
OG0000025	EIE27570.1 CheY-like protein [Coccomyxa subellipsoidea C-169]	KAF6252940.1 hypothetical protein COO60DRAFT_481024 [Scenedesmus sp. NREL 46B-D3]
OG0000026	EIE25754.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169]	KAF6258814.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]
OG0000028	EIE21876.1 hypothetical protein COCSUDRAFT_56324 [Coccomyxa subellipsoidea C-169]	KAF6262142.1 hypothetical protein COO60DRAFT_675402 [Scenedesmus sp. NREL 46B-D3]
OG0000029	EIE24914.1 phosphoglycerate mutase-like protein [Coccomyxa subellipsoidea C-169]	KAF6253957.1 histidine phosphatase superfamily [Scenedesmus sp. NREL 46B-D3]
OG0000031	EIE20028.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]	KAF6257433.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]
OG0000031	EIE21906.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]	KAF6263115.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3], KAF6266200.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3], KAF6247248.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3], KAF6250399.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3], KAF6266201.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]
OG0000031	EIE22263.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE21560.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE23726.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE23180.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE20610.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE20244.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE25682.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE20661.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE21561.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19061.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19060.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19314.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]	KAF6260940.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]
OG0000035	EIE21150.1 hypothetical protein COCSUDRAFT_18014 [Coccomyxa subellipsoidea C-169]	KAF6253624.1 LsmAD domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000035	EIE23299.1 hypothetical protein COCSUDRAFT_36731 [Coccomyxa subellipsoidea C-169], EIE26318.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169], EIE19204.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169], EIE20572.1 very-long-chain 3-ketoacyl-CoA synthase_ partial [Coccomyxa subellipsoidea C-169], EIE20573.1 hypothetical protein COCSUDRAFT_18466_ partial [Coccomyxa subellipsoidea C-169], EIE26289.1 hypothetical protein COCSUDRAFT_12451_ partial [Coccomyxa subellipsoidea C-169], EIE26326.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169]	KAF6254848.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254756.1 hypothetical protein COO60DRAFT_1286152_ partial [Scenedesmus sp. NREL 46B-D3], KAF6264839.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6261610.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257671.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266311.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6251507.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000036	EIE26066.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18360.1 hypothetical protein COCSUDRAFT_49303 [Coccomyxa subellipsoidea C-169], EIE27057.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22387.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE26119.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	KAF6263822.1 hypothetical protein COO60DRAFT_345552 [Scenedesmus sp. NREL 46B-D3]
OG0000037	EIE23074.1 putative chlorophyll a/b-binding protein_ chloroplast precursor [Coccomyxa subellipsoidea C-169], EIE23838.1 hypothetical protein COCSUDRAFT_28488 [Coccomyxa subellipsoidea C-169]	KAF6262818.1 light harvesting complex II protein precursor [Scenedesmus sp. NREL 46B-D3]
OG0000037	EIE26534.1 chlorophyll a/b-binding protein P25 [Coccomyxa subellipsoidea C-169]	KAF6255009.1 light-harvesting chlorophyll a/b-binding protein LhcbM1 [Scenedesmus sp. NREL 46B-D3], KAF6260058.1 light-harvesting chlorophyll a/b-binding protein LhcbM5 [Scenedesmus sp. NREL 46B-D3], KAF6262727.1 light-harvesting chlorophyll a/b-binding protein LhcbM4 [Scenedesmus sp. NREL 46B-D3], KAF6237334.1 hypothetical protein COO60DRAFT_1302164 [Scenedesmus sp. NREL 46B-D3]
OG0000038	EIE20983.1 hypothetical protein COCSUDRAFT_43360 [Coccomyxa subellipsoidea C-169], EIE23576.1 hypothetical protein COCSUDRAFT_47351 [Coccomyxa subellipsoidea C-169], EIE27181.1 hypothetical protein COCSUDRAFT_45764 [Coccomyxa subellipsoidea C-169], EIE21077.1 hypothetical protein COCSUDRAFT_67068 [Coccomyxa subellipsoidea C-169], EIE23577.1 hypothetical protein COCSUDRAFT_41776 [Coccomyxa subellipsoidea C-169], EIE20154.1 hypothetical protein COCSUDRAFT_44111 [Coccomyxa subellipsoidea C-169], EIE22676.1 hypothetical protein COCSUDRAFT_66338 [Coccomyxa subellipsoidea C-169], EIE26902.1 hypothetical protein COCSUDRAFT_64713 [Coccomyxa subellipsoidea C-169]	KAF6256320.1 core-2/I-branching enzyme-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000039	EIE24680.1 Clavaminate synthase-like protein [Coccomyxa subellipsoidea C-169]	KAF6263368.1 hypothetical protein COO60DRAFT_1698811 [Scenedesmus sp. NREL 46B-D3]
OG0000042	EIE25102.1 phosphate transporter [Coccomyxa subellipsoidea C-169]	KAF6263080.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3], KAF6256603.1 sodium/phosphate symporter [Scenedesmus sp. NREL 46B-D3], KAF6259740.1 sodium/phosphate symporter [Scenedesmus sp. NREL 46B-D3], KAF6251745.1 phosphate transporter family-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262371.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3]
OG0000043	EIE23320.1 hypothetical protein COCSUDRAFT_53571 [Coccomyxa subellipsoidea C-169], EIE23322.1 hypothetical protein COCSUDRAFT_928_ partial [Coccomyxa subellipsoidea C-169], EIE27126.1 hypothetical protein COCSUDRAFT_21230 [Coccomyxa subellipsoidea C-169], EIE21337.1 hypothetical protein COCSUDRAFT_56560 [Coccomyxa subellipsoidea C-169], EIE19743.1 hypothetical protein COCSUDRAFT_31111 [Coccomyxa subellipsoidea C-169], EIE26263.1 hypothetical protein COCSUDRAFT_64412 [Coccomyxa subellipsoidea C-169]	KAF6262255.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264757.1 glycosyl hydrolases family 31-domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6253912.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262828.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254921.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6258268.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256155.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000044	EIE27217.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]	KAF6250838.1 hypothetical protein COO60DRAFT_1566477 [Scenedesmus sp. NREL 46B-D3], KAF6252628.1 hypothetical protein COO60DRAFT_1552102 [Scenedesmus sp. NREL 46B-D3]
OG0000044	EIE27609.1 hypothetical protein COCSUDRAFT_55605 [Coccomyxa subellipsoidea C-169]	KAF6258012.1 hypothetical protein COO60DRAFT_1164663 [Scenedesmus sp. NREL 46B-D3], KAF6261176.1 hypothetical protein COO60DRAFT_812643 [Scenedesmus sp. NREL 46B-D3]
