Orthogroup	Coccomyxa_SubellipsoideaC169	Chlorella_A99
OG0000012	EIE21870.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19169.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE23634.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19102.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19133.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19111.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE21861.1 histone H3 [Coccomyxa subellipsoidea C-169]	PCFQ01000023.1 g2231 [Chlorella sp. A99], PCFQ01000015.1 g3020 [Chlorella sp. A99], PCFQ01000015.1 g3003 [Chlorella sp. A99], PCFQ01000015.1 g3015 [Chlorella sp. A99], PCFQ01000015.1 g3027 [Chlorella sp. A99], PCFQ01000082.1 g616 [Chlorella sp. A99], PCFQ01000082.1 g609 [Chlorella sp. A99], PCFQ01000015.1 g2996 [Chlorella sp. A99]
OG0000013	EIE22391.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2688 [Chlorella sp. A99]
OG0000013	EIE20575.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE22449.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE19481.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE22450.1 Serine/threonine-protein kinase SRK2J [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2624 [Chlorella sp. A99]
OG0000014	EIE20388.1 gcip-interacting family protein-like protein [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2026 [Chlorella sp. A99]
OG0000014	EIE22797.1 cyclophilin_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g245 [Chlorella sp. A99]
OG0000014	EIE27323.1 hypothetical protein COCSUDRAFT_11218_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000046.1 g1865 [Chlorella sp. A99]
OG0000016	EIE19689.1 mitochondrial carrier_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000005.1 g825 [Chlorella sp. A99]
OG0000016	EIE20101.1 hypothetical protein COCSUDRAFT_44063 [Coccomyxa subellipsoidea C-169]	PCFQ01000001.1 g1003 [Chlorella sp. A99]
OG0000016	EIE20343.1 polyubiquitin precursor_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2689 [Chlorella sp. A99]
OG0000016	EIE25290.1 ubiquitin fusion protein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2796 [Chlorella sp. A99]
OG0000018	EIE25106.1 Homeodomain-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE24716.1 hypothetical protein COCSUDRAFT_46919 [Coccomyxa subellipsoidea C-169]	PCFQ01000008.1 g1163 [Chlorella sp. A99]
OG0000018	EIE22491.1 Homeodomain-like protein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000020.1 g921 [Chlorella sp. A99]
OG0000018	EIE25757.1 hypothetical protein COCSUDRAFT_12896_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000077.1 g1778 [Chlorella sp. A99]
OG0000020	EIE22313.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE20603.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE27221.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE19027.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE22323.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE26164.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE21809.1 hexose transporter [Coccomyxa subellipsoidea C-169], EIE25646.1 general substrate transporter [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1504 [Chlorella sp. A99], PCFQ01000001.1 g998 [Chlorella sp. A99], PCFQ01000037.1 g2425 [Chlorella sp. A99]
OG0000023	EIE23296.1 hypothetical protein COCSUDRAFT_15780_ partial [Coccomyxa subellipsoidea C-169], EIE22970.1 hypothetical protein COCSUDRAFT_15840_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2484 [Chlorella sp. A99]
OG0000024	EIE18942.1 subtilisin-like protein [Coccomyxa subellipsoidea C-169], EIE18940.1 hypothetical protein COCSUDRAFT_68092 [Coccomyxa subellipsoidea C-169], EIE27460.1 hypothetical protein COCSUDRAFT_39124 [Coccomyxa subellipsoidea C-169]	PCFQ01000082.1 g566 [Chlorella sp. A99], PCFQ01000058.1 g150 [Chlorella sp. A99], PCFQ01000010.1 g357 [Chlorella sp. A99], PCFQ01000010.1 g359 [Chlorella sp. A99], PCFQ01000007.1 g1217 [Chlorella sp. A99]
OG0000025	EIE26260.1 hypothetical protein COCSUDRAFT_64410 [Coccomyxa subellipsoidea C-169], EIE20369.1 CheY-like protein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2838 [Chlorella sp. A99]
OG0000026	EIE25754.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g54 [Chlorella sp. A99]
OG0000027	EIE26921.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1422 [Chlorella sp. A99]
OG0000027	EIE27191.1 hypothetical protein COCSUDRAFT_55214 [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1499 [Chlorella sp. A99], PCFQ01000037.1 g2531 [Chlorella sp. A99], PCFQ01000018.1 g407 [Chlorella sp. A99], PCFQ01000018.1 g408 [Chlorella sp. A99], PCFQ01000010.1 g344 [Chlorella sp. A99]
OG0000031	EIE22263.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE21560.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE23726.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE23180.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE20610.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g100 [Chlorella sp. A99]
OG0000035	EIE21150.1 hypothetical protein COCSUDRAFT_18014 [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2024 [Chlorella sp. A99]
OG0000036	EIE26066.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18360.1 hypothetical protein COCSUDRAFT_49303 [Coccomyxa subellipsoidea C-169], EIE27057.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22387.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE26119.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2010 [Chlorella sp. A99], PCFQ01000010.1 g311 [Chlorella sp. A99], PCFQ01000082.1 g538 [Chlorella sp. A99]
OG0000037	EIE23074.1 putative chlorophyll a/b-binding protein_ chloroplast precursor [Coccomyxa subellipsoidea C-169], EIE23838.1 hypothetical protein COCSUDRAFT_28488 [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2858 [Chlorella sp. A99]
OG0000037	EIE26437.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169], EIE26873.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169], EIE26815.1 major light-harvesting complex II protein m10 [Coccomyxa subellipsoidea C-169]	PCFQ01000006.1 g3252 [Chlorella sp. A99]
OG0000038	EIE22676.1 hypothetical protein COCSUDRAFT_66338 [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2699 [Chlorella sp. A99]
OG0000038	EIE26902.1 hypothetical protein COCSUDRAFT_64713 [Coccomyxa subellipsoidea C-169]	PCFQ01000009.1 g1721 [Chlorella sp. A99]
OG0000039	EIE24680.1 Clavaminate synthase-like protein [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2164 [Chlorella sp. A99], PCFQ01000002.1 g694 [Chlorella sp. A99]
OG0000042	EIE25118.1 phosphate transporter [Coccomyxa subellipsoidea C-169], EIE21753.1 PHO4-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE25112.1 PHO4-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE25102.1 phosphate transporter [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2664 [Chlorella sp. A99]
OG0000043	EIE20352.1 hypothetical protein COCSUDRAFT_83552 [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2394 [Chlorella sp. A99]
OG0000043	EIE23320.1 hypothetical protein COCSUDRAFT_53571 [Coccomyxa subellipsoidea C-169], EIE23322.1 hypothetical protein COCSUDRAFT_928_ partial [Coccomyxa subellipsoidea C-169], EIE27126.1 hypothetical protein COCSUDRAFT_21230 [Coccomyxa subellipsoidea C-169], EIE21337.1 hypothetical protein COCSUDRAFT_56560 [Coccomyxa subellipsoidea C-169], EIE19743.1 hypothetical protein COCSUDRAFT_31111 [Coccomyxa subellipsoidea C-169], EIE26263.1 hypothetical protein COCSUDRAFT_64412 [Coccomyxa subellipsoidea C-169]	PCFQ01000020.1 g910 [Chlorella sp. A99]
OG0000044	EIE27609.1 hypothetical protein COCSUDRAFT_55605 [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2748 [Chlorella sp. A99], PCFQ01000023.1 g2223 [Chlorella sp. A99], PCFQ01000015.1 g2988 [Chlorella sp. A99], PCFQ01000008.1 g1142 [Chlorella sp. A99]
OG0000045	EIE25913.1 ATP-binding cassette transporter [Coccomyxa subellipsoidea C-169], EIE26806.1 ATP-binding cassette transporter [Coccomyxa subellipsoidea C-169], EIE26053.1 ATP-binding cassette transporter [Coccomyxa subellipsoidea C-169], EIE18006.1 putative pleiotropic drug resistance protein 3 [Coccomyxa subellipsoidea C-169], EIE18194.1 putative pleiotropic drug resistance protein 3 [Coccomyxa subellipsoidea C-169], EIE23916.1 ATP-binding cassette transporter [Coccomyxa subellipsoidea C-169]	PCFQ01000003.1 g1074 [Chlorella sp. A99]
OG0000049	EIE23933.1 hypothetical protein COCSUDRAFT_62462 [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2665 [Chlorella sp. A99]
OG0000049	EIE24013.1 hypothetical protein COCSUDRAFT_65695 [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2855 [Chlorella sp. A99]
OG0000050	EIE19187.1 UPF0187-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000005.1 g823 [Chlorella sp. A99]
OG0000051	EIE25012.1 MATE efflux family protein [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1472 [Chlorella sp. A99]
OG0000052	EIE22213.1 hypothetical protein COCSUDRAFT_16438 [Coccomyxa subellipsoidea C-169]	PCFQ01000080.1 g1947 [Chlorella sp. A99]
OG0000054	EIE26070.1 exostosin-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE25364.1 exostosin-like glycosyltransferase [Coccomyxa subellipsoidea C-169]	PCFQ01000015.1 g3011 [Chlorella sp. A99]
OG0000055	EIE21328.1 TPR-like protein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2784 [Chlorella sp. A99]
OG0000057	EIE18326.1 ketoacyl-synt-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000014.1 g1902 [Chlorella sp. A99], PCFQ01000014.1 g1904 [Chlorella sp. A99], PCFQ01000014.1 g1893 [Chlorella sp. A99]
OG0000059	EIE19004.1 intramembrane metalloprotease [Coccomyxa subellipsoidea C-169], EIE19800.1 cobW-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE25747.1 cobW-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2590 [Chlorella sp. A99]
OG0000062	EIE22227.1 EF-hand [Coccomyxa subellipsoidea C-169]	PCFQ01000020.1 g871 [Chlorella sp. A99]
OG0000062	EIE22363.1 hypothetical protein COCSUDRAFT_47848 [Coccomyxa subellipsoidea C-169], EIE22210.1 hypothetical protein COCSUDRAFT_55906 [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2914 [Chlorella sp. A99]
OG0000064	EIE27388.1 initiation factor 2_ partial [Coccomyxa subellipsoidea C-169], EIE18948.1 initiation factor 2 [Coccomyxa subellipsoidea C-169]	PCFQ01000002.1 g733 [Chlorella sp. A99]
OG0000064	EIE20444.1 Cullin-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000018.1 g479 [Chlorella sp. A99]
OG0000064	EIE18972.1 Cullin-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000002.1 g732 [Chlorella sp. A99]
OG0000069	EIE18559.1 HSP90-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000005.1 g800 [Chlorella sp. A99]
OG0000069	EIE19325.1 heat shock protein Hsp90 [Coccomyxa subellipsoidea C-169]	PCFQ01000082.1 g619 [Chlorella sp. A99]
OG0000069	EIE27138.1 heat shock protein Hsp90 [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g50 [Chlorella sp. A99]
OG0000070	EIE19387.1 hypothetical protein COCSUDRAFT_58675 [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g142 [Chlorella sp. A99], PCFQ01000081.1 g1628 [Chlorella sp. A99]
OG0000070	EIE20416.1 voltage-gated potassium channel [Coccomyxa subellipsoidea C-169]	PCFQ01000007.1 g1186 [Chlorella sp. A99], PCFQ01000002.1 g655 [Chlorella sp. A99]
OG0000071	EIE19137.1 Pkinase-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1323 [Chlorella sp. A99]
OG0000073	EIE22545.1 hypothetical protein COCSUDRAFT_63696 [Coccomyxa subellipsoidea C-169]	PCFQ01000073.1 g1975 [Chlorella sp. A99], PCFQ01000005.1 g782 [Chlorella sp. A99]
OG0000074	EIE19122.1 hypothetical protein COCSUDRAFT_38365 [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1351 [Chlorella sp. A99]
OG0000075	EIE24329.1 hypothetical protein COCSUDRAFT_53293 [Coccomyxa subellipsoidea C-169]	PCFQ01000081.1 g1616 [Chlorella sp. A99]
OG0000078	EIE27764.1 phosphofructokinase family protein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000081.1 g1620 [Chlorella sp. A99]
OG0000078	EIE26511.1 phosphofructokinase family protein [Coccomyxa subellipsoidea C-169]	PCFQ01000001.1 g954 [Chlorella sp. A99]
OG0000079	EIE19893.1 heat shock protein 70 [Coccomyxa subellipsoidea C-169], EIE18906.1 heat shock protein 70 [Coccomyxa subellipsoidea C-169]	PCFQ01000002.1 g739 [Chlorella sp. A99], PCFQ01000006.1 g3202 [Chlorella sp. A99]
OG0000079	EIE27137.1 binding protein 1 [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g51 [Chlorella sp. A99]
OG0000083	EIE24754.1 aminopeptidase N_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000031.1 g3095 [Chlorella sp. A99]
OG0000083	EIE27787.1 hypothetical protein COCSUDRAFT_64386 [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2844 [Chlorella sp. A99]
OG0000084	EIE25691.1 cysteine synthase [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g283 [Chlorella sp. A99]
OG0000084	EIE25216.1 cysteine synthase A [Coccomyxa subellipsoidea C-169]	PCFQ01000008.1 g1137 [Chlorella sp. A99]
OG0000087	EIE26463.1 MFS general substrate transporter [Coccomyxa subellipsoidea C-169], EIE25599.1 MFS general substrate transporter [Coccomyxa subellipsoidea C-169]	PCFQ01000082.1 g584 [Chlorella sp. A99]
OG0000088	EIE21536.1 Phosphoenolpyruvate/pyruvate domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2187 [Chlorella sp. A99]
OG0000088	EIE23527.1 pyruvate kinase [Coccomyxa subellipsoidea C-169]	PCFQ01000015.1 g3029 [Chlorella sp. A99]
OG0000089	EIE20580.1 hypothetical protein COCSUDRAFT_48569 [Coccomyxa subellipsoidea C-169], EIE27157.1 hypothetical protein COCSUDRAFT_64095 [Coccomyxa subellipsoidea C-169]	PCFQ01000014.1 g1897 [Chlorella sp. A99], PCFQ01000001.1 g972 [Chlorella sp. A99]
OG0000090	EIE26347.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]	PCFQ01000014.1 g1879 [Chlorella sp. A99]
OG0000091	EIE24477.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169]	PCFQ01000013.1 g3307 [Chlorella sp. A99]
OG0000091	EIE19973.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169]	PCFQ01000006.1 g3243 [Chlorella sp. A99]
OG0000092	EIE20505.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169], EIE20504.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]	PCFQ01000082.1 g621 [Chlorella sp. A99]
OG0000092	EIE25766.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g159 [Chlorella sp. A99], PCFQ01000001.1 g987 [Chlorella sp. A99]
OG0000093	EIE26079.1 hypothetical protein COCSUDRAFT_61074 [Coccomyxa subellipsoidea C-169], EIE26077.1 hypothetical protein COCSUDRAFT_64969 [Coccomyxa subellipsoidea C-169]	PCFQ01000046.1 g1856 [Chlorella sp. A99], PCFQ01000046.1 g1870 [Chlorella sp. A99], PCFQ01000046.1 g1867 [Chlorella sp. A99]
OG0000095	EIE20398.1 DUF1253-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2440 [Chlorella sp. A99]
OG0000095	EIE19833.1 FAD/NAD_P_-binding domain-containing protein [Coccomyxa subellipsoidea C-169], EIE23231.1 amine oxidase [Coccomyxa subellipsoidea C-169]	PCFQ01000013.1 g3328 [Chlorella sp. A99]
OG0000096	EIE24526.1 half-size ABC transporter [Coccomyxa subellipsoidea C-169]	PCFQ01000046.1 g1869 [Chlorella sp. A99]
OG0000096	EIE21885.1 hypothetical protein COCSUDRAFT_56332 [Coccomyxa subellipsoidea C-169]	PCFQ01000020.1 g942 [Chlorella sp. A99]
OG0000097	EIE23021.1 hypothetical protein COCSUDRAFT_6458_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2167 [Chlorella sp. A99]
OG0000097	EIE23134.1 hypothetical protein COCSUDRAFT_42072 [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2444 [Chlorella sp. A99]
OG0000098	EIE25121.1 malate dehydrogenase [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2754 [Chlorella sp. A99]
OG0000098	EIE20588.1 mitochondrial malate dehydrogenase [Coccomyxa subellipsoidea C-169]	PCFQ01000006.1 g3182 [Chlorella sp. A99]
OG0000100	EIE25271.1 hypothetical protein COCSUDRAFT_13722_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000005.1 g864 [Chlorella sp. A99]
OG0000100	EIE19865.1 chaperonin 60A [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2746 [Chlorella sp. A99]
OG0000100	EIE22901.1 chaperonin 60B2 [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2762 [Chlorella sp. A99]
OG0000101	EIE24424.1 hypothetical protein COCSUDRAFT_28166 [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1253 [Chlorella sp. A99]
OG0000101	EIE27350.1 ATP-dependent Clp protease ATPase subunit [Coccomyxa subellipsoidea C-169]	PCFQ01000081.1 g1580 [Chlorella sp. A99]
OG0000102	EIE25370.1 ferredoxin-dependent glutamate synthase [Coccomyxa subellipsoidea C-169]	PCFQ01000008.1 g1125 [Chlorella sp. A99]
OG0000102	EIE24001.1 glutamate synthase_ NADH-dependent [Coccomyxa subellipsoidea C-169]	PCFQ01000018.1 g437 [Chlorella sp. A99]
OG0000105	EIE26288.1 gamma heavy chain subunit of outer-arm dynein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000006.1 g3236 [Chlorella sp. A99]
OG0000105	EIE25538.1 hypothetical protein COCSUDRAFT_40751 [Coccomyxa subellipsoidea C-169]	PCFQ01000003.1 g1032 [Chlorella sp. A99]
OG0000106	EIE24632.1 aldose 1-epimerase [Coccomyxa subellipsoidea C-169], EIE18881.1 aldose 1-epimerase [Coccomyxa subellipsoidea C-169]	PCFQ01000013.1 g3273 [Chlorella sp. A99]
OG0000106	EIE26900.1 farnesyl-diphosphate farnesyltransferase [Coccomyxa subellipsoidea C-169]	PCFQ01000013.1 g3272 [Chlorella sp. A99]
OG0000107	EIE21886.1 hypothetical protein COCSUDRAFT_42915 [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1375 [Chlorella sp. A99]
OG0000111	EIE20987.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g48 [Chlorella sp. A99]
OG0000113	EIE23956.1 amino acid transporter [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1435 [Chlorella sp. A99], PCFQ01000058.1 g109 [Chlorella sp. A99], PCFQ01000058.1 g157 [Chlorella sp. A99], PCFQ01000004.1 g2647 [Chlorella sp. A99], PCFQ01000053.1 g2550 [Chlorella sp. A99], PCFQ01000011.1 g2813 [Chlorella sp. A99], PCFQ01000009.1 g1728 [Chlorella sp. A99]
OG0000114	EIE21088.1 Metallo-hydrolase/oxidoreductase_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g1983 [Chlorella sp. A99]
OG0000115	EIE23251.1 hypothetical protein COCSUDRAFT_66237 [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2489 [Chlorella sp. A99]
OG0000115	EIE27745.1 class I RPD3 type histone deacetylase protein [Coccomyxa subellipsoidea C-169]	PCFQ01000007.1 g1202 [Chlorella sp. A99]
OG0000115	EIE22949.1 histone deacetylase 3 [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2481 [Chlorella sp. A99]
OG0000116	EIE20433.1 chloroplast ferredoxin [Coccomyxa subellipsoidea C-169]	PCFQ01000002.1 g709 [Chlorella sp. A99]
OG0000116	EIE19276.1 ferredoxin [Coccomyxa subellipsoidea C-169]	PCFQ01000007.1 g1187 [Chlorella sp. A99]
OG0000117	EIE20377.1 concanavalin A-like lectin/glucanase [Coccomyxa subellipsoidea C-169]	PCFQ01000013.1 g3314 [Chlorella sp. A99]
OG0000118	EIE20256.1 histone H3 K4-specific methyltransferase SET7/9 N-terminal domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000001.1 g1007 [Chlorella sp. A99]
OG0000119	EIE24006.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	PCFQ01000018.1 g443 [Chlorella sp. A99]
