Orthogroup	Chlorella_A99	Chlorella_Vulgaris2111P
OG0000007	PCFQ01000018.1 g423 [Chlorella sp. A99], PCFQ01000015.1 g3043 [Chlorella sp. A99], PCFQ01000015.1 g3021 [Chlorella sp. A99], PCFQ01000015.1 g3000 [Chlorella sp. A99], PCFQ01000015.1 g3005 [Chlorella sp. A99], PCFQ01000015.1 g3025 [Chlorella sp. A99]	KAI3424352.1 hypothetical protein D9Q98_009905 [Chlorella vulgaris], KAI3424382.1 hypothetical protein D9Q98_009935 [Chlorella vulgaris], KAI3424433.1 hypothetical protein D9Q98_009985 [Chlorella vulgaris], KAI3424411.1 hypothetical protein D9Q98_009963 [Chlorella vulgaris], KAI3424401.1 hypothetical protein D9Q98_009954 [Chlorella vulgaris], KAI3424376.1 hypothetical protein D9Q98_009929 [Chlorella vulgaris], KAI3428572.1 hypothetical protein D9Q98_007394 [Chlorella vulgaris], KAI3428591.1 hypothetical protein D9Q98_007414 [Chlorella vulgaris]
OG0000008	PCFQ01000015.1 g3004 [Chlorella sp. A99]	KAI3428573.1 hypothetical protein D9Q98_007395 [Chlorella vulgaris], KAI3424399.1 hypothetical protein D9Q98_009952 [Chlorella vulgaris], KAI3424386.1 hypothetical protein D9Q98_009939 [Chlorella vulgaris], KAI3433952.1 hypothetical protein D9Q98_003754 [Chlorella vulgaris]
OG0000008	PCFQ01000015.1 g3013 [Chlorella sp. A99]	KAI3424372.1 hypothetical protein D9Q98_009925 [Chlorella vulgaris]
OG0000008	PCFQ01000015.1 g3026 [Chlorella sp. A99]	KAI3424396.1 hypothetical protein D9Q98_009949 [Chlorella vulgaris]
OG0000008	PCFQ01000015.1 g3022 [Chlorella sp. A99]	KAI3427072.1 hypothetical protein D9Q98_007012 [Chlorella vulgaris]
OG0000009	PCFQ01000006.1 g3166 [Chlorella sp. A99]	KAI3424242.1 hypothetical protein D9Q98_009598 [Chlorella vulgaris]
OG0000009	PCFQ01000082.1 g599 [Chlorella sp. A99]	KAI3438445.1 hypothetical protein D9Q98_000875 [Chlorella vulgaris]
OG0000009	PCFQ01000005.1 g811 [Chlorella sp. A99], PCFQ01000005.1 g814 [Chlorella sp. A99]	KAI3433743.1 hypothetical protein D9Q98_003550 [Chlorella vulgaris]
OG0000011	PCFQ01000079.1 g1466 [Chlorella sp. A99]	KAI3436536.1 hypothetical protein D9Q98_005953 [Chlorella vulgaris], KAI3436537.1 hypothetical protein D9Q98_005954 [Chlorella vulgaris]
OG0000012	PCFQ01000023.1 g2231 [Chlorella sp. A99], PCFQ01000015.1 g3020 [Chlorella sp. A99], PCFQ01000015.1 g3003 [Chlorella sp. A99], PCFQ01000015.1 g3015 [Chlorella sp. A99], PCFQ01000015.1 g3027 [Chlorella sp. A99], PCFQ01000082.1 g616 [Chlorella sp. A99], PCFQ01000082.1 g609 [Chlorella sp. A99], PCFQ01000015.1 g2996 [Chlorella sp. A99]	KAI3428574.1 hypothetical protein D9Q98_007396 [Chlorella vulgaris]
OG0000013	PCFQ01000004.1 g2688 [Chlorella sp. A99]	KAI3438615.1 hypothetical protein D9Q98_001038 [Chlorella vulgaris]
OG0000013	PCFQ01000004.1 g2624 [Chlorella sp. A99]	KAI3438890.1 hypothetical protein D9Q98_001305 [Chlorella vulgaris]
OG0000014	PCFQ01000078.1 g2026 [Chlorella sp. A99]	KAI3435791.1 hypothetical protein D9Q98_001849 [Chlorella vulgaris]
OG0000014	PCFQ01000058.1 g245 [Chlorella sp. A99]	KAI3424803.1 hypothetical protein D9Q98_008189 [Chlorella vulgaris]
OG0000014	PCFQ01000046.1 g1865 [Chlorella sp. A99]	KAI3438190.1 hypothetical protein D9Q98_000627 [Chlorella vulgaris]
OG0000016	PCFQ01000005.1 g825 [Chlorella sp. A99]	KAI3427078.1 hypothetical protein D9Q98_007017 [Chlorella vulgaris], KAI3427077.1 hypothetical protein D9Q98_007017 [Chlorella vulgaris]
OG0000016	PCFQ01000001.1 g1003 [Chlorella sp. A99]	KAI3425284.1 hypothetical protein D9Q98_009051 [Chlorella vulgaris]
OG0000016	PCFQ01000011.1 g2796 [Chlorella sp. A99]	KAI3428307.1 hypothetical protein D9Q98_006686 [Chlorella vulgaris]
OG0000018	PCFQ01000008.1 g1163 [Chlorella sp. A99]	KAI3428238.1 hypothetical protein D9Q98_006618 [Chlorella vulgaris]
OG0000018	PCFQ01000020.1 g921 [Chlorella sp. A99]	KAI3426185.1 hypothetical protein D9Q98_008562 [Chlorella vulgaris]
OG0000018	PCFQ01000077.1 g1778 [Chlorella sp. A99]	KAI3427919.1 hypothetical protein D9Q98_006311 [Chlorella vulgaris]
OG0000020	PCFQ01000079.1 g1504 [Chlorella sp. A99]	KAI3433312.1 hypothetical protein D9Q98_003130 [Chlorella vulgaris]
OG0000020	PCFQ01000001.1 g998 [Chlorella sp. A99]	KAI3425243.1 hypothetical protein D9Q98_009011 [Chlorella vulgaris]
OG0000020	PCFQ01000037.1 g2425 [Chlorella sp. A99]	KAI3425251.1 hypothetical protein D9Q98_009019 [Chlorella vulgaris]
OG0000021	PCFQ01000054.1 g2298 [Chlorella sp. A99]	KAI3427994.1 hypothetical protein D9Q98_006382 [Chlorella vulgaris]
OG0000023	PCFQ01000037.1 g2484 [Chlorella sp. A99]	KAI3430338.1 hypothetical protein D9Q98_004933 [Chlorella vulgaris], KAI3430336.1 hypothetical protein D9Q98_004931 [Chlorella vulgaris], KAI3428527.1 hypothetical protein D9Q98_007350 [Chlorella vulgaris], KAI3428437.1 hypothetical protein D9Q98_007264 [Chlorella vulgaris]
OG0000024	PCFQ01000082.1 g566 [Chlorella sp. A99]	KAI3426010.1 hypothetical protein D9Q98_007978 [Chlorella vulgaris]
OG0000024	PCFQ01000058.1 g150 [Chlorella sp. A99]	KAI3426016.1 hypothetical protein D9Q98_007984 [Chlorella vulgaris]
OG0000024	PCFQ01000010.1 g357 [Chlorella sp. A99], PCFQ01000010.1 g359 [Chlorella sp. A99]	KAI3436676.1 hypothetical protein D9Q98_006092 [Chlorella vulgaris]
OG0000024	PCFQ01000007.1 g1217 [Chlorella sp. A99]	KAI3437696.1 hypothetical protein D9Q98_000145 [Chlorella vulgaris]
OG0000025	PCFQ01000011.1 g2838 [Chlorella sp. A99]	KAI3436539.1 hypothetical protein D9Q98_005956 [Chlorella vulgaris]
OG0000026	PCFQ01000058.1 g54 [Chlorella sp. A99]	KAI3427076.1 hypothetical protein D9Q98_007016 [Chlorella vulgaris], KAI3424157.1 hypothetical protein D9Q98_009516 [Chlorella vulgaris], KAI3429288.1 hypothetical protein D9Q98_005384 [Chlorella vulgaris], KAI3429289.1 hypothetical protein D9Q98_005385 [Chlorella vulgaris], KAI3429291.1 hypothetical protein D9Q98_005387 [Chlorella vulgaris]
OG0000027	PCFQ01000026.1 g2290 [Chlorella sp. A99]	KAI3433311.1 hypothetical protein D9Q98_003129 [Chlorella vulgaris]
OG0000027	PCFQ01000037.1 g2531 [Chlorella sp. A99]	KAI3425130.1 hypothetical protein D9Q98_008902 [Chlorella vulgaris]
OG0000027	PCFQ01000018.1 g407 [Chlorella sp. A99], PCFQ01000018.1 g408 [Chlorella sp. A99]	KAI3429894.1 hypothetical protein D9Q98_010205 [Chlorella vulgaris], KAI3429892.1 hypothetical protein D9Q98_010203 [Chlorella vulgaris]
OG0000029	PCFQ01000010.1 g362 [Chlorella sp. A99]	KAI3431531.1 hypothetical protein D9Q98_004581 [Chlorella vulgaris], KAI3431536.1 hypothetical protein D9Q98_004586 [Chlorella vulgaris]
OG0000031	PCFQ01000058.1 g100 [Chlorella sp. A99]	KAI3424890.1 hypothetical protein D9Q98_008274 [Chlorella vulgaris]
OG0000032	PCFQ01000001.1 g991 [Chlorella sp. A99]	KAI3433537.1 hypothetical protein D9Q98_003347 [Chlorella vulgaris], KAI3438051.1 hypothetical protein D9Q98_000494 [Chlorella vulgaris], KAI3425810.1 hypothetical protein D9Q98_007785 [Chlorella vulgaris], KAI3434627.1 hypothetical protein D9Q98_002694 [Chlorella vulgaris], KAI3430824.1 hypothetical protein D9Q98_009235 [Chlorella vulgaris]
OG0000035	PCFQ01000078.1 g2024 [Chlorella sp. A99]	KAI3435763.1 hypothetical protein D9Q98_001821 [Chlorella vulgaris], KAI3435762.1 hypothetical protein D9Q98_001820 [Chlorella vulgaris]
OG0000036	PCFQ01000078.1 g2010 [Chlorella sp. A99]	KAI3434780.1 hypothetical protein D9Q98_002840 [Chlorella vulgaris]
OG0000036	PCFQ01000010.1 g311 [Chlorella sp. A99], PCFQ01000082.1 g538 [Chlorella sp. A99]	KAI3432748.1 hypothetical protein D9Q98_004289 [Chlorella vulgaris], KAI3431777.1 hypothetical protein D9Q98_010532 [Chlorella vulgaris]
OG0000037	PCFQ01000011.1 g2858 [Chlorella sp. A99]	KAI3436635.1 hypothetical protein D9Q98_006051 [Chlorella vulgaris]
OG0000037	PCFQ01000006.1 g3252 [Chlorella sp. A99]	KAI3434541.1 hypothetical protein D9Q98_002614 [Chlorella vulgaris]
OG0000038	PCFQ01000004.1 g2699 [Chlorella sp. A99]	KAI3423835.1 hypothetical protein D9Q98_009671 [Chlorella vulgaris], KAI3432241.1 hypothetical protein D9Q98_003802 [Chlorella vulgaris]
OG0000038	PCFQ01000009.1 g1721 [Chlorella sp. A99]	KAI3426374.1 hypothetical protein D9Q98_008746 [Chlorella vulgaris]
OG0000039	PCFQ01000078.1 g2164 [Chlorella sp. A99], PCFQ01000002.1 g694 [Chlorella sp. A99]	KAI3436411.1 hypothetical protein D9Q98_005828 [Chlorella vulgaris], KAI3437679.1 hypothetical protein D9Q98_000129 [Chlorella vulgaris], KAI3437680.1 hypothetical protein D9Q98_000129 [Chlorella vulgaris], KAI3437678.1 hypothetical protein D9Q98_000128 [Chlorella vulgaris], KAI3431571.1 hypothetical protein D9Q98_004621 [Chlorella vulgaris], KAI3436419.1 hypothetical protein D9Q98_005836 [Chlorella vulgaris], KAI3436416.1 hypothetical protein D9Q98_005833 [Chlorella vulgaris], KAI3429764.1 hypothetical protein D9Q98_010077 [Chlorella vulgaris]
OG0000042	PCFQ01000004.1 g2664 [Chlorella sp. A99]	KAI3431269.1 hypothetical protein D9Q98_004330 [Chlorella vulgaris], KAI3430490.1 hypothetical protein D9Q98_005085 [Chlorella vulgaris], KAI3429392.1 hypothetical protein D9Q98_005487 [Chlorella vulgaris], KAI3436359.1 hypothetical protein D9Q98_002412 [Chlorella vulgaris]
OG0000043	PCFQ01000037.1 g2394 [Chlorella sp. A99]	KAI3424774.1 hypothetical protein D9Q98_008162 [Chlorella vulgaris]
OG0000043	PCFQ01000020.1 g910 [Chlorella sp. A99]	KAI3424775.1 hypothetical protein D9Q98_008163 [Chlorella vulgaris], KAI3426380.1 hypothetical protein D9Q98_008751 [Chlorella vulgaris]
OG0000044	PCFQ01000011.1 g2748 [Chlorella sp. A99]	KAI3424684.1 hypothetical protein D9Q98_008074 [Chlorella vulgaris]
OG0000044	PCFQ01000023.1 g2223 [Chlorella sp. A99]	KAI3434824.1 hypothetical protein D9Q98_002880 [Chlorella vulgaris]
OG0000044	PCFQ01000015.1 g2988 [Chlorella sp. A99], PCFQ01000008.1 g1142 [Chlorella sp. A99]	KAI3424683.1 hypothetical protein D9Q98_008073 [Chlorella vulgaris]
OG0000045	PCFQ01000004.1 g2700 [Chlorella sp. A99]	KAI3433548.1 hypothetical protein D9Q98_003359 [Chlorella vulgaris]
OG0000047	PCFQ01000079.1 g1389 [Chlorella sp. A99]	KAI3427408.1 hypothetical protein D9Q98_010323 [Chlorella vulgaris], KAI3427407.1 hypothetical protein D9Q98_010322 [Chlorella vulgaris], KAI3427390.1 hypothetical protein D9Q98_010305 [Chlorella vulgaris], KAI3427391.1 hypothetical protein D9Q98_010306 [Chlorella vulgaris], KAI3427416.1 hypothetical protein D9Q98_010331 [Chlorella vulgaris], KAI3427424.1 hypothetical protein D9Q98_010339 [Chlorella vulgaris], KAI3427388.1 hypothetical protein D9Q98_010303 [Chlorella vulgaris], KAI3427385.1 hypothetical protein D9Q98_010300 [Chlorella vulgaris], KAI3427413.1 hypothetical protein D9Q98_010328 [Chlorella vulgaris], KAI3427378.1 hypothetical protein D9Q98_010294 [Chlorella vulgaris], KAI3427386.1 hypothetical protein D9Q98_010301 [Chlorella vulgaris], KAI3427387.1 hypothetical protein D9Q98_010302 [Chlorella vulgaris], KAI3427377.1 hypothetical protein D9Q98_010293 [Chlorella vulgaris], KAI3427414.1 hypothetical protein D9Q98_010329 [Chlorella vulgaris], KAI3427395.1 hypothetical protein D9Q98_010310 [Chlorella vulgaris], KAI3427396.1 hypothetical protein D9Q98_010311 [Chlorella vulgaris], KAI3427402.1 hypothetical protein D9Q98_010317 [Chlorella vulgaris], KAI3427404.1 hypothetical protein D9Q98_010319 [Chlorella vulgaris], KAI3427405.1 hypothetical protein D9Q98_010320 [Chlorella vulgaris], KAI3427409.1 hypothetical protein D9Q98_010324 [Chlorella vulgaris], KAI3427406.1 hypothetical protein D9Q98_010321 [Chlorella vulgaris], KAI3427403.1 hypothetical protein D9Q98_010318 [Chlorella vulgaris], KAI3427399.1 hypothetical protein D9Q98_010314 [Chlorella vulgaris], KAI3427398.1 hypothetical protein D9Q98_010313 [Chlorella vulgaris], KAI3427400.1 hypothetical protein D9Q98_010315 [Chlorella vulgaris], KAI3427438.1 hypothetical protein D9Q98_010353 [Chlorella vulgaris], KAI3427420.1 hypothetical protein D9Q98_010335 [Chlorella vulgaris], KAI3427418.1 hypothetical protein D9Q98_010333 [Chlorella vulgaris]
OG0000049	PCFQ01000004.1 g2665 [Chlorella sp. A99]	KAI3438841.1 hypothetical protein D9Q98_001258 [Chlorella vulgaris]
OG0000049	PCFQ01000011.1 g2855 [Chlorella sp. A99]	KAI3436640.1 hypothetical protein D9Q98_006056 [Chlorella vulgaris]
OG0000050	PCFQ01000005.1 g823 [Chlorella sp. A99]	KAI3427099.1 hypothetical protein D9Q98_007038 [Chlorella vulgaris]
OG0000052	PCFQ01000080.1 g1947 [Chlorella sp. A99]	KAI3426265.1 hypothetical protein D9Q98_008640 [Chlorella vulgaris]
OG0000054	PCFQ01000015.1 g3011 [Chlorella sp. A99]	KAI3427182.1 hypothetical protein D9Q98_007119 [Chlorella vulgaris], KAI3425325.1 hypothetical protein D9Q98_009089 [Chlorella vulgaris]
OG0000055	PCFQ01000002.1 g663 [Chlorella sp. A99]	KAI3430621.1 hypothetical protein D9Q98_005214 [Chlorella vulgaris]
OG0000057	PCFQ01000016.1 g2270 [Chlorella sp. A99], PCFQ01000016.1 g2271 [Chlorella sp. A99]	KAI3434528.1 hypothetical protein D9Q98_002601 [Chlorella vulgaris]
OG0000059	PCFQ01000004.1 g2590 [Chlorella sp. A99]	KAI3430825.1 hypothetical protein D9Q98_009236 [Chlorella vulgaris], KAI3439001.1 hypothetical protein D9Q98_001413 [Chlorella vulgaris], KAI3428122.1 hypothetical protein D9Q98_006505 [Chlorella vulgaris]
OG0000062	PCFQ01000020.1 g871 [Chlorella sp. A99]	KAI3426145.1 hypothetical protein D9Q98_008522 [Chlorella vulgaris], KAI3426144.1 hypothetical protein D9Q98_008522 [Chlorella vulgaris]
OG0000062	PCFQ01000019.1 g1803 [Chlorella sp. A99]	KAI3426143.1 hypothetical protein D9Q98_008521 [Chlorella vulgaris], KAI3426142.1 hypothetical protein D9Q98_008521 [Chlorella vulgaris]
OG0000062	PCFQ01000011.1 g2914 [Chlorella sp. A99]	KAI3426120.1 hypothetical protein D9Q98_008499 [Chlorella vulgaris]
OG0000064	PCFQ01000002.1 g733 [Chlorella sp. A99]	KAI3430251.1 hypothetical protein D9Q98_004847 [Chlorella vulgaris]
OG0000064	PCFQ01000018.1 g479 [Chlorella sp. A99]	KAI3434468.1 hypothetical protein D9Q98_002545 [Chlorella vulgaris]
OG0000064	PCFQ01000002.1 g732 [Chlorella sp. A99]	KAI3430253.1 hypothetical protein D9Q98_004849 [Chlorella vulgaris]
OG0000065	PCFQ01000079.1 g1443 [Chlorella sp. A99], PCFQ01000079.1 g1442 [Chlorella sp. A99]	KAI3425227.1 hypothetical protein D9Q98_008995 [Chlorella vulgaris], KAI3425222.1 hypothetical protein D9Q98_008990 [Chlorella vulgaris]
OG0000069	PCFQ01000005.1 g800 [Chlorella sp. A99]	KAI3426981.1 hypothetical protein D9Q98_006925 [Chlorella vulgaris]
OG0000069	PCFQ01000082.1 g619 [Chlorella sp. A99]	KAI3424311.1 hypothetical protein D9Q98_009864 [Chlorella vulgaris]
OG0000069	PCFQ01000058.1 g50 [Chlorella sp. A99]	KAI3433912.1 hypothetical protein D9Q98_003714 [Chlorella vulgaris]
OG0000070	PCFQ01000058.1 g142 [Chlorella sp. A99], PCFQ01000081.1 g1628 [Chlorella sp. A99]	KAI3437808.1 hypothetical protein D9Q98_000255 [Chlorella vulgaris], KAI3427256.1 hypothetical protein D9Q98_007190 [Chlorella vulgaris]
OG0000070	PCFQ01000007.1 g1186 [Chlorella sp. A99], PCFQ01000002.1 g655 [Chlorella sp. A99]	KAI3437586.1 hypothetical protein D9Q98_000039 [Chlorella vulgaris]
OG0000071	PCFQ01000046.1 g1858 [Chlorella sp. A99], PCFQ01000081.1 g1641 [Chlorella sp. A99], PCFQ01000079.1 g1436 [Chlorella sp. A99], PCFQ01000079.1 g1437 [Chlorella sp. A99]	KAI3424455.1 hypothetical protein D9Q98_010007 [Chlorella vulgaris], KAI3424454.1 hypothetical protein D9Q98_010006 [Chlorella vulgaris], KAI3424094.1 hypothetical protein D9Q98_009456 [Chlorella vulgaris], KAI3424232.1 hypothetical protein D9Q98_009588 [Chlorella vulgaris], KAI3424231.1 hypothetical protein D9Q98_009587 [Chlorella vulgaris]
OG0000071	PCFQ01000079.1 g1323 [Chlorella sp. A99]	KAI3424158.1 hypothetical protein D9Q98_009517 [Chlorella vulgaris]
OG0000073	PCFQ01000073.1 g1975 [Chlorella sp. A99], PCFQ01000005.1 g782 [Chlorella sp. A99]	KAI3428260.1 hypothetical protein D9Q98_006639 [Chlorella vulgaris], KAI3428261.1 hypothetical protein D9Q98_006640 [Chlorella vulgaris], KAI3424943.1 hypothetical protein D9Q98_008325 [Chlorella vulgaris]
OG0000074	PCFQ01000079.1 g1351 [Chlorella sp. A99]	KAI3424079.1 hypothetical protein D9Q98_009442 [Chlorella vulgaris]
OG0000075	PCFQ01000081.1 g1616 [Chlorella sp. A99]	KAI3437937.1 hypothetical protein D9Q98_000381 [Chlorella vulgaris]
OG0000078	PCFQ01000081.1 g1620 [Chlorella sp. A99]	KAI3437917.1 hypothetical protein D9Q98_000362 [Chlorella vulgaris]
OG0000078	PCFQ01000001.1 g954 [Chlorella sp. A99]	KAI3432447.1 hypothetical protein D9Q98_003998 [Chlorella vulgaris], KAI3432446.1 hypothetical protein D9Q98_003998 [Chlorella vulgaris]
OG0000078	PCFQ01000011.1 g2872 [Chlorella sp. A99]	KAI3436493.1 hypothetical protein D9Q98_005910 [Chlorella vulgaris], KAI3433465.1 hypothetical protein D9Q98_003278 [Chlorella vulgaris]
OG0000079	PCFQ01000002.1 g739 [Chlorella sp. A99]	KAI3428104.1 hypothetical protein D9Q98_006487 [Chlorella vulgaris]
OG0000079	PCFQ01000006.1 g3202 [Chlorella sp. A99]	KAI3434525.1 hypothetical protein D9Q98_002598 [Chlorella vulgaris]
OG0000079	PCFQ01000079.1 g1274 [Chlorella sp. A99]	KAI3426260.1 hypothetical protein D9Q98_008635 [Chlorella vulgaris]
OG0000079	PCFQ01000058.1 g51 [Chlorella sp. A99]	KAI3433911.1 hypothetical protein D9Q98_003713 [Chlorella vulgaris]
OG0000082	PCFQ01000004.1 g2633 [Chlorella sp. A99], PCFQ01000005.1 g842 [Chlorella sp. A99]	KAI3427061.1 hypothetical protein D9Q98_007001 [Chlorella vulgaris]
OG0000083	PCFQ01000031.1 g3095 [Chlorella sp. A99]	KAI3436451.1 hypothetical protein D9Q98_005868 [Chlorella vulgaris]
OG0000083	PCFQ01000011.1 g2851 [Chlorella sp. A99]	KAI3436465.1 hypothetical protein D9Q98_005882 [Chlorella vulgaris], KAI3436463.1 hypothetical protein D9Q98_005880 [Chlorella vulgaris]
OG0000083	PCFQ01000011.1 g2844 [Chlorella sp. A99]	KAI3436454.1 hypothetical protein D9Q98_005871 [Chlorella vulgaris], KAI3436457.1 hypothetical protein D9Q98_005874 [Chlorella vulgaris], KAI3436452.1 hypothetical protein D9Q98_005869 [Chlorella vulgaris]
OG0000084	PCFQ01000007.1 g1229 [Chlorella sp. A99]	KAI3437731.1 hypothetical protein D9Q98_000179 [Chlorella vulgaris]
OG0000084	PCFQ01000008.1 g1137 [Chlorella sp. A99]	KAI3428091.1 hypothetical protein D9Q98_006474 [Chlorella vulgaris]
OG0000087	PCFQ01000082.1 g584 [Chlorella sp. A99]	KAI3424452.1 hypothetical protein D9Q98_010004 [Chlorella vulgaris]
