Orthogroup	Scenedesmus_PABB004	Chlorella_A99
OG0000088	KAF8072753.1 pyruvate kinase 1 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2187 [Chlorella sp. A99]
OG0000088	KAF8058409.1 pyruvate kinase 2 [Scenedesmus sp. PABB004], KAF8062698.1 pyruvate kinase 1 [Scenedesmus sp. PABB004]	PCFQ01000015.1 g3029 [Chlorella sp. A99]
OG0000090	KAF8062922.1 SAT2 [Scenedesmus sp. PABB004]	PCFQ01000018.1 g427 [Chlorella sp. A99]
OG0000090	KAF8060021.1 WD repeat-containing protein [Scenedesmus sp. PABB004]	PCFQ01000014.1 g1879 [Chlorella sp. A99]
OG0000091	KAF8069632.1 PP2A4 [Scenedesmus sp. PABB004]	PCFQ01000013.1 g3307 [Chlorella sp. A99]
OG0000091	KAF8068346.1 hypothetical protein HT031_002035 [Scenedesmus sp. PABB004]	PCFQ01000006.1 g3243 [Chlorella sp. A99]
OG0000092	KAF8067194.1 uapA [Scenedesmus sp. PABB004]	PCFQ01000058.1 g159 [Chlorella sp. A99]
OG0000093	KAF8069443.1 hypothetical protein HT031_001558 [Scenedesmus sp. PABB004]	PCFQ01000046.1 g1856 [Chlorella sp. A99], PCFQ01000046.1 g1870 [Chlorella sp. A99], PCFQ01000046.1 g1867 [Chlorella sp. A99]
OG0000095	KAF8061343.1 utp25 [Scenedesmus sp. PABB004], KAF8062760.1 CRTISO2 [Scenedesmus sp. PABB004]	PCFQ01000013.1 g3328 [Chlorella sp. A99]
OG0000096	KAF8054728.1 Abcb6 [Scenedesmus sp. PABB004], KAF8055403.1 Abcb6 [Scenedesmus sp. PABB004]	PCFQ01000046.1 g1869 [Chlorella sp. A99]
OG0000096	KAF8057280.1 Abcb6 [Scenedesmus sp. PABB004]	PCFQ01000020.1 g942 [Chlorella sp. A99]
OG0000097	KAF8062668.1 hypothetical protein HT031_003997 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2167 [Chlorella sp. A99]
OG0000098	KAF8069427.1 malate dehydrogenase [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2754 [Chlorella sp. A99]
OG0000098	KAF8061336.1 malate dehydrogenase [Scenedesmus sp. PABB004]	PCFQ01000006.1 g3182 [Chlorella sp. A99]
OG0000100	KAF8055929.1 RuBisCO large subunit-binding protein subunit alpha [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2746 [Chlorella sp. A99]
OG0000100	KAF8065914.1 RuBisCO large subunit-binding protein subunit beta [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2762 [Chlorella sp. A99]
OG0000101	KAF8059192.1 CD4A [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1253 [Chlorella sp. A99]
OG0000101	KAF8057718.1 hypothetical protein HT031_005902 [Scenedesmus sp. PABB004]	PCFQ01000081.1 g1580 [Chlorella sp. A99]
OG0000102	KAF8065477.1 hypothetical protein HT031_003078 [Scenedesmus sp. PABB004]	PCFQ01000008.1 g1125 [Chlorella sp. A99]
OG0000102	KAF8066383.1 Glutamate synthase [NADH] [Scenedesmus sp. PABB004]	PCFQ01000018.1 g437 [Chlorella sp. A99]
OG0000105	KAF8057267.1 ODA2 [Scenedesmus sp. PABB004]	PCFQ01000006.1 g3236 [Chlorella sp. A99]
OG0000105	KAF8069431.1 DHC1 [Scenedesmus sp. PABB004]	PCFQ01000003.1 g1032 [Chlorella sp. A99]
OG0000106	KAF8061163.1 hypothetical protein HT031_004625 [Scenedesmus sp. PABB004], KAF8067300.1 hypothetical protein HT031_002348 [Scenedesmus sp. PABB004]	PCFQ01000013.1 g3273 [Chlorella sp. A99]
OG0000106	KAF8067278.1 hypothetical protein HT031_002325 [Scenedesmus sp. PABB004]	PCFQ01000013.1 g3272 [Chlorella sp. A99]
OG0000107	KAF8067328.1 RAB3GAP2 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1375 [Chlorella sp. A99]
OG0000111	KAF8072944.1 ATXR2 [Scenedesmus sp. PABB004]	PCFQ01000058.1 g48 [Chlorella sp. A99]
OG0000112	KAF8065659.1 P4H2 [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2842 [Chlorella sp. A99]
OG0000113	KAF8062021.1 AAP2 [Scenedesmus sp. PABB004], KAF8062023.1 AAP2 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1435 [Chlorella sp. A99], PCFQ01000058.1 g109 [Chlorella sp. A99], PCFQ01000058.1 g157 [Chlorella sp. A99], PCFQ01000004.1 g2647 [Chlorella sp. A99], PCFQ01000053.1 g2550 [Chlorella sp. A99], PCFQ01000011.1 g2813 [Chlorella sp. A99], PCFQ01000009.1 g1728 [Chlorella sp. A99]
OG0000114	KAF8070965.1 TRZ4 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g1983 [Chlorella sp. A99]
OG0000115	KAF8061951.1 HDAC1 [Scenedesmus sp. PABB004]	PCFQ01000037.1 g2489 [Chlorella sp. A99]
OG0000115	KAF8061327.1 HDA9 [Scenedesmus sp. PABB004]	PCFQ01000007.1 g1202 [Chlorella sp. A99]
OG0000117	KAF8057138.1 glcA [Scenedesmus sp. PABB004], KAF8062630.1 hypothetical protein HT031_003959 [Scenedesmus sp. PABB004], KAF8071283.1 bglA [Scenedesmus sp. PABB004]	PCFQ01000013.1 g3314 [Chlorella sp. A99]
OG0000118	KAF8057944.1 pma1 [Scenedesmus sp. PABB004]	PCFQ01000001.1 g1007 [Chlorella sp. A99]
OG0000119	KAF8072977.1 DEAH3 [Scenedesmus sp. PABB004]	PCFQ01000018.1 g443 [Chlorella sp. A99]
OG0000119	KAF8072436.1 DEAH5 [Scenedesmus sp. PABB004]	PCFQ01000048.1 g2274 [Chlorella sp. A99]
OG0000119	KAF8063657.1 ESP3 [Scenedesmus sp. PABB004]	PCFQ01000040.1 g2301 [Chlorella sp. A99]
OG0000120	KAF8068296.1 hypothetical protein HT031_001983 [Scenedesmus sp. PABB004], KAF8059116.1 TMEM230 [Scenedesmus sp. PABB004], KAF8065601.1 Ermp1 [Scenedesmus sp. PABB004], KAF8065827.1 SIP1-1 [Scenedesmus sp. PABB004], KAF8055589.1 hypothetical protein HT031_006708 [Scenedesmus sp. PABB004], KAF8068341.1 hypothetical protein HT031_002030 [Scenedesmus sp. PABB004], KAF8072736.1 ATG1B [Scenedesmus sp. PABB004], KAF8059140.1 hypothetical protein HT031_005312 [Scenedesmus sp. PABB004], KAF8061370.1 mannose-1-phosphate guanylyltransferase 2 [Scenedesmus sp. PABB004], KAF8069482.1 secA [Scenedesmus sp. PABB004]	PCFQ01000008.1 g1136 [Chlorella sp. A99]
OG0000120	KAF8072721.1 hypothetical protein HT031_000381 [Scenedesmus sp. PABB004]	PCFQ01000024.1 g2555 [Chlorella sp. A99]
OG0000126	KAF8059985.1 SQD2 [Scenedesmus sp. PABB004]	PCFQ01000005.1 g791 [Chlorella sp. A99]
OG0000127	KAF8073250.1 METTL7A [Scenedesmus sp. PABB004]	PCFQ01000005.1 g815 [Chlorella sp. A99]
OG0000128	KAF8069375.1 YchF1 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2050 [Chlorella sp. A99]
OG0000129	KAF8064567.1 abcG2 [Scenedesmus sp. PABB004]	PCFQ01000082.1 g620 [Chlorella sp. A99], PCFQ01000002.1 g691 [Chlorella sp. A99]
OG0000129	KAF8057935.1 ABCG31 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1337 [Chlorella sp. A99]
OG0000130	KAF8067318.1 DEGP9 [Scenedesmus sp. PABB004]	PCFQ01000018.1 g435 [Chlorella sp. A99]
OG0000130	KAF8056110.1 DEGP9 [Scenedesmus sp. PABB004]	PCFQ01000001.1 g1005 [Chlorella sp. A99]
OG0000132	KAF8062014.1 hypothetical protein HT031_004274 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1364 [Chlorella sp. A99], PCFQ01000081.1 g1648 [Chlorella sp. A99]
OG0000133	KAF8066232.1 ABC1K7 [Scenedesmus sp. PABB004]	PCFQ01000002.1 g670 [Chlorella sp. A99]
OG0000133	KAF8056123.1 GTE1 [Scenedesmus sp. PABB004]	PCFQ01000058.1 g253 [Chlorella sp. A99]
OG0000135	KAF8063106.1 FIGL1 [Scenedesmus sp. PABB004]	PCFQ01000004.1 g2659 [Chlorella sp. A99]
OG0000135	KAF8061349.1 RPS9B [Scenedesmus sp. PABB004]	PCFQ01000004.1 g2660 [Chlorella sp. A99]
OG0000136	KAF8071033.1 BAT1 [Scenedesmus sp. PABB004], KAF8069535.1 BAT1 [Scenedesmus sp. PABB004]	PCFQ01000058.1 g59 [Chlorella sp. A99]
OG0000136	KAF8058897.1 NAD kinase 3 [Scenedesmus sp. PABB004]	PCFQ01000006.1 g3147 [Chlorella sp. A99]
OG0000137	KAF8072839.1 E3 ubiquitin-protein ligase [Scenedesmus sp. PABB004], KAF8073081.1 hypothetical protein HT031_000742 [Scenedesmus sp. PABB004]	PCFQ01000018.1 g414 [Chlorella sp. A99]
OG0000141	KAF8072373.1 EXPA5 [Scenedesmus sp. PABB004]	PCFQ01000015.1 g3093 [Chlorella sp. A99]
OG0000146	KAF8060014.1 LACS4 [Scenedesmus sp. PABB004]	PCFQ01000005.1 g832 [Chlorella sp. A99]
OG0000146	KAF8060497.1 LACS4 [Scenedesmus sp. PABB004]	PCFQ01000013.1 g3294 [Chlorella sp. A99], PCFQ01000015.1 g2956 [Chlorella sp. A99]
OG0000147	KAF8073194.1 SDP1 [Scenedesmus sp. PABB004]	PCFQ01000005.1 g836 [Chlorella sp. A99], PCFQ01000003.1 g1063 [Chlorella sp. A99]
OG0000148	KAF8062011.1 CYP97B2 [Scenedesmus sp. PABB004]	PCFQ01000053.1 g2548 [Chlorella sp. A99]
OG0000149	KAF8062896.1 hypothetical protein HT031_003734 [Scenedesmus sp. PABB004]	PCFQ01000002.1 g661 [Chlorella sp. A99]
OG0000150	KAF8066365.1 AMY2 [Scenedesmus sp. PABB004]	PCFQ01000082.1 g574 [Chlorella sp. A99]
OG0000151	KAF8061938.1 hypothetical protein HT031_004198 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2148 [Chlorella sp. A99], PCFQ01000005.1 g776 [Chlorella sp. A99]
OG0000151	KAF8061348.1 hypothetical protein HT031_004439 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2128 [Chlorella sp. A99]
OG0000152	KAF8067119.1 SIS8 [Scenedesmus sp. PABB004]	PCFQ01000002.1 g643 [Chlorella sp. A99]
OG0000153	KAF8062987.1 hypothetical protein HT031_003826 [Scenedesmus sp. PABB004]	PCFQ01000058.1 g138 [Chlorella sp. A99], PCFQ01000058.1 g91 [Chlorella sp. A99], PCFQ01000037.1 g2361 [Chlorella sp. A99]
OG0000154	KAF8057723.1 UPF3 [Scenedesmus sp. PABB004]	PCFQ01000007.1 g1228 [Chlorella sp. A99]
OG0000154	KAF8063050.1 hcp [Scenedesmus sp. PABB004], KAF8063692.1 hcp [Scenedesmus sp. PABB004]	PCFQ01000015.1 g3069 [Chlorella sp. A99], PCFQ01000034.1 g3261 [Chlorella sp. A99]
OG0000155	KAF8064507.1 CBSDUF1 [Scenedesmus sp. PABB004]	PCFQ01000058.1 g83 [Chlorella sp. A99]
OG0000155	KAF8055113.1 CBSDUF3 [Scenedesmus sp. PABB004], KAF8055602.1 CBSDUF1 [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2929 [Chlorella sp. A99]
OG0000158	KAF8066288.1 NDB1 [Scenedesmus sp. PABB004]	PCFQ01000037.1 g2366 [Chlorella sp. A99], PCFQ01000018.1 g438 [Chlorella sp. A99], PCFQ01000079.1 g1318 [Chlorella sp. A99]
OG0000159	KAF8067353.1 SGT1 [Scenedesmus sp. PABB004], KAF8073063.1 SGT1 [Scenedesmus sp. PABB004]	PCFQ01000012.1 g1835 [Chlorella sp. A99], PCFQ01000005.1 g777 [Chlorella sp. A99]
OG0000160	KAF8058877.1 hypothetical protein HT031_005445 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1489 [Chlorella sp. A99]
OG0000161	KAF8072953.1 hypothetical protein HT031_000613 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1522 [Chlorella sp. A99], PCFQ01000019.1 g1820 [Chlorella sp. A99], PCFQ01000079.1 g1521 [Chlorella sp. A99]
OG0000162	KAF8057661.1 hypothetical protein HT031_006010 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2163 [Chlorella sp. A99]
OG0000163	KAF8069368.1 ARF1 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1345 [Chlorella sp. A99]
OG0000164	KAF8066266.1 SULTR2 [Scenedesmus sp. PABB004], KAF8055590.1 SULTR2 [Scenedesmus sp. PABB004]	PCFQ01000037.1 g2498 [Chlorella sp. A99]
OG0000166	KAF8067199.1 hypothetical protein HT031_002246 [Scenedesmus sp. PABB004], KAF8060473.1 hypothetical protein HT031_004649 [Scenedesmus sp. PABB004]	PCFQ01000005.1 g849 [Chlorella sp. A99]
OG0000167	KAF8059109.1 BST1 [Scenedesmus sp. PABB004]	PCFQ01000005.1 g809 [Chlorella sp. A99]
OG0000168	KAF8063057.1 SHM1 [Scenedesmus sp. PABB004]	PCFQ01000082.1 g598 [Chlorella sp. A99]
OG0000168	KAF8056339.1 SHM4 [Scenedesmus sp. PABB004]	PCFQ01000018.1 g418 [Chlorella sp. A99]
OG0000169	KAF8069571.1 AKHSDH1 [Scenedesmus sp. PABB004]	PCFQ01000005.1 g844 [Chlorella sp. A99]
OG0000170	KAF8068455.1 pikAI [Scenedesmus sp. PABB004]	PCFQ01000081.1 g1646 [Chlorella sp. A99], PCFQ01000081.1 g1647 [Chlorella sp. A99], PCFQ01000081.1 g1644 [Chlorella sp. A99]
OG0000171	KAF8057894.1 uroporphyrinogen decarboxylase 1 [Scenedesmus sp. PABB004]	PCFQ01000009.1 g1701 [Chlorella sp. A99]
OG0000173	KAF8060336.1 SAT17 [Scenedesmus sp. PABB004]	PCFQ01000015.1 g2976 [Chlorella sp. A99]
OG0000174	KAF8072823.1 aurka-a [Scenedesmus sp. PABB004]	PCFQ01000081.1 g1599 [Chlorella sp. A99]
OG0000175	KAF8069362.1 RPL9 [Scenedesmus sp. PABB004], KAF8070975.1 MSL9 [Scenedesmus sp. PABB004]	PCFQ01000037.1 g2399 [Chlorella sp. A99]
OG0000179	KAF8072594.1 Ube3a [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2788 [Chlorella sp. A99]
OG0000183	KAF8062812.1 NHX7 [Scenedesmus sp. PABB004]	PCFQ01000046.1 g1850 [Chlorella sp. A99]
OG0000187	KAF8067164.1 lig1 [Scenedesmus sp. PABB004]	PCFQ01000002.1 g636 [Chlorella sp. A99]
OG0000188	KAF8054945.1 AKT1 [Scenedesmus sp. PABB004]	PCFQ01000037.1 g2541 [Chlorella sp. A99]
OG0000189	KAF8058418.1 VATP-P1 [Scenedesmus sp. PABB004], KAF8071354.1 GRP-2 [Scenedesmus sp. PABB004]	PCFQ01000007.1 g1198 [Chlorella sp. A99]
