Orthogroup	Scenedesmus_PABB004	Chlorella_KRBP
OG0000177	KAF8068300.1 hypothetical protein HT031_001987 [Scenedesmus sp. PABB004], KAF8057885.1 GLG1 [Scenedesmus sp. PABB004], KAF8068299.1 GLG1 [Scenedesmus sp. PABB004]	QAXK01000575.1_15675-16655
OG0000187	KAF8072687.1 LIG6 [Scenedesmus sp. PABB004], KAF8067164.1 lig1 [Scenedesmus sp. PABB004]	QAXK01014854.1_51-3845
OG0000189	KAF8058418.1 VATP-P1 [Scenedesmus sp. PABB004], KAF8071354.1 GRP-2 [Scenedesmus sp. PABB004]	QAXK01000217.1_14674-15859
OG0000192	KAF8055734.1 CDC2 [Scenedesmus sp. PABB004], KAF8071221.1 CDKB1-1 [Scenedesmus sp. PABB004]	QAXK01001504.1_2221-4972
OG0000199	KAF8065440.1 F-box protein [Scenedesmus sp. PABB004]	QAXK01010173.1_3319-5256
OG0000201	KAF8063039.1 BRR2A [Scenedesmus sp. PABB004], KAF8065637.1 BRR2C [Scenedesmus sp. PABB004]	QAXK01000736.1_9467-8726
OG0000207	KAF8067161.1 EXOSC1 [Scenedesmus sp. PABB004]	QAXK01004998.1_5108-4093
OG0000215	KAF8060026.1 hypothetical protein HT031_004964 [Scenedesmus sp. PABB004]	QAXK01013809.1_3869-6090
OG0000217	KAF8073260.1 hypothetical protein HT031_000921 [Scenedesmus sp. PABB004], KAF8070872.1 hypothetical protein HT031_000953 [Scenedesmus sp. PABB004]	QAXK01003927.1_26651-24094
OG0000222	KAF8072883.1 TSTA3 [Scenedesmus sp. PABB004], KAF8066306.1 hypothetical protein HT031_002629 [Scenedesmus sp. PABB004], KAF8072787.1 PMI2 [Scenedesmus sp. PABB004]	QAXK01005046.1_1470-3041
OG0000225	KAF8072402.1 Gfpt2 [Scenedesmus sp. PABB004]	QAXK01000132.1_14211-8944
OG0000226	KAF8065936.1 CPL3 [Scenedesmus sp. PABB004]	QAXK01001147.1_264-2985
OG0000234	KAF8061125.1 eukaryotic initiation factor 4A-3 [Scenedesmus sp. PABB004]	QAXK01001703.1_3693-800
OG0000234	KAF8064681.1 EIF4A3A [Scenedesmus sp. PABB004]	QAXK01001715.1_46567-44103
OG0000243	KAF8065944.1 mtr [Scenedesmus sp. PABB004]	QAXK01017572.1_4284-1659
OG0000255	KAF8071075.1 IMMP2L [Scenedesmus sp. PABB004], KAF8058344.1 imp1 [Scenedesmus sp. PABB004]	QAXK01003493.1_20875-19869
OG0000256	KAF8060490.1 SAC9 [Scenedesmus sp. PABB004]	QAXK01000928.1_4721-1230
OG0000260	KAF8058457.1 hypothetical protein HT031_005581 [Scenedesmus sp. PABB004]	QAXK01007811.1_6343-7669
OG0000262	KAF8056222.1 Formate--tetrahydrofolate ligase [Scenedesmus sp. PABB004], KAF8060573.1 COG4 [Scenedesmus sp. PABB004]	QAXK01001305.1_3092-9737
OG0000268	KAF8055592.1 SEC13B [Scenedesmus sp. PABB004]	QAXK01007959.1_4344-7510
OG0000269	KAF8057668.1 hypothetical protein HT031_006017 [Scenedesmus sp. PABB004]	QAXK01000159.1_2526-4128
OG0000276	KAF8058835.1 TNNI3K [Scenedesmus sp. PABB004], KAF8058327.1 lpxC [Scenedesmus sp. PABB004], KAF8072929.1 Tnni3k [Scenedesmus sp. PABB004]	QAXK01013106.1_2869-3857
OG0000290	KAF8056455.1 aminopeptidase M1-D [Scenedesmus sp. PABB004], KAF8072908.1 WDR55 [Scenedesmus sp. PABB004]	QAXK01007708.1_8045-6769
OG0000293	KAF8057632.1 CPK24 [Scenedesmus sp. PABB004]	QAXK01000427.1_18710-23853
OG0000297	KAF8067233.1 PHT4 [Scenedesmus sp. PABB004], KAF8061417.1 PHT4 [Scenedesmus sp. PABB004]	QAXK01003382.1_7730-10683
OG0000298	KAF8068170.1 RH36 [Scenedesmus sp. PABB004]	QAXK01006215.1_8306-11634
OG0000299	KAF8060097.1 CSN5 [Scenedesmus sp. PABB004], KAF8055386.1 WNK3 [Scenedesmus sp. PABB004], KAF8058838.1 CSN5 [Scenedesmus sp. PABB004]	QAXK01000488.1_8485-5165
OG0000300	KAF8063852.1 ppa1 [Scenedesmus sp. PABB004]	QAXK01000495.1_4618-6885
OG0000301	KAF8067346.1 pam-b [Scenedesmus sp. PABB004], KAF8055675.1 pam-a [Scenedesmus sp. PABB004]	QAXK01005324.1_4296-8149
OG0000302	KAF8057147.1 CIP111 [Scenedesmus sp. PABB004], KAF8061103.1 hypothetical protein HT031_004564 [Scenedesmus sp. PABB004]	QAXK01009146.1_0-3841
OG0000304	KAF8057938.1 DRP3A [Scenedesmus sp. PABB004]	QAXK01014492.1_877-182
OG0000315	KAF8067212.1 R1 [Scenedesmus sp. PABB004]	QAXK01002353.1_19232-23410
OG0000316	KAF8071331.1 PGD2 [Scenedesmus sp. PABB004], KAF8065940.1 XRN1 [Scenedesmus sp. PABB004]	QAXK01003905.1_19782-15375
OG0000317	KAF8063788.1 26S proteasome regulatory subunit 6B [Scenedesmus sp. PABB004], KAF8062645.1 RPT2A [Scenedesmus sp. PABB004]	QAXK01008437.1_3645-238
OG0000320	KAF8068412.1 anon-84Ea [Scenedesmus sp. PABB004]	QAXK01008510.1_15994-20405
OG0000321	KAF8059134.1 AAP19-1 [Scenedesmus sp. PABB004]	QAXK01000378.1_25585-26545
OG0000340	KAF8059752.1 CLPB1 [Scenedesmus sp. PABB004]	QAXK01005276.1_5688-3058
OG0000352	KAF8068195.1 thioredoxin domain-containing protein 9 [Scenedesmus sp. PABB004]	QAXK01000899.1_7462-5804
OG0000353	KAF8057247.1 hypothetical protein HT031_006055 [Scenedesmus sp. PABB004], KAF8058859.1 SNRNP40 [Scenedesmus sp. PABB004]	QAXK01000970.1_11060-12297
OG0000355	KAF8065560.1 STN8 [Scenedesmus sp. PABB004], KAF8068435.1 PUB1 [Scenedesmus sp. PABB004]	QAXK01000575.1_38061-33279
OG0000356	KAF8073076.1 Ddx47 [Scenedesmus sp. PABB004]	QAXK01001458.1_25468-28021
OG0000362	KAF8061170.1 STK38L [Scenedesmus sp. PABB004]	QAXK01002504.1_1584-235
OG0000372	KAF8057628.1 pescadillo-like protein [Scenedesmus sp. PABB004], KAF8058047.1 GME-2 [Scenedesmus sp. PABB004]	QAXK01000007.1_3483-1851
OG0000374	KAF8071074.1 SK1 [Scenedesmus sp. PABB004], KAF8071212.1 NADH dehydrogenase [ubiquinone] iron-sulfur protein 1 [Scenedesmus sp. PABB004]	QAXK01001576.1_25385-29462
OG0000375	KAF8066228.1 NOC1 [Scenedesmus sp. PABB004], KAF8061932.1 davT [Scenedesmus sp. PABB004]	QAXK01008707.1_239-2925
OG0000383	KAF8065953.1 PUMP1 [Scenedesmus sp. PABB004]	QAXK01011194.1_5918-9002
OG0000390	KAF8072870.1 HSD17B12 [Scenedesmus sp. PABB004]	QAXK01005078.1_1174-132
OG0000390	KAF8067246.1 hemW [Scenedesmus sp. PABB004]	QAXK01003294.1_6337-3495
OG0000394	KAF8062083.1 APY2 [Scenedesmus sp. PABB004]	QAXK01008702.1_3083-212
OG0000408	KAF8073007.1 Arginine--tRNA ligase [Scenedesmus sp. PABB004]	QAXK01003094.1_1529-6518
OG0000412	KAF8069671.1 ABCI19 [Scenedesmus sp. PABB004], KAF8072767.1 ABCI20 [Scenedesmus sp. PABB004]	QAXK01007672.1_3589-1228
OG0000417	KAF8068408.1 SPAC6G10.10c [Scenedesmus sp. PABB004]	QAXK01003046.1_10052-9637
OG0000418	KAF8060086.1 FTSH11 [Scenedesmus sp. PABB004], KAF8056381.1 FTSH5 [Scenedesmus sp. PABB004]	QAXK01005097.1_6985-2749
OG0000431	KAF8058066.1 DUR1 [Scenedesmus sp. PABB004]	QAXK01001330.1_10692-5073
OG0000443	KAF8062653.1 CM1 [Scenedesmus sp. PABB004], KAF8062651.1 CM1 [Scenedesmus sp. PABB004]	QAXK01002390.1_2379-454
OG0000446	KAF8058843.1 ATCSA-1 [Scenedesmus sp. PABB004]	QAXK01006391.1_1754-3793
OG0000449	KAF8055396.1 APC2 [Scenedesmus sp. PABB004], KAF8064639.1 ERCC1 [Scenedesmus sp. PABB004]	QAXK01017753.1_1728-436
OG0000452	KAF8059727.1 RID2 [Scenedesmus sp. PABB004], KAF8058880.1 VPS32.1 [Scenedesmus sp. PABB004], KAF8066176.1 18S rRNA _guanine-N_7__-methyltransferase [Scenedesmus sp. PABB004]	QAXK01003135.1_2479-16
OG0000455	KAF8069398.1 hypothetical protein HT031_001513 [Scenedesmus sp. PABB004], KAF8072541.1 ARMC6 [Scenedesmus sp. PABB004]	QAXK01015054.1_2845-4309
OG0000468	KAF8059453.1 RAB1BV [Scenedesmus sp. PABB004]	QAXK01006097.1_2371-905
OG0000470	KAF8060524.1 leucine--tRNA ligase [Scenedesmus sp. PABB004]	QAXK01000050.1_24428-29981
OG0000471	KAF8072620.1 ASF1B [Scenedesmus sp. PABB004]	QAXK01001670.1_7180-6388
OG0000474	KAF8068169.1 Ethe1 [Scenedesmus sp. PABB004]	QAXK01000042.1_28045-28765
OG0000479	KAF8072726.1 ER membrane protein complex subunit 7 [Scenedesmus sp. PABB004], KAF8068237.1 dscc1 [Scenedesmus sp. PABB004]	QAXK01004028.1_58546-56431
OG0000499	KAF8073089.1 Twinkle-like protein [Scenedesmus sp. PABB004], KAF8073039.1 Twinkle-like protein [Scenedesmus sp. PABB004], KAF8073040.1 Twinkle-like protein [Scenedesmus sp. PABB004]	QAXK01009964.1_53-2582
OG0000501	KAF8060562.1 PAT04 [Scenedesmus sp. PABB004]	QAXK01015180.1_1811-4048
OG0000506	KAF8056773.1 hypothetical protein HT031_006271 [Scenedesmus sp. PABB004], KAF8056775.1 hypothetical protein HT031_006273 [Scenedesmus sp. PABB004]	QAXK01002250.1_1739-4040
OG0000512	KAF8066224.1 GSH1-1 [Scenedesmus sp. PABB004], KAF8057135.1 RH3A [Scenedesmus sp. PABB004]	QAXK01000565.1_7520-10250
OG0000517	KAF8072623.1 hypothetical protein HT031_000283 [Scenedesmus sp. PABB004]	QAXK01001595.1_3107-7081
OG0000519	KAF8058410.1 hypothetical protein HT031_005534 [Scenedesmus sp. PABB004]	QAXK01004538.1_836-4145
OG0000520	KAF8058944.1 SRD5A1 [Scenedesmus sp. PABB004]	QAXK01002274.1_7306-5678
OG0000521	KAF8060317.1 protein phosphatase 2C 69 [Scenedesmus sp. PABB004]	QAXK01000876.1_25410-28882
OG0000522	KAF8060045.1 DnAJ-like protein [Scenedesmus sp. PABB004], KAF8067356.1 sdhC [Scenedesmus sp. PABB004]	QAXK01010222.1_2855-4006
OG0000528	KAF8064679.1 pitC [Scenedesmus sp. PABB004]	QAXK01011871.1_1755-3976
OG0000535	KAF8072934.1 KIF6 [Scenedesmus sp. PABB004]	QAXK01008326.1_3715-2230
OG0000542	KAF8063735.1 VPS45 [Scenedesmus sp. PABB004], KAF8059184.1 COAC2 [Scenedesmus sp. PABB004]	QAXK01007731.1_21245-25168
OG0000546	KAF8073136.1 SYP43 [Scenedesmus sp. PABB004]	QAXK01003383.1_11610-10089
OG0000552	KAF8062676.1 SCPL46 [Scenedesmus sp. PABB004]	QAXK01001452.1_4877-8338
OG0000572	KAF8067221.1 HAC1 [Scenedesmus sp. PABB004]	QAXK01002353.1_6519-15187
OG0000573	KAF8062784.1 hypothetical protein HT031_004114 [Scenedesmus sp. PABB004], KAF8062671.1 hypothetical protein HT031_004000 [Scenedesmus sp. PABB004]	QAXK01003348.1_1486-6
OG0000577	KAF8063040.1 TIF3F1 [Scenedesmus sp. PABB004], KAF8062904.1 tlcA [Scenedesmus sp. PABB004]	QAXK01003132.1_5372-2862
OG0000585	KAF8072715.1 hypothetical protein HT031_000375 [Scenedesmus sp. PABB004], KAF8068375.1 BTL3 [Scenedesmus sp. PABB004]	QAXK01002652.1_31218-33264
OG0000586	KAF8065774.1 hypothetical protein HT031_002834 [Scenedesmus sp. PABB004]	QAXK01001200.1_17606-19818
OG0000594	KAF8063741.1 GFT1 [Scenedesmus sp. PABB004], KAF8057271.1 SAT2 [Scenedesmus sp. PABB004], KAF8063683.1 GFT1 [Scenedesmus sp. PABB004]	QAXK01013585.1_2213-468
OG0000595	KAF8063782.1 RAB23 [Scenedesmus sp. PABB004], KAF8071169.1 YPTC6 [Scenedesmus sp. PABB004]	QAXK01010664.1_1473-417
OG0000611	KAF8068161.1 EP0 [Scenedesmus sp. PABB004], KAF8071248.1 ubtd1 [Scenedesmus sp. PABB004]	QAXK01011586.1_4054-3461
OG0000616	KAF8070936.1 hypothetical protein HT031_001017 [Scenedesmus sp. PABB004]	QAXK01001265.1_8774-9883
OG0000626	KAF8058469.1 SDAD1 [Scenedesmus sp. PABB004]	QAXK01003230.1_4778-8012
OG0000635	KAF8054980.1 hypothetical protein HT031_006870 [Scenedesmus sp. PABB004]	QAXK01004870.1_4878-5513
OG0000637	KAF8065666.1 NAA20 [Scenedesmus sp. PABB004]	QAXK01001575.1_13855-13334
OG0000638	KAF8065791.1 ABCI6 [Scenedesmus sp. PABB004], KAF8066343.1 mon2 [Scenedesmus sp. PABB004]	QAXK01010124.1_10448-8669
OG0000649	KAF8065957.1 hypothetical protein HT031_003018 [Scenedesmus sp. PABB004], KAF8059202.1 LYSA1 [Scenedesmus sp. PABB004]	QAXK01000254.1_6101-3555
OG0000653	KAF8072900.1 asd [Scenedesmus sp. PABB004], KAF8064545.1 Ank3 [Scenedesmus sp. PABB004]	QAXK01000123.1_7289-10291
OG0000654	KAF8072386.1 ncbp3 [Scenedesmus sp. PABB004]	QAXK01000799.1_92299-89512
OG0000661	KAF8071310.1 ODA9 [Scenedesmus sp. PABB004]	QAXK01004242.1_3727-7707
OG0000662	KAF8058854.1 hypothetical protein HT031_005422 [Scenedesmus sp. PABB004], KAF8056431.1 hypothetical protein HT031_006288 [Scenedesmus sp. PABB004]	QAXK01000452.1_6301-4533
OG0000664	KAF8065536.1 wdr82 [Scenedesmus sp. PABB004]	QAXK01015723.1_3192-4172
OG0000671	KAF8064588.1 POLR3F [Scenedesmus sp. PABB004]	QAXK01001535.1_15806-14316
OG0000676	KAF8073045.1 LSM1A [Scenedesmus sp. PABB004]	QAXK01015338.1_519-166
OG0000678	KAF8064669.1 SKP1B [Scenedesmus sp. PABB004], KAF8062103.1 hypothetical protein HT031_004363 [Scenedesmus sp. PABB004]	QAXK01001500.1_1992-2978
OG0000679	KAF8067226.1 Nat9 [Scenedesmus sp. PABB004], KAF8070910.1 GPX6 [Scenedesmus sp. PABB004]	QAXK01006881.1_8512-9541
OG0000688	KAF8072582.1 nmd3 [Scenedesmus sp. PABB004]	QAXK01003305.1_27047-24211
OG0000689	KAF8065927.1 IPMS1 [Scenedesmus sp. PABB004]	QAXK01001638.1_16082-13313
OG0000691	KAF8057736.1 hypothetical protein HT031_005920 [Scenedesmus sp. PABB004], KAF8059659.1 slc38a10 [Scenedesmus sp. PABB004]	QAXK01001186.1_10565-8532
OG0000693	KAF8065442.1 HAP2 [Scenedesmus sp. PABB004]	QAXK01008377.1_3630-1851
OG0000694	KAF8070979.1 hddc2 [Scenedesmus sp. PABB004], KAF8067123.1 Ccdc61 [Scenedesmus sp. PABB004]	QAXK01012986.1_3546-2582
OG0000697	KAF8068188.1 hypothetical protein HT031_001874 [Scenedesmus sp. PABB004]	QAXK01000899.1_15443-14285
OG0000704	KAF8060550.1 TMEM18 [Scenedesmus sp. PABB004]	QAXK01006701.1_1896-1296
OG0000730	KAF8061075.1 PRP31 [Scenedesmus sp. PABB004]	QAXK01001551.1_59690-63747
OG0000732	KAF8068353.1 ttuB [Scenedesmus sp. PABB004]	QAXK01003652.1_16558-15646
OG0000734	KAF8073060.1 mdn1 [Scenedesmus sp. PABB004]	QAXK01007307.1_6962-7960
OG0000735	KAF8065437.1 hypothetical protein HT031_003038 [Scenedesmus sp. PABB004]	QAXK01011105.1_8336-6488
OG0000747	KAF8060493.1 SYP61 [Scenedesmus sp. PABB004]	QAXK01006607.1_16309-17535
OG0000753	KAF8062970.1 Succinate--CoA ligase [ADP-forming] subunit beta [Scenedesmus sp. PABB004]	QAXK01001647.1_3154-482
OG0000764	KAF8058334.1 VTE4 [Scenedesmus sp. PABB004]	QAXK01005724.1_7661-4858
OG0000770	KAF8070973.1 putative glucose-6-phosphate 1-epimerase [Scenedesmus sp. PABB004]	QAXK01003607.1_11324-13747
OG0000774	KAF8069541.1 ATG101 [Scenedesmus sp. PABB004]	QAXK01004825.1_8965-10753
OG0000777	KAF8072499.1 Zinc finger CCCH domain-containing protein 10 [Scenedesmus sp. PABB004]	QAXK01002948.1_4354-3157
OG0000784	KAF8073091.1 dpm1 [Scenedesmus sp. PABB004]	QAXK01014689.1_5406-4708
OG0000786	KAF8062042.1 protein-ribulosamine 3-kinase [Scenedesmus sp. PABB004]	QAXK01006828.1_9411-7696
OG0000788	KAF8059719.1 Caltractin [Scenedesmus sp. PABB004]	QAXK01010339.1_3422-4517
OG0000793	KAF8071092.1 RHD3 [Scenedesmus sp. PABB004]	QAXK01000249.1_22218-16975
OG0000799	KAF8066360.1 NUC1 [Scenedesmus sp. PABB004]	QAXK01005565.1_18254-19052
OG0000818	KAF8064537.1 ADNT1 [Scenedesmus sp. PABB004]	QAXK01008587.1_153-1989
OG0000819	KAF8065598.1 hypothetical protein HT031_003199 [Scenedesmus sp. PABB004]	QAXK01003572.1_15443-13865
OG0000827	KAF8072873.1 hypothetical protein HT031_000533 [Scenedesmus sp. PABB004]	QAXK01003364.1_14418-18303
OG0000828	KAF8065478.1 CCB2 [Scenedesmus sp. PABB004], KAF8065912.1 RPL21M [Scenedesmus sp. PABB004]	QAXK01000782.1_20679-19905
OG0000830	KAF8072658.1 Serine/threonine-protein kinase SRPK [Scenedesmus sp. PABB004]	QAXK01013271.1_12309-15183
OG0000838	KAF8066236.1 BOB1 [Scenedesmus sp. PABB004], KAF8072502.1 ftsZ [Scenedesmus sp. PABB004]	QAXK01003718.1_1305-2104
OG0000856	KAF8058039.1 coiled-coil domain-containing protein [Scenedesmus sp. PABB004]	QAXK01018212.1_1235-2568
OG0000857	KAF8069590.1 BOR1 [Scenedesmus sp. PABB004]	QAXK01003829.1_4453-4800
OG0000858	KAF8062910.1 ATP23 [Scenedesmus sp. PABB004], KAF8059713.1 PIP5K1 [Scenedesmus sp. PABB004]	QAXK01000114.1_14115-13091
OG0000882	KAF8060038.1 serine/threonine-protein kinase [Scenedesmus sp. PABB004], KAF8066374.1 fyna [Scenedesmus sp. PABB004], KAF8069589.1 FEN1 [Scenedesmus sp. PABB004]	QAXK01006249.1_4939-7634
OG0000890	KAF8057728.1 hypothetical protein HT031_005912 [Scenedesmus sp. PABB004]	QAXK01001134.1_10091-19430
OG0000898	KAF8064535.1 RNA cytidine acetyltransferase 1 [Scenedesmus sp. PABB004]	QAXK01003876.1_5991-120
OG0000899	KAF8068261.1 TIF3C1 [Scenedesmus sp. PABB004]	QAXK01013989.1_346-4178
OG0000908	KAF8062805.1 IscA-like protein [Scenedesmus sp. PABB004]	QAXK01003972.1_3812-4471
OG0000925	KAF8064602.1 hypothetical protein HT031_003403 [Scenedesmus sp. PABB004]	QAXK01005294.1_1798-325
OG0000926	KAF8062786.1 CKAP5 [Scenedesmus sp. PABB004]	QAXK01006171.1_11343-179
OG0000934	KAF8057137.1 CSLA3 [Scenedesmus sp. PABB004]	QAXK01002301.1_12772-10269
OG0000936	KAF8059185.1 TCAF2 [Scenedesmus sp. PABB004]	QAXK01016824.1_8642-5783
OG0000942	KAF8067129.1 PAT24 [Scenedesmus sp. PABB004]	QAXK01000587.1_67122-65127
OG0000950	KAF8055491.1 lacZ [Scenedesmus sp. PABB004]	QAXK01002497.1_4221-184
OG0000953	KAF8063825.1 hypothetical protein HT031_003682 [Scenedesmus sp. PABB004], KAF8055991.1 hypothetical protein HT031_006512 [Scenedesmus sp. PABB004], KAF8056016.1 hypothetical protein HT031_006537 [Scenedesmus sp. PABB004], KAF8072948.1 CSN2 [Scenedesmus sp. PABB004]	QAXK01003575.1_2283-197
OG0000971	KAF8067403.1 M3KE1 [Scenedesmus sp. PABB004]	QAXK01002117.1_8261-6549
OG0000972	KAF8054894.1 NADH dehydrogenase [ubiquinone] flavoprotein 1 [Scenedesmus sp. PABB004]	QAXK01000705.1_20067-23668
OG0000974	KAF8063857.1 PL10B [Scenedesmus sp. PABB004]	QAXK01004234.1_3012-6646
OG0000975	KAF8056826.1 LACS7 [Scenedesmus sp. PABB004], KAF8073206.1 LACS7 [Scenedesmus sp. PABB004]	QAXK01000204.1_17480-21863
OG0000993	KAF8061888.1 DAW1 [Scenedesmus sp. PABB004]	QAXK01000283.1_5726-3204
OG0001052	KAF8056760.1 TGD2 [Scenedesmus sp. PABB004], KAF8056764.1 RD21A [Scenedesmus sp. PABB004], KAF8056772.1 hypothetical protein HT031_006270 [Scenedesmus sp. PABB004], KAF8056774.1 hypothetical protein HT031_006272 [Scenedesmus sp. PABB004]	QAXK01004375.1_5952-7899
OG0001054	KAF8056785.1 1-acyl-sn-glycerol-3-phosphate acyltransferase [Scenedesmus sp. PABB004]	QAXK01011306.1_4473-2613
OG0001058	KAF8073240.1 hypothetical protein HT031_000901 [Scenedesmus sp. PABB004]	QAXK01006232.1_3779-3289
OG0001060	KAF8063090.1 AIP1 [Scenedesmus sp. PABB004], KAF8061128.1 hypothetical protein HT031_004589 [Scenedesmus sp. PABB004], KAF8060275.1 hly [Scenedesmus sp. PABB004]	QAXK01001037.1_5070-1976
OG0001061	KAF8065444.1 40S ribosomal protein S3a [Scenedesmus sp. PABB004]	QAXK01005753.1_2076-3799
OG0001062	KAF8063085.1 smkA [Scenedesmus sp. PABB004]	QAXK01000341.1_1318-5933
OG0001063	KAF8068343.1 selD1 [Scenedesmus sp. PABB004]	QAXK01005942.1_10013-5629
OG0001064	KAF8063764.1 SPP1 [Scenedesmus sp. PABB004]	QAXK01004812.1_12403-13506
OG0001072	KAF8060362.1 BMS1 [Scenedesmus sp. PABB004]	QAXK01000429.1_50912-41458
OG0001074	KAF8073133.1 SAMS2 [Scenedesmus sp. PABB004], KAF8058429.1 hypothetical protein HT031_005553 [Scenedesmus sp. PABB004]	QAXK01000217.1_8076-10531
OG0001079	KAF8056112.1 pantothenate kinase 2 [Scenedesmus sp. PABB004]	QAXK01000446.1_57156-52957
OG0001082	KAF8073167.1 ATP synthase subunit delta [Scenedesmus sp. PABB004]	QAXK01005854.1_4720-5401
OG0001094	KAF8072914.1 GAL1 [Scenedesmus sp. PABB004], KAF8072885.1 GAL1 [Scenedesmus sp. PABB004]	QAXK01001089.1_6956-8023
OG0001095	KAF8071286.1 hypothetical protein HT031_001369 [Scenedesmus sp. PABB004], KAF8058433.1 eukaryotic translation initiation factor 5-1 [Scenedesmus sp. PABB004]	QAXK01000217.1_13973-11099
OG0001096	KAF8067426.1 mnd1 [Scenedesmus sp. PABB004], KAF8067425.1 hypothetical protein HT031_002473 [Scenedesmus sp. PABB004]	QAXK01005613.1_12658-11106
OG0001099	KAF8063747.1 NRPB3 [Scenedesmus sp. PABB004]	QAXK01001823.1_3618-2631
OG0001101	KAF8066359.1 EIF3D [Scenedesmus sp. PABB004]	QAXK01003836.1_8909-3187
OG0001103	KAF8064568.1 TMN7 [Scenedesmus sp. PABB004], KAF8062046.1 TMN7 [Scenedesmus sp. PABB004]	QAXK01003163.1_8178-11099
OG0001105	KAF8071039.1 Usp2 [Scenedesmus sp. PABB004]	QAXK01006902.1_4861-6562
