Orthogroup	Scenedesmus_PABB004	Chlorella_VariabilisNC64A
OG0000026	KAF8061965.1 hypothetical protein HT031_004225 [Scenedesmus sp. PABB004]	XP_005848688.1 hypothetical protein CHLNCDRAFT_57509 [Chlorella variabilis]
OG0000028	KAF8071329.1 hypothetical protein HT031_001412 [Scenedesmus sp. PABB004]	XP_005844756.1 hypothetical protein CHLNCDRAFT_54290 [Chlorella variabilis], XP_005845947.1 hypothetical protein CHLNCDRAFT_135930 [Chlorella variabilis], XP_005845945.1 hypothetical protein CHLNCDRAFT_135928 [Chlorella variabilis], XP_005846105.1 hypothetical protein CHLNCDRAFT_136011 [Chlorella variabilis], XP_005845948.1 hypothetical protein CHLNCDRAFT_135932 [Chlorella variabilis], XP_005843455.1 hypothetical protein CHLNCDRAFT_141091 [Chlorella variabilis], XP_005845965.1 hypothetical protein CHLNCDRAFT_135974 [Chlorella variabilis], XP_005845963.1 hypothetical protein CHLNCDRAFT_135972 [Chlorella variabilis], XP_005846074.1 hypothetical protein CHLNCDRAFT_58343 [Chlorella variabilis], XP_005845962.1 hypothetical protein CHLNCDRAFT_135971 [Chlorella variabilis], XP_005846079.1 hypothetical protein CHLNCDRAFT_135922 [Chlorella variabilis], XP_005845964.1 hypothetical protein CHLNCDRAFT_135973 [Chlorella variabilis], XP_005846080.1 hypothetical protein CHLNCDRAFT_135923 [Chlorella variabilis], XP_005846078.1 hypothetical protein CHLNCDRAFT_135921 [Chlorella variabilis], XP_005851357.1 hypothetical protein CHLNCDRAFT_49764 [Chlorella variabilis], XP_005844829.1 hypothetical protein CHLNCDRAFT_138267 [Chlorella variabilis], XP_005846086.1 hypothetical protein CHLNCDRAFT_135944 [Chlorella variabilis], XP_005845946.1 hypothetical protein CHLNCDRAFT_135929 [Chlorella variabilis], XP_005849194.1 hypothetical protein CHLNCDRAFT_143883 [Chlorella variabilis], XP_005846085.1 hypothetical protein CHLNCDRAFT_135942 [Chlorella variabilis], XP_005847353.1 expressed protein [Chlorella variabilis], XP_005845589.1 hypothetical protein CHLNCDRAFT_53764 [Chlorella variabilis], XP_005851663.1 expressed protein [Chlorella variabilis], XP_005845031.1 hypothetical protein CHLNCDRAFT_137260 [Chlorella variabilis], XP_005847189.1 hypothetical protein CHLNCDRAFT_52864 [Chlorella variabilis]
OG0000029	KAF8060533.1 EXPA15 [Scenedesmus sp. PABB004]	XP_005851767.1 hypothetical protein CHLNCDRAFT_49465 [Chlorella variabilis]
OG0000029	KAF8069379.1 EXPA2 [Scenedesmus sp. PABB004]	XP_005848335.1 hypothetical protein CHLNCDRAFT_51898 [Chlorella variabilis]
OG0000031	KAF8068429.1 cyp-13A10 [Scenedesmus sp. PABB004]	XP_005846217.1 hypothetical protein CHLNCDRAFT_135475 [Chlorella variabilis]
OG0000031	KAF8072732.1 Cyp3a9 [Scenedesmus sp. PABB004]	XP_005849862.1 hypothetical protein CHLNCDRAFT_57280 [Chlorella variabilis], XP_005852048.1 hypothetical protein CHLNCDRAFT_49396 [Chlorella variabilis], XP_005849595.1 hypothetical protein CHLNCDRAFT_34731 [Chlorella variabilis]
OG0000035	KAF8070895.1 hypothetical protein HT031_000976 [Scenedesmus sp. PABB004]	XP_005846504.1 hypothetical protein CHLNCDRAFT_48950 [Chlorella variabilis]
OG0000035	KAF8055285.1 KCS4 [Scenedesmus sp. PABB004], KAF8065770.1 KCS4 [Scenedesmus sp. PABB004], KAF8070862.1 KCS1 [Scenedesmus sp. PABB004], KAF8055276.1 KCS1 [Scenedesmus sp. PABB004], KAF8057691.1 KCS17 [Scenedesmus sp. PABB004], KAF8057911.1 KCS2 [Scenedesmus sp. PABB004]	XP_005843528.1 hypothetical protein CHLNCDRAFT_141048 [Chlorella variabilis]
OG0000036	KAF8072834.1 TRZ1 [Scenedesmus sp. PABB004], KAF8059664.1 Map3k11 [Scenedesmus sp. PABB004]	XP_005848312.1 hypothetical protein CHLNCDRAFT_144971 [Chlorella variabilis], XP_005844903.1 hypothetical protein CHLNCDRAFT_138454 [Chlorella variabilis], XP_005848446.1 hypothetical protein CHLNCDRAFT_144815 [Chlorella variabilis], XP_005844389.1 expressed protein [Chlorella variabilis], XP_005842713.1 hypothetical protein CHLNCDRAFT_55725_ partial [Chlorella variabilis]
OG0000037	KAF8062790.1 RCABP89 [Scenedesmus sp. PABB004]	XP_005850667.1 hypothetical protein CHLNCDRAFT_59584 [Chlorella variabilis]
OG0000037	KAF8057671.1 Chlorophyll a-b binding protein of LHCII type I [Scenedesmus sp. PABB004]	XP_005844209.1 hypothetical protein CHLNCDRAFT_32733 [Chlorella variabilis]
OG0000039	KAF8066381.1 hif1an [Scenedesmus sp. PABB004]	XP_005851046.1 hypothetical protein CHLNCDRAFT_140939 [Chlorella variabilis]
OG0000039	KAF8072832.1 hypothetical protein HT031_000492 [Scenedesmus sp. PABB004]	XP_005850761.1 hypothetical protein CHLNCDRAFT_140927 [Chlorella variabilis]
OG0000042	KAF8065474.1 pho-4 [Scenedesmus sp. PABB004], KAF8066209.1 pho-4 [Scenedesmus sp. PABB004], KAF8059159.1 PHO89 [Scenedesmus sp. PABB004]	XP_005852067.1 hypothetical protein CHLNCDRAFT_133070 [Chlorella variabilis]
OG0000043	KAF8065606.1 infC [Scenedesmus sp. PABB004]	XP_005842589.1 hypothetical protein CHLNCDRAFT_143368_ partial [Chlorella variabilis], XP_005845063.1 hypothetical protein CHLNCDRAFT_137349 [Chlorella variabilis]
OG0000043	KAF8057148.1 alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062772.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062771.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062770.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062769.1 alpha-glucosidase [Scenedesmus sp. PABB004], KAF8061064.1 alpha-glucosidase [Scenedesmus sp. PABB004]	XP_005843193.1 hypothetical protein CHLNCDRAFT_28370_ partial [Chlorella variabilis], XP_005845064.1 hypothetical protein CHLNCDRAFT_26299_ partial [Chlorella variabilis], XP_005843192.1 hypothetical protein CHLNCDRAFT_141480 [Chlorella variabilis], XP_005848336.1 hypothetical protein CHLNCDRAFT_57649 [Chlorella variabilis]
OG0000044	KAF8056149.1 pol [Scenedesmus sp. PABB004], KAF8057711.1 pol [Scenedesmus sp. PABB004]	XP_005851720.1 hypothetical protein CHLNCDRAFT_133052 [Chlorella variabilis], XP_005844120.1 hypothetical protein CHLNCDRAFT_139582 [Chlorella variabilis]
OG0000045	KAF8073262.1 ABCG35 [Scenedesmus sp. PABB004]	XP_005851756.1 expressed protein [Chlorella variabilis]
OG0000046	KAF8060501.1 Smyd3 [Scenedesmus sp. PABB004]	XP_005851084.1 hypothetical protein CHLNCDRAFT_137604 [Chlorella variabilis], XP_005851377.1 hypothetical protein CHLNCDRAFT_137597 [Chlorella variabilis], XP_005845797.1 hypothetical protein CHLNCDRAFT_136507 [Chlorella variabilis], XP_005851085.1 hypothetical protein CHLNCDRAFT_137605 [Chlorella variabilis], XP_005851383.1 expressed protein [Chlorella variabilis], XP_005852310.1 hypothetical protein CHLNCDRAFT_143410 [Chlorella variabilis], XP_005843074.1 hypothetical protein CHLNCDRAFT_141610 [Chlorella variabilis], XP_005844674.1 hypothetical protein CHLNCDRAFT_138568 [Chlorella variabilis], XP_005843209.1 hypothetical protein CHLNCDRAFT_141452 [Chlorella variabilis], XP_005844670.1 hypothetical protein CHLNCDRAFT_138562 [Chlorella variabilis], XP_005851083.1 hypothetical protein CHLNCDRAFT_137603 [Chlorella variabilis], XP_005845033.1 hypothetical protein CHLNCDRAFT_137265 [Chlorella variabilis], XP_005844128.1 hypothetical protein CHLNCDRAFT_139617 [Chlorella variabilis], XP_005842747.1 hypothetical protein CHLNCDRAFT_15703_ partial [Chlorella variabilis], XP_005852017.1 hypothetical protein CHLNCDRAFT_132958 [Chlorella variabilis]
OG0000049	KAF8058952.1 MTK1 [Scenedesmus sp. PABB004], KAF8055466.1 methylthioribose-1-phosphate isomerase [Scenedesmus sp. PABB004]	XP_005850664.1 hypothetical protein CHLNCDRAFT_140697 [Chlorella variabilis]
OG0000050	KAF8057910.1 hypothetical protein HT031_005856 [Scenedesmus sp. PABB004], KAF8069493.1 hypothetical protein HT031_001609 [Scenedesmus sp. PABB004]	XP_005843733.1 hypothetical protein CHLNCDRAFT_9818_ partial [Chlorella variabilis], XP_005845925.1 hypothetical protein CHLNCDRAFT_32075 [Chlorella variabilis], XP_005845811.1 hypothetical protein CHLNCDRAFT_58489 [Chlorella variabilis], XP_005843048.1 hypothetical protein CHLNCDRAFT_141619 [Chlorella variabilis], XP_005849238.1 hypothetical protein CHLNCDRAFT_34835 [Chlorella variabilis], XP_005849094.1 hypothetical protein CHLNCDRAFT_143620 [Chlorella variabilis], XP_005845524.1 hypothetical protein CHLNCDRAFT_136634 [Chlorella variabilis], XP_005848889.1 hypothetical protein CHLNCDRAFT_21860_ partial [Chlorella variabilis]
OG0000051	KAF8060322.1 DTX16 [Scenedesmus sp. PABB004]	XP_005851143.1 hypothetical protein CHLNCDRAFT_19008 [Chlorella variabilis], XP_005844999.1 hypothetical protein CHLNCDRAFT_26336_ partial [Chlorella variabilis], XP_005845653.1 hypothetical protein CHLNCDRAFT_58521 [Chlorella variabilis], XP_005851806.1 hypothetical protein CHLNCDRAFT_133260 [Chlorella variabilis], XP_005845002.1 hypothetical protein CHLNCDRAFT_54230 [Chlorella variabilis], XP_005850390.1 hypothetical protein CHLNCDRAFT_142267 [Chlorella variabilis]
OG0000052	KAF8057270.1 hypothetical protein HT031_006078 [Scenedesmus sp. PABB004], KAF8072531.1 hypothetical protein HT031_000191 [Scenedesmus sp. PABB004], KAF8065866.1 hypothetical protein HT031_002926 [Scenedesmus sp. PABB004], KAF8056142.1 hypothetical protein HT031_006493 [Scenedesmus sp. PABB004], KAF8064531.1 Galns [Scenedesmus sp. PABB004], KAF8058413.1 hypothetical protein HT031_005537 [Scenedesmus sp. PABB004], KAF8065865.1 hypothetical protein HT031_002925 [Scenedesmus sp. PABB004], KAF8066216.1 MRL1 [Scenedesmus sp. PABB004], KAF8062975.1 REIL1 [Scenedesmus sp. PABB004]	XP_005848473.1 hypothetical protein CHLNCDRAFT_144874 [Chlorella variabilis]
OG0000053	KAF8062709.1 hypothetical protein HT031_004038 [Scenedesmus sp. PABB004]	XP_005851394.1 hypothetical protein CHLNCDRAFT_137638 [Chlorella variabilis]
OG0000053	KAF8061300.1 RXLR124 [Scenedesmus sp. PABB004], KAF8062650.1 Eea1 [Scenedesmus sp. PABB004], KAF8062669.1 hypothetical protein HT031_003998 [Scenedesmus sp. PABB004], KAF8062646.1 hypothetical protein HT031_003975 [Scenedesmus sp. PABB004], KAF8062678.1 TATDN3 [Scenedesmus sp. PABB004], KAF8062639.1 hypothetical protein HT031_003968 [Scenedesmus sp. PABB004], KAF8062649.1 hypothetical protein HT031_003978 [Scenedesmus sp. PABB004], KAF8062697.1 hypothetical protein HT031_004026 [Scenedesmus sp. PABB004], KAF8062625.1 hypothetical protein HT031_003954 [Scenedesmus sp. PABB004], KAF8062704.1 hypothetical protein HT031_004033 [Scenedesmus sp. PABB004], KAF8057124.1 hypothetical protein HT031_006133 [Scenedesmus sp. PABB004], KAF8062707.1 hypothetical protein HT031_004036 [Scenedesmus sp. PABB004], KAF8062672.1 hypothetical protein HT031_004001 [Scenedesmus sp. PABB004], KAF8062687.1 Papln [Scenedesmus sp. PABB004]	XP_005845146.1 hypothetical protein CHLNCDRAFT_137283 [Chlorella variabilis]
OG0000055	KAF8073197.1 MEE40 [Scenedesmus sp. PABB004]	XP_005850181.1 hypothetical protein CHLNCDRAFT_142374 [Chlorella variabilis]
OG0000055	KAF8072999.1 pentatricopeptide repeat-containing protein [Scenedesmus sp. PABB004]	XP_005843273.1 hypothetical protein CHLNCDRAFT_141309 [Chlorella variabilis], XP_005850183.1 hypothetical protein CHLNCDRAFT_142385 [Chlorella variabilis], XP_005844014.1 hypothetical protein CHLNCDRAFT_59068 [Chlorella variabilis]
OG0000060	KAF8060352.1 dhkB [Scenedesmus sp. PABB004]	XP_005844701.1 hypothetical protein CHLNCDRAFT_14999_ partial [Chlorella variabilis]
OG0000060	KAF8063740.1 e2f7 [Scenedesmus sp. PABB004]	XP_005844700.1 hypothetical protein CHLNCDRAFT_138629 [Chlorella variabilis]
OG0000060	KAF8062684.1 zinc finger protein BRUTUS-like [Scenedesmus sp. PABB004]	XP_005844698.1 hypothetical protein CHLNCDRAFT_138627 [Chlorella variabilis]
OG0000062	KAF8063043.1 CCDC40 [Scenedesmus sp. PABB004]	XP_005848205.1 hypothetical protein CHLNCDRAFT_144696 [Chlorella variabilis]
OG0000063	KAF8069607.1 PEX14 [Scenedesmus sp. PABB004]	XP_005850762.1 hypothetical protein CHLNCDRAFT_50486 [Chlorella variabilis], XP_005842615.1 hypothetical protein CHLNCDRAFT_29058 [Chlorella variabilis], XP_005843458.1 hypothetical protein CHLNCDRAFT_59259 [Chlorella variabilis], XP_005850528.1 expressed protein [Chlorella variabilis], XP_005845519.1 hypothetical protein CHLNCDRAFT_136616 [Chlorella variabilis], XP_005843447.1 hypothetical protein CHLNCDRAFT_55168 [Chlorella variabilis], XP_005842754.1 hypothetical protein CHLNCDRAFT_144639 [Chlorella variabilis], XP_005851042.1 hypothetical protein CHLNCDRAFT_50487 [Chlorella variabilis], XP_005847720.1 hypothetical protein CHLNCDRAFT_52245 [Chlorella variabilis], XP_005844673.1 expressed protein [Chlorella variabilis], XP_005846096.1 hypothetical protein CHLNCDRAFT_135985 [Chlorella variabilis], XP_005852046.1 hypothetical protein CHLNCDRAFT_133020 [Chlorella variabilis], XP_005846333.1 hypothetical protein CHLNCDRAFT_135745 [Chlorella variabilis], XP_005850440.1 hypothetical protein CHLNCDRAFT_142380 [Chlorella variabilis], XP_005848398.1 hypothetical protein CHLNCDRAFT_144688 [Chlorella variabilis], XP_005842981.1 hypothetical protein CHLNCDRAFT_141678 [Chlorella variabilis], XP_005842673.1 hypothetical protein CHLNCDRAFT_137232 [Chlorella variabilis], XP_005849107.1 hypothetical protein CHLNCDRAFT_143663_ partial [Chlorella variabilis], XP_005843452.1 hypothetical protein CHLNCDRAFT_141072 [Chlorella variabilis], XP_005843419.1 hypothetical protein CHLNCDRAFT_141059 [Chlorella variabilis], XP_005849189.1 hypothetical protein CHLNCDRAFT_143868 [Chlorella variabilis], XP_005844546.1 hypothetical protein CHLNCDRAFT_138984 [Chlorella variabilis], XP_005849016.1 hypothetical protein CHLNCDRAFT_144604 [Chlorella variabilis]
OG0000064	KAF8072395.1 infB [Scenedesmus sp. PABB004]	XP_005847246.1 hypothetical protein CHLNCDRAFT_31223 [Chlorella variabilis]
OG0000064	KAF8068312.1 CUL4A [Scenedesmus sp. PABB004]	XP_005843899.1 hypothetical protein CHLNCDRAFT_32941 [Chlorella variabilis]
OG0000064	KAF8071138.1 CUL3A [Scenedesmus sp. PABB004]	XP_005844634.1 hypothetical protein CHLNCDRAFT_138949 [Chlorella variabilis]
