Orthogroup	Duplications (all)	Duplications (50% support)
OG0000103	14	10
OG0000104	7	5
OG0000105	7	6
OG0000106	7	3
OG0000107	13	11
OG0000108	19	14
OG0000109	22	20
OG0000110	26	26
OG0000111	12	5
OG0000112	6	5
OG0000113	10	7
OG0000114	6	3
OG0000115	2	2
OG0000116	5	2
OG0000117	10	9
OG0000118	8	5
OG0000119	3	3
OG0000120	14	13
OG0000121	14	9
OG0000122	22	22
OG0000123	25	25
OG0000124	8	4
OG0000125	7	1
OG0000126	5	2
OG0000127	11	10
OG0000128	4	3
OG0000129	8	8
OG0000130	5	4
OG0000131	7	3
OG0000132	6	5
OG0000133	3	3
OG0000134	16	10
OG0000135	5	2
OG0000136	13	13
OG0000137	7	4
OG0000138	12	12
OG0000139	18	16
OG0000140	24	24
OG0000141	11	10
OG0000142	9	4
OG0000143	9	7
OG0000144	5	3
OG0000145	10	5
OG0000146	4	4
OG0000147	6	6
OG0000148	7	5
OG0000149	4	2
OG0000150	5	4
OG0000151	6	5
OG0000152	6	1
OG0000153	6	6
OG0000154	9	8
OG0000155	7	7
OG0000156	10	9
OG0000157	7	6
OG0000158	9	8
OG0000159	7	5
OG0000160	8	5
OG0000161	12	11
OG0000162	9	5
OG0000163	4	1
OG0000164	9	6
OG0000165	3	3
OG0000166	8	6
OG0000167	9	6
OG0000168	2	2
OG0000169	5	2
OG0000170	7	4
OG0000171	7	1
OG0000172	11	8
OG0000173	11	8
OG0000174	6	4
OG0000175	8	3
OG0000176	11	9
OG0000177	4	2
OG0000178	12	11
OG0000179	8	3
OG0000180	14	12
OG0000181	22	22
OG0000182	22	22
OG0000183	6	2
OG0000184	5	4
OG0000185	4	3
OG0000186	8	4
OG0000187	4	2
OG0000188	8	6
OG0000189	4	1
OG0000190	3	1
OG0000191	5	4
OG0000192	5	1
OG0000193	10	6
OG0000194	9	8
OG0000195	6	4
OG0000196	8	7
OG0000197	8	4
OG0000198	6	4
OG0000199	6	6
OG0000200	6	5
OG0000201	4	4
OG0000202	3	2
OG0000203	11	2
OG0000204	6	4
OG0000205	11	7
OG0000206	8	6
OG0000207	3	3
OG0000208	8	6
OG0000209	10	10
OG0000210	9	9
OG0000211	6	5
OG0000212	11	7
OG0000213	19	19
OG0000214	8	5
OG0000215	8	8
OG0000216	7	4
OG0000217	6	2
OG0000218	5	4
OG0000219	6	5
OG0000220	3	2
OG0000221	11	9
OG0000222	4	1
OG0000223	3	2
OG0000224	4	3
OG0000225	4	2
OG0000226	3	3
OG0000227	5	5
OG0000228	5	4
OG0000229	3	3
OG0000230	9	6
OG0000231	8	7
OG0000232	4	4
OG0000233	4	2
OG0000234	3	3
OG0000235	5	4
OG0000236	5	4
OG0000237	14	11
OG0000238	14	14
OG0000239	16	16
OG0000240	6	5
OG0000241	6	6
OG0000242	6	3
OG0000243	5	2
OG0000244	6	4
OG0000245	5	2
OG0000246	11	9
OG0000247	3	2
OG0000248	5	3
OG0000249	8	7
OG0000250	4	3
OG0000251	10	7
OG0000252	3	3
OG0000253	9	6
OG0000254	3	2
OG0000255	2	1
OG0000256	8	5
OG0000257	12	11
OG0000258	13	13
OG0000259	4	1
OG0000260	4	2
OG0000261	7	4
OG0000262	8	4
OG0000263	7	6
OG0000264	3	2
OG0000265	3	1
OG0000266	3	2
OG0000267	5	5
OG0000268	3	2
OG0000269	6	0
OG0000270	4	2
OG0000271	5	5
OG0000272	3	2
OG0000273	7	4
OG0000274	5	4
OG0000275	4	2
OG0000276	5	1
OG0000277	11	10
OG0000278	7	7
OG0000279	14	14
OG0000280	11	9
OG0000281	19	19
OG0000282	19	19
OG0000283	10	8
OG0000284	6	6
OG0000285	6	6
OG0000286	6	5
OG0000287	4	4
OG0000288	6	6
OG0000289	5	1
OG0000290	4	4
OG0000291	5	3
OG0000292	8	7
OG0000293	4	4
OG0000294	2	1
OG0000295	4	2
OG0000296	5	5
OG0000297	4	0
OG0000298	6	1
OG0000299	5	1
OG0000300	5	1
OG0000301	4	1
OG0000302	2	2
OG0000303	2	2
OG0000304	4	3
OG0000305	2	2
OG0000306	5	5
OG0000307	3	2
OG0000308	7	6
OG0000309	7	5
OG0000310	4	1
OG0000311	6	3
OG0000312	5	4
OG0000313	5	4
OG0000314	6	5
OG0000315	4	2
OG0000316	3	2
OG0000317	1	1
OG0000318	8	6
OG0000319	5	3
OG0000320	5	4
OG0000321	6	1
OG0000322	7	4
OG0000323	5	4
OG0000324	2	2
OG0000325	10	9
OG0000326	12	11
OG0000327	9	9
OG0000328	4	2
OG0000329	4	2
OG0000330	11	10
OG0000331	6	4
OG0000332	8	8
OG0000333	5	2
OG0000334	9	7
OG0000335	14	14
OG0000336	6	4
OG0000337	15	15
OG0000338	18	18
OG0000339	18	18
OG0000340	4	1
OG0000341	4	4
OG0000342	4	2
OG0000343	5	2
OG0000344	1	1
OG0000345	3	3
OG0000346	2	2
OG0000347	6	4
OG0000348	4	3
OG0000349	5	5
OG0000350	2	2
OG0000351	2	2
OG0000352	6	3
OG0000353	5	2
OG0000354	1	1
OG0000355	5	1
OG0000356	1	1
OG0000357	4	3
OG0000358	6	4
OG0000359	6	4
OG0000360	6	5
OG0000361	5	4
OG0000362	2	1
OG0000363	4	4
OG0000364	2	1
OG0000365	8	6
OG0000366	4	4
OG0000367	4	2
OG0000368	5	4
OG0000369	5	5
OG0000370	4	1
OG0000371	3	3
OG0000372	4	1
OG0000373	6	3
OG0000374	3	3
OG0000375	3	1
OG0000376	2	2
OG0000377	4	3
OG0000378	10	10
OG0000379	3	2
OG0000380	8	7
OG0000381	4	3
OG0000382	4	4
OG0000383	6	6
OG0000384	6	4
OG0000385	5	2
OG0000386	2	1
OG0000387	8	7
OG0000388	3	3
OG0000389	2	2
OG0000390	2	2
OG0000391	5	0
OG0000392	6	4
OG0000393	7	6
OG0000394	4	2
OG0000395	7	6
OG0000396	5	5
OG0000397	11	10
OG0000398	8	6
OG0000399	17	17
OG0000400	17	17
OG0000401	17	17
OG0000402	17	17
OG0000403	17	17
OG0000404	2	2
OG0000405	4	3
OG0000406	4	4
OG0000407	1	1
OG0000408	7	1
OG0000409	2	2
OG0000410	4	4
OG0000411	4	4
OG0000412	3	2
OG0000413	3	3
OG0000414	4	4
OG0000415	3	2
OG0000416	3	3
OG0000417	9	8
OG0000418	1	1
OG0000419	2	2
OG0000420	5	4
OG0000421	1	1
OG0000422	3	2
OG0000423	1	1
OG0000424	2	1
OG0000425	5	4
OG0000426	2	2
OG0000427	3	3
OG0000428	5	4
OG0000429	1	1
OG0000430	3	2
OG0000431	3	1
OG0000432	3	3
OG0000433	2	1
OG0000434	7	7
OG0000435	3	2
OG0000436	3	3
OG0000437	3	1
OG0000438	6	6
OG0000439	2	2
OG0000440	6	5
OG0000441	6	6
OG0000442	2	2
OG0000443	4	4
OG0000444	6	5
OG0000445	5	5
OG0000446	6	2
OG0000447	2	1
OG0000448	11	11
OG0000449	3	1
OG0000450	5	2
OG0000451	7	4
OG0000452	4	1
OG0000453	3	3
OG0000454	5	3
OG0000455	1	1
OG0000456	3	3
OG0000457	2	1
OG0000458	2	2
OG0000459	5	3
OG0000460	3	3
OG0000461	3	3
OG0000462	8	8
OG0000463	6	3
OG0000464	3	2
OG0000465	4	3
OG0000466	4	3
OG0000467	2	1
OG0000468	1	1
OG0000469	4	3
OG0000470	1	1
OG0000471	4	0
OG0000472	5	1
OG0000473	2	2
OG0000474	6	3
OG0000475	3	3
OG0000476	6	5
OG0000477	2	2
OG0000478	2	2
OG0000479	2	2
OG0000480	3	3
OG0000481	9	9
OG0000482	6	3
OG0000483	4	4
OG0000484	9	9
OG0000485	8	5
OG0000486	6	5
OG0000487	11	10
OG0000488	10	10
OG0000489	7	5
OG0000490	6	5
OG0000491	13	13
OG0000492	8	8
OG0000493	5	5
OG0000494	12	12
OG0000495	16	16
OG0000496	16	16
OG0000497	15	15
OG0000498	2	1
OG0000499	3	1
OG0000500	3	1
OG0000501	1	1
OG0000502	7	5
OG0000503	1	1
OG0000504	5	2
OG0000505	5	3
OG0000506	5	1
OG0000507	3	1
OG0000508	4	1
OG0000509	6	5
OG0000510	6	3
OG0000511	2	0
OG0000512	4	1
OG0000513	4	2
OG0000514	4	3
OG0000515	3	3
OG0000516	4	1
OG0000517	4	2
OG0000518	3	2
OG0000519	1	1
OG0000520	4	1
OG0000521	6	1
OG0000522	2	1
OG0000523	6	6
OG0000524	5	5
OG0000525	5	1
OG0000526	2	2
OG0000527	2	2
OG0000528	5	3
OG0000529	6	6
OG0000530	1	1
OG0000531	1	1
OG0000532	6	4
OG0000533	5	2
OG0000534	3	2
OG0000535	3	0
OG0000536	5	3
OG0000537	6	4
OG0000538	2	2
OG0000539	5	3
OG0000540	4	4
OG0000541	4	4
OG0000542	3	0
OG0000543	4	3
OG0000544	1	1
OG0000545	2	2
OG0000546	2	2
OG0000547	6	4
OG0000548	5	4
OG0000549	2	2
OG0000550	7	6
OG0000551	2	2
OG0000552	5	4
OG0000553	3	3
OG0000554	6	2
OG0000555	1	1
OG0000556	5	4
OG0000557	6	5
OG0000558	5	0
OG0000559	1	1
OG0000560	5	5
OG0000561	3	3
OG0000562	5	4
OG0000563	6	4
OG0000564	2	2
OG0000565	7	2
OG0000566	4	3
OG0000567	2	1
OG0000568	2	2
OG0000569	6	4
OG0000570	2	1
OG0000571	6	3
OG0000572	4	0
OG0000573	1	1
OG0000574	2	1
OG0000575	3	1
OG0000576	2	2
OG0000577	4	0
OG0000578	2	2
OG0000579	4	2
OG0000580	7	6
OG0000581	3	3
OG0000582	4	1
OG0000583	3	2
OG0000584	5	3
OG0000585	3	1
OG0000586	1	1
OG0000587	2	2
OG0000588	2	2
OG0000589	5	5
OG0000590	4	1
OG0000591	6	6
OG0000592	5	5
OG0000593	4	4
OG0000594	5	3
OG0000595	1	1
OG0000596	4	4
OG0000597	9	8
OG0000598	4	1
OG0000599	8	8
OG0000600	6	5
OG0000601	12	12
OG0000602	9	7
OG0000603	9	8
OG0000604	5	4
OG0000605	5	5
OG0000606	4	3
OG0000607	9	8
OG0000608	15	15
OG0000609	4	4
OG0000610	3	2
OG0000611	1	1
OG0000612	3	3
OG0000613	3	2
OG0000614	7	7
OG0000615	2	2
OG0000616	3	0
OG0000617	1	1
OG0000618	3	2
OG0000619	4	3
OG0000620	3	1
OG0000621	3	1
OG0000622	5	3
OG0000623	3	3
OG0000624	5	3
OG0000625	4	4
OG0000626	1	1
OG0000627	4	3
OG0000628	2	2
OG0000629	1	1
OG0000630	2	0
OG0000631	2	1
OG0000632	3	2
OG0000633	3	2
OG0000634	3	3
OG0000635	1	1
OG0000636	4	3
OG0000637	2	0
OG0000638	4	1
OG0000639	3	2
OG0000640	2	2
OG0000641	6	6
OG0000642	3	3
OG0000643	4	3
OG0000644	4	4
OG0000645	5	4
OG0000646	1	1
OG0000647	4	3
OG0000648	1	1
OG0000649	4	0
OG0000650	1	1
OG0000651	3	2
OG0000652	4	3
OG0000653	3	0
OG0000654	1	1
OG0000655	5	5
OG0000656	1	1
OG0000657	1	1
OG0000658	2	1
OG0000659	4	1
OG0000660	4	2
OG0000661	3	2
OG0000662	1	1
OG0000663	5	5
OG0000664	4	1
OG0000665	10	10
OG0000666	3	0
OG0000667	2	2
OG0000668	4	3
OG0000669	3	3
OG0000670	3	3
OG0000671	2	0
OG0000672	2	2
OG0000673	2	2
OG0000674	3	0
OG0000675	5	5
OG0000676	3	0
OG0000677	1	1
OG0000678	3	0
OG0000679	3	0
OG0000680	2	2
OG0000681	1	1
OG0000682	5	3
OG0000683	4	2
OG0000684	2	2
OG0000685	1	1
OG0000686	8	5
OG0000687	3	0
OG0000688	2	0
OG0000689	4	3
OG0000690	2	2
OG0000691	5	2
OG0000692	2	2
OG0000693	3	0
OG0000694	4	1
OG0000695	5	5
OG0000696	2	2
OG0000697	4	0
OG0000698	2	2
OG0000699	4	3
OG0000700	1	1
OG0000701	2	2
OG0000702	6	6
OG0000703	2	2
OG0000704	5	3
OG0000705	7	5
OG0000706	2	2
OG0000707	3	1
OG0000708	6	3
OG0000709	4	1
OG0000710	2	2
OG0000711	8	7
OG0000712	2	2
OG0000713	5	1
OG0000714	2	2
OG0000715	4	2
OG0000716	4	4
OG0000717	8	8
OG0000718	12	12
OG0000719	6	4
OG0000720	5	3
OG0000721	8	6
OG0000722	10	9
OG0000723	6	4
OG0000724	6	5
OG0000725	7	7
OG0000726	5	4
OG0000727	12	12
OG0000728	13	13
OG0000729	3	1
OG0000730	3	0
OG0000731	3	2
OG0000732	5	2
OG0000733	3	1
OG0000734	4	1
OG0000735	3	1
OG0000736	4	2
OG0000737	3	2
OG0000738	2	2
OG0000739	2	2
OG0000740	2	2
OG0000741	5	1
OG0000742	4	3
OG0000743	5	2
OG0000744	3	1
OG0000745	5	5
OG0000746	3	1
OG0000747	1	1
OG0000748	3	1
OG0000749	5	5
OG0000750	5	5
OG0000751	5	5
OG0000752	1	1
OG0000753	4	4
OG0000754	3	1
OG0000755	5	4
OG0000756	2	1
OG0000757	3	2
OG0000758	6	5
OG0000759	4	4
OG0000760	2	2
OG0000761	2	1
OG0000762	4	2
OG0000763	5	5
OG0000764	4	2
OG0000765	4	1
OG0000766	4	3
OG0000767	3	0
OG0000768	1	1
OG0000769	3	2
OG0000770	1	1
OG0000771	2	1
OG0000772	6	3
OG0000773	4	3
OG0000774	3	1
OG0000775	3	1
OG0000776	2	2
OG0000777	3	0
OG0000778	2	1
OG0000779	3	3
OG0000780	1	1
OG0000781	4	3
OG0000782	1	1
OG0000783	3	1
OG0000784	3	0
OG0000785	5	5
OG0000786	3	3
OG0000787	3	3
OG0000788	4	2
OG0000789	2	2
OG0000790	4	1
OG0000791	1	1
OG0000792	3	2
OG0000793	3	2
OG0000794	5	3
OG0000795	2	1
OG0000796	2	2
OG0000797	6	6
OG0000798	4	4
OG0000799	2	2
OG0000800	1	1
OG0000801	2	1
OG0000802	3	2
OG0000803	3	1
OG0000804	2	2
OG0000805	6	6
OG0000806	2	2
OG0000807	3	0
OG0000808	2	2
OG0000809	5	3
OG0000810	5	3
OG0000811	2	2
OG0000812	2	2
OG0000813	5	5
OG0000814	3	1
OG0000815	2	2
OG0000816	2	2
OG0000817	3	2
OG0000818	4	4
OG0000819	1	1
OG0000820	1	1
OG0000821	2	2
OG0000822	1	1
OG0000823	1	1
OG0000824	3	1
OG0000825	5	4
OG0000826	4	3
OG0000827	4	4
OG0000828	2	0
OG0000829	2	0
OG0000830	2	2
OG0000831	7	7
OG0000832	2	1
OG0000833	5	4
OG0000834	4	1
OG0000835	3	1
OG0000836	2	2
OG0000837	5	4
OG0000838	3	1
OG0000839	3	0
OG0000840	1	1
OG0000841	3	1
OG0000842	2	1
OG0000843	2	1
OG0000844	4	3
OG0000845	4	4
OG0000846	2	0
OG0000847	5	4
OG0000848	3	2
OG0000849	2	1
OG0000850	3	2
OG0000851	2	2
OG0000852	1	1
OG0000853	2	2
OG0000854	3	2
OG0000855	2	2
OG0000856	1	1
OG0000857	2	2
OG0000858	3	2
OG0000859	7	6
OG0000860	2	2
OG0000861	8	8
OG0000862	5	3
OG0000863	9	8
OG0000864	2	2
OG0000865	6	5
OG0000866	10	8
OG0000867	5	5
OG0000868	8	8
OG0000869	7	5
OG0000870	4	3
OG0000871	6	5
OG0000872	13	13
OG0000873	8	8
OG0000874	13	13
OG0000875	13	13
OG0000876	13	13
OG0000877	10	10
OG0000878	4	4
OG0000879	3	2
OG0000880	3	1
OG0000881	2	1
OG0000882	2	2
OG0000883	4	1
OG0000884	3	3
OG0000885	2	2
OG0000886	2	1
OG0000887	2	1
OG0000888	2	2
OG0000889	4	3
OG0000890	3	3
OG0000891	4	3
OG0000892	4	4
OG0000893	2	0
OG0000894	3	3
OG0000895	3	3
OG0000896	1	1
OG0000897	1	0
OG0000898	3	3
OG0000899	1	0
OG0000900	3	2
OG0000901	1	1
OG0000902	3	2
OG0000903	3	0
OG0000904	1	1
OG0000905	3	2
OG0000906	6	3
OG0000907	4	3
OG0000908	3	3
OG0000909	3	1
OG0000910	4	3
OG0000911	4	4
OG0000912	3	1
OG0000913	2	0
OG0000914	3	3
OG0000915	4	1
OG0000916	5	5
OG0000917	3	2
OG0000918	3	1
OG0000919	4	3
OG0000920	4	2
OG0000921	3	0
OG0000922	3	2
OG0000923	2	2
OG0000924	4	3
OG0000925	3	3
OG0000926	3	3
OG0000927	2	2
OG0000928	3	0
OG0000929	2	1
OG0000930	4	2
OG0000931	1	1
OG0000932	1	1
OG0000933	4	4
OG0000934	3	3
OG0000935	4	1
OG0000936	2	1
OG0000937	5	4
OG0000938	3	3
OG0000939	3	1
OG0000940	2	0
OG0000941	2	2
OG0000942	1	0
OG0000943	2	0
OG0000944	1	0
OG0000945	3	3
OG0000946	3	3
OG0000947	5	3
OG0000948	2	2
OG0000949	2	2
OG0000950	2	1
OG0000951	2	2
OG0000952	4	4
OG0000953	3	2
OG0000954	2	0
OG0000955	2	2
OG0000956	3	1
OG0000957	5	4
OG0000958	4	3
OG0000959	1	1
OG0000960	2	0
OG0000961	4	1
OG0000962	4	4
OG0000963	3	2
OG0000964	2	1
OG0000965	1	1
OG0000966	4	2
OG0000967	4	4
OG0000968	2	2
OG0000969	1	0
OG0000970	4	3
OG0000971	1	1
OG0000972	3	2
OG0000973	1	1
OG0000974	3	3
OG0000975	2	2
OG0000976	2	2
OG0000977	3	3
OG0000978	3	1
OG0000979	2	1
OG0000980	1	1
OG0000981	2	2
OG0000982	3	1
OG0000983	3	2
OG0000984	2	1
OG0000985	2	2
OG0000986	1	1
OG0000987	2	1
OG0000988	4	1
OG0000989	2	0
OG0000990	3	2
OG0000991	5	2
OG0000992	1	1
OG0000993	2	1
OG0000994	4	4
OG0000995	4	0
OG0000996	3	2
OG0000997	2	1
OG0000998	1	0
OG0000999	3	3
OG0001000	3	2
OG0001001	2	0
OG0001002	1	1
OG0001003	2	2
OG0001004	5	5
OG0001005	4	3
OG0001006	4	1
OG0001007	3	3
OG0001008	1	1
OG0001009	5	4
OG0001010	4	4
OG0001011	2	2
OG0001012	4	4
OG0001013	4	3
OG0001014	1	1
OG0001015	2	1
OG0001016	6	6
OG0001017	3	2
OG0001018	3	2
OG0001019	4	4
OG0001020	5	5
OG0001021	3	2
OG0001022	4	4
OG0001023	2	2
OG0001024	4	4
OG0001025	3	1
OG0001026	2	1
OG0001027	3	3
OG0001028	3	2
OG0001029	2	1
OG0001030	1	1
OG0001031	5	5
OG0001032	4	1
OG0001033	5	4
OG0001034	6	5
OG0001035	5	3
OG0001036	5	4
OG0001037	6	6
OG0001038	3	3
OG0001039	6	4
OG0001040	4	4
OG0001041	4	4
OG0001042	4	4
OG0001043	4	3
OG0001044	4	1
OG0001045	7	5
OG0001046	12	12
OG0001047	12	12
OG0001048	12	12
OG0001049	12	12
OG0001050	12	12
OG0001051	11	11
OG0001052	3	3
OG0001053	1	1
OG0001054	2	2
OG0001055	3	2
OG0001056	2	2
OG0001057	3	0
OG0001058	2	2
OG0001059	1	0
OG0001060	2	2
OG0001061	2	1
OG0001062	2	2
OG0001063	1	0
OG0001064	2	2
OG0001065	1	1
OG0001066	3	1
OG0001067	2	2
OG0001068	3	3
OG0001069	2	1
OG0001070	3	3
OG0001071	4	4
OG0001072	2	1
OG0001073	3	2
OG0001074	1	1
OG0001075	4	2
OG0001076	2	0
OG0001077	3	3
OG0001078	3	3
OG0001079	2	2
OG0001080	2	2
OG0001081	2	0
OG0001082	1	0
OG0001083	3	3
OG0001084	3	3
OG0001085	4	4
OG0001086	4	4
OG0001087	1	0
OG0001088	1	1
OG0001089	3	0
OG0001090	3	2
OG0001091	3	2
OG0001092	3	3
OG0001093	4	3
OG0001094	2	2
OG0001095	1	1
OG0001096	2	1
OG0001097	2	1
OG0001098	2	1
OG0001099	1	1
OG0001100	3	3
OG0001101	3	3
OG0001102	4	3
OG0001103	1	1
OG0001104	2	1
OG0001105	3	3
OG0001106	2	1
OG0001107	3	3
OG0001108	4	3
OG0001109	3	3
OG0001110	3	2
OG0001111	5	4
OG0001112	3	3
OG0001113	4	4
OG0001114	1	0
OG0001115	2	2
OG0001116	2	0
OG0001117	4	0
OG0001118	3	3
OG0001119	2	1
OG0001120	1	0
OG0001121	3	2
OG0001122	1	0
OG0001123	2	2
OG0001124	3	1
OG0001125	1	0
OG0001126	3	2
OG0001127	1	0
OG0001128	2	1
OG0001129	2	2
OG0001130	1	0
OG0001131	3	2
OG0001132	2	1
OG0001133	1	0
OG0001134	3	3
OG0001135	5	5
OG0001136	6	6
OG0001137	4	4
OG0001138	2	1
OG0001139	3	3
OG0001140	4	4
OG0001141	2	0
OG0001142	4	4
OG0001143	1	0
OG0001144	2	0
OG0001145	3	3
OG0001146	5	5
OG0001147	1	1
OG0001148	1	0
OG0001149	3	2
OG0001150	3	3
OG0001151	1	1
OG0001152	1	0
OG0001153	3	3
OG0001154	1	1
OG0001155	4	4
OG0001156	2	2
OG0001157	3	3
OG0001158	3	3
OG0001159	2	1
OG0001160	3	2
OG0001161	3	3
OG0001162	1	1
OG0001163	4	1
OG0001164	3	2
OG0001165	2	1
OG0001166	3	3
OG0001167	3	3
OG0001168	3	1
OG0001169	1	1
OG0001170	2	2
OG0001171	3	1
OG0001172	1	0
OG0001173	3	3
OG0001174	3	3
OG0001175	3	2
OG0001176	2	2
OG0001177	3	3
OG0001178	3	3
OG0001179	1	1
OG0001180	2	1
OG0001181	3	2
OG0001182	2	2
OG0001183	3	3
OG0001184	1	1
OG0001185	3	0
OG0001186	4	2
OG0001187	2	1
OG0001188	4	4
OG0001189	2	1
OG0001190	2	1
OG0001191	4	3
OG0001192	2	1
OG0001193	1	1
OG0001194	2	2
OG0001195	3	1
OG0001196	2	2
OG0001197	1	0
OG0001198	3	1
OG0001199	1	0
OG0001200	1	1
OG0001201	2	2
OG0001202	3	0
OG0001203	2	0
OG0001204	3	3
OG0001205	3	3
OG0001206	3	3
OG0001207	3	3
OG0001208	2	2
OG0001209	1	1
OG0001210	1	1
OG0001211	2	2
OG0001212	4	4
OG0001213	2	1
OG0001214	1	1
OG0001215	3	3
OG0001216	2	2
OG0001217	2	2
OG0001218	3	3
OG0001219	2	2
OG0001220	3	2
OG0001221	2	1
OG0001222	3	2
OG0001223	2	2
OG0001224	4	4
OG0001225	2	0
OG0001226	3	2
OG0001227	4	3
OG0001228	2	0
OG0001229	2	2
OG0001230	5	4
OG0001231	2	0
OG0001232	1	1
OG0001233	2	1
OG0001234	3	2
OG0001235	3	1
OG0001236	2	1
OG0001237	4	4
OG0001238	3	3
OG0001239	2	1
OG0001240	2	1
OG0001241	2	1
OG0001242	2	2
OG0001243	3	3
OG0001244	2	0
OG0001245	3	3
OG0001246	2	2
OG0001247	3	3
OG0001248	2	1
OG0001249	3	1
OG0001250	5	5
OG0001251	3	3
OG0001252	3	3
OG0001253	3	3
OG0001254	4	2
OG0001255	4	4
OG0001256	2	2
OG0001257	2	2
OG0001258	4	3
OG0001259	4	1
OG0001260	4	4
OG0001261	3	2
OG0001262	2	1
OG0001263	4	4
OG0001264	3	3
OG0001265	4	2
OG0001266	3	1
OG0001267	3	1
OG0001268	2	1
OG0001269	1	1
OG0001270	2	1
OG0001271	2	1
OG0001272	2	2
OG0001273	3	3
OG0001274	3	3
OG0001275	4	4
OG0001276	4	4
OG0001277	1	0
OG0001278	1	1
OG0001279	1	0
OG0001280	5	2
OG0001281	3	3
OG0001282	4	2
OG0001283	5	4
OG0001284	9	9
OG0001285	5	5
OG0001286	8	8
OG0001287	4	4
OG0001288	5	4
OG0001289	4	3
OG0001290	8	8
OG0001291	8	8
OG0001292	4	3
OG0001293	4	3
OG0001294	5	4
OG0001295	5	5
OG0001296	6	3
OG0001297	6	4
OG0001298	10	10
OG0001299	8	8
OG0001300	11	11
OG0001301	11	11
OG0001302	11	11
OG0001303	11	11
OG0001304	8	8
OG0001305	3	1
OG0001306	2	1
OG0001307	1	0
OG0001308	2	0
OG0001309	1	1
OG0001310	1	1
OG0001311	1	1
OG0001312	1	1
OG0001313	1	0
OG0001314	2	2
OG0001315	2	2
OG0001316	1	1
OG0001317	3	3
OG0001318	1	1
OG0001319	2	2
OG0001320	1	1
OG0001321	3	3
OG0001322	2	2
OG0001323	3	3
OG0001324	2	1
OG0001325	2	2
OG0001326	2	2
OG0001327	1	1
OG0001328	1	1
OG0001329	2	1
OG0001330	2	2
OG0001331	1	0
OG0001332	1	1
OG0001333	2	2
OG0001334	2	2
OG0001335	1	0
OG0001336	4	4
OG0001337	2	2
OG0001338	1	1
OG0001339	2	2
OG0001340	2	1
OG0001341	2	1
OG0001342	1	1
OG0001343	1	1
OG0001344	2	2
OG0001345	1	0
OG0001346	2	1
OG0001347	1	0
OG0001348	2	2
OG0001349	2	1
OG0001350	2	2
OG0001351	2	2
OG0001352	3	3
OG0001353	1	1
OG0001354	2	0
OG0001355	3	3
OG0001356	1	0
OG0001357	2	1
OG0001358	2	1
OG0001359	1	0
OG0001360	1	1
OG0001361	4	4
OG0001362	3	3
OG0001363	1	1
OG0001364	3	2
OG0001365	2	2
OG0001366	1	0
OG0001367	2	1
OG0001368	2	2
OG0001369	2	2
OG0001370	1	1
OG0001371	2	1
OG0001372	4	3
OG0001373	2	2
OG0001374	1	1
OG0001375	1	1
OG0001376	1	1
OG0001377	2	0
OG0001378	3	2
OG0001379	2	2
OG0001380	1	0
OG0001381	1	0
OG0001382	1	1
OG0001383	1	1
OG0001384	3	3
OG0001385	1	1
OG0001386	1	0
OG0001387	3	2
OG0001388	2	2
OG0001389	5	5
OG0001390	2	2
OG0001391	3	1
OG0001392	3	2
OG0001393	1	1
OG0001394	3	2
