Orthogroup	Chlorella_VariabilisNC64A	Auxenochlorella_protothecoides
OG0000005	XP_005843647.1 hypothetical protein CHLNCDRAFT_54989 [Chlorella variabilis], XP_005843638.1 hypothetical protein CHLNCDRAFT_54972 [Chlorella variabilis], XP_005847129.1 hypothetical protein CHLNCDRAFT_52799 [Chlorella variabilis], XP_005843094.1 hypothetical protein CHLNCDRAFT_28450 [Chlorella variabilis], XP_005843702.1 hypothetical protein CHLNCDRAFT_27894 [Chlorella variabilis]	RMZ53759.1 hypothetical protein APUTEX25_003898 [Auxenochlorella protothecoides], RMZ52566.1 hypothetical protein APUTEX25_003709 [Auxenochlorella protothecoides], RMZ52574.1 hypothetical protein APUTEX25_003717_ partial [Auxenochlorella protothecoides], RMZ55637.1 hypothetical protein APUTEX25_000220_ partial [Auxenochlorella protothecoides], RMZ53009.1 hypothetical protein APUTEX25_001128_ partial [Auxenochlorella protothecoides]
OG0000006	XP_005845485.1 hypothetical protein CHLNCDRAFT_25821 [Chlorella variabilis], XP_005844803.1 hypothetical protein CHLNCDRAFT_13714_ partial [Chlorella variabilis], XP_005847493.1 hypothetical protein CHLNCDRAFT_12761_ partial [Chlorella variabilis], XP_005846952.1 hypothetical protein CHLNCDRAFT_23857 [Chlorella variabilis]	RMZ56115.1 hypothetical protein APUTEX25_004539 [Auxenochlorella protothecoides]
OG0000007	XP_005843116.1 hypothetical protein CHLNCDRAFT_37593 [Chlorella variabilis]	RMZ52176.1 hypothetical protein APUTEX25_001566 [Auxenochlorella protothecoides]
OG0000007	XP_005843694.1 hypothetical protein CHLNCDRAFT_27806 [Chlorella variabilis], XP_005843134.1 hypothetical protein CHLNCDRAFT_28493 [Chlorella variabilis], XP_005843124.1 hypothetical protein CHLNCDRAFT_55388 [Chlorella variabilis], XP_005846939.1 hypothetical protein CHLNCDRAFT_23970 [Chlorella variabilis], XP_005843643.1 hypothetical protein CHLNCDRAFT_27834 [Chlorella variabilis], XP_005843706.1 hypothetical protein CHLNCDRAFT_27882 [Chlorella variabilis]	RMZ53786.1 hypothetical protein APUTEX25_003925 [Auxenochlorella protothecoides], RMZ55468.1 hypothetical protein APUTEX25_000051 [Auxenochlorella protothecoides], RMZ52472.1 hypothetical protein APUTEX25_003615 [Auxenochlorella protothecoides], RMZ52594.1 hypothetical protein APUTEX25_000713 [Auxenochlorella protothecoides]
OG0000008	XP_005847450.1 hypothetical protein CHLNCDRAFT_134363 [Chlorella variabilis]	RMZ52519.1 hypothetical protein APUTEX25_003662 [Auxenochlorella protothecoides], RMZ55557.1 hypothetical protein APUTEX25_000140 [Auxenochlorella protothecoides]
OG0000009	XP_005843753.1 hypothetical protein CHLNCDRAFT_139841 [Chlorella variabilis]	RMZ53398.1 hypothetical protein APUTEX25_004886 [Auxenochlorella protothecoides]
OG0000011	XP_005843486.1 hypothetical protein CHLNCDRAFT_140991 [Chlorella variabilis], XP_005850766.1 hypothetical protein CHLNCDRAFT_140944 [Chlorella variabilis]	RMZ55904.1 hypothetical protein APUTEX25_003982_ partial [Auxenochlorella protothecoides]
OG0000011	XP_005852292.1 hypothetical protein CHLNCDRAFT_135467_ partial [Chlorella variabilis], XP_005851827.1 hypothetical protein CHLNCDRAFT_133304 [Chlorella variabilis]	RMZ56599.1 hypothetical protein APUTEX25_004763_ partial [Auxenochlorella protothecoides]
OG0000013	XP_005842607.1 hypothetical protein CHLNCDRAFT_59511_ partial [Chlorella variabilis]	RMZ55143.1 hypothetical protein APUTEX25_005421 [Auxenochlorella protothecoides]
OG0000013	XP_005848350.1 hypothetical protein CHLNCDRAFT_145069 [Chlorella variabilis]	RMZ57357.1 hypothetical protein APUTEX25_004191 [Auxenochlorella protothecoides]
OG0000013	XP_005849558.1 hypothetical protein CHLNCDRAFT_34706 [Chlorella variabilis]	RMZ57701.1 hypothetical protein APUTEX25_001901_ partial [Auxenochlorella protothecoides]
OG0000014	XP_005851021.1 hypothetical protein CHLNCDRAFT_29941 [Chlorella variabilis]	RMZ54969.1 hypothetical protein APUTEX25_000486_ partial [Auxenochlorella protothecoides]
OG0000014	XP_005845180.1 hypothetical protein CHLNCDRAFT_26227_ partial [Chlorella variabilis]	RMZ57118.1 hypothetical protein APUTEX25_002350 [Auxenochlorella protothecoides]
OG0000014	XP_005846899.1 hypothetical protein CHLNCDRAFT_13673_ partial [Chlorella variabilis]	RMZ52047.1 hypothetical protein APUTEX25_001241 [Auxenochlorella protothecoides]
OG0000014	XP_005849876.1 hypothetical protein CHLNCDRAFT_143107 [Chlorella variabilis]	RMZ53818.1 hypothetical protein APUTEX25_003957_ partial [Auxenochlorella protothecoides]
OG0000016	XP_005848904.1 hypothetical protein CHLNCDRAFT_51574 [Chlorella variabilis]	RMZ52516.1 hypothetical protein APUTEX25_003659 [Auxenochlorella protothecoides]
OG0000016	XP_005844299.1 hypothetical protein CHLNCDRAFT_27202 [Chlorella variabilis]	RMZ54164.1 hypothetical protein APUTEX25_005320 [Auxenochlorella protothecoides], RMZ57375.1 hypothetical protein APUTEX25_004209 [Auxenochlorella protothecoides]
OG0000016	XP_005849818.1 hypothetical protein CHLNCDRAFT_14180_ partial [Chlorella variabilis]	RMZ57690.1 hypothetical protein APUTEX25_001890 [Auxenochlorella protothecoides]
OG0000016	XP_005850414.1 hypothetical protein CHLNCDRAFT_15978_ partial [Chlorella variabilis]	RMZ54238.1 hypothetical protein APUTEX25_000589 [Auxenochlorella protothecoides]
OG0000018	XP_005850135.1 hypothetical protein CHLNCDRAFT_15266_ partial [Chlorella variabilis]	RMZ56462.1 hypothetical protein APUTEX25_004685 [Auxenochlorella protothecoides]
OG0000018	XP_005843700.1 hypothetical protein CHLNCDRAFT_14655_ partial [Chlorella variabilis]	RMZ56882.1 hypothetical protein APUTEX25_002971_ partial [Auxenochlorella protothecoides]
OG0000018	XP_005843092.1 hypothetical protein CHLNCDRAFT_13490_ partial [Chlorella variabilis]	RMZ56699.1 hypothetical protein APUTEX25_002788 [Auxenochlorella protothecoides]
OG0000018	XP_005848340.1 hypothetical protein CHLNCDRAFT_13979_ partial [Chlorella variabilis]	RMZ57669.1 hypothetical protein APUTEX25_001869 [Auxenochlorella protothecoides]
OG0000020	XP_005851635.1 hypothetical protein CHLNCDRAFT_33950 [Chlorella variabilis], XP_005842791.1 hypothetical protein CHLNCDRAFT_28837_ partial [Chlorella variabilis], XP_005847722.1 hypothetical protein CHLNCDRAFT_23239 [Chlorella variabilis], XP_005842790.1 hypothetical protein CHLNCDRAFT_59832 [Chlorella variabilis], XP_005845768.1 hypothetical protein CHLNCDRAFT_59732 [Chlorella variabilis], XP_005842681.1 hypothetical protein CHLNCDRAFT_28988_ partial [Chlorella variabilis], XP_005845876.1 hypothetical protein CHLNCDRAFT_136418 [Chlorella variabilis]	RMZ57168.1 hypothetical protein APUTEX25_004002 [Auxenochlorella protothecoides], RMZ53879.1 hypothetical protein APUTEX25_005625_ partial [Auxenochlorella protothecoides], RMZ52155.1 hypothetical protein APUTEX25_001545 [Auxenochlorella protothecoides]
OG0000023	XP_005843420.1 hypothetical protein CHLNCDRAFT_16757_ partial [Chlorella variabilis]	RMZ56859.1 hypothetical protein APUTEX25_002948_ partial [Auxenochlorella protothecoides]
OG0000023	XP_005843390.1 hypothetical protein CHLNCDRAFT_141228 [Chlorella variabilis]	RMZ54038.1 hypothetical protein APUTEX25_002615_ partial [Auxenochlorella protothecoides]
OG0000024	XP_005847855.1 hypothetical protein CHLNCDRAFT_134105 [Chlorella variabilis], XP_005847859.1 hypothetical protein CHLNCDRAFT_17670_ partial [Chlorella variabilis], XP_005843167.1 hypothetical protein CHLNCDRAFT_59329 [Chlorella variabilis], XP_005846181.1 hypothetical protein CHLNCDRAFT_136197 [Chlorella variabilis], XP_005849234.1 hypothetical protein CHLNCDRAFT_51199 [Chlorella variabilis], XP_005851812.1 hypothetical protein CHLNCDRAFT_49515 [Chlorella variabilis], XP_005849223.1 hypothetical protein CHLNCDRAFT_51447 [Chlorella variabilis], XP_005846619.1 hypothetical protein CHLNCDRAFT_135242 [Chlorella variabilis], XP_005843052.1 hypothetical protein CHLNCDRAFT_55438 [Chlorella variabilis], XP_005850926.1 hypothetical protein CHLNCDRAFT_140655 [Chlorella variabilis], XP_005848139.1 hypothetical protein CHLNCDRAFT_22903_ partial [Chlorella variabilis]	RMZ52930.1 hypothetical protein APUTEX25_001049_ partial [Auxenochlorella protothecoides]
OG0000025	XP_005850246.1 hypothetical protein CHLNCDRAFT_141917 [Chlorella variabilis]	RMZ54574.1 hypothetical protein APUTEX25_002149_ partial [Auxenochlorella protothecoides]
OG0000025	XP_005848101.1 hypothetical protein CHLNCDRAFT_30989_ partial [Chlorella variabilis]	RMZ52951.1 hypothetical protein APUTEX25_001070 [Auxenochlorella protothecoides]
OG0000026	XP_005845649.1 hypothetical protein CHLNCDRAFT_136679 [Chlorella variabilis]	RMZ52180.1 hypothetical protein APUTEX25_001570 [Auxenochlorella protothecoides]
OG0000026	XP_005852300.1 hypothetical protein CHLNCDRAFT_134603_ partial [Chlorella variabilis], XP_005851528.1 hypothetical protein CHLNCDRAFT_137959 [Chlorella variabilis], XP_005846610.1 hypothetical protein CHLNCDRAFT_58154 [Chlorella variabilis], XP_005847755.1 hypothetical protein CHLNCDRAFT_133854_ partial [Chlorella variabilis], XP_005842724.1 expressed protein_ partial [Chlorella variabilis], XP_005846203.1 hypothetical protein CHLNCDRAFT_136239_ partial [Chlorella variabilis], XP_005851426.1 hypothetical protein CHLNCDRAFT_137716 [Chlorella variabilis], XP_005842989.1 hypothetical protein CHLNCDRAFT_141701 [Chlorella variabilis], XP_005845234.1 hypothetical protein CHLNCDRAFT_137502 [Chlorella variabilis], XP_005851404.1 expressed protein [Chlorella variabilis], XP_005848389.1 hypothetical protein CHLNCDRAFT_57694 [Chlorella variabilis], XP_005847915.1 hypothetical protein CHLNCDRAFT_145317 [Chlorella variabilis], XP_005845506.1 expressed protein [Chlorella variabilis], XP_005850394.1 hypothetical protein CHLNCDRAFT_50729 [Chlorella variabilis], XP_005850151.1 hypothetical protein CHLNCDRAFT_50737 [Chlorella variabilis], XP_005851650.1 hypothetical protein CHLNCDRAFT_138230 [Chlorella variabilis], XP_005849864.1 expressed protein [Chlorella variabilis], XP_005845970.1 hypothetical protein CHLNCDRAFT_135995 [Chlorella variabilis], XP_005852086.1 hypothetical protein CHLNCDRAFT_56488 [Chlorella variabilis], XP_005846352.1 expressed protein [Chlorella variabilis], XP_005847661.1 hypothetical protein CHLNCDRAFT_134031_ partial [Chlorella variabilis], XP_005852010.1 hypothetical protein CHLNCDRAFT_132940 [Chlorella variabilis]	RMZ57625.1 hypothetical protein APUTEX25_001825 [Auxenochlorella protothecoides]
OG0000027	XP_005851329.1 hypothetical protein CHLNCDRAFT_138200 [Chlorella variabilis]	RMZ52838.1 hypothetical protein APUTEX25_000957 [Auxenochlorella protothecoides]
OG0000027	XP_005851971.1 hypothetical protein CHLNCDRAFT_49746 [Chlorella variabilis], XP_005851970.1 hypothetical protein CHLNCDRAFT_133695 [Chlorella variabilis]	RMZ56507.1 hypothetical protein APUTEX25_001354_ partial [Auxenochlorella protothecoides]
OG0000028	XP_005844756.1 hypothetical protein CHLNCDRAFT_54290 [Chlorella variabilis], XP_005845947.1 hypothetical protein CHLNCDRAFT_135930 [Chlorella variabilis], XP_005845945.1 hypothetical protein CHLNCDRAFT_135928 [Chlorella variabilis], XP_005846105.1 hypothetical protein CHLNCDRAFT_136011 [Chlorella variabilis], XP_005845948.1 hypothetical protein CHLNCDRAFT_135932 [Chlorella variabilis], XP_005843455.1 hypothetical protein CHLNCDRAFT_141091 [Chlorella variabilis], XP_005845965.1 hypothetical protein CHLNCDRAFT_135974 [Chlorella variabilis], XP_005845963.1 hypothetical protein CHLNCDRAFT_135972 [Chlorella variabilis], XP_005846074.1 hypothetical protein CHLNCDRAFT_58343 [Chlorella variabilis], XP_005845962.1 hypothetical protein CHLNCDRAFT_135971 [Chlorella variabilis], XP_005846079.1 hypothetical protein CHLNCDRAFT_135922 [Chlorella variabilis], XP_005845964.1 hypothetical protein CHLNCDRAFT_135973 [Chlorella variabilis], XP_005846080.1 hypothetical protein CHLNCDRAFT_135923 [Chlorella variabilis], XP_005846078.1 hypothetical protein CHLNCDRAFT_135921 [Chlorella variabilis], XP_005851357.1 hypothetical protein CHLNCDRAFT_49764 [Chlorella variabilis], XP_005844829.1 hypothetical protein CHLNCDRAFT_138267 [Chlorella variabilis], XP_005846086.1 hypothetical protein CHLNCDRAFT_135944 [Chlorella variabilis], XP_005845946.1 hypothetical protein CHLNCDRAFT_135929 [Chlorella variabilis], XP_005849194.1 hypothetical protein CHLNCDRAFT_143883 [Chlorella variabilis], XP_005846085.1 hypothetical protein CHLNCDRAFT_135942 [Chlorella variabilis], XP_005847353.1 expressed protein [Chlorella variabilis], XP_005845589.1 hypothetical protein CHLNCDRAFT_53764 [Chlorella variabilis], XP_005851663.1 expressed protein [Chlorella variabilis], XP_005845031.1 hypothetical protein CHLNCDRAFT_137260 [Chlorella variabilis], XP_005847189.1 hypothetical protein CHLNCDRAFT_52864 [Chlorella variabilis]	RMZ53801.1 hypothetical protein APUTEX25_003940 [Auxenochlorella protothecoides]
OG0000029	XP_005846208.1 hypothetical protein CHLNCDRAFT_136255 [Chlorella variabilis]	RMZ54167.1 hypothetical protein APUTEX25_005323 [Auxenochlorella protothecoides]
OG0000031	XP_005849595.1 hypothetical protein CHLNCDRAFT_34731 [Chlorella variabilis]	RMZ52494.1 hypothetical protein APUTEX25_003637 [Auxenochlorella protothecoides]
OG0000035	XP_005846504.1 hypothetical protein CHLNCDRAFT_48950 [Chlorella variabilis]	RMZ53240.1 hypothetical protein APUTEX25_005229 [Auxenochlorella protothecoides]
OG0000035	XP_005843528.1 hypothetical protein CHLNCDRAFT_141048 [Chlorella variabilis]	RMZ56375.1 hypothetical protein APUTEX25_004732_ partial [Auxenochlorella protothecoides]
OG0000036	XP_005847573.1 hypothetical protein CHLNCDRAFT_13783_ partial [Chlorella variabilis]	RMZ57667.1 hypothetical protein APUTEX25_001867_ partial [Auxenochlorella protothecoides], RMZ55188.1 hypothetical protein APUTEX25_005466_ partial [Auxenochlorella protothecoides]
OG0000036	XP_005844389.1 expressed protein [Chlorella variabilis], XP_005842713.1 hypothetical protein CHLNCDRAFT_55725_ partial [Chlorella variabilis]	RMZ53707.1 hypothetical protein APUTEX25_003241 [Auxenochlorella protothecoides]
OG0000037	XP_005844209.1 hypothetical protein CHLNCDRAFT_32733 [Chlorella variabilis]	RMZ56229.1 hypothetical protein APUTEX25_002419 [Auxenochlorella protothecoides]
OG0000037	XP_005845510.1 hypothetical protein CHLNCDRAFT_137219 [Chlorella variabilis], XP_005843949.1 hypothetical protein CHLNCDRAFT_59790 [Chlorella variabilis]	RMZ53830.1 hypothetical protein APUTEX25_003969_ partial [Auxenochlorella protothecoides]
OG0000038	XP_005850360.1 hypothetical protein CHLNCDRAFT_142202 [Chlorella variabilis], XP_005843688.1 hypothetical protein CHLNCDRAFT_55044 [Chlorella variabilis], XP_005844847.1 hypothetical protein CHLNCDRAFT_54159 [Chlorella variabilis], XP_005843195.1 hypothetical protein CHLNCDRAFT_55340 [Chlorella variabilis], XP_005843162.1 hypothetical protein CHLNCDRAFT_141408 [Chlorella variabilis]	RMZ55544.1 hypothetical protein APUTEX25_000127_ partial [Auxenochlorella protothecoides]
OG0000038	XP_005848332.1 hypothetical protein CHLNCDRAFT_145020 [Chlorella variabilis]	RMZ57629.1 hypothetical protein APUTEX25_001829 [Auxenochlorella protothecoides]
OG0000039	XP_005851045.1 hypothetical protein CHLNCDRAFT_50489 [Chlorella variabilis]	RMZ55921.1 hypothetical protein APUTEX25_004345 [Auxenochlorella protothecoides]
OG0000042	XP_005842984.1 hypothetical protein CHLNCDRAFT_8635_ partial [Chlorella variabilis]	RMZ53607.1 hypothetical protein APUTEX25_003141 [Auxenochlorella protothecoides]
OG0000043	XP_005843193.1 hypothetical protein CHLNCDRAFT_28370_ partial [Chlorella variabilis], XP_005845064.1 hypothetical protein CHLNCDRAFT_26299_ partial [Chlorella variabilis], XP_005843192.1 hypothetical protein CHLNCDRAFT_141480 [Chlorella variabilis], XP_005848336.1 hypothetical protein CHLNCDRAFT_57649 [Chlorella variabilis]	RMZ57650.1 hypothetical protein APUTEX25_001850_ partial [Auxenochlorella protothecoides]
OG0000045	XP_005851822.1 hypothetical protein CHLNCDRAFT_133292 [Chlorella variabilis]	RMZ52023.1 hypothetical protein APUTEX25_001217_ partial [Auxenochlorella protothecoides]
OG0000045	XP_005851238.1 hypothetical protein CHLNCDRAFT_137957 [Chlorella variabilis]	RMZ55942.1 hypothetical protein APUTEX25_004366 [Auxenochlorella protothecoides]
OG0000046	XP_005851084.1 hypothetical protein CHLNCDRAFT_137604 [Chlorella variabilis], XP_005851377.1 hypothetical protein CHLNCDRAFT_137597 [Chlorella variabilis], XP_005845797.1 hypothetical protein CHLNCDRAFT_136507 [Chlorella variabilis], XP_005851085.1 hypothetical protein CHLNCDRAFT_137605 [Chlorella variabilis], XP_005851383.1 expressed protein [Chlorella variabilis], XP_005852310.1 hypothetical protein CHLNCDRAFT_143410 [Chlorella variabilis], XP_005843074.1 hypothetical protein CHLNCDRAFT_141610 [Chlorella variabilis], XP_005844674.1 hypothetical protein CHLNCDRAFT_138568 [Chlorella variabilis], XP_005843209.1 hypothetical protein CHLNCDRAFT_141452 [Chlorella variabilis], XP_005844670.1 hypothetical protein CHLNCDRAFT_138562 [Chlorella variabilis], XP_005851083.1 hypothetical protein CHLNCDRAFT_137603 [Chlorella variabilis], XP_005845033.1 hypothetical protein CHLNCDRAFT_137265 [Chlorella variabilis], XP_005844128.1 hypothetical protein CHLNCDRAFT_139617 [Chlorella variabilis], XP_005842747.1 hypothetical protein CHLNCDRAFT_15703_ partial [Chlorella variabilis], XP_005852017.1 hypothetical protein CHLNCDRAFT_132958 [Chlorella variabilis]	RMZ53206.1 hypothetical protein APUTEX25_005195_ partial [Auxenochlorella protothecoides]
OG0000048	XP_005843234.1 hypothetical protein CHLNCDRAFT_141330 [Chlorella variabilis]	RMZ57813.1 hypothetical protein APUTEX25_003429_ partial [Auxenochlorella protothecoides]
OG0000048	XP_005843232.1 hypothetical protein CHLNCDRAFT_141328 [Chlorella variabilis]	RMZ54618.1 hypothetical protein APUTEX25_002204 [Auxenochlorella protothecoides]
OG0000049	XP_005849919.1 hypothetical protein CHLNCDRAFT_143222 [Chlorella variabilis]	RMZ56843.1 hypothetical protein APUTEX25_002932 [Auxenochlorella protothecoides]
OG0000049	XP_005850664.1 hypothetical protein CHLNCDRAFT_140697 [Chlorella variabilis]	RMZ55633.1 hypothetical protein APUTEX25_000216_ partial [Auxenochlorella protothecoides]
OG0000050	XP_005843733.1 hypothetical protein CHLNCDRAFT_9818_ partial [Chlorella variabilis], XP_005845925.1 hypothetical protein CHLNCDRAFT_32075 [Chlorella variabilis], XP_005845811.1 hypothetical protein CHLNCDRAFT_58489 [Chlorella variabilis], XP_005843048.1 hypothetical protein CHLNCDRAFT_141619 [Chlorella variabilis], XP_005849238.1 hypothetical protein CHLNCDRAFT_34835 [Chlorella variabilis], XP_005849094.1 hypothetical protein CHLNCDRAFT_143620 [Chlorella variabilis], XP_005845524.1 hypothetical protein CHLNCDRAFT_136634 [Chlorella variabilis], XP_005848889.1 hypothetical protein CHLNCDRAFT_21860_ partial [Chlorella variabilis]	RMZ55912.1 hypothetical protein APUTEX25_004336 [Auxenochlorella protothecoides]
OG0000051	XP_005851143.1 hypothetical protein CHLNCDRAFT_19008 [Chlorella variabilis]	RMZ54646.1 hypothetical protein APUTEX25_003024 [Auxenochlorella protothecoides]
OG0000051	XP_005844999.1 hypothetical protein CHLNCDRAFT_26336_ partial [Chlorella variabilis], XP_005845653.1 hypothetical protein CHLNCDRAFT_58521 [Chlorella variabilis], XP_005851806.1 hypothetical protein CHLNCDRAFT_133260 [Chlorella variabilis], XP_005845002.1 hypothetical protein CHLNCDRAFT_54230 [Chlorella variabilis], XP_005850390.1 hypothetical protein CHLNCDRAFT_142267 [Chlorella variabilis]	RMZ53475.1 hypothetical protein APUTEX25_003297_ partial [Auxenochlorella protothecoides]
OG0000052	XP_005848473.1 hypothetical protein CHLNCDRAFT_144874 [Chlorella variabilis]	RMZ53869.1 hypothetical protein APUTEX25_005615 [Auxenochlorella protothecoides]
OG0000054	XP_005848639.1 hypothetical protein CHLNCDRAFT_51514 [Chlorella variabilis], XP_005852081.1 hypothetical protein CHLNCDRAFT_56485 [Chlorella variabilis], XP_005851742.1 hypothetical protein CHLNCDRAFT_133110 [Chlorella variabilis], XP_005844843.1 hypothetical protein CHLNCDRAFT_138314 [Chlorella variabilis], XP_005850568.1 hypothetical protein CHLNCDRAFT_140476 [Chlorella variabilis]	RMZ52985.1 hypothetical protein APUTEX25_001104_ partial [Auxenochlorella protothecoides], RMZ55166.1 hypothetical protein APUTEX25_005444 [Auxenochlorella protothecoides]
OG0000055	XP_005845290.1 expressed protein [Chlorella variabilis]	RMZ54002.1 hypothetical protein APUTEX25_002579_ partial [Auxenochlorella protothecoides]
OG0000055	XP_005844014.1 hypothetical protein CHLNCDRAFT_59068 [Chlorella variabilis]	RMZ54658.1 hypothetical protein APUTEX25_003036_ partial [Auxenochlorella protothecoides]
OG0000059	XP_005842738.1 hypothetical protein CHLNCDRAFT_28926_ partial [Chlorella variabilis], XP_005844783.1 hypothetical protein CHLNCDRAFT_138656 [Chlorella variabilis]	RMZ55038.1 hypothetical protein APUTEX25_005664 [Auxenochlorella protothecoides]
OG0000059	XP_005843771.1 hypothetical protein CHLNCDRAFT_49195 [Chlorella variabilis], XP_005850074.1 hypothetical protein CHLNCDRAFT_142112 [Chlorella variabilis]	RMZ53302.1 hypothetical protein APUTEX25_004790 [Auxenochlorella protothecoides]
OG0000059	XP_005843349.1 hypothetical protein CHLNCDRAFT_141273 [Chlorella variabilis]	RMZ52433.1 hypothetical protein APUTEX25_000012_ partial [Auxenochlorella protothecoides]
OG0000060	XP_005844701.1 hypothetical protein CHLNCDRAFT_14999_ partial [Chlorella variabilis]	RMZ52705.1 hypothetical protein APUTEX25_000824_ partial [Auxenochlorella protothecoides]
OG0000060	XP_005844700.1 hypothetical protein CHLNCDRAFT_138629 [Chlorella variabilis]	RMZ53684.1 hypothetical protein APUTEX25_003218 [Auxenochlorella protothecoides], RMZ55289.1 hypothetical protein APUTEX25_003772_ partial [Auxenochlorella protothecoides]
OG0000060	XP_005844698.1 hypothetical protein CHLNCDRAFT_138627 [Chlorella variabilis]	RMZ55290.1 hypothetical protein APUTEX25_003773_ partial [Auxenochlorella protothecoides]
OG0000062	XP_005848218.1 hypothetical protein CHLNCDRAFT_51740 [Chlorella variabilis], XP_005848205.1 hypothetical protein CHLNCDRAFT_144696 [Chlorella variabilis]	RMZ54008.1 hypothetical protein APUTEX25_002585_ partial [Auxenochlorella protothecoides]
OG0000063	XP_005842615.1 hypothetical protein CHLNCDRAFT_29058 [Chlorella variabilis], XP_005843458.1 hypothetical protein CHLNCDRAFT_59259 [Chlorella variabilis], XP_005850528.1 expressed protein [Chlorella variabilis], XP_005845519.1 hypothetical protein CHLNCDRAFT_136616 [Chlorella variabilis], XP_005843447.1 hypothetical protein CHLNCDRAFT_55168 [Chlorella variabilis], XP_005842754.1 hypothetical protein CHLNCDRAFT_144639 [Chlorella variabilis], XP_005851042.1 hypothetical protein CHLNCDRAFT_50487 [Chlorella variabilis], XP_005847720.1 hypothetical protein CHLNCDRAFT_52245 [Chlorella variabilis], XP_005844673.1 expressed protein [Chlorella variabilis], XP_005846096.1 hypothetical protein CHLNCDRAFT_135985 [Chlorella variabilis], XP_005852046.1 hypothetical protein CHLNCDRAFT_133020 [Chlorella variabilis], XP_005846333.1 hypothetical protein CHLNCDRAFT_135745 [Chlorella variabilis], XP_005850440.1 hypothetical protein CHLNCDRAFT_142380 [Chlorella variabilis], XP_005848398.1 hypothetical protein CHLNCDRAFT_144688 [Chlorella variabilis], XP_005842981.1 hypothetical protein CHLNCDRAFT_141678 [Chlorella variabilis], XP_005842673.1 hypothetical protein CHLNCDRAFT_137232 [Chlorella variabilis], XP_005849107.1 hypothetical protein CHLNCDRAFT_143663_ partial [Chlorella variabilis], XP_005843452.1 hypothetical protein CHLNCDRAFT_141072 [Chlorella variabilis], XP_005843419.1 hypothetical protein CHLNCDRAFT_141059 [Chlorella variabilis], XP_005849189.1 hypothetical protein CHLNCDRAFT_143868 [Chlorella variabilis], XP_005844546.1 hypothetical protein CHLNCDRAFT_138984 [Chlorella variabilis], XP_005849016.1 hypothetical protein CHLNCDRAFT_144604 [Chlorella variabilis]	RMZ54150.1 hypothetical protein APUTEX25_005306 [Auxenochlorella protothecoides]
OG0000064	XP_005844534.1 hypothetical protein CHLNCDRAFT_58881 [Chlorella variabilis], XP_005847246.1 hypothetical protein CHLNCDRAFT_31223 [Chlorella variabilis]	RMZ54709.1 hypothetical protein APUTEX25_003087 [Auxenochlorella protothecoides]
OG0000064	XP_005843899.1 hypothetical protein CHLNCDRAFT_32941 [Chlorella variabilis]	RMZ57318.1 hypothetical protein APUTEX25_004152 [Auxenochlorella protothecoides]
OG0000064	XP_005844634.1 hypothetical protein CHLNCDRAFT_138949 [Chlorella variabilis]	RMZ54652.1 hypothetical protein APUTEX25_003030 [Auxenochlorella protothecoides]
