Orthogroup	Chlorella_VariabilisNC64A	Chlorella_KRBP
OG0000528	XP_005851802.1 hypothetical protein CHLNCDRAFT_11319_ partial [Chlorella variabilis], XP_005851801.1 hypothetical protein CHLNCDRAFT_49502 [Chlorella variabilis]	QAXK01011871.1_1755-3976
OG0000535	XP_005846241.1 hypothetical protein CHLNCDRAFT_135529 [Chlorella variabilis], XP_005845288.1 hypothetical protein CHLNCDRAFT_36534 [Chlorella variabilis]	QAXK01008326.1_3715-2230
OG0000542	XP_005848123.1 hypothetical protein CHLNCDRAFT_22879 [Chlorella variabilis], XP_005848122.1 hypothetical protein CHLNCDRAFT_145437 [Chlorella variabilis]	QAXK01007731.1_21245-25168
OG0000546	XP_005847042.1 hypothetical protein CHLNCDRAFT_134688 [Chlorella variabilis], XP_005844576.1 hypothetical protein CHLNCDRAFT_138824 [Chlorella variabilis], XP_005844577.1 hypothetical protein CHLNCDRAFT_58852 [Chlorella variabilis]	QAXK01003383.1_11610-10089
OG0000552	XP_005848535.1 hypothetical protein CHLNCDRAFT_22188 [Chlorella variabilis], XP_005848536.1 hypothetical protein CHLNCDRAFT_22309_ partial [Chlorella variabilis]	QAXK01001452.1_4877-8338
OG0000565	XP_005847677.1 hypothetical protein CHLNCDRAFT_23378 [Chlorella variabilis], XP_005847676.1 hypothetical protein CHLNCDRAFT_17706_ partial [Chlorella variabilis]	QAXK01012018.1_21-2846
OG0000572	XP_005849076.1 hypothetical protein CHLNCDRAFT_143568 [Chlorella variabilis], XP_005849078.1 hypothetical protein CHLNCDRAFT_143570 [Chlorella variabilis]	QAXK01002353.1_6519-15187
OG0000573	XP_005844799.1 hypothetical protein CHLNCDRAFT_36784 [Chlorella variabilis], XP_005844717.1 hypothetical protein CHLNCDRAFT_7719_ partial [Chlorella variabilis]	QAXK01003348.1_1486-6
OG0000577	XP_005847226.1 hypothetical protein CHLNCDRAFT_134176 [Chlorella variabilis], XP_005847225.1 hypothetical protein CHLNCDRAFT_134175 [Chlorella variabilis]	QAXK01003132.1_5372-2862
OG0000585	XP_005845870.1 hypothetical protein CHLNCDRAFT_10527_ partial [Chlorella variabilis]	QAXK01002652.1_31218-33264
OG0000586	XP_005849977.1 hypothetical protein CHLNCDRAFT_57002 [Chlorella variabilis], XP_005846410.1 hypothetical protein CHLNCDRAFT_36005 [Chlorella variabilis]	QAXK01001200.1_17606-19818
OG0000594	XP_005847169.1 hypothetical protein CHLNCDRAFT_134944 [Chlorella variabilis]	QAXK01013585.1_2213-468
OG0000595	XP_005848051.1 hypothetical protein CHLNCDRAFT_48772 [Chlorella variabilis], XP_005843019.1 hypothetical protein CHLNCDRAFT_33302 [Chlorella variabilis]	QAXK01010664.1_1473-417
OG0000611	XP_005849196.1 hypothetical protein CHLNCDRAFT_143888 [Chlorella variabilis], XP_005849198.1 hypothetical protein CHLNCDRAFT_15068_ partial [Chlorella variabilis]	QAXK01011586.1_4054-3461
OG0000616	XP_005846240.1 hypothetical protein CHLNCDRAFT_135527 [Chlorella variabilis], XP_005844439.1 hypothetical protein CHLNCDRAFT_139157 [Chlorella variabilis]	QAXK01001265.1_8774-9883
OG0000618	XP_005849532.1 40S ribosomal protein S15 [Chlorella variabilis], XP_005849796.1 hypothetical protein CHLNCDRAFT_142893 [Chlorella variabilis]	QAXK01000835.1_1-309
OG0000626	XP_005845350.1 hypothetical protein CHLNCDRAFT_32275 [Chlorella variabilis], XP_005843990.1 hypothetical protein CHLNCDRAFT_27284 [Chlorella variabilis]	QAXK01003230.1_4778-8012
OG0000635	XP_005850070.1 ribulose-phosphate 3-epimerase mature form [Chlorella variabilis], XP_005851858.1 hypothetical protein CHLNCDRAFT_48415 [Chlorella variabilis]	QAXK01004870.1_4878-5513
OG0000637	XP_005846769.1 hypothetical protein CHLNCDRAFT_48918 [Chlorella variabilis]	QAXK01001575.1_13855-13334
OG0000638	XP_005843569.1 hypothetical protein CHLNCDRAFT_37406 [Chlorella variabilis]	QAXK01010124.1_10448-8669
OG0000649	XP_005845245.1 hypothetical protein CHLNCDRAFT_58576 [Chlorella variabilis]	QAXK01000254.1_6101-3555
OG0000653	XP_005847351.1 hypothetical protein CHLNCDRAFT_134577 [Chlorella variabilis]	QAXK01000123.1_7289-10291
OG0000654	XP_005851510.1 hypothetical protein CHLNCDRAFT_137921 [Chlorella variabilis], XP_005851509.1 hypothetical protein CHLNCDRAFT_137920 [Chlorella variabilis]	QAXK01000799.1_92299-89512
OG0000660	XP_005847363.1 40S ribosomal protein S27 [Chlorella variabilis]	QAXK01014960.1_11495-10348
OG0000661	XP_005844719.1 hypothetical protein CHLNCDRAFT_32463 [Chlorella variabilis], XP_005844720.1 hypothetical protein CHLNCDRAFT_138688 [Chlorella variabilis]	QAXK01004242.1_3727-7707
OG0000662	XP_005851960.1 hypothetical protein CHLNCDRAFT_29389 [Chlorella variabilis], XP_005843043.1 hypothetical protein CHLNCDRAFT_141599 [Chlorella variabilis]	QAXK01000452.1_6301-4533
OG0000664	XP_005850644.1 hypothetical protein CHLNCDRAFT_10628_ partial [Chlorella variabilis], XP_005850643.1 hypothetical protein CHLNCDRAFT_140646 [Chlorella variabilis]	QAXK01015723.1_3192-4172
OG0000671	XP_005849549.1 hypothetical protein CHLNCDRAFT_59631 [Chlorella variabilis], XP_005847530.1 hypothetical protein CHLNCDRAFT_133710 [Chlorella variabilis]	QAXK01001535.1_15806-14316
