Orthogroup	Chlorella_Sorokiniana1602	Chlorella_Vulgaris2111P
OG0000003	PRW45267.1 hypothetical protein C2E21_6426 [Chlorella sorokiniana], PRW45268.1 hypothetical protein C2E21_6426 [Chlorella sorokiniana]	KAI3430747.1 hypothetical protein D9Q98_009159 [Chlorella vulgaris], KAI3430596.1 hypothetical protein D9Q98_005189 [Chlorella vulgaris], KAI3428300.1 hypothetical protein D9Q98_006679 [Chlorella vulgaris]
OG0000003	PRW60261.1 Acyl-coenzyme A thioesterase THEM4 [Chlorella sorokiniana]	KAI3429368.1 hypothetical protein D9Q98_005463 [Chlorella vulgaris], KAI3429367.1 hypothetical protein D9Q98_005462 [Chlorella vulgaris]
OG0000003	PRW56718.1 hypothetical protein C2E21_4783 [Chlorella sorokiniana]	KAI3428290.1 hypothetical protein D9Q98_006669 [Chlorella vulgaris]
OG0000003	PRW56397.1 hypothetical protein C2E21_4782 [Chlorella sorokiniana]	KAI3428291.1 hypothetical protein D9Q98_006670 [Chlorella vulgaris]
OG0000003	PRW58582.1 hypothetical protein C2E21_3184 [Chlorella sorokiniana]	KAI3433380.1 hypothetical protein D9Q98_003196 [Chlorella vulgaris]
OG0000004	PRW50811.1 squamosa promoter binding [Chlorella sorokiniana]	KAI3437670.1 hypothetical protein D9Q98_000120 [Chlorella vulgaris]
OG0000004	PRW45379.1 squamosa promoter-binding 7 isoform X2 [Chlorella sorokiniana], PRW45644.1 squamosa promoter-binding 12 [Chlorella sorokiniana]	KAI3424143.1 hypothetical protein D9Q98_009503 [Chlorella vulgaris], KAI3424061.1 hypothetical protein D9Q98_009424 [Chlorella vulgaris]
OG0000004	PRW55998.1 squamosa promoter-binding 9 [Chlorella sorokiniana]	KAI3425342.1 hypothetical protein D9Q98_009106 [Chlorella vulgaris]
OG0000004	PRW20956.1 squamosa promoter-binding 8 [Chlorella sorokiniana], PRW60887.1 Squamosa promoter-binding 1 [Chlorella sorokiniana]	KAI3426124.1 hypothetical protein D9Q98_008503 [Chlorella vulgaris]
OG0000004	PRW60923.1 squamosa promoter binding [Chlorella sorokiniana]	KAI3424155.1 hypothetical protein D9Q98_009515 [Chlorella vulgaris], KAI3424156.1 hypothetical protein D9Q98_009515 [Chlorella vulgaris]
OG0000004	PRW21082.1 Squamosa promoter-binding 16 [Chlorella sorokiniana]	KAI3430979.1 hypothetical protein D9Q98_009383 [Chlorella vulgaris]
OG0000004	PRW20503.1 squamosa promoter-binding 16 [Chlorella sorokiniana]	KAI3437552.1 hypothetical protein D9Q98_000005 [Chlorella vulgaris]
OG0000004	PRW56499.1 squamosa promoter-binding -like _SBP domain_ transcription factor family [Chlorella sorokiniana], PRW20468.1 squamosa promoter-binding 6 [Chlorella sorokiniana]	KAI3427434.1 hypothetical protein D9Q98_010349 [Chlorella vulgaris]
OG0000005	PRW60758.1 putative histone H2A variant 3 [Chlorella sorokiniana]	KAI3429680.1 hypothetical protein D9Q98_005765 [Chlorella vulgaris]
OG0000005	PRW32926.1 Histone H2A [Chlorella sorokiniana], PRW56969.1 Histone H2A [Chlorella sorokiniana], PRW57065.1 Histone H2A [Chlorella sorokiniana], PRW57122.1 Histone H2A [Chlorella sorokiniana], PRW32953.1 Histone H2A [Chlorella sorokiniana], PRW20373.1 Histone H2A [Chlorella sorokiniana], PRW33066.1 Histone H2A [Chlorella sorokiniana], PRW57339.1 Histone H2A [Chlorella sorokiniana], PRW57021.1 Histone H2A [Chlorella sorokiniana], PRW56948.1 Histone H2A [Chlorella sorokiniana], PRW20423.1 Histone H2A [Chlorella sorokiniana], PRW32875.1 Histone H2A [Chlorella sorokiniana]	KAI3424375.1 hypothetical protein D9Q98_009928 [Chlorella vulgaris], KAI3424432.1 hypothetical protein D9Q98_009984 [Chlorella vulgaris], KAI3424402.1 hypothetical protein D9Q98_009955 [Chlorella vulgaris], KAI3428571.1 hypothetical protein D9Q98_007393 [Chlorella vulgaris], KAI3424353.1 hypothetical protein D9Q98_009906 [Chlorella vulgaris], KAI3424410.1 hypothetical protein D9Q98_009962 [Chlorella vulgaris], KAI3424383.1 hypothetical protein D9Q98_009936 [Chlorella vulgaris], KAI3428592.1 hypothetical protein D9Q98_007415 [Chlorella vulgaris]
OG0000005	PRW50900.1 Histone H2A [Chlorella sorokiniana]	KAI3427071.1 hypothetical protein D9Q98_007011 [Chlorella vulgaris]
OG0000006	PRW57849.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	KAI3428490.1 hypothetical protein D9Q98_007315 [Chlorella vulgaris]
OG0000006	PRW57168.1 kinase [Chlorella sorokiniana]	KAI3438102.1 hypothetical protein D9Q98_000544 [Chlorella vulgaris]
OG0000006	PRW61477.1 Serine threonine- kinase CTR1 isoform A [Chlorella sorokiniana], PRW61478.1 Serine threonine- kinase CTR1 isoform B [Chlorella sorokiniana]	KAI3437833.1 hypothetical protein D9Q98_000279 [Chlorella vulgaris], KAI3437832.1 hypothetical protein D9Q98_000279 [Chlorella vulgaris]
OG0000006	PRW60943.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	KAI3437831.1 hypothetical protein D9Q98_000278 [Chlorella vulgaris]
OG0000006	PRW50839.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	KAI3427342.1 hypothetical protein D9Q98_010259 [Chlorella vulgaris]
OG0000006	PRW44985.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	KAI3427397.1 hypothetical protein D9Q98_010312 [Chlorella vulgaris]
OG0000006	PRW33836.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	KAI3432762.1 hypothetical protein D9Q98_004302 [Chlorella vulgaris]
OG0000006	PRW33827.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW58265.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61238.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW33200.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	KAI3430255.1 hypothetical protein D9Q98_004851 [Chlorella vulgaris]
OG0000006	PRW57831.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	KAI3425719.1 hypothetical protein D9Q98_007695 [Chlorella vulgaris]
OG0000006	PRW57695.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW45340.1 TKL DRK kinase [Chlorella sorokiniana]	KAI3425723.1 hypothetical protein D9Q98_007699 [Chlorella vulgaris], KAI3425720.1 hypothetical protein D9Q98_007696 [Chlorella vulgaris]
OG0000006	PRW33991.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	KAI3425961.1 hypothetical protein D9Q98_007931 [Chlorella vulgaris]
OG0000007	PRW60378.1 histone H2B [Chlorella sorokiniana], PRW32979.1 Histone [Chlorella sorokiniana], PRW56968.1 Histone [Chlorella sorokiniana], PRW33072.1 Histone [Chlorella sorokiniana], PRW57308.1 Histone [Chlorella sorokiniana], PRW20324.1 Histone [Chlorella sorokiniana], PRW56937.1 Histone isoform A [Chlorella sorokiniana], PRW57408.1 Histone [Chlorella sorokiniana], PRW56936.1 Histone isoform B [Chlorella sorokiniana], PRW32997.1 Histone [Chlorella sorokiniana], PRW33046.1 Histone [Chlorella sorokiniana], PRW33081.1 Histone [Chlorella sorokiniana], PRW57429.1 Histone [Chlorella sorokiniana], PRW57107.1 Histone [Chlorella sorokiniana]	KAI3424352.1 hypothetical protein D9Q98_009905 [Chlorella vulgaris], KAI3424382.1 hypothetical protein D9Q98_009935 [Chlorella vulgaris], KAI3424433.1 hypothetical protein D9Q98_009985 [Chlorella vulgaris], KAI3424411.1 hypothetical protein D9Q98_009963 [Chlorella vulgaris], KAI3424401.1 hypothetical protein D9Q98_009954 [Chlorella vulgaris], KAI3424376.1 hypothetical protein D9Q98_009929 [Chlorella vulgaris], KAI3428572.1 hypothetical protein D9Q98_007394 [Chlorella vulgaris], KAI3428591.1 hypothetical protein D9Q98_007414 [Chlorella vulgaris]
OG0000008	PRW20318.1 Histone H4 [Chlorella sorokiniana], PRW57322.1 Histone H4 [Chlorella sorokiniana]	KAI3424399.1 hypothetical protein D9Q98_009952 [Chlorella vulgaris]
OG0000008	PRW32931.1 Histone H4 isoform A [Chlorella sorokiniana]	KAI3433952.1 hypothetical protein D9Q98_003754 [Chlorella vulgaris]
OG0000008	PRW57296.1 Histone H4 [Chlorella sorokiniana]	KAI3428590.1 hypothetical protein D9Q98_007413 [Chlorella vulgaris]
OG0000008	PRW57363.1 Histone H4 [Chlorella sorokiniana]	KAI3424372.1 hypothetical protein D9Q98_009925 [Chlorella vulgaris]
OG0000008	PRW32923.1 Histone H4 [Chlorella sorokiniana]	KAI3424431.1 hypothetical protein D9Q98_009983 [Chlorella vulgaris]
OG0000008	PRW57495.1 Histone H4 [Chlorella sorokiniana]	KAI3427072.1 hypothetical protein D9Q98_007012 [Chlorella vulgaris]
OG0000008	PRW57273.1 Histone H4 [Chlorella sorokiniana]	KAI3424413.1 hypothetical protein D9Q98_009965 [Chlorella vulgaris]
OG0000009	PRW33000.1 hypothetical protein C2E21_8167 [Chlorella sorokiniana]	KAI3430403.1 hypothetical protein D9Q98_004998 [Chlorella vulgaris]
OG0000009	PRW60004.1 polysaccharide deacetylase [Chlorella sorokiniana], PRW59662.1 polysaccharide deacetylase [Chlorella sorokiniana], PRW32546.1 polysaccharide deacetylase isoform B [Chlorella sorokiniana], PRW32547.1 polysaccharide deacetylase isoform A [Chlorella sorokiniana]	KAI3424387.1 hypothetical protein D9Q98_009940 [Chlorella vulgaris]
OG0000009	PRW57102.1 hypothetical protein C2E21_4256 [Chlorella sorokiniana]	KAI3437895.1 hypothetical protein D9Q98_000340 [Chlorella vulgaris]
OG0000009	PRW55946.1 polysaccharide deacetylase [Chlorella sorokiniana]	KAI3436790.1 hypothetical protein D9Q98_006201 [Chlorella vulgaris]
OG0000009	PRW33708.1 polysaccharide deacetylase [Chlorella sorokiniana]	KAI3431358.1 hypothetical protein D9Q98_004415 [Chlorella vulgaris]
OG0000009	PRW56282.1 hypothetical protein C2E21_4979 [Chlorella sorokiniana]	KAI3430404.1 hypothetical protein D9Q98_004999 [Chlorella vulgaris], KAI3426190.1 hypothetical protein D9Q98_008567 [Chlorella vulgaris]
OG0000009	PRW61361.1 left border a [Chlorella sorokiniana]	KAI3424242.1 hypothetical protein D9Q98_009598 [Chlorella vulgaris]
OG0000009	PRW58939.1 hypothetical protein C2E21_2035 [Chlorella sorokiniana]	KAI3438445.1 hypothetical protein D9Q98_000875 [Chlorella vulgaris]
OG0000009	PRW61372.1 polysaccharide deacetylase [Chlorella sorokiniana]	KAI3433743.1 hypothetical protein D9Q98_003550 [Chlorella vulgaris]
OG0000009	PRW32927.1 peritrophic membrane chitin binding [Chlorella sorokiniana]	KAI3438951.1 hypothetical protein D9Q98_001365 [Chlorella vulgaris]
OG0000011	PRW56437.1 kinase [Chlorella sorokiniana], PRW55899.1 kinase [Chlorella sorokiniana], PRW59693.1 kinase [Chlorella sorokiniana]	KAI3436536.1 hypothetical protein D9Q98_005953 [Chlorella vulgaris], KAI3436537.1 hypothetical protein D9Q98_005954 [Chlorella vulgaris]
OG0000011	PRW61362.1 laminin subunit alpha-2 isoform E [Chlorella sorokiniana]	KAI3436406.1 hypothetical protein D9Q98_005823 [Chlorella vulgaris]
OG0000012	PRW57192.1 histone H3 [Chlorella sorokiniana]	KAI3424355.1 hypothetical protein D9Q98_009908 [Chlorella vulgaris]
OG0000012	PRW32916.1 histone H3 [Chlorella sorokiniana], PRW57380.1 histone H3 [Chlorella sorokiniana], PRW59210.1 Histone [Chlorella sorokiniana]	KAI3428574.1 hypothetical protein D9Q98_007396 [Chlorella vulgaris]
OG0000012	PRW33058.1 histone H3 [Chlorella sorokiniana]	KAI3424385.1 hypothetical protein D9Q98_009938 [Chlorella vulgaris]
OG0000012	PRW32911.1 histone H3 [Chlorella sorokiniana]	KAI3424414.1 hypothetical protein D9Q98_009966 [Chlorella vulgaris]
OG0000013	PRW20807.1 sulfur stress regulator [Chlorella sorokiniana], PRW33203.1 Serine threonine- kinase SAPK1 [Chlorella sorokiniana], PRW44937.1 sulfur stress regulator [Chlorella sorokiniana]	KAI3426414.1 hypothetical protein D9Q98_008783 [Chlorella vulgaris]
OG0000013	PRW58909.1 sulfur stress regulator [Chlorella sorokiniana]	KAI3438615.1 hypothetical protein D9Q98_001038 [Chlorella vulgaris]
OG0000013	PRW59234.1 sulfur stress regulator [Chlorella sorokiniana]	KAI3438890.1 hypothetical protein D9Q98_001305 [Chlorella vulgaris]
OG0000013	PRW59170.1 sulfur stress regulator isoform A [Chlorella sorokiniana], PRW59171.1 sulfur stress regulator isoform B [Chlorella sorokiniana]	KAI3438617.1 hypothetical protein D9Q98_001040 [Chlorella vulgaris], KAI3438616.1 hypothetical protein D9Q98_001039 [Chlorella vulgaris]
OG0000013	PRW58940.1 serine threonine- kinase Nek1 isoform X5 [Chlorella sorokiniana]	KAI3438614.1 hypothetical protein D9Q98_001037 [Chlorella vulgaris]
OG0000014	PRW56328.1 cyclophilin [Chlorella sorokiniana]	KAI3436474.1 hypothetical protein D9Q98_005891 [Chlorella vulgaris]
OG0000014	PRW59726.1 peptidyl-prolyl cis-trans isomerase CYP19-3 isoform X2 [Chlorella sorokiniana]	KAI3435791.1 hypothetical protein D9Q98_001849 [Chlorella vulgaris]
OG0000014	PRW45741.1 peptidyl-prolyl cis-trans isomerase CYP19-4 [Chlorella sorokiniana]	KAI3424803.1 hypothetical protein D9Q98_008189 [Chlorella vulgaris]
OG0000014	PRW57312.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Chlorella sorokiniana]	KAI3438190.1 hypothetical protein D9Q98_000627 [Chlorella vulgaris]
OG0000014	PRW58429.1 Peptidyl-prolyl cis-trans isomerase [Chlorella sorokiniana]	KAI3433293.1 hypothetical protein D9Q98_003112 [Chlorella vulgaris]
OG0000014	PRW57025.1 peptidyl-prolyl cis-trans isomerase B [Chlorella sorokiniana]	KAI3438732.1 hypothetical protein D9Q98_001152 [Chlorella vulgaris]
OG0000015	PRW05686.1 reverse transcriptase_ partial [Chlorella sorokiniana], PRW05743.1 Pol [Chlorella sorokiniana], PRW05685.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW44387.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW45629.1 Pol isoform B [Chlorella sorokiniana], PRW45726.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW33714.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW18418.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW56112.1 ERD4-related membrane_ partial [Chlorella sorokiniana], PRW21010.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW60954.1 hypothetical protein C2E21_0274 [Chlorella sorokiniana], PRW60796.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW33265.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW56022.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW20585.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW50991.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW57871.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW58827.1 Pol [Chlorella sorokiniana], PRW56997.1 ERD4-related membrane [Chlorella sorokiniana], PRW34092.1 Pol [Chlorella sorokiniana], PRW45630.1 Pol isoform A [Chlorella sorokiniana]	KAI3427111.1 hypothetical protein D9Q98_007048 [Chlorella vulgaris], KAI3430929.1 hypothetical protein D9Q98_009338 [Chlorella vulgaris], KAI3432715.1 hypothetical protein D9Q98_004258 [Chlorella vulgaris], KAI3428636.1 hypothetical protein D9Q98_007459 [Chlorella vulgaris], KAI3432779.1 hypothetical protein D9Q98_010364 [Chlorella vulgaris], KAI3431293.1 hypothetical protein D9Q98_004352 [Chlorella vulgaris], KAI3428410.1 hypothetical protein D9Q98_007237 [Chlorella vulgaris], KAI3436257.1 hypothetical protein D9Q98_002310 [Chlorella vulgaris], KAI3429902.1 hypothetical protein D9Q98_010213 [Chlorella vulgaris], KAI3437676.1 hypothetical protein D9Q98_000126 [Chlorella vulgaris], KAI3427913.1 hypothetical protein D9Q98_006305 [Chlorella vulgaris], KAI3427912.1 hypothetical protein D9Q98_006305 [Chlorella vulgaris], KAI3428639.1 hypothetical protein D9Q98_007462 [Chlorella vulgaris], KAI3431292.1 hypothetical protein D9Q98_004352 [Chlorella vulgaris], KAI3432286.1 hypothetical protein D9Q98_003846 [Chlorella vulgaris], KAI3432845.1 hypothetical protein D9Q98_010429 [Chlorella vulgaris], KAI3432846.1 hypothetical protein D9Q98_010430 [Chlorella vulgaris], KAI3428641.1 hypothetical protein D9Q98_007464 [Chlorella vulgaris], KAI3428647.1 hypothetical protein D9Q98_007470 [Chlorella vulgaris], KAI3432737.1 hypothetical protein D9Q98_004278 [Chlorella vulgaris], KAI3426105.1 hypothetical protein D9Q98_008484 [Chlorella vulgaris], KAI3429901.1 hypothetical protein D9Q98_010212 [Chlorella vulgaris], KAI3436258.1 hypothetical protein D9Q98_002311 [Chlorella vulgaris], KAI3427110.1 hypothetical protein D9Q98_007048 [Chlorella vulgaris], KAI3428412.1 hypothetical protein D9Q98_007239 [Chlorella vulgaris], KAI3427176.1 hypothetical protein D9Q98_007113 [Chlorella vulgaris]
OG0000016	PRW50795.1 polyubiquitin 3 isoform B [Chlorella sorokiniana], PRW50796.1 polyubiquitin 3 isoform A [Chlorella sorokiniana]	KAI3427078.1 hypothetical protein D9Q98_007017 [Chlorella vulgaris], KAI3427077.1 hypothetical protein D9Q98_007017 [Chlorella vulgaris]
OG0000016	PRW33690.1 ubiquitin-NEDD8 RUB2 [Chlorella sorokiniana]	KAI3425284.1 hypothetical protein D9Q98_009051 [Chlorella vulgaris]
OG0000016	PRW56465.1 ubiquitin-60S ribosomal L40 [Chlorella sorokiniana]	KAI3428307.1 hypothetical protein D9Q98_006686 [Chlorella vulgaris]
OG0000016	PRW45491.1 40S ribosomal S27 [Chlorella sorokiniana]	KAI3425029.1 hypothetical protein D9Q98_008407 [Chlorella vulgaris]
OG0000018	PRW56613.1 transcription factor MYB98-like [Chlorella sorokiniana]	KAI3428238.1 hypothetical protein D9Q98_006618 [Chlorella vulgaris]
OG0000018	PRW20403.1 Myb-related B isoform B [Chlorella sorokiniana], PRW20404.1 Myb-related B isoform A [Chlorella sorokiniana]	KAI3424403.1 hypothetical protein D9Q98_009956 [Chlorella vulgaris], KAI3424404.1 hypothetical protein D9Q98_009956 [Chlorella vulgaris]
OG0000018	PRW44975.1 transcription factor MYB44-like [Chlorella sorokiniana]	KAI3426390.1 hypothetical protein D9Q98_008761 [Chlorella vulgaris]
OG0000018	PRW56509.1 transcription factor Myb13 [Chlorella sorokiniana]	KAI3427919.1 hypothetical protein D9Q98_006311 [Chlorella vulgaris]
OG0000020	PRW58220.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana]	KAI3433312.1 hypothetical protein D9Q98_003130 [Chlorella vulgaris]
OG0000020	PRW33669.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana]	KAI3425243.1 hypothetical protein D9Q98_009011 [Chlorella vulgaris]
OG0000020	PRW33672.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana]	KAI3425251.1 hypothetical protein D9Q98_009019 [Chlorella vulgaris]
OG0000022	PRW58506.1 voltage-gated ion channel superfamily [Chlorella sorokiniana], PRW44256.1 U-box domain-containing 17-like [Chlorella sorokiniana]	KAI3424438.1 hypothetical protein D9Q98_009990 [Chlorella vulgaris], KAI3424442.1 hypothetical protein D9Q98_009994 [Chlorella vulgaris], KAI3424461.1 hypothetical protein D9Q98_010012 [Chlorella vulgaris], KAI3424422.1 hypothetical protein D9Q98_009974 [Chlorella vulgaris], KAI3424462.1 hypothetical protein D9Q98_010013 [Chlorella vulgaris]
OG0000022	PRW51129.1 vacuolar sorting 23A [Chlorella sorokiniana]	KAI3436432.1 hypothetical protein D9Q98_005849 [Chlorella vulgaris], KAI3436433.1 hypothetical protein D9Q98_005850 [Chlorella vulgaris]
OG0000022	PRW58217.1 hypothetical protein C2E21_2886 [Chlorella sorokiniana]	KAI3433785.1 hypothetical protein D9Q98_003590 [Chlorella vulgaris]
OG0000023	PRW44501.1 D-tyrosyl-tRNA_Tyr_ deacylase [Chlorella sorokiniana]	KAI3428437.1 hypothetical protein D9Q98_007264 [Chlorella vulgaris]
OG0000023	PRW59139.1 zinc finger CCCH domain-containing 66-like [Chlorella sorokiniana]	KAI3439065.1 hypothetical protein D9Q98_001475 [Chlorella vulgaris]
OG0000023	PRW32871.1 zinc finger family isoform B [Chlorella sorokiniana], PRW32872.1 zinc finger family isoform A [Chlorella sorokiniana]	KAI3430482.1 hypothetical protein D9Q98_005077 [Chlorella vulgaris]
OG0000024	PRW55960.1 peptidase S8 [Chlorella sorokiniana]	KAI3436676.1 hypothetical protein D9Q98_006092 [Chlorella vulgaris]
OG0000024	PRW20948.1 peptidase S8 isoform A [Chlorella sorokiniana], PRW20949.1 peptidase S8 isoform B [Chlorella sorokiniana]	KAI3437696.1 hypothetical protein D9Q98_000145 [Chlorella vulgaris]
OG0000025	PRW39202.1 Myb-related transcription factor [Chlorella sorokiniana]	KAI3431357.1 hypothetical protein D9Q98_004414 [Chlorella vulgaris]
OG0000025	PRW56235.1 pseudo-response regulator 3 [Chlorella sorokiniana]	KAI3436539.1 hypothetical protein D9Q98_005956 [Chlorella vulgaris]
OG0000025	PRW56722.1 PHR1-LIKE 1-like [Chlorella sorokiniana]	KAI3427962.1 hypothetical protein D9Q98_006352 [Chlorella vulgaris]
OG0000026	PRW50812.1 class V aminotransferase [Chlorella sorokiniana]	KAI3427076.1 hypothetical protein D9Q98_007016 [Chlorella vulgaris]
OG0000026	PRW60635.1 alpha beta-hydrolase [Chlorella sorokiniana]	KAI3429288.1 hypothetical protein D9Q98_005384 [Chlorella vulgaris], KAI3429289.1 hypothetical protein D9Q98_005385 [Chlorella vulgaris], KAI3429291.1 hypothetical protein D9Q98_005387 [Chlorella vulgaris]
OG0000027	PRW58424.1 serine threonine- kinase isoform B [Chlorella sorokiniana], PRW58423.1 serine threonine- kinase isoform A [Chlorella sorokiniana]	KAI3433311.1 hypothetical protein D9Q98_003129 [Chlorella vulgaris]
OG0000027	PRW33522.1 serine threonine- kinase [Chlorella sorokiniana]	KAI3425130.1 hypothetical protein D9Q98_008902 [Chlorella vulgaris]
OG0000027	PRW21099.1 serine threonine- kinase [Chlorella sorokiniana]	KAI3430353.1 hypothetical protein D9Q98_004948 [Chlorella vulgaris]
OG0000027	PRW60292.1 serine threonine- kinase [Chlorella sorokiniana]	KAI3429894.1 hypothetical protein D9Q98_010205 [Chlorella vulgaris]
OG0000028	PRW21073.1 G patch domain and ankyrin repeat-containing 1-like protein [Chlorella sorokiniana]	KAI3430771.1 hypothetical protein D9Q98_009183 [Chlorella vulgaris]
OG0000029	PRW60661.1 hypothetical protein C2E21_0949 [Chlorella sorokiniana]	KAI3429475.1 hypothetical protein D9Q98_005566 [Chlorella vulgaris], KAI3429474.1 hypothetical protein D9Q98_005566 [Chlorella vulgaris]
OG0000029	PRW39270.1 U6 snRNA phosphodiesterase [Chlorella sorokiniana], PRW39389.1 formate nitrite transporter [Chlorella sorokiniana]	KAI3431531.1 hypothetical protein D9Q98_004581 [Chlorella vulgaris], KAI3431536.1 hypothetical protein D9Q98_004586 [Chlorella vulgaris]
OG0000031	PRW59761.1 cytochrome P450 [Chlorella sorokiniana]	KAI3435993.1 hypothetical protein D9Q98_002050 [Chlorella vulgaris], KAI3435991.1 hypothetical protein D9Q98_002048 [Chlorella vulgaris], KAI3435992.1 hypothetical protein D9Q98_002049 [Chlorella vulgaris]
