Orthogroup	Chlorella_Sorokiniana1602	Scenedesmus_NREL
OG0000008	PRW57167.1 Histone H4 [Chlorella sorokiniana], PRW32851.1 Histone H4 [Chlorella sorokiniana], PRW32932.1 Histone H4 isoform B [Chlorella sorokiniana], PRW20318.1 Histone H4 [Chlorella sorokiniana], PRW57322.1 Histone H4 [Chlorella sorokiniana], PRW32931.1 Histone H4 isoform A [Chlorella sorokiniana], PRW33013.1 Histone H4 [Chlorella sorokiniana], PRW57296.1 Histone H4 [Chlorella sorokiniana], PRW57363.1 Histone H4 [Chlorella sorokiniana], PRW32923.1 Histone H4 [Chlorella sorokiniana], PRW33065.1 Histone H4 [Chlorella sorokiniana], PRW57495.1 Histone H4 [Chlorella sorokiniana], PRW57273.1 Histone H4 [Chlorella sorokiniana]	KAF6253689.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253539.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252081.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252086.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6248397.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253533.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6248395.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252074.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253506.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000009	PRW32927.1 peritrophic membrane chitin binding [Chlorella sorokiniana]	KAF6250026.1 hypothetical protein COO60DRAFT_912941 [Scenedesmus sp. NREL 46B-D3], KAF6242295.1 hypothetical protein COO60DRAFT_206430 [Scenedesmus sp. NREL 46B-D3]
OG0000011	PRW56437.1 kinase [Chlorella sorokiniana], PRW55899.1 kinase [Chlorella sorokiniana], PRW59693.1 kinase [Chlorella sorokiniana]	KAF6265892.1 hypothetical protein COO60DRAFT_768059 [Scenedesmus sp. NREL 46B-D3], KAF6265889.1 hypothetical protein COO60DRAFT_1697568 [Scenedesmus sp. NREL 46B-D3], KAF6258193.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263888.1 hypothetical protein COO60DRAFT_308005 [Scenedesmus sp. NREL 46B-D3], KAF6255294.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255835.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266356.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6265430.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000011	PRW61362.1 laminin subunit alpha-2 isoform E [Chlorella sorokiniana]	KAF6260297.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255539.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263742.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263821.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262439.1 hypothetical protein COO60DRAFT_627220 [Scenedesmus sp. NREL 46B-D3], KAF6262437.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6237056.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256414.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000012	PRW32911.1 histone H3 [Chlorella sorokiniana]	KAF6251374.1 histone H3.1-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000013	PRW20807.1 sulfur stress regulator [Chlorella sorokiniana], PRW33203.1 Serine threonine- kinase SAPK1 [Chlorella sorokiniana], PRW44937.1 sulfur stress regulator [Chlorella sorokiniana]	KAF6263511.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263514.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250539.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257324.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255583.1 Snf1-like ser/thr protein kinase [Scenedesmus sp. NREL 46B-D3]
OG0000013	PRW58909.1 sulfur stress regulator [Chlorella sorokiniana]	KAF6258910.1 Snf1-like protein kinase [Scenedesmus sp. NREL 46B-D3]
OG0000013	PRW60419.1 serine threonine- kinase [Chlorella sorokiniana]	KAF6262199.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256418.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000013	PRW58940.1 serine threonine- kinase Nek1 isoform X5 [Chlorella sorokiniana]	KAF6256672.1 Rab3 GTPase-activating protein catalytic subunit-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000014	PRW56328.1 cyclophilin [Chlorella sorokiniana]	KAF6256541.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000014	PRW59726.1 peptidyl-prolyl cis-trans isomerase CYP19-3 isoform X2 [Chlorella sorokiniana]	KAF6264995.1 hypothetical protein COO60DRAFT_1698077 [Scenedesmus sp. NREL 46B-D3]
OG0000014	PRW45741.1 peptidyl-prolyl cis-trans isomerase CYP19-4 [Chlorella sorokiniana]	KAF6259760.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000014	PRW57312.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Chlorella sorokiniana]	KAF6258195.1 cyclophilin-type peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. NREL 46B-D3]
OG0000014	PRW58429.1 Peptidyl-prolyl cis-trans isomerase [Chlorella sorokiniana]	KAF6253704.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000014	PRW57025.1 peptidyl-prolyl cis-trans isomerase B [Chlorella sorokiniana]	KAF6252786.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6236267.1 NDH subunit PnsL5_ partial [Scenedesmus sp. NREL 46B-D3]
OG0000016	PRW50795.1 polyubiquitin 3 isoform B [Chlorella sorokiniana], PRW50796.1 polyubiquitin 3 isoform A [Chlorella sorokiniana]	KAF6257509.1 mitochondrial carrier domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000016	PRW33690.1 ubiquitin-NEDD8 RUB2 [Chlorella sorokiniana]	KAF6264957.1 hypothetical protein COO60DRAFT_1634011 [Scenedesmus sp. NREL 46B-D3]
OG0000016	PRW56465.1 ubiquitin-60S ribosomal L40 [Chlorella sorokiniana]	KAF6262261.1 ubiquitin extension protein [Scenedesmus sp. NREL 46B-D3]
OG0000018	PRW56613.1 transcription factor MYB98-like [Chlorella sorokiniana]	KAF6252740.1 hypothetical protein COO60DRAFT_502322 [Scenedesmus sp. NREL 46B-D3], KAF6253083.1 hypothetical protein COO60DRAFT_469421 [Scenedesmus sp. NREL 46B-D3]
OG0000018	PRW20403.1 Myb-related B isoform B [Chlorella sorokiniana], PRW20404.1 Myb-related B isoform A [Chlorella sorokiniana]	KAF6253755.1 hypothetical protein COO60DRAFT_391601 [Scenedesmus sp. NREL 46B-D3]
OG0000018	PRW44975.1 transcription factor MYB44-like [Chlorella sorokiniana]	KAF6260264.1 c-myb-like transcription factor [Scenedesmus sp. NREL 46B-D3], KAF6255543.1 hypothetical protein COO60DRAFT_204648 [Scenedesmus sp. NREL 46B-D3]
OG0000018	PRW56509.1 transcription factor Myb13 [Chlorella sorokiniana]	KAF6257155.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6263245.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6251055.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000020	PRW58220.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana]	KAF6261082.1 hypothetical protein COO60DRAFT_1637118 [Scenedesmus sp. NREL 46B-D3], KAF6256201.1 hypothetical protein COO60DRAFT_1640881 [Scenedesmus sp. NREL 46B-D3], KAF6258856.1 hypothetical protein COO60DRAFT_1626293 [Scenedesmus sp. NREL 46B-D3]
OG0000022	PRW57847.1 ankyrin repeat [Chlorella sorokiniana], PRW56411.1 ankyrin repeat [Chlorella sorokiniana], PRW56453.1 ankyrin 2_3 unc44 [Chlorella sorokiniana]	KAF6252249.1 ankyrin repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]
OG0000022	PRW51129.1 vacuolar sorting 23A [Chlorella sorokiniana]	KAF6256740.1 hypothetical protein COO60DRAFT_1527996 [Scenedesmus sp. NREL 46B-D3]
OG0000023	PRW44501.1 D-tyrosyl-tRNA_Tyr_ deacylase [Chlorella sorokiniana]	KAF6249474.1 hypothetical protein COO60DRAFT_968441 [Scenedesmus sp. NREL 46B-D3], KAF6261206.1 hypothetical protein COO60DRAFT_801690 [Scenedesmus sp. NREL 46B-D3]
OG0000023	PRW59139.1 zinc finger CCCH domain-containing 66-like [Chlorella sorokiniana], PRW32871.1 zinc finger family isoform B [Chlorella sorokiniana], PRW32872.1 zinc finger family isoform A [Chlorella sorokiniana]	KAF6262812.1 hypothetical protein COO60DRAFT_1493981 [Scenedesmus sp. NREL 46B-D3]
OG0000024	PRW55960.1 peptidase S8 [Chlorella sorokiniana], PRW20948.1 peptidase S8 isoform A [Chlorella sorokiniana], PRW20949.1 peptidase S8 isoform B [Chlorella sorokiniana]	KAF6250510.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252011.1 subtilase [Scenedesmus sp. NREL 46B-D3]
OG0000025	PRW56235.1 pseudo-response regulator 3 [Chlorella sorokiniana]	KAF6261295.1 CheY-like superfamily [Scenedesmus sp. NREL 46B-D3]
OG0000026	PRW50812.1 class V aminotransferase [Chlorella sorokiniana]	KAF6258814.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]
OG0000028	PRW21073.1 G patch domain and ankyrin repeat-containing 1-like protein [Chlorella sorokiniana], PRW33315.1 serine threonine- phosphatase 6 regulatory ankyrin repeat subunit B-like [Chlorella sorokiniana], PRW58720.1 ankyrin repeat-containing protein [Chlorella sorokiniana], PRW20255.1 hypothetical protein C2E21_9214 [Chlorella sorokiniana], PRW57216.1 ankyrin repeat-containing protein [Chlorella sorokiniana]	KAF6262142.1 hypothetical protein COO60DRAFT_675402 [Scenedesmus sp. NREL 46B-D3]
OG0000029	PRW44850.1 hypothetical protein C2E21_6254 [Chlorella sorokiniana]	KAF6259608.1 hypothetical protein COO60DRAFT_1460106 [Scenedesmus sp. NREL 46B-D3]
OG0000029	PRW39270.1 U6 snRNA phosphodiesterase [Chlorella sorokiniana], PRW39389.1 formate nitrite transporter [Chlorella sorokiniana]	KAF6262470.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262467.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000031	PRW59761.1 cytochrome P450 [Chlorella sorokiniana]	KAF6257433.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]
OG0000031	PRW50749.1 cytochrome P450 [Chlorella sorokiniana]	KAF6260940.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]
OG0000032	PRW45713.1 hypothetical protein C2E21_5840 [Chlorella sorokiniana], PRW33287.1 hypothetical protein C2E21_7824 [Chlorella sorokiniana], PRW57195.1 hypothetical protein C2E21_4079 [Chlorella sorokiniana], PRW59320.1 hypothetical protein C2E21_2437 [Chlorella sorokiniana]	KAF6252709.1 Gametolysin peptidase M11-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6265132.1 Gametolysin peptidase M11-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000035	PRW59728.1 3-ketoacyl- synthase 11 isoform A [Chlorella sorokiniana]	KAF6253624.1 LsmAD domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000035	PRW61324.1 3-ketoacyl- synthase 4-like [Chlorella sorokiniana]	KAF6254848.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254756.1 hypothetical protein COO60DRAFT_1286152_ partial [Scenedesmus sp. NREL 46B-D3], KAF6264839.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6261610.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257671.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266311.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6251507.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000036	PRW33642.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61610.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW58034.1 kinase [Chlorella sorokiniana], PRW61254.1 kinase [Chlorella sorokiniana], PRW51042.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61026.1 kinase [Chlorella sorokiniana]	KAF6263822.1 hypothetical protein COO60DRAFT_345552 [Scenedesmus sp. NREL 46B-D3]
OG0000038	PRW50834.1 Transcription initiation factor TFIID subunit 13 [Chlorella sorokiniana], PRW33249.1 Transcription initiation factor TFIID subunit 13 isoform A [Chlorella sorokiniana], PRW33248.1 Transcription initiation factor TFIID subunit 13 isoform B [Chlorella sorokiniana], PRW05940.1 beta-1_6-N-acetylglucosaminyltransferase enzyme [Chlorella sorokiniana], PRW05935.1 beta-1_6-N-acetylglucosaminyltransferase enzyme [Chlorella sorokiniana], PRW32548.1 Transcription initiation factor TFIID subunit 13 [Chlorella sorokiniana], PRW45079.1 Transcription initiation factor TFIID subunit 13 [Chlorella sorokiniana]	KAF6256320.1 core-2/I-branching enzyme-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000039	PRW56320.1 lysine-specific demethylase 8 [Chlorella sorokiniana]	KAF6263368.1 hypothetical protein COO60DRAFT_1698811 [Scenedesmus sp. NREL 46B-D3]
OG0000040	PRW60632.1 ankyrin repeat and MYND domain-containing [Chlorella sorokiniana], PRW60463.1 hypothetical protein C2E21_1279 [Chlorella sorokiniana], PRW60340.1 hypothetical protein C2E21_1283 [Chlorella sorokiniana], PRW60239.1 Zinc finger domain-containing MYND finger domain [Chlorella sorokiniana], PRW20904.1 hypothetical protein C2E21_8584 [Chlorella sorokiniana], PRW20905.1 hypothetical protein C2E21_8584 [Chlorella sorokiniana], PRW59495.1 HIT MYND zinc finger [Chlorella sorokiniana], PRW56827.1 hypothetical protein C2E21_4658 [Chlorella sorokiniana], PRW33756.1 hypothetical protein C2E21_7361 [Chlorella sorokiniana], PRW56127.1 Zinc finger domain-containing MYND finger domain [Chlorella sorokiniana], PRW59997.1 Zinc finger MYND domain-containing 19 Q7TSV3 [Chlorella sorokiniana], PRW21076.1 transcriptional regulator [Chlorella sorokiniana], PRW55939.1 ubiquitin carboxyl-terminal hydrolase 18-like [Chlorella sorokiniana], PRW45161.1 Zinc finger MYND domain-containing 17 [Chlorella sorokiniana], PRW39187.1 MYND finger domain containing [Chlorella sorokiniana], PRW60147.1 HIT MYND zinc finger [Chlorella sorokiniana], PRW45512.1 hypothetical protein C2E21_5976 [Chlorella sorokiniana], PRW56574.1 Zinc finger MYND domain-containing 19 Q7TSV3 [Chlorella sorokiniana], PRW56662.1 MYND finger [Chlorella sorokiniana], PRW58358.1 hypothetical protein C2E21_2893 [Chlorella sorokiniana], PRW56289.1 PBS lyase [Chlorella sorokiniana], PRW56155.1 hypothetical protein C2E21_5198 [Chlorella sorokiniana], PRW56311.1 hypothetical protein C2E21_5126 [Chlorella sorokiniana], PRW56174.1 DNA-3-methyladenine glycosylase [Chlorella sorokiniana], PRW56081.1 hypothetical protein C2E21_5153 [Chlorella sorokiniana]	KAF6260197.1 hypothetical protein COO60DRAFT_1507980 [Scenedesmus sp. NREL 46B-D3]
OG0000041	PRW32643.1 TMV resistance N-like [Chlorella sorokiniana], PRW45435.1 leucine rich repeat [Chlorella sorokiniana], PRW51148.1 putative LRR receptor-like serine threonine- kinase [Chlorella sorokiniana], PRW33266.1 small GTP-binding [Chlorella sorokiniana], PRW56545.1 leucine-rich repeat SHOC-2-like [Chlorella sorokiniana], PRW20977.1 2-isopropylmalate synthase homocitrate synthase family [Chlorella sorokiniana], PRW20972.1 p53-induced death domain-containing 1 isoform X1 [Chlorella sorokiniana], PRW21009.1 small GTP-binding [Chlorella sorokiniana], PRW20986.1 leucine-rich repeat transmembrane kinase [Chlorella sorokiniana], PRW21137.1 TMV resistance N-like [Chlorella sorokiniana], PRW21050.1 receptor 12 [Chlorella sorokiniana], PRW32843.1 hypothetical protein C2E21_8154 [Chlorella sorokiniana], PRW45511.1 internalin A [Chlorella sorokiniana]	KAF6263524.1 hypothetical protein COO60DRAFT_413862 [Scenedesmus sp. NREL 46B-D3], KAF6251517.1 hypothetical protein COO60DRAFT_608923 [Scenedesmus sp. NREL 46B-D3]
OG0000042	PRW33027.1 phosphate-repressible phosphate permease [Chlorella sorokiniana], PRW32920.1 phosphate transporter [Chlorella sorokiniana], PRW60515.1 phosphate-repressible phosphate permease [Chlorella sorokiniana]	KAF6263080.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3], KAF6256603.1 sodium/phosphate symporter [Scenedesmus sp. NREL 46B-D3], KAF6259740.1 sodium/phosphate symporter [Scenedesmus sp. NREL 46B-D3], KAF6251745.1 phosphate transporter family-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262371.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3]
OG0000042	PRW33157.1 phosphate transporter [Chlorella sorokiniana]	KAF6250657.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3], KAF6252255.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3]
OG0000043	PRW45699.1 alpha-glucosidase isoform B [Chlorella sorokiniana], PRW45700.1 alpha-glucosidase isoform A [Chlorella sorokiniana], PRW44983.1 Glycosyl hydrolases family 31 isoform 1 [Chlorella sorokiniana]	KAF6262255.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264757.1 glycosyl hydrolases family 31-domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6253912.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262828.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254921.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6258268.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256155.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000044	PRW56980.1 ARM repeat-containing [Chlorella sorokiniana]	KAF6250838.1 hypothetical protein COO60DRAFT_1566477 [Scenedesmus sp. NREL 46B-D3], KAF6252628.1 hypothetical protein COO60DRAFT_1552102 [Scenedesmus sp. NREL 46B-D3]
OG0000046	PRW45736.1 serine threonine- kinase receptor R831 [Chlorella sorokiniana], PRW58688.1 Amino acid permease 2 [Chlorella sorokiniana], PRW58712.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW58414.1 serine threonine- kinase [Chlorella sorokiniana]	KAF6253266.1 hypothetical protein COO60DRAFT_434274 [Scenedesmus sp. NREL 46B-D3]
OG0000048	PRW50814.1 hypothetical protein C2E21_5439 [Chlorella sorokiniana], PRW33015.1 hypothetical protein C2E21_8112 [Chlorella sorokiniana]	KAF6256083.1 oxygen-evolving enhancer protein 3_ chloroplastic [Scenedesmus sp. NREL 46B-D3]
OG0000049	PRW59120.1 hypothetical protein C2E21_2482 [Chlorella sorokiniana]	KAF6250885.1 histidine phosphatase superfamily [Scenedesmus sp. NREL 46B-D3]
OG0000049	PRW58828.1 putative ubiquitin-like-specific protease 2B isoform X1 [Chlorella sorokiniana]	KAF6254669.1 hypothetical protein COO60DRAFT_296766 [Scenedesmus sp. NREL 46B-D3]
OG0000049	PRW55925.1 translation initiation factor fusion with methylthioribose kinase [Chlorella sorokiniana]	KAF6251092.1 eukaryotic translation initiation factor 2B alpha [Scenedesmus sp. NREL 46B-D3]
OG0000050	PRW33726.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW32665.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW33245.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW20392.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW51063.1 UPF0187 chloroplastic [Chlorella sorokiniana]	KAF6265287.1 Bestrophin_ RFP-TM_ chloride channel-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
