Orthogroup	Chlorella_Sorokiniana1602	Auxenochlorella_protothecoides
OG0000070	PRW20924.1 potassium voltage-gated channel subfamily H member 6 isoform X1 [Chlorella sorokiniana], PRW33893.1 Cyclic nucleotide-gated ion channel 1 [Chlorella sorokiniana]	RMZ53469.1 hypothetical protein APUTEX25_003291_ partial [Auxenochlorella protothecoides]
OG0000071	PRW60879.1 Calcium calmodulin-dependent kinase type 1 [Chlorella sorokiniana]	RMZ54148.1 hypothetical protein APUTEX25_005304 [Auxenochlorella protothecoides]
OG0000072	PRW58570.1 beta-Ig-H3 fasciclin [Chlorella sorokiniana], PRW58312.1 beta-Ig-H3 fasciclin [Chlorella sorokiniana], PRW58483.1 beta-Ig-H3 fasciclin [Chlorella sorokiniana], PRW56406.1 beta-Ig-H3 fasciclin [Chlorella sorokiniana]	RMZ54387.1 hypothetical protein APUTEX25_001963 [Auxenochlorella protothecoides]
OG0000074	PRW20365.1 endonuclease 2 isoform X1 [Chlorella sorokiniana], PRW61163.1 hypothetical protein C2E21_0045 [Chlorella sorokiniana]	RMZ55613.1 hypothetical protein APUTEX25_000196 [Auxenochlorella protothecoides]
OG0000078	PRW57277.1 phosphofructokinase family [Chlorella sorokiniana]	RMZ56534.1 hypothetical protein APUTEX25_001381 [Auxenochlorella protothecoides]
OG0000078	PRW56044.1 phosphofructokinase family isoform B [Chlorella sorokiniana], PRW56045.1 phosphofructokinase family isoform A [Chlorella sorokiniana]	RMZ52490.1 hypothetical protein APUTEX25_003633_ partial [Auxenochlorella protothecoides]
OG0000078	PRW58389.1 phosphofructokinase family [Chlorella sorokiniana]	RMZ53346.1 hypothetical protein APUTEX25_004834 [Auxenochlorella protothecoides]
OG0000079	PRW58244.1 luminal-binding 5-like [Chlorella sorokiniana]	RMZ53096.1 hypothetical protein APUTEX25_002505 [Auxenochlorella protothecoides]
OG0000080	PRW05945.1 MIS12-like protein [Chlorella sorokiniana], PRW51019.1 hypothetical protein C2E21_5409 [Chlorella sorokiniana], PRW50784.1 hypothetical protein C2E21_5410 [Chlorella sorokiniana], PRW56409.1 sulfotransferase [Chlorella sorokiniana], PRW61543.1 sulfotransferase [Chlorella sorokiniana], PRW44571.1 sulfotransferase [Chlorella sorokiniana]	RMZ55523.1 hypothetical protein APUTEX25_000106 [Auxenochlorella protothecoides]
OG0000081	PRW56561.1 non-ribosomal peptide synthetase [Chlorella sorokiniana]	RMZ56073.1 hypothetical protein APUTEX25_004497_ partial [Auxenochlorella protothecoides]
OG0000081	PRW56611.1 putative sodium metabolite cotransporter chloroplastic [Chlorella sorokiniana]	RMZ56025.1 hypothetical protein APUTEX25_004449 [Auxenochlorella protothecoides]
OG0000082	PRW60771.1 hypothetical protein C2E21_1229 [Chlorella sorokiniana], PRW59159.1 kinase domain containing [Chlorella sorokiniana], PRW51136.1 hypothetical protein C2E21_5509 [Chlorella sorokiniana], PRW33292.1 hypothetical protein C2E21_7904 [Chlorella sorokiniana]	RMZ52693.1 hypothetical protein APUTEX25_000812 [Auxenochlorella protothecoides]
OG0000083	PRW56146.1 puromycin-sensitive aminopeptidase isoform X1 isoform B [Chlorella sorokiniana], PRW56145.1 puromycin-sensitive aminopeptidase isoform X1 isoform A [Chlorella sorokiniana]	RMZ54832.1 hypothetical protein APUTEX25_000349 [Auxenochlorella protothecoides]
OG0000083	PRW56133.1 hypothetical protein C2E21_5250 [Chlorella sorokiniana]	RMZ53760.1 hypothetical protein APUTEX25_003899 [Auxenochlorella protothecoides]
OG0000084	PRW20938.1 Cysteine chloroplastic chromoplastic [Chlorella sorokiniana]	RMZ54449.1 hypothetical protein APUTEX25_002025_ partial [Auxenochlorella protothecoides]
OG0000084	PRW56601.1 cysteine synthase A [Chlorella sorokiniana]	RMZ56130.1 hypothetical protein APUTEX25_004554 [Auxenochlorella protothecoides]
OG0000087	PRW20801.1 peroxisomal membrane PMP22 [Chlorella sorokiniana]	RMZ52173.1 hypothetical protein APUTEX25_001563 [Auxenochlorella protothecoides]
OG0000087	PRW61348.1 hexose phosphate transport isoform B [Chlorella sorokiniana], PRW61349.1 hexose phosphate transport isoform A [Chlorella sorokiniana]	RMZ55593.1 hypothetical protein APUTEX25_000176 [Auxenochlorella protothecoides]
OG0000088	PRW59875.1 Pyruvate kinase [Chlorella sorokiniana], PRW57674.1 Pyruvate kinase [Chlorella sorokiniana]	RMZ55551.1 hypothetical protein APUTEX25_000134 [Auxenochlorella protothecoides]
OG0000088	PRW57773.1 pyruvate kinase isoform A [Chlorella sorokiniana], PRW57774.1 pyruvate kinase isoform B [Chlorella sorokiniana], PRW57775.1 pyruvate kinase isoform C [Chlorella sorokiniana]	RMZ52215.1 hypothetical protein APUTEX25_001605 [Auxenochlorella protothecoides]
OG0000089	PRW58095.1 CSE family protein [Chlorella sorokiniana]	RMZ53103.1 hypothetical protein APUTEX25_002512_ partial [Auxenochlorella protothecoides]
OG0000089	PRW45466.1 beta-carotene hydroxylase [Chlorella sorokiniana]	RMZ52759.1 hypothetical protein APUTEX25_000878 [Auxenochlorella protothecoides]
OG0000090	PRW44297.1 serine acetyltransferase [Chlorella sorokiniana]	RMZ53227.1 hypothetical protein APUTEX25_005216 [Auxenochlorella protothecoides]
OG0000090	PRW61457.1 serine acetyltransferase 2 [Chlorella sorokiniana], PRW44585.1 serine O-acetyltransferase [Chlorella sorokiniana]	RMZ55739.1 hypothetical protein APUTEX25_005780_ partial [Auxenochlorella protothecoides]
OG0000090	PRW61310.1 S-adenosyl-L-methionine-dependent methyltransferase [Chlorella sorokiniana]	RMZ55723.1 hypothetical protein APUTEX25_005764 [Auxenochlorella protothecoides]
OG0000091	PRW60266.1 Serine threonine- phosphatase 2A catalytic subunit beta isoform [Chlorella sorokiniana]	RMZ57273.1 hypothetical protein APUTEX25_004107 [Auxenochlorella protothecoides]
OG0000091	PRW20366.1 serine threonine- phosphatase PP-X isozyme 2 [Chlorella sorokiniana]	RMZ54971.1 hypothetical protein APUTEX25_000488 [Auxenochlorella protothecoides]
OG0000091	PRW20629.1 phytochrome-associated serine threonine- phosphatase 3-like [Chlorella sorokiniana]	RMZ57393.1 hypothetical protein APUTEX25_004227 [Auxenochlorella protothecoides]
OG0000095	PRW59313.1 U3 small nucleolar RNA-associated 25 [Chlorella sorokiniana]	RMZ52360.1 hypothetical protein APUTEX25_000635_ partial [Auxenochlorella protothecoides]
OG0000096	PRW21097.1 ATP-binding cassette sub-family B member mitochondrial isoform B [Chlorella sorokiniana]	RMZ52686.1 hypothetical protein APUTEX25_000805 [Auxenochlorella protothecoides]
OG0000096	PRW21098.1 ATP-binding cassette sub-family B member mitochondrial isoform A [Chlorella sorokiniana]	RMZ56656.1 hypothetical protein APUTEX25_002745_ partial [Auxenochlorella protothecoides]
OG0000097	PRW44590.1 CURVATURE THYLAKOID chloroplastic [Chlorella sorokiniana]	RMZ52823.1 hypothetical protein APUTEX25_000942_ partial [Auxenochlorella protothecoides]
OG0000097	PRW59626.1 CURVATURE THYLAKOID chloroplastic-like isoform B [Chlorella sorokiniana], PRW59627.1 CURVATURE THYLAKOID chloroplastic-like isoform A [Chlorella sorokiniana]	RMZ54024.1 hypothetical protein APUTEX25_002601 [Auxenochlorella protothecoides]
OG0000098	PRW61160.1 malate mitochondrial isoform B [Chlorella sorokiniana], PRW61159.1 malate mitochondrial isoform A [Chlorella sorokiniana]	RMZ53120.1 hypothetical protein APUTEX25_005109 [Auxenochlorella protothecoides]
OG0000098	PRW18311.1 malate glyoxysomal-like [Chlorella sorokiniana]	RMZ55147.1 hypothetical protein APUTEX25_005425 [Auxenochlorella protothecoides]
OG0000099	PRW57607.1 Endoglucanase A [Chlorella sorokiniana], PRW44265.1 Endoglucanase A [Chlorella sorokiniana]	RMZ53156.1 hypothetical protein APUTEX25_005145_ partial [Auxenochlorella protothecoides]
OG0000100	PRW61091.1 TOC75- chloroplastic [Chlorella sorokiniana]	RMZ53823.1 hypothetical protein APUTEX25_003962_ partial [Auxenochlorella protothecoides]
OG0000100	PRW61354.1 ru large subunit-binding subunit chloroplastic isoform A [Chlorella sorokiniana], PRW61355.1 ru large subunit-binding subunit chloroplastic isoform B [Chlorella sorokiniana]	RMZ53226.1 hypothetical protein APUTEX25_005215 [Auxenochlorella protothecoides]
OG0000101	PRW61387.1 ATP-dependent Clp protease ATP-binding subunit-like protein chloroplastic [Chlorella sorokiniana]	RMZ53299.1 hypothetical protein APUTEX25_004787 [Auxenochlorella protothecoides]
OG0000101	PRW59843.1 ATP-dependent chaperone [Chlorella sorokiniana]	RMZ55341.1 hypothetical protein APUTEX25_003479 [Auxenochlorella protothecoides]
OG0000101	PRW57345.1 ATP-dependent Clp protease ATP-binding subunit [Chlorella sorokiniana]	RMZ55334.1 hypothetical protein APUTEX25_003472 [Auxenochlorella protothecoides]
OG0000102	PRW56489.1 ferredoxin-dependent glutamate synthase isoform A [Chlorella sorokiniana], PRW56490.1 ferredoxin-dependent glutamate synthase isoform B [Chlorella sorokiniana]	RMZ53552.1 hypothetical protein APUTEX25_003374_ partial [Auxenochlorella protothecoides]
